OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
48,cores,false,static,throughput,0,tree,256,31.84
48,cores,false,static,throughput,0,tree,512,31.15667
48,cores,false,static,throughput,0,critical,256,31.11333
48,cores,false,static,throughput,0,critical,512,30.93
48,cores,false,static,throughput,0,atomic,256,31.63333
48,cores,false,static,throughput,0,atomic,512,31.09
48,cores,false,static,throughput,200,tree,256,25.39333
48,cores,false,static,throughput,200,tree,512,26.37333
48,cores,false,static,throughput,200,critical,256,24.85667
48,cores,false,static,throughput,200,critical,512,24.93
48,cores,false,static,throughput,200,atomic,256,25.47333
48,cores,false,static,throughput,200,atomic,512,25.0
48,cores,false,static,throughput,infinite,tree,256,25.62333
48,cores,false,static,throughput,infinite,tree,512,25.44667
48,cores,false,static,throughput,infinite,critical,256,24.91333
48,cores,false,static,throughput,infinite,critical,512,25.41
48,cores,false,static,throughput,infinite,atomic,256,25.07333
48,cores,false,static,throughput,infinite,atomic,512,25.34667
48,cores,false,static,turnaround,0,tree,256,30.80333
48,cores,false,static,turnaround,0,tree,512,31.58333
48,cores,false,static,turnaround,0,critical,256,31.54667
48,cores,false,static,turnaround,0,critical,512,30.92333
48,cores,false,static,turnaround,0,atomic,256,31.05
48,cores,false,static,turnaround,0,atomic,512,31.98333
48,cores,false,static,turnaround,200,tree,256,25.03667
48,cores,false,static,turnaround,200,tree,512,26.14
48,cores,false,static,turnaround,200,critical,256,24.55
48,cores,false,static,turnaround,200,critical,512,26.18333
48,cores,false,static,turnaround,200,atomic,256,24.40333
48,cores,false,static,turnaround,200,atomic,512,25.61333
48,cores,false,static,turnaround,infinite,tree,256,24.88333
48,cores,false,static,turnaround,infinite,tree,512,24.79
48,cores,false,static,turnaround,infinite,critical,256,25.37667
48,cores,false,static,turnaround,infinite,critical,512,25.04
48,cores,false,static,turnaround,infinite,atomic,256,25.23
48,cores,false,static,turnaround,infinite,atomic,512,25.05
48,cores,false,dynamic,throughput,0,tree,256,31.32
48,cores,false,dynamic,throughput,0,tree,512,31.22333
48,cores,false,dynamic,throughput,0,critical,256,30.92
48,cores,false,dynamic,throughput,0,critical,512,31.10333
48,cores,false,dynamic,throughput,0,atomic,256,31.53333
48,cores,false,dynamic,throughput,0,atomic,512,30.9
48,cores,false,dynamic,throughput,200,tree,256,25.09667
48,cores,false,dynamic,throughput,200,tree,512,24.95333
48,cores,false,dynamic,throughput,200,critical,256,25.74667
48,cores,false,dynamic,throughput,200,critical,512,24.92333
48,cores,false,dynamic,throughput,200,atomic,256,25.24333
48,cores,false,dynamic,throughput,200,atomic,512,25.01333
48,cores,false,dynamic,throughput,infinite,tree,256,25.63333
48,cores,false,dynamic,throughput,infinite,tree,512,25.31
48,cores,false,dynamic,throughput,infinite,critical,256,25.67333
48,cores,false,dynamic,throughput,infinite,critical,512,24.88667
48,cores,false,dynamic,throughput,infinite,atomic,256,25.34
48,cores,false,dynamic,throughput,infinite,atomic,512,26.09
48,cores,false,dynamic,turnaround,0,tree,256,30.71
48,cores,false,dynamic,turnaround,0,tree,512,30.72333
48,cores,false,dynamic,turnaround,0,critical,256,31.02333
48,cores,false,dynamic,turnaround,0,critical,512,31.27
48,cores,false,dynamic,turnaround,0,atomic,256,30.76
48,cores,false,dynamic,turnaround,0,atomic,512,31.2
48,cores,false,dynamic,turnaround,200,tree,256,25.68333
48,cores,false,dynamic,turnaround,200,tree,512,25.33
48,cores,false,dynamic,turnaround,200,critical,256,24.90667
48,cores,false,dynamic,turnaround,200,critical,512,24.90667
48,cores,false,dynamic,turnaround,200,atomic,256,24.97667
48,cores,false,dynamic,turnaround,200,atomic,512,26.57
48,cores,false,dynamic,turnaround,infinite,tree,256,24.6
48,cores,false,dynamic,turnaround,infinite,tree,512,24.48
48,cores,false,dynamic,turnaround,infinite,critical,256,25.22667
48,cores,false,dynamic,turnaround,infinite,critical,512,25.36667
48,cores,false,dynamic,turnaround,infinite,atomic,256,25.30667
48,cores,false,dynamic,turnaround,infinite,atomic,512,25.38333
48,cores,false,guided,throughput,0,tree,256,30.94667
48,cores,false,guided,throughput,0,tree,512,32.02667
48,cores,false,guided,throughput,0,critical,256,31.37333
48,cores,false,guided,throughput,0,critical,512,30.7
48,cores,false,guided,throughput,0,atomic,256,30.63
48,cores,false,guided,throughput,0,atomic,512,31.61667
48,cores,false,guided,throughput,200,tree,256,24.75333
48,cores,false,guided,throughput,200,tree,512,24.86667
48,cores,false,guided,throughput,200,critical,256,25.06
48,cores,false,guided,throughput,200,critical,512,25.60333
48,cores,false,guided,throughput,200,atomic,256,25.34
48,cores,false,guided,throughput,200,atomic,512,24.63667
48,cores,false,guided,throughput,infinite,tree,256,24.58667
48,cores,false,guided,throughput,infinite,tree,512,25.14333
48,cores,false,guided,throughput,infinite,critical,256,25.78333
48,cores,false,guided,throughput,infinite,critical,512,24.82667
48,cores,false,guided,throughput,infinite,atomic,256,25.66667
48,cores,false,guided,throughput,infinite,atomic,512,25.07333
48,cores,false,guided,turnaround,0,tree,256,31.09333
48,cores,false,guided,turnaround,0,tree,512,30.69333
48,cores,false,guided,turnaround,0,critical,256,30.72667
48,cores,false,guided,turnaround,0,critical,512,31.08333
48,cores,false,guided,turnaround,0,atomic,256,31.13
48,cores,false,guided,turnaround,0,atomic,512,30.85333
48,cores,false,guided,turnaround,200,tree,256,25.83667
48,cores,false,guided,turnaround,200,tree,512,25.77
48,cores,false,guided,turnaround,200,critical,256,25.55333
48,cores,false,guided,turnaround,200,critical,512,24.72
48,cores,false,guided,turnaround,200,atomic,256,24.75333
48,cores,false,guided,turnaround,200,atomic,512,26.05333
48,cores,false,guided,turnaround,infinite,tree,256,25.18667
48,cores,false,guided,turnaround,infinite,tree,512,25.74
48,cores,false,guided,turnaround,infinite,critical,256,25.83667
48,cores,false,guided,turnaround,infinite,critical,512,25.1
48,cores,false,guided,turnaround,infinite,atomic,256,25.02
48,cores,false,guided,turnaround,infinite,atomic,512,24.52667
48,cores,false,auto,throughput,0,tree,256,31.15333
48,cores,false,auto,throughput,0,tree,512,31.29
48,cores,false,auto,throughput,0,critical,256,31.11333
48,cores,false,auto,throughput,0,critical,512,31.93667
48,cores,false,auto,throughput,0,atomic,256,30.92
48,cores,false,auto,throughput,0,atomic,512,31.36
48,cores,false,auto,throughput,200,tree,256,25.48
48,cores,false,auto,throughput,200,tree,512,25.80333
48,cores,false,auto,throughput,200,critical,256,25.03
48,cores,false,auto,throughput,200,critical,512,25.02333
48,cores,false,auto,throughput,200,atomic,256,25.99667
48,cores,false,auto,throughput,200,atomic,512,25.55
48,cores,false,auto,throughput,infinite,tree,256,24.83
48,cores,false,auto,throughput,infinite,tree,512,25.76
48,cores,false,auto,throughput,infinite,critical,256,25.07333
48,cores,false,auto,throughput,infinite,critical,512,25.46333
48,cores,false,auto,throughput,infinite,atomic,256,33.15333
48,cores,false,auto,throughput,infinite,atomic,512,24.58667
48,cores,false,auto,turnaround,0,tree,256,30.96333
48,cores,false,auto,turnaround,0,tree,512,32.03667
48,cores,false,auto,turnaround,0,critical,256,30.98667
48,cores,false,auto,turnaround,0,critical,512,30.53667
48,cores,false,auto,turnaround,0,atomic,256,31.12
48,cores,false,auto,turnaround,0,atomic,512,31.03
48,cores,false,auto,turnaround,200,tree,256,25.02
48,cores,false,auto,turnaround,200,tree,512,25.41333
48,cores,false,auto,turnaround,200,critical,256,25.83333
48,cores,false,auto,turnaround,200,critical,512,25.20333
48,cores,false,auto,turnaround,200,atomic,256,26.12
48,cores,false,auto,turnaround,200,atomic,512,25.22
48,cores,false,auto,turnaround,infinite,tree,256,25.20333
48,cores,false,auto,turnaround,infinite,tree,512,25.21333
48,cores,false,auto,turnaround,infinite,critical,256,25.43333
48,cores,false,auto,turnaround,infinite,critical,512,25.37667
48,cores,false,auto,turnaround,infinite,atomic,256,25.22
48,cores,false,auto,turnaround,infinite,atomic,512,25.32
48,cores,true,static,throughput,0,tree,256,30.80333
48,cores,true,static,throughput,0,tree,512,31.27333
48,cores,true,static,throughput,0,critical,256,31.04333
48,cores,true,static,throughput,0,critical,512,31.26
48,cores,true,static,throughput,0,atomic,256,31.29667
48,cores,true,static,throughput,0,atomic,512,30.91667
48,cores,true,static,throughput,200,tree,256,26.02667
48,cores,true,static,throughput,200,tree,512,24.77333
48,cores,true,static,throughput,200,critical,256,25.02667
48,cores,true,static,throughput,200,critical,512,25.20333
48,cores,true,static,throughput,200,atomic,256,25.85333
48,cores,true,static,throughput,200,atomic,512,24.87333
48,cores,true,static,throughput,infinite,tree,256,25.41333
48,cores,true,static,throughput,infinite,tree,512,25.15667
48,cores,true,static,throughput,infinite,critical,256,25.24333
48,cores,true,static,throughput,infinite,critical,512,26.03
48,cores,true,static,throughput,infinite,atomic,256,24.83667
