OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
48,cores,false,static,throughput,0,tree,256,0.38
48,cores,false,static,throughput,0,tree,512,0.38333
48,cores,false,static,throughput,0,critical,256,0.41
48,cores,false,static,throughput,0,critical,512,0.41333
48,cores,false,static,throughput,0,atomic,256,0.38
48,cores,false,static,throughput,0,atomic,512,0.42
48,cores,false,static,throughput,200,tree,256,0.13333
48,cores,false,static,throughput,200,tree,512,0.13333
48,cores,false,static,throughput,200,critical,256,0.19667
48,cores,false,static,throughput,200,critical,512,0.22333
48,cores,false,static,throughput,200,atomic,256,0.17333
48,cores,false,static,throughput,200,atomic,512,0.17667
48,cores,false,static,throughput,infinite,tree,256,0.13333
48,cores,false,static,throughput,infinite,tree,512,0.13333
48,cores,false,static,throughput,infinite,critical,256,0.19
48,cores,false,static,throughput,infinite,critical,512,0.19
48,cores,false,static,throughput,infinite,atomic,256,0.17333
48,cores,false,static,throughput,infinite,atomic,512,0.17333
48,cores,false,static,turnaround,0,tree,256,0.38
48,cores,false,static,turnaround,0,tree,512,0.38
48,cores,false,static,turnaround,0,critical,256,0.44667
48,cores,false,static,turnaround,0,critical,512,0.41667
48,cores,false,static,turnaround,0,atomic,256,0.39667
48,cores,false,static,turnaround,0,atomic,512,0.38
48,cores,false,static,turnaround,200,tree,256,0.13333
48,cores,false,static,turnaround,200,tree,512,0.13333
48,cores,false,static,turnaround,200,critical,256,0.32333
48,cores,false,static,turnaround,200,critical,512,0.19
48,cores,false,static,turnaround,200,atomic,256,0.17667
48,cores,false,static,turnaround,200,atomic,512,0.17333
48,cores,false,static,turnaround,infinite,tree,256,0.13333
48,cores,false,static,turnaround,infinite,tree,512,0.13333
48,cores,false,static,turnaround,infinite,critical,256,0.19
48,cores,false,static,turnaround,infinite,critical,512,0.19
48,cores,false,static,turnaround,infinite,atomic,256,0.21
48,cores,false,static,turnaround,infinite,atomic,512,0.17333
48,cores,false,dynamic,throughput,0,tree,256,0.37667
48,cores,false,dynamic,throughput,0,tree,512,0.37667
48,cores,false,dynamic,throughput,0,critical,256,0.41667
48,cores,false,dynamic,throughput,0,critical,512,0.44333
48,cores,false,dynamic,throughput,0,atomic,256,0.37667
48,cores,false,dynamic,throughput,0,atomic,512,0.38
48,cores,false,dynamic,throughput,200,tree,256,0.13333
48,cores,false,dynamic,throughput,200,tree,512,0.13333
48,cores,false,dynamic,throughput,200,critical,256,0.19
48,cores,false,dynamic,throughput,200,critical,512,0.19
48,cores,false,dynamic,throughput,200,atomic,256,0.17333
48,cores,false,dynamic,throughput,200,atomic,512,0.17333
48,cores,false,dynamic,throughput,infinite,tree,256,0.13333
48,cores,false,dynamic,throughput,infinite,tree,512,0.17
48,cores,false,dynamic,throughput,infinite,critical,256,0.19
48,cores,false,dynamic,throughput,infinite,critical,512,0.19
48,cores,false,dynamic,throughput,infinite,atomic,256,0.17667
48,cores,false,dynamic,throughput,infinite,atomic,512,0.21
48,cores,false,dynamic,turnaround,0,tree,256,0.38
48,cores,false,dynamic,turnaround,0,tree,512,0.38
48,cores,false,dynamic,turnaround,0,critical,256,0.41
48,cores,false,dynamic,turnaround,0,critical,512,0.41
48,cores,false,dynamic,turnaround,0,atomic,256,0.38
48,cores,false,dynamic,turnaround,0,atomic,512,0.38
48,cores,false,dynamic,turnaround,200,tree,256,0.13333
48,cores,false,dynamic,turnaround,200,tree,512,0.13333
48,cores,false,dynamic,turnaround,200,critical,256,0.19
48,cores,false,dynamic,turnaround,200,critical,512,0.19
48,cores,false,dynamic,turnaround,200,atomic,256,0.18
48,cores,false,dynamic,turnaround,200,atomic,512,0.17333
48,cores,false,dynamic,turnaround,infinite,tree,256,0.13333
48,cores,false,dynamic,turnaround,infinite,tree,512,0.13333
48,cores,false,dynamic,turnaround,infinite,critical,256,0.19
48,cores,false,dynamic,turnaround,infinite,critical,512,0.19
48,cores,false,dynamic,turnaround,infinite,atomic,256,0.17333
48,cores,false,dynamic,turnaround,infinite,atomic,512,0.17333
48,cores,false,guided,throughput,0,tree,256,0.38
48,cores,false,guided,throughput,0,tree,512,0.44333
48,cores,false,guided,throughput,0,critical,256,0.46333
48,cores,false,guided,throughput,0,critical,512,0.41
48,cores,false,guided,throughput,0,atomic,256,0.41333
48,cores,false,guided,throughput,0,atomic,512,0.38333
48,cores,false,guided,throughput,200,tree,256,0.13333
48,cores,false,guided,throughput,200,tree,512,0.13333
48,cores,false,guided,throughput,200,critical,256,0.19
48,cores,false,guided,throughput,200,critical,512,0.19
48,cores,false,guided,throughput,200,atomic,256,0.17333
48,cores,false,guided,throughput,200,atomic,512,0.17333
48,cores,false,guided,throughput,infinite,tree,256,0.13667
48,cores,false,guided,throughput,infinite,tree,512,0.13333
48,cores,false,guided,throughput,infinite,critical,256,0.23
48,cores,false,guided,throughput,infinite,critical,512,0.19
48,cores,false,guided,throughput,infinite,atomic,256,0.21
48,cores,false,guided,throughput,infinite,atomic,512,0.20333
48,cores,false,guided,turnaround,0,tree,256,0.42
48,cores,false,guided,turnaround,0,tree,512,0.38333
48,cores,false,guided,turnaround,0,critical,256,0.41333
48,cores,false,guided,turnaround,0,critical,512,0.41333
48,cores,false,guided,turnaround,0,atomic,256,0.38
48,cores,false,guided,turnaround,0,atomic,512,0.38
48,cores,false,guided,turnaround,200,tree,256,0.13333
48,cores,false,guided,turnaround,200,tree,512,0.14
48,cores,false,guided,turnaround,200,critical,256,0.19
48,cores,false,guided,turnaround,200,critical,512,0.19
48,cores,false,guided,turnaround,200,atomic,256,0.17667
48,cores,false,guided,turnaround,200,atomic,512,0.17667
48,cores,false,guided,turnaround,infinite,tree,256,0.13333
48,cores,false,guided,turnaround,infinite,tree,512,0.13333
48,cores,false,guided,turnaround,infinite,critical,256,0.19
48,cores,false,guided,turnaround,infinite,critical,512,0.19
48,cores,false,guided,turnaround,infinite,atomic,256,0.18
48,cores,false,guided,turnaround,infinite,atomic,512,0.17667
48,cores,false,auto,throughput,0,tree,256,0.38
48,cores,false,auto,throughput,0,tree,512,0.37667
48,cores,false,auto,throughput,0,critical,256,0.41667
48,cores,false,auto,throughput,0,critical,512,0.41
48,cores,false,auto,throughput,0,atomic,256,0.42667
48,cores,false,auto,throughput,0,atomic,512,0.38
48,cores,false,auto,throughput,200,tree,256,0.13333
48,cores,false,auto,throughput,200,tree,512,0.13333
48,cores,false,auto,throughput,200,critical,256,0.19
