OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
48,cores,false,static,throughput,0,tree,256,7.5
48,cores,false,static,throughput,0,tree,512,7.60333
48,cores,false,static,throughput,0,critical,256,7.76333
48,cores,false,static,throughput,0,critical,512,7.87
48,cores,false,static,throughput,0,atomic,256,7.61333
48,cores,false,static,throughput,0,atomic,512,7.91
48,cores,false,static,throughput,200,tree,256,6.45667
48,cores,false,static,throughput,200,tree,512,6.41333
48,cores,false,static,throughput,200,critical,256,6.66333
48,cores,false,static,throughput,200,critical,512,6.81667
48,cores,false,static,throughput,200,atomic,256,6.51
48,cores,false,static,throughput,200,atomic,512,6.55667
48,cores,false,static,throughput,infinite,tree,256,6.35667
48,cores,false,static,throughput,infinite,tree,512,6.37667
48,cores,false,static,throughput,infinite,critical,256,6.72333
48,cores,false,static,throughput,infinite,critical,512,6.69667
48,cores,false,static,throughput,infinite,atomic,256,6.55333
48,cores,false,static,throughput,infinite,atomic,512,7.19667
48,cores,false,static,turnaround,0,tree,256,7.65
48,cores,false,static,turnaround,0,tree,512,7.60667
48,cores,false,static,turnaround,0,critical,256,7.84
48,cores,false,static,turnaround,0,critical,512,7.97333
48,cores,false,static,turnaround,0,atomic,256,7.59667
48,cores,false,static,turnaround,0,atomic,512,7.58
48,cores,false,static,turnaround,200,tree,256,6.31
48,cores,false,static,turnaround,200,tree,512,6.29
48,cores,false,static,turnaround,200,critical,256,6.67333
48,cores,false,static,turnaround,200,critical,512,6.64667
48,cores,false,static,turnaround,200,atomic,256,6.34
48,cores,false,static,turnaround,200,atomic,512,6.82
48,cores,false,static,turnaround,infinite,tree,256,6.72667
48,cores,false,static,turnaround,infinite,tree,512,6.41
48,cores,false,static,turnaround,infinite,critical,256,6.73333
48,cores,false,static,turnaround,infinite,critical,512,6.67333
48,cores,false,static,turnaround,infinite,atomic,256,6.7
48,cores,false,static,turnaround,infinite,atomic,512,6.67333
48,cores,false,dynamic,throughput,0,tree,256,7.64667
48,cores,false,dynamic,throughput,0,tree,512,7.55667
48,cores,false,dynamic,throughput,0,critical,256,8.03667
48,cores,false,dynamic,throughput,0,critical,512,7.90333
48,cores,false,dynamic,throughput,0,atomic,256,7.58667
48,cores,false,dynamic,throughput,0,atomic,512,7.66
48,cores,false,dynamic,throughput,200,tree,256,6.45667
