OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
48,cores,false,static,throughput,0,tree,256,8.64
48,cores,false,static,throughput,0,tree,512,8.72667
48,cores,false,static,throughput,0,critical,256,8.66333
48,cores,false,static,throughput,0,critical,512,8.64333
48,cores,false,static,throughput,0,atomic,256,8.74333
48,cores,false,static,throughput,0,atomic,512,8.61333
48,cores,false,static,throughput,200,tree,256,8.61667
48,cores,false,static,throughput,200,tree,512,8.76333
48,cores,false,static,throughput,200,critical,256,8.62667
48,cores,false,static,throughput,200,critical,512,8.66667
48,cores,false,static,throughput,200,atomic,256,8.72
48,cores,false,static,throughput,200,atomic,512,8.65
48,cores,false,static,throughput,infinite,tree,256,8.68
48,cores,false,static,throughput,infinite,tree,512,8.71333
48,cores,false,static,throughput,infinite,critical,256,8.64667
48,cores,false,static,throughput,infinite,critical,512,8.68667
48,cores,false,static,throughput,infinite,atomic,256,8.78333
48,cores,false,static,throughput,infinite,atomic,512,8.62
48,cores,false,static,turnaround,0,tree,256,8.60333
48,cores,false,static,turnaround,0,tree,512,8.73
48,cores,false,static,turnaround,0,critical,256,8.65
48,cores,false,static,turnaround,0,critical,512,8.66333
48,cores,false,static,turnaround,0,atomic,256,8.73333
48,cores,false,static,turnaround,0,atomic,512,8.65
48,cores,false,static,turnaround,200,tree,256,8.68333
48,cores,false,static,turnaround,200,tree,512,8.71
48,cores,false,static,turnaround,200,critical,256,8.64333
48,cores,false,static,turnaround,200,critical,512,8.67333
48,cores,false,static,turnaround,200,atomic,256,8.65333
48,cores,false,static,turnaround,200,atomic,512,8.67667
48,cores,false,static,turnaround,infinite,tree,256,8.66333
48,cores,false,static,turnaround,infinite,tree,512,8.65333
48,cores,false,static,turnaround,infinite,critical,256,8.71667
48,cores,false,static,turnaround,infinite,critical,512,8.68333
48,cores,false,static,turnaround,infinite,atomic,256,8.64333
48,cores,false,static,turnaround,infinite,atomic,512,8.64667
