OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
48,cores,false,static,throughput,0,tree,256,34.63
48,cores,false,static,throughput,0,tree,512,34.62333
48,cores,false,static,throughput,0,critical,256,34.63333
48,cores,false,static,throughput,0,critical,512,34.53
48,cores,false,static,throughput,0,atomic,256,34.66
48,cores,false,static,throughput,0,atomic,512,34.61667
48,cores,false,static,throughput,200,tree,256,34.68
48,cores,false,static,throughput,200,tree,512,34.55
48,cores,false,static,throughput,200,critical,256,34.49667
48,cores,false,static,throughput,200,critical,512,34.64333
48,cores,false,static,throughput,200,atomic,256,34.58333
48,cores,false,static,throughput,200,atomic,512,34.63333
48,cores,false,static,throughput,infinite,tree,256,34.54667
48,cores,false,static,throughput,infinite,tree,512,34.66
48,cores,false,static,throughput,infinite,critical,256,34.48667
48,cores,false,static,throughput,infinite,critical,512,34.55333
48,cores,false,static,throughput,infinite,atomic,256,34.62333
48,cores,false,static,throughput,infinite,atomic,512,34.59333
48,cores,false,static,turnaround,0,tree,256,34.62667
48,cores,false,static,turnaround,0,tree,512,34.55
48,cores,false,static,turnaround,0,critical,256,34.68
48,cores,false,static,turnaround,0,critical,512,34.53
48,cores,false,static,turnaround,0,atomic,256,34.72
48,cores,false,static,turnaround,0,atomic,512,34.66667
48,cores,false,static,turnaround,200,tree,256,34.55667
48,cores,false,static,turnaround,200,tree,512,34.56
48,cores,false,static,turnaround,200,critical,256,34.59
48,cores,false,static,turnaround,200,critical,512,34.71333
48,cores,false,static,turnaround,200,atomic,256,34.57667
48,cores,false,static,turnaround,200,atomic,512,34.57
48,cores,false,static,turnaround,infinite,tree,256,34.68667
48,cores,false,static,turnaround,infinite,tree,512,34.61667
48,cores,false,static,turnaround,infinite,critical,256,34.61667
48,cores,false,static,turnaround,infinite,critical,512,34.68667
48,cores,false,static,turnaround,infinite,atomic,256,34.54667
48,cores,false,static,turnaround,infinite,atomic,512,34.55333
48,cores,false,dynamic,throughput,0,tree,256,34.69333
48,cores,false,dynamic,throughput,0,tree,512,34.6
48,cores,false,dynamic,throughput,0,critical,256,34.53333
48,cores,false,dynamic,throughput,0,critical,512,34.67
48,cores,false,dynamic,throughput,0,atomic,256,34.62333
48,cores,false,dynamic,throughput,0,atomic,512,34.71667
48,cores,false,dynamic,throughput,200,tree,256,34.68
