OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
48,cores,false,static,throughput,0,tree,256,2.10333
48,cores,false,static,throughput,0,tree,512,2.08
48,cores,false,static,throughput,0,critical,256,2.07333
48,cores,false,static,throughput,0,critical,512,2.08
48,cores,false,static,throughput,0,atomic,256,2.09667
48,cores,false,static,throughput,0,atomic,512,2.08
48,cores,false,static,throughput,200,tree,256,2.07333
48,cores,false,static,throughput,200,tree,512,2.07333
48,cores,false,static,throughput,200,critical,256,2.07333
48,cores,false,static,throughput,200,critical,512,2.07333
48,cores,false,static,throughput,200,atomic,256,2.08
48,cores,false,static,throughput,200,atomic,512,2.07667
48,cores,false,static,throughput,infinite,tree,256,2.07333
48,cores,false,static,throughput,infinite,tree,512,2.07
48,cores,false,static,throughput,infinite,critical,256,2.15667
48,cores,false,static,throughput,infinite,critical,512,2.09667
48,cores,false,static,throughput,infinite,atomic,256,2.1
48,cores,false,static,throughput,infinite,atomic,512,2.07
48,cores,false,static,turnaround,0,tree,256,2.1
48,cores,false,static,turnaround,0,tree,512,2.09
48,cores,false,static,turnaround,0,critical,256,2.08
48,cores,false,static,turnaround,0,critical,512,2.12333
48,cores,false,static,turnaround,0,atomic,256,2.07333
48,cores,false,static,turnaround,0,atomic,512,2.09
48,cores,false,static,turnaround,200,tree,256,2.10667
48,cores,false,static,turnaround,200,tree,512,2.07667
48,cores,false,static,turnaround,200,critical,256,2.09667
48,cores,false,static,turnaround,200,critical,512,2.07667
48,cores,false,static,turnaround,200,atomic,256,2.08333
48,cores,false,static,turnaround,200,atomic,512,2.07
48,cores,false,static,turnaround,infinite,tree,256,2.07
48,cores,false,static,turnaround,infinite,tree,512,2.08667
48,cores,false,static,turnaround,infinite,critical,256,2.07333
48,cores,false,static,turnaround,infinite,critical,512,2.07333
48,cores,false,static,turnaround,infinite,atomic,256,2.07333
48,cores,false,static,turnaround,infinite,atomic,512,2.07
48,cores,false,dynamic,throughput,0,tree,256,2.08
48,cores,false,dynamic,throughput,0,tree,512,2.07667
48,cores,false,dynamic,throughput,0,critical,256,2.09333
48,cores,false,dynamic,throughput,0,critical,512,2.08
48,cores,false,dynamic,throughput,0,atomic,256,2.08
48,cores,false,dynamic,throughput,0,atomic,512,2.08
48,cores,false,dynamic,throughput,200,tree,256,2.07667
48,cores,false,dynamic,throughput,200,tree,512,2.1
48,cores,false,dynamic,throughput,200,critical,256,2.07667
48,cores,false,dynamic,throughput,200,critical,512,2.07333
48,cores,false,dynamic,throughput,200,atomic,256,2.07
48,cores,false,dynamic,throughput,200,atomic,512,2.07333
48,cores,false,dynamic,throughput,infinite,tree,256,2.08667
48,cores,false,dynamic,throughput,infinite,tree,512,2.07
48,cores,false,dynamic,throughput,infinite,critical,256,2.09333
48,cores,false,dynamic,throughput,infinite,critical,512,2.10333
48,cores,false,dynamic,throughput,infinite,atomic,256,2.07
48,cores,false,dynamic,throughput,infinite,atomic,512,2.08333
48,cores,false,dynamic,turnaround,0,tree,256,2.07667
48,cores,false,dynamic,turnaround,0,tree,512,2.08
48,cores,false,dynamic,turnaround,0,critical,256,2.12667
48,cores,false,dynamic,turnaround,0,critical,512,2.07667
48,cores,false,dynamic,turnaround,0,atomic,256,2.09667
48,cores,false,dynamic,turnaround,0,atomic,512,2.1
48,cores,false,dynamic,turnaround,200,tree,256,2.07
48,cores,false,dynamic,turnaround,200,tree,512,2.07333
48,cores,false,dynamic,turnaround,200,critical,256,2.07
48,cores,false,dynamic,turnaround,200,critical,512,2.07667
48,cores,false,dynamic,turnaround,200,atomic,256,2.07333
48,cores,false,dynamic,turnaround,200,atomic,512,2.08
48,cores,false,dynamic,turnaround,infinite,tree,256,2.08667
48,cores,false,dynamic,turnaround,infinite,tree,512,2.14
48,cores,false,dynamic,turnaround,infinite,critical,256,2.08333
48,cores,false,dynamic,turnaround,infinite,critical,512,2.09333
48,cores,false,dynamic,turnaround,infinite,atomic,256,2.10333
48,cores,false,dynamic,turnaround,infinite,atomic,512,2.07
48,cores,false,guided,throughput,0,tree,256,2.08
48,cores,false,guided,throughput,0,tree,512,2.09333
48,cores,false,guided,throughput,0,critical,256,2.08
48,cores,false,guided,throughput,0,critical,512,2.08
48,cores,false,guided,throughput,0,atomic,256,2.07667
48,cores,false,guided,throughput,0,atomic,512,2.07667
48,cores,false,guided,throughput,200,tree,256,2.07333
48,cores,false,guided,throughput,200,tree,512,2.08
48,cores,false,guided,throughput,200,critical,256,2.12667
48,cores,false,guided,throughput,200,critical,512,2.12
