OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
48,cores,false,static,throughput,0,tree,256,10.64
48,cores,false,static,throughput,0,tree,512,10.67667
48,cores,false,static,throughput,0,critical,256,10.71
48,cores,false,static,throughput,0,critical,512,10.86667
48,cores,false,static,throughput,0,atomic,256,10.64
48,cores,false,static,throughput,0,atomic,512,13.87667
48,cores,false,static,throughput,200,tree,256,10.59
48,cores,false,static,throughput,200,tree,512,10.57333
48,cores,false,static,throughput,200,critical,256,10.64333
48,cores,false,static,throughput,200,critical,512,10.69333
48,cores,false,static,throughput,200,atomic,256,10.62667
48,cores,false,static,throughput,200,atomic,512,10.62
48,cores,false,static,throughput,infinite,tree,256,10.67667
48,cores,false,static,throughput,infinite,tree,512,10.72
48,cores,false,static,throughput,infinite,critical,256,10.80667
48,cores,false,static,throughput,infinite,critical,512,10.61667
48,cores,false,static,throughput,infinite,atomic,256,10.72667
48,cores,false,static,throughput,infinite,atomic,512,10.7
48,cores,false,static,turnaround,0,tree,256,10.77
48,cores,false,static,turnaround,0,tree,512,10.9
48,cores,false,static,turnaround,0,critical,256,10.75333
48,cores,false,static,turnaround,0,critical,512,10.67667
48,cores,false,static,turnaround,0,atomic,256,10.71667
48,cores,false,static,turnaround,0,atomic,512,10.74333
48,cores,false,static,turnaround,200,tree,256,10.67333
48,cores,false,static,turnaround,200,tree,512,10.77333
48,cores,false,static,turnaround,200,critical,256,10.61667
48,cores,false,static,turnaround,200,critical,512,10.7
48,cores,false,static,turnaround,200,atomic,256,10.94
48,cores,false,static,turnaround,200,atomic,512,10.64333
48,cores,false,static,turnaround,infinite,tree,256,10.73667
48,cores,false,static,turnaround,infinite,tree,512,10.70333
48,cores,false,static,turnaround,infinite,critical,256,10.69
48,cores,false,static,turnaround,infinite,critical,512,10.86667
48,cores,false,static,turnaround,infinite,atomic,256,10.82333
48,cores,false,static,turnaround,infinite,atomic,512,10.62667
48,cores,false,dynamic,throughput,0,tree,256,10.64667
48,cores,false,dynamic,throughput,0,tree,512,10.93
48,cores,false,dynamic,throughput,0,critical,256,10.60667
48,cores,false,dynamic,throughput,0,critical,512,10.71
48,cores,false,dynamic,throughput,0,atomic,256,11.08
48,cores,false,dynamic,throughput,0,atomic,512,10.69
48,cores,false,dynamic,throughput,200,tree,256,10.63
48,cores,false,dynamic,throughput,200,tree,512,10.72333
48,cores,false,dynamic,throughput,200,critical,256,10.68667
48,cores,false,dynamic,throughput,200,critical,512,10.74
48,cores,false,dynamic,throughput,200,atomic,256,10.92667
48,cores,false,dynamic,throughput,200,atomic,512,10.66667
48,cores,false,dynamic,throughput,infinite,tree,256,10.71667
48,cores,false,dynamic,throughput,infinite,tree,512,10.77667
48,cores,false,dynamic,throughput,infinite,critical,256,10.64667
48,cores,false,dynamic,throughput,infinite,critical,512,10.67667
48,cores,false,dynamic,throughput,infinite,atomic,256,11.05333
48,cores,false,dynamic,throughput,infinite,atomic,512,10.72667
48,cores,false,dynamic,turnaround,0,tree,256,10.71
48,cores,false,dynamic,turnaround,0,tree,512,10.72
48,cores,false,dynamic,turnaround,0,critical,256,10.67333
48,cores,false,dynamic,turnaround,0,critical,512,10.66333
48,cores,false,dynamic,turnaround,0,atomic,256,10.77333
48,cores,false,dynamic,turnaround,0,atomic,512,10.61667
48,cores,false,dynamic,turnaround,200,tree,256,10.64
48,cores,false,dynamic,turnaround,200,tree,512,10.63333
48,cores,false,dynamic,turnaround,200,critical,256,10.75
48,cores,false,dynamic,turnaround,200,critical,512,10.83667
48,cores,false,dynamic,turnaround,200,atomic,256,10.60667
