OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
48,cores,false,static,throughput,0,tree,256,17.06667
48,cores,false,static,throughput,0,tree,512,17.08667
48,cores,false,static,throughput,0,critical,256,17.22333
48,cores,false,static,throughput,0,critical,512,16.91
48,cores,false,static,throughput,0,atomic,256,17.09
48,cores,false,static,throughput,0,atomic,512,17.37
48,cores,false,static,throughput,200,tree,256,17.0
48,cores,false,static,throughput,200,tree,512,17.07333
48,cores,false,static,throughput,200,critical,256,17.11333
48,cores,false,static,throughput,200,critical,512,16.74667
48,cores,false,static,throughput,200,atomic,256,16.65333
48,cores,false,static,throughput,200,atomic,512,17.01
48,cores,false,static,throughput,infinite,tree,256,16.86
48,cores,false,static,throughput,infinite,tree,512,16.80667
48,cores,false,static,throughput,infinite,critical,256,16.94333
48,cores,false,static,throughput,infinite,critical,512,16.68
48,cores,false,static,throughput,infinite,atomic,256,16.80667
48,cores,false,static,throughput,infinite,atomic,512,16.59333
48,cores,false,static,turnaround,0,tree,256,17.18667
48,cores,false,static,turnaround,0,tree,512,17.38333
48,cores,false,static,turnaround,0,critical,256,17.19
48,cores,false,static,turnaround,0,critical,512,16.92667
48,cores,false,static,turnaround,0,atomic,256,17.04
48,cores,false,static,turnaround,0,atomic,512,16.84
48,cores,false,static,turnaround,200,tree,256,16.91
48,cores,false,static,turnaround,200,tree,512,17.04667
48,cores,false,static,turnaround,200,critical,256,16.58667
48,cores,false,static,turnaround,200,critical,512,16.98667
48,cores,false,static,turnaround,200,atomic,256,16.76333
48,cores,false,static,turnaround,200,atomic,512,16.68333
48,cores,false,static,turnaround,infinite,tree,256,16.72667
48,cores,false,static,turnaround,infinite,tree,512,16.92
48,cores,false,static,turnaround,infinite,critical,256,16.87
48,cores,false,static,turnaround,infinite,critical,512,16.94667
48,cores,false,static,turnaround,infinite,atomic,256,16.82
48,cores,false,static,turnaround,infinite,atomic,512,16.62333
48,cores,false,dynamic,throughput,0,tree,256,16.77
48,cores,false,dynamic,throughput,0,tree,512,17.03
48,cores,false,dynamic,throughput,0,critical,256,17.49333
48,cores,false,dynamic,throughput,0,critical,512,17.06
48,cores,false,dynamic,throughput,0,atomic,256,17.64
48,cores,false,dynamic,throughput,0,atomic,512,16.82667
48,cores,false,dynamic,throughput,200,tree,256,16.83333
48,cores,false,dynamic,throughput,200,tree,512,16.69333
48,cores,false,dynamic,throughput,200,critical,256,16.64333
48,cores,false,dynamic,throughput,200,critical,512,16.86333
48,cores,false,dynamic,throughput,200,atomic,256,17.06333
48,cores,false,dynamic,throughput,200,atomic,512,16.90333
48,cores,false,dynamic,throughput,infinite,tree,256,16.96333
48,cores,false,dynamic,throughput,infinite,tree,512,16.55
48,cores,false,dynamic,throughput,infinite,critical,256,16.79667
48,cores,false,dynamic,throughput,infinite,critical,512,16.6
48,cores,false,dynamic,throughput,infinite,atomic,256,16.72333
48,cores,false,dynamic,throughput,infinite,atomic,512,17.28667
48,cores,false,dynamic,turnaround,0,tree,256,16.83
48,cores,false,dynamic,turnaround,0,tree,512,17.26667
48,cores,false,dynamic,turnaround,0,critical,256,17.01333
48,cores,false,dynamic,turnaround,0,critical,512,16.86333
48,cores,false,dynamic,turnaround,0,atomic,256,16.85
48,cores,false,dynamic,turnaround,0,atomic,512,16.95667
48,cores,false,dynamic,turnaround,200,tree,256,17.36
48,cores,false,dynamic,turnaround,200,tree,512,17.03
48,cores,false,dynamic,turnaround,200,critical,256,16.68667
48,cores,false,dynamic,turnaround,200,critical,512,16.85333
48,cores,false,dynamic,turnaround,200,atomic,256,16.86333
48,cores,false,dynamic,turnaround,200,atomic,512,16.87
48,cores,false,dynamic,turnaround,infinite,tree,256,17.23667
48,cores,false,dynamic,turnaround,infinite,tree,512,16.77667
48,cores,false,dynamic,turnaround,infinite,critical,256,17.06667
48,cores,false,dynamic,turnaround,infinite,critical,512,16.56667
48,cores,false,dynamic,turnaround,infinite,atomic,256,16.96333
48,cores,false,dynamic,turnaround,infinite,atomic,512,16.65667
48,cores,false,guided,throughput,0,tree,256,16.78333
48,cores,false,guided,throughput,0,tree,512,17.14333
48,cores,false,guided,throughput,0,critical,256,17.10667
48,cores,false,guided,throughput,0,critical,512,17.3
48,cores,false,guided,throughput,0,atomic,256,17.24667
48,cores,false,guided,throughput,0,atomic,512,16.84333
48,cores,false,guided,throughput,200,tree,256,16.65
48,cores,false,guided,throughput,200,tree,512,16.63333
48,cores,false,guided,throughput,200,critical,256,16.71667
48,cores,false,guided,throughput,200,critical,512,17.38667
48,cores,false,guided,throughput,200,atomic,256,16.70667
48,cores,false,guided,throughput,200,atomic,512,17.04667
48,cores,false,guided,throughput,infinite,tree,256,17.33333
48,cores,false,guided,throughput,infinite,tree,512,16.65
48,cores,false,guided,throughput,infinite,critical,256,16.76333
48,cores,false,guided,throughput,infinite,critical,512,16.77667
48,cores,false,guided,throughput,infinite,atomic,256,17.01333
48,cores,false,guided,throughput,infinite,atomic,512,17.04333
48,cores,false,guided,turnaround,0,tree,256,16.94
