OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
48,cores,false,static,throughput,0,tree,256,75.77667
48,cores,false,static,throughput,0,tree,512,77.59333
48,cores,false,static,throughput,0,critical,256,76.18667
48,cores,false,static,throughput,0,critical,512,75.68333
48,cores,false,static,throughput,0,atomic,256,76.86
48,cores,false,static,throughput,0,atomic,512,77.26667
48,cores,false,static,throughput,200,tree,256,76.67333
48,cores,false,static,throughput,200,tree,512,75.94667
48,cores,false,static,throughput,200,critical,256,76.34667
48,cores,false,static,throughput,200,critical,512,76.46667
48,cores,false,static,throughput,200,atomic,256,76.55
48,cores,false,static,throughput,200,atomic,512,75.86667
48,cores,false,static,throughput,infinite,tree,256,76.10667
48,cores,false,static,throughput,infinite,tree,512,76.07333
48,cores,false,static,throughput,infinite,critical,256,76.33333
48,cores,false,static,throughput,infinite,critical,512,75.66333
48,cores,false,static,throughput,infinite,atomic,256,76.32333
48,cores,false,static,throughput,infinite,atomic,512,77.58333
48,cores,false,static,turnaround,0,tree,256,75.55333
48,cores,false,static,turnaround,0,tree,512,76.53
48,cores,false,static,turnaround,0,critical,256,76.34667
48,cores,false,static,turnaround,0,critical,512,75.91667
48,cores,false,static,turnaround,0,atomic,256,77.00333
48,cores,false,static,turnaround,0,atomic,512,76.26667
48,cores,false,static,turnaround,200,tree,256,75.71333
48,cores,false,static,turnaround,200,tree,512,76.21333
48,cores,false,static,turnaround,200,critical,256,76.88333
48,cores,false,static,turnaround,200,critical,512,76.38667
48,cores,false,static,turnaround,200,atomic,256,77.84
48,cores,false,static,turnaround,200,atomic,512,76.68667
48,cores,false,static,turnaround,infinite,tree,256,77.27667
48,cores,false,static,turnaround,infinite,tree,512,76.18333
48,cores,false,static,turnaround,infinite,critical,256,76.28667
48,cores,false,static,turnaround,infinite,critical,512,77.04
48,cores,false,static,turnaround,infinite,atomic,256,76.9
48,cores,false,static,turnaround,infinite,atomic,512,75.96333
48,cores,false,dynamic,throughput,0,tree,256,76.08
48,cores,false,dynamic,throughput,0,tree,512,75.72
48,cores,false,dynamic,throughput,0,critical,256,84.30333
48,cores,false,dynamic,throughput,0,critical,512,76.92333
48,cores,false,dynamic,throughput,0,atomic,256,76.54
48,cores,false,dynamic,throughput,0,atomic,512,76.47333
48,cores,false,dynamic,throughput,200,tree,256,76.48667
48,cores,false,dynamic,throughput,200,tree,512,77.0
48,cores,false,dynamic,throughput,200,critical,256,76.42
48,cores,false,dynamic,throughput,200,critical,512,76.52667
48,cores,false,dynamic,throughput,200,atomic,256,83.74
48,cores,false,dynamic,throughput,200,atomic,512,76.91
48,cores,false,dynamic,throughput,infinite,tree,256,76.15667
48,cores,false,dynamic,throughput,infinite,tree,512,75.66333
48,cores,false,dynamic,throughput,infinite,critical,256,76.56333
48,cores,false,dynamic,throughput,infinite,critical,512,83.00333
48,cores,false,dynamic,throughput,infinite,atomic,256,76.79
48,cores,false,dynamic,throughput,infinite,atomic,512,75.94
48,cores,false,dynamic,turnaround,0,tree,256,76.55667
48,cores,false,dynamic,turnaround,0,tree,512,77.18667
48,cores,false,dynamic,turnaround,0,critical,256,76.89
48,cores,false,dynamic,turnaround,0,critical,512,76.71333
48,cores,false,dynamic,turnaround,0,atomic,256,76.40333
48,cores,false,dynamic,turnaround,0,atomic,512,77.29
48,cores,false,dynamic,turnaround,200,tree,256,75.90333
48,cores,false,dynamic,turnaround,200,tree,512,75.67
48,cores,false,dynamic,turnaround,200,critical,256,76.76
48,cores,false,dynamic,turnaround,200,critical,512,76.81
48,cores,false,dynamic,turnaround,200,atomic,256,75.74667
48,cores,false,dynamic,turnaround,200,atomic,512,76.90333
48,cores,false,dynamic,turnaround,infinite,tree,256,76.30333
48,cores,false,dynamic,turnaround,infinite,tree,512,76.80333
48,cores,false,dynamic,turnaround,infinite,critical,256,75.59
48,cores,false,dynamic,turnaround,infinite,critical,512,77.30667
48,cores,false,dynamic,turnaround,infinite,atomic,256,76.82667
48,cores,false,dynamic,turnaround,infinite,atomic,512,76.25333
48,cores,false,guided,throughput,0,tree,256,76.78
48,cores,false,guided,throughput,0,tree,512,76.37667
48,cores,false,guided,throughput,0,critical,256,75.89667
48,cores,false,guided,throughput,0,critical,512,77.09667
48,cores,false,guided,throughput,0,atomic,256,76.79333
48,cores,false,guided,throughput,0,atomic,512,77.45667
48,cores,false,guided,throughput,200,tree,256,76.10667
48,cores,false,guided,throughput,200,tree,512,76.14333
48,cores,false,guided,throughput,200,critical,256,77.34667
48,cores,false,guided,throughput,200,critical,512,75.62667
48,cores,false,guided,throughput,200,atomic,256,75.12
48,cores,false,guided,throughput,200,atomic,512,77.31667
48,cores,false,guided,throughput,infinite,tree,256,76.47
48,cores,false,guided,throughput,infinite,tree,512,75.46667
48,cores,false,guided,throughput,infinite,critical,256,76.20667
48,cores,false,guided,throughput,infinite,critical,512,76.14333
48,cores,false,guided,throughput,infinite,atomic,256,75.48333
48,cores,false,guided,throughput,infinite,atomic,512,76.33333
48,cores,false,guided,turnaround,0,tree,256,76.76667
48,cores,false,guided,turnaround,0,tree,512,77.24
48,cores,false,guided,turnaround,0,critical,256,77.00333
48,cores,false,guided,turnaround,0,critical,512,76.10333
