OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
48,cores,false,static,throughput,0,tree,256,0.43667
48,cores,false,static,throughput,0,tree,512,0.47
48,cores,false,static,throughput,0,critical,256,0.47
48,cores,false,static,throughput,0,critical,512,0.53333
48,cores,false,static,throughput,0,atomic,256,0.43667
48,cores,false,static,throughput,0,atomic,512,0.43667
48,cores,false,static,throughput,200,tree,256,0.29333
48,cores,false,static,throughput,200,tree,512,0.48
48,cores,false,static,throughput,200,critical,256,3.11667
48,cores,false,static,throughput,200,critical,512,0.29
48,cores,false,static,throughput,200,atomic,256,0.29333
48,cores,false,static,throughput,200,atomic,512,0.29333
48,cores,false,static,throughput,infinite,tree,256,0.40667
48,cores,false,static,throughput,infinite,tree,512,0.3
48,cores,false,static,throughput,infinite,critical,256,0.29667
48,cores,false,static,throughput,infinite,critical,512,0.29667
48,cores,false,static,throughput,infinite,atomic,256,0.29667
48,cores,false,static,throughput,infinite,atomic,512,0.29667
48,cores,false,static,turnaround,0,tree,256,0.43667
48,cores,false,static,turnaround,0,tree,512,0.43667
48,cores,false,static,turnaround,0,critical,256,0.46333
48,cores,false,static,turnaround,0,critical,512,0.43333
48,cores,false,static,turnaround,0,atomic,256,0.43333
48,cores,false,static,turnaround,0,atomic,512,0.44
48,cores,false,static,turnaround,200,tree,256,0.29
48,cores,false,static,turnaround,200,tree,512,0.29
48,cores,false,static,turnaround,200,critical,256,0.29
48,cores,false,static,turnaround,200,critical,512,0.29
48,cores,false,static,turnaround,200,atomic,256,0.29333
48,cores,false,static,turnaround,200,atomic,512,0.29333
48,cores,false,static,turnaround,infinite,tree,256,0.33333
48,cores,false,static,turnaround,infinite,tree,512,0.29667
48,cores,false,static,turnaround,infinite,critical,256,0.29667
48,cores,false,static,turnaround,infinite,critical,512,0.33333
48,cores,false,static,turnaround,infinite,atomic,256,0.29667
48,cores,false,static,turnaround,infinite,atomic,512,0.35667
48,cores,false,dynamic,throughput,0,tree,256,0.43333
48,cores,false,dynamic,throughput,0,tree,512,0.44333
48,cores,false,dynamic,throughput,0,critical,256,0.43333
48,cores,false,dynamic,throughput,0,critical,512,0.58
48,cores,false,dynamic,throughput,0,atomic,256,0.44
48,cores,false,dynamic,throughput,0,atomic,512,0.46
48,cores,false,dynamic,throughput,200,tree,256,0.29333
48,cores,false,dynamic,throughput,200,tree,512,0.29333
48,cores,false,dynamic,throughput,200,critical,256,0.33
48,cores,false,dynamic,throughput,200,critical,512,0.29333
48,cores,false,dynamic,throughput,200,atomic,256,0.29333
48,cores,false,dynamic,throughput,200,atomic,512,0.29333
48,cores,false,dynamic,throughput,infinite,tree,256,0.29667
48,cores,false,dynamic,throughput,infinite,tree,512,0.29667
48,cores,false,dynamic,throughput,infinite,critical,256,0.38667
48,cores,false,dynamic,throughput,infinite,critical,512,0.29667
