OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
48,cores,false,static,throughput,0,tree,256,2.13667
48,cores,false,static,throughput,0,tree,512,2.17333
48,cores,false,static,throughput,0,critical,256,2.10333
48,cores,false,static,throughput,0,critical,512,2.14
48,cores,false,static,throughput,0,atomic,256,2.28
48,cores,false,static,throughput,0,atomic,512,2.11
48,cores,false,static,throughput,200,tree,256,2.17
48,cores,false,static,throughput,200,tree,512,1.95667
48,cores,false,static,throughput,200,critical,256,1.94667
48,cores,false,static,throughput,200,critical,512,1.96667
48,cores,false,static,throughput,200,atomic,256,1.97333
48,cores,false,static,throughput,200,atomic,512,1.95
48,cores,false,static,throughput,infinite,tree,256,1.98
48,cores,false,static,throughput,infinite,tree,512,2.08333
48,cores,false,static,throughput,infinite,critical,256,2.01333
48,cores,false,static,throughput,infinite,critical,512,2.00667
48,cores,false,static,throughput,infinite,atomic,256,2.09333
48,cores,false,static,throughput,infinite,atomic,512,2.31
48,cores,false,static,turnaround,0,tree,256,2.23
48,cores,false,static,turnaround,0,tree,512,2.24
48,cores,false,static,turnaround,0,critical,256,2.25667
48,cores,false,static,turnaround,0,critical,512,2.26
48,cores,false,static,turnaround,0,atomic,256,2.24333
48,cores,false,static,turnaround,0,atomic,512,2.26333
48,cores,false,static,turnaround,200,tree,256,2.11
48,cores,false,static,turnaround,200,tree,512,2.03333
48,cores,false,static,turnaround,200,critical,256,2.01333
48,cores,false,static,turnaround,200,critical,512,2.01
48,cores,false,static,turnaround,200,atomic,256,1.94
48,cores,false,static,turnaround,200,atomic,512,1.96
48,cores,false,static,turnaround,infinite,tree,256,2.06
48,cores,false,static,turnaround,infinite,tree,512,1.94667
48,cores,false,static,turnaround,infinite,critical,256,1.98333
48,cores,false,static,turnaround,infinite,critical,512,2.14667
48,cores,false,static,turnaround,infinite,atomic,256,1.94667
48,cores,false,static,turnaround,infinite,atomic,512,2.14
48,cores,false,dynamic,throughput,0,tree,256,2.13667
48,cores,false,dynamic,throughput,0,tree,512,2.16667
48,cores,false,dynamic,throughput,0,critical,256,2.21
48,cores,false,dynamic,throughput,0,critical,512,2.13333
48,cores,false,dynamic,throughput,0,atomic,256,2.10667
48,cores,false,dynamic,throughput,0,atomic,512,2.10667
48,cores,false,dynamic,throughput,200,tree,256,1.94667
48,cores,false,dynamic,throughput,200,tree,512,1.97667
48,cores,false,dynamic,throughput,200,critical,256,2.07
48,cores,false,dynamic,throughput,200,critical,512,1.94
