OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
48,cores,false,static,throughput,0,tree,256,0.39264
48,cores,false,static,throughput,0,tree,512,0.40634
48,cores,false,static,throughput,0,critical,256,0.3912
48,cores,false,static,throughput,0,critical,512,0.39893
48,cores,false,static,throughput,0,atomic,256,0.4006
48,cores,false,static,throughput,0,atomic,512,0.40328
48,cores,false,static,throughput,200,tree,256,0.39782
48,cores,false,static,throughput,200,tree,512,0.42575
48,cores,false,static,throughput,200,critical,256,0.40268
48,cores,false,static,throughput,200,critical,512,0.39261
48,cores,false,static,throughput,200,atomic,256,0.39998
48,cores,false,static,throughput,200,atomic,512,0.39973
48,cores,false,static,throughput,infinite,tree,256,0.40154
48,cores,false,static,throughput,infinite,tree,512,0.39555
48,cores,false,static,throughput,infinite,critical,256,0.39321
48,cores,false,static,throughput,infinite,critical,512,0.39204
48,cores,false,static,throughput,infinite,atomic,256,0.40037
48,cores,false,static,throughput,infinite,atomic,512,0.40392
48,cores,false,static,turnaround,0,tree,256,0.39407
48,cores,false,static,turnaround,0,tree,512,0.38904
48,cores,false,static,turnaround,0,critical,256,0.38653
48,cores,false,static,turnaround,0,critical,512,0.3958
48,cores,false,static,turnaround,0,atomic,256,0.39546
48,cores,false,static,turnaround,0,atomic,512,0.3882
48,cores,false,static,turnaround,200,tree,256,0.42938
48,cores,false,static,turnaround,200,tree,512,0.39649
48,cores,false,static,turnaround,200,critical,256,0.38559
48,cores,false,static,turnaround,200,critical,512,0.40342
48,cores,false,static,turnaround,200,atomic,256,0.39035
48,cores,false,static,turnaround,200,atomic,512,0.3923
48,cores,false,static,turnaround,infinite,tree,256,0.38933
48,cores,false,static,turnaround,infinite,tree,512,0.39589
48,cores,false,static,turnaround,infinite,critical,256,0.40054
48,cores,false,static,turnaround,infinite,critical,512,0.40165
48,cores,false,static,turnaround,infinite,atomic,256,0.38803
48,cores,false,static,turnaround,infinite,atomic,512,0.39755
48,cores,false,dynamic,throughput,0,tree,256,0.40078
48,cores,false,dynamic,throughput,0,tree,512,0.38905
48,cores,false,dynamic,throughput,0,critical,256,0.41169
48,cores,false,dynamic,throughput,0,critical,512,0.38837
48,cores,false,dynamic,throughput,0,atomic,256,0.39731
48,cores,false,dynamic,throughput,0,atomic,512,0.40676
48,cores,false,dynamic,throughput,200,tree,256,0.39319
48,cores,false,dynamic,throughput,200,tree,512,0.39192
48,cores,false,dynamic,throughput,200,critical,256,0.40372
48,cores,false,dynamic,throughput,200,critical,512,0.41718
48,cores,false,dynamic,throughput,200,atomic,256,0.39363
48,cores,false,dynamic,throughput,200,atomic,512,0.39854
48,cores,false,dynamic,throughput,infinite,tree,256,0.39585
48,cores,false,dynamic,throughput,infinite,tree,512,0.39428
48,cores,false,dynamic,throughput,infinite,critical,256,0.40083
48,cores,false,dynamic,throughput,infinite,critical,512,0.40072
48,cores,false,dynamic,throughput,infinite,atomic,256,0.50046
48,cores,false,dynamic,throughput,infinite,atomic,512,0.40277
48,cores,false,dynamic,turnaround,0,tree,256,0.39288
48,cores,false,dynamic,turnaround,0,tree,512,0.39357
48,cores,false,dynamic,turnaround,0,critical,256,0.39056
48,cores,false,dynamic,turnaround,0,critical,512,0.39595
48,cores,false,dynamic,turnaround,0,atomic,256,0.39678
48,cores,false,dynamic,turnaround,0,atomic,512,0.39817
48,cores,false,dynamic,turnaround,200,tree,256,0.41378
48,cores,false,dynamic,turnaround,200,tree,512,0.39849
48,cores,false,dynamic,turnaround,200,critical,256,0.40655
48,cores,false,dynamic,turnaround,200,critical,512,0.39737
48,cores,false,dynamic,turnaround,200,atomic,256,0.39185
48,cores,false,dynamic,turnaround,200,atomic,512,0.39979
48,cores,false,dynamic,turnaround,infinite,tree,256,0.39092
48,cores,false,dynamic,turnaround,infinite,tree,512,0.40542
48,cores,false,dynamic,turnaround,infinite,critical,256,0.39639
48,cores,false,dynamic,turnaround,infinite,critical,512,0.39801
48,cores,false,dynamic,turnaround,infinite,atomic,256,0.39752
48,cores,false,dynamic,turnaround,infinite,atomic,512,0.39253
48,cores,false,guided,throughput,0,tree,256,0.3971
48,cores,false,guided,throughput,0,tree,512,0.39199
48,cores,false,guided,throughput,0,critical,256,0.39994
48,cores,false,guided,throughput,0,critical,512,0.38623
48,cores,false,guided,throughput,0,atomic,256,0.39203
48,cores,false,guided,throughput,0,atomic,512,0.4051
48,cores,false,guided,throughput,200,tree,256,0.39022
48,cores,false,guided,throughput,200,tree,512,0.3948
48,cores,false,guided,throughput,200,critical,256,0.4006
48,cores,false,guided,throughput,200,critical,512,0.39053
48,cores,false,guided,throughput,200,atomic,256,0.39795
48,cores,false,guided,throughput,200,atomic,512,0.39475
48,cores,false,guided,throughput,infinite,tree,256,0.42223
48,cores,false,guided,throughput,infinite,tree,512,0.41076
48,cores,false,guided,throughput,infinite,critical,256,0.39987
48,cores,false,guided,throughput,infinite,critical,512,0.40244
48,cores,false,guided,throughput,infinite,atomic,256,0.39278
48,cores,false,guided,throughput,infinite,atomic,512,0.39932
48,cores,false,guided,turnaround,0,tree,256,0.40439
48,cores,false,guided,turnaround,0,tree,512,0.39937
48,cores,false,guided,turnaround,0,critical,256,0.39623
48,cores,false,guided,turnaround,0,critical,512,0.39506
48,cores,false,guided,turnaround,0,atomic,256,0.40072
48,cores,false,guided,turnaround,0,atomic,512,0.38989
48,cores,false,guided,turnaround,200,tree,256,0.39021
48,cores,false,guided,turnaround,200,tree,512,0.39635
48,cores,false,guided,turnaround,200,critical,256,0.39603
48,cores,false,guided,turnaround,200,critical,512,0.40203
48,cores,false,guided,turnaround,200,atomic,256,0.40208
48,cores,false,guided,turnaround,200,atomic,512,0.39159
48,cores,false,guided,turnaround,infinite,tree,256,0.39796
48,cores,false,guided,turnaround,infinite,tree,512,0.39378
48,cores,false,guided,turnaround,infinite,critical,256,0.3921
48,cores,false,guided,turnaround,infinite,critical,512,0.40233
48,cores,false,guided,turnaround,infinite,atomic,256,0.39288
48,cores,false,guided,turnaround,infinite,atomic,512,0.39487
48,cores,false,auto,throughput,0,tree,256,0.39166
48,cores,false,auto,throughput,0,tree,512,0.40192
48,cores,false,auto,throughput,0,critical,256,0.39392
48,cores,false,auto,throughput,0,critical,512,0.39847
48,cores,false,auto,throughput,0,atomic,256,0.39425
48,cores,false,auto,throughput,0,atomic,512,0.40011
48,cores,false,auto,throughput,200,tree,256,0.39542
48,cores,false,auto,throughput,200,tree,512,0.39567
48,cores,false,auto,throughput,200,critical,256,0.39118
48,cores,false,auto,throughput,200,critical,512,0.45079
48,cores,false,auto,throughput,200,atomic,256,0.39872
48,cores,false,auto,throughput,200,atomic,512,0.41312
48,cores,false,auto,throughput,infinite,tree,256,0.39619
48,cores,false,auto,throughput,infinite,tree,512,0.3951
48,cores,false,auto,throughput,infinite,critical,256,0.39091
48,cores,false,auto,throughput,infinite,critical,512,0.39691
48,cores,false,auto,throughput,infinite,atomic,256,0.39306
48,cores,false,auto,throughput,infinite,atomic,512,0.39294
