OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
48,cores,false,static,throughput,0,tree,256,2.38844
48,cores,false,static,throughput,0,tree,512,2.43482
48,cores,false,static,throughput,0,critical,256,2.38845
48,cores,false,static,throughput,0,critical,512,2.47302
48,cores,false,static,throughput,0,atomic,256,2.55044
48,cores,false,static,throughput,0,atomic,512,2.49988
48,cores,false,static,throughput,200,tree,256,2.4916
48,cores,false,static,throughput,200,tree,512,2.4074
48,cores,false,static,throughput,200,critical,256,2.42747
48,cores,false,static,throughput,200,critical,512,2.38921
48,cores,false,static,throughput,200,atomic,256,2.37567
48,cores,false,static,throughput,200,atomic,512,2.44632
48,cores,false,static,throughput,infinite,tree,256,2.40114
48,cores,false,static,throughput,infinite,tree,512,2.40324
48,cores,false,static,throughput,infinite,critical,256,2.40082
48,cores,false,static,throughput,infinite,critical,512,2.39182
48,cores,false,static,throughput,infinite,atomic,256,2.42612
48,cores,false,static,throughput,infinite,atomic,512,2.3907
48,cores,false,static,turnaround,0,tree,256,1.13516
48,cores,false,static,turnaround,0,tree,512,1.20675
48,cores,false,static,turnaround,0,critical,256,1.15752
48,cores,false,static,turnaround,0,critical,512,1.13271
48,cores,false,static,turnaround,0,atomic,256,1.13171
48,cores,false,static,turnaround,0,atomic,512,1.19156
48,cores,false,static,turnaround,200,tree,256,1.13713
48,cores,false,static,turnaround,200,tree,512,1.13297
48,cores,false,static,turnaround,200,critical,256,1.14197
48,cores,false,static,turnaround,200,critical,512,1.14402
48,cores,false,static,turnaround,200,atomic,256,1.1584
48,cores,false,static,turnaround,200,atomic,512,1.13466
48,cores,false,static,turnaround,infinite,tree,256,1.12893
48,cores,false,static,turnaround,infinite,tree,512,1.16627
48,cores,false,static,turnaround,infinite,critical,256,1.16606
48,cores,false,static,turnaround,infinite,critical,512,1.13767
48,cores,false,static,turnaround,infinite,atomic,256,1.13594
48,cores,false,static,turnaround,infinite,atomic,512,1.13798
48,cores,false,dynamic,throughput,0,tree,256,2.39997
48,cores,false,dynamic,throughput,0,tree,512,2.41201
48,cores,false,dynamic,throughput,0,critical,256,2.37528
48,cores,false,dynamic,throughput,0,critical,512,2.39337
48,cores,false,dynamic,throughput,0,atomic,256,2.40037
48,cores,false,dynamic,throughput,0,atomic,512,2.41429
48,cores,false,dynamic,throughput,200,tree,256,2.41457
48,cores,false,dynamic,throughput,200,tree,512,2.39685
48,cores,false,dynamic,throughput,200,critical,256,2.39106
48,cores,false,dynamic,throughput,200,critical,512,2.45839
48,cores,false,dynamic,throughput,200,atomic,256,2.3745
48,cores,false,dynamic,throughput,200,atomic,512,2.41152
48,cores,false,dynamic,throughput,infinite,tree,256,2.3891
48,cores,false,dynamic,throughput,infinite,tree,512,2.41859
48,cores,false,dynamic,throughput,infinite,critical,256,2.40457
48,cores,false,dynamic,throughput,infinite,critical,512,2.40763
48,cores,false,dynamic,throughput,infinite,atomic,256,2.37655
48,cores,false,dynamic,throughput,infinite,atomic,512,2.51469
48,cores,false,dynamic,turnaround,0,tree,256,1.13814
48,cores,false,dynamic,turnaround,0,tree,512,1.13649
48,cores,false,dynamic,turnaround,0,critical,256,1.15017
48,cores,false,dynamic,turnaround,0,critical,512,1.13912
48,cores,false,dynamic,turnaround,0,atomic,256,1.1485
48,cores,false,dynamic,turnaround,0,atomic,512,1.15434
48,cores,false,dynamic,turnaround,200,tree,256,1.1502
48,cores,false,dynamic,turnaround,200,tree,512,1.16286
48,cores,false,dynamic,turnaround,200,critical,256,1.14465
48,cores,false,dynamic,turnaround,200,critical,512,1.13976
48,cores,false,dynamic,turnaround,200,atomic,256,1.18655
48,cores,false,dynamic,turnaround,200,atomic,512,1.16706
48,cores,false,dynamic,turnaround,infinite,tree,256,1.13956
48,cores,false,dynamic,turnaround,infinite,tree,512,1.13882
48,cores,false,dynamic,turnaround,infinite,critical,256,1.18894
48,cores,false,dynamic,turnaround,infinite,critical,512,1.14592
48,cores,false,dynamic,turnaround,infinite,atomic,256,1.13705
48,cores,false,dynamic,turnaround,infinite,atomic,512,1.1563
48,cores,false,guided,throughput,0,tree,256,2.38202
48,cores,false,guided,throughput,0,tree,512,2.41745
48,cores,false,guided,throughput,0,critical,256,2.46344
48,cores,false,guided,throughput,0,critical,512,2.45145
48,cores,false,guided,throughput,0,atomic,256,2.39104
48,cores,false,guided,throughput,0,atomic,512,2.39419
48,cores,false,guided,throughput,200,tree,256,2.46324
48,cores,false,guided,throughput,200,tree,512,2.44455
48,cores,false,guided,throughput,200,critical,256,2.40171
48,cores,false,guided,throughput,200,critical,512,2.39691
48,cores,false,guided,throughput,200,atomic,256,2.41465
48,cores,false,guided,throughput,200,atomic,512,2.46788
48,cores,false,guided,throughput,infinite,tree,256,2.4096
48,cores,false,guided,throughput,infinite,tree,512,2.46533
48,cores,false,guided,throughput,infinite,critical,256,2.44409
48,cores,false,guided,throughput,infinite,critical,512,2.43197
48,cores,false,guided,throughput,infinite,atomic,256,2.38536
48,cores,false,guided,throughput,infinite,atomic,512,2.38654
48,cores,false,guided,turnaround,0,tree,256,1.13038
48,cores,false,guided,turnaround,0,tree,512,1.13413
48,cores,false,guided,turnaround,0,critical,256,1.20848
48,cores,false,guided,turnaround,0,critical,512,1.13474
48,cores,false,guided,turnaround,0,atomic,256,1.15034
48,cores,false,guided,turnaround,0,atomic,512,1.13592
48,cores,false,guided,turnaround,200,tree,256,1.18095
48,cores,false,guided,turnaround,200,tree,512,1.15073
48,cores,false,guided,turnaround,200,critical,256,1.38484
48,cores,false,guided,turnaround,200,critical,512,1.13379
48,cores,false,guided,turnaround,200,atomic,256,1.17726
48,cores,false,guided,turnaround,200,atomic,512,1.13608
48,cores,false,guided,turnaround,infinite,tree,256,1.1385
48,cores,false,guided,turnaround,infinite,tree,512,1.13654
48,cores,false,guided,turnaround,infinite,critical,256,1.15529
48,cores,false,guided,turnaround,infinite,critical,512,1.13864
48,cores,false,guided,turnaround,infinite,atomic,256,1.14585
48,cores,false,guided,turnaround,infinite,atomic,512,1.13504
48,cores,false,auto,throughput,0,tree,256,2.44215
48,cores,false,auto,throughput,0,tree,512,2.39662
48,cores,false,auto,throughput,0,critical,256,2.44462
48,cores,false,auto,throughput,0,critical,512,2.4017
48,cores,false,auto,throughput,0,atomic,256,2.49404
48,cores,false,auto,throughput,0,atomic,512,2.40218
48,cores,false,auto,throughput,200,tree,256,2.40505
48,cores,false,auto,throughput,200,tree,512,2.39467
48,cores,false,auto,throughput,200,critical,256,2.39552
48,cores,false,auto,throughput,200,critical,512,2.39727
48,cores,false,auto,throughput,200,atomic,256,2.40248
48,cores,false,auto,throughput,200,atomic,512,2.39516
48,cores,false,auto,throughput,infinite,tree,256,2.41426
48,cores,false,auto,throughput,infinite,tree,512,2.39209
48,cores,false,auto,throughput,infinite,critical,256,2.44184
48,cores,false,auto,throughput,infinite,critical,512,2.39663
48,cores,false,auto,throughput,infinite,atomic,256,2.37043
48,cores,false,auto,throughput,infinite,atomic,512,2.43893
48,cores,false,auto,turnaround,0,tree,256,1.13122
48,cores,false,auto,turnaround,0,tree,512,1.13154
48,cores,false,auto,turnaround,0,critical,256,1.12935
48,cores,false,auto,turnaround,0,critical,512,1.16322
48,cores,false,auto,turnaround,0,atomic,256,1.13424
48,cores,false,auto,turnaround,0,atomic,512,1.13535
48,cores,false,auto,turnaround,200,tree,256,1.12681
48,cores,false,auto,turnaround,200,tree,512,1.1718
48,cores,false,auto,turnaround,200,critical,256,1.13199
48,cores,false,auto,turnaround,200,critical,512,1.13515
48,cores,false,auto,turnaround,200,atomic,256,1.18593
48,cores,false,auto,turnaround,200,atomic,512,1.13735
48,cores,false,auto,turnaround,infinite,tree,256,1.13449
48,cores,false,auto,turnaround,infinite,tree,512,1.13855
48,cores,false,auto,turnaround,infinite,critical,256,1.15174
48,cores,false,auto,turnaround,infinite,critical,512,1.23707
48,cores,false,auto,turnaround,infinite,atomic,256,1.13509
48,cores,false,auto,turnaround,infinite,atomic,512,1.18278
48,cores,true,static,throughput,0,tree,256,2.39648
48,cores,true,static,throughput,0,tree,512,2.40423
48,cores,true,static,throughput,0,critical,256,2.38382
48,cores,true,static,throughput,0,critical,512,2.42928
48,cores,true,static,throughput,0,atomic,256,2.38127
48,cores,true,static,throughput,0,atomic,512,2.45315
48,cores,true,static,throughput,200,tree,256,2.39615
48,cores,true,static,throughput,200,tree,512,2.42459
48,cores,true,static,throughput,200,critical,256,2.43582
48,cores,true,static,throughput,200,critical,512,2.41851
48,cores,true,static,throughput,200,atomic,256,2.40435
48,cores,true,static,throughput,200,atomic,512,2.4672
