OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
8,numa_domains,false,static,throughput,0,tree,256,16.55
8,numa_domains,false,static,throughput,0,tree,512,16.424
8,numa_domains,false,static,throughput,0,critical,256,16.53
8,numa_domains,false,static,throughput,0,critical,512,16.416
8,numa_domains,false,static,throughput,0,atomic,256,16.476
8,numa_domains,false,static,throughput,0,atomic,512,16.452
8,numa_domains,false,static,throughput,200,tree,256,13.32
8,numa_domains,false,static,throughput,200,tree,512,13.332
8,numa_domains,false,static,throughput,200,critical,256,13.322
8,numa_domains,false,static,throughput,200,critical,512,13.332
8,numa_domains,false,static,throughput,200,atomic,256,13.322
8,numa_domains,false,static,throughput,200,atomic,512,13.326
8,numa_domains,false,static,throughput,infinite,tree,256,13.332
8,numa_domains,false,static,throughput,infinite,tree,512,13.326
8,numa_domains,false,static,throughput,infinite,critical,256,13.32
8,numa_domains,false,static,throughput,infinite,critical,512,13.33
8,numa_domains,false,static,throughput,infinite,atomic,256,13.312
8,numa_domains,false,static,throughput,infinite,atomic,512,13.342
8,numa_domains,false,static,turnaround,0,tree,256,16.562
8,numa_domains,false,static,turnaround,0,tree,512,16.416
8,numa_domains,false,static,turnaround,0,critical,256,16.546
8,numa_domains,false,static,turnaround,0,critical,512,16.504
8,numa_domains,false,static,turnaround,0,atomic,256,16.55
8,numa_domains,false,static,turnaround,0,atomic,512,16.54
8,numa_domains,false,static,turnaround,200,tree,256,13.32
8,numa_domains,false,static,turnaround,200,tree,512,13.328
8,numa_domains,false,static,turnaround,200,critical,256,13.332
8,numa_domains,false,static,turnaround,200,critical,512,13.32
8,numa_domains,false,static,turnaround,200,atomic,256,13.308
8,numa_domains,false,static,turnaround,200,atomic,512,13.322
8,numa_domains,false,static,turnaround,infinite,tree,256,13.324
8,numa_domains,false,static,turnaround,infinite,tree,512,13.332
8,numa_domains,false,static,turnaround,infinite,critical,256,13.33
8,numa_domains,false,static,turnaround,infinite,critical,512,13.334
8,numa_domains,false,static,turnaround,infinite,atomic,256,13.324
8,numa_domains,false,static,turnaround,infinite,atomic,512,13.334
8,numa_domains,false,dynamic,throughput,0,tree,256,16.49
8,numa_domains,false,dynamic,throughput,0,tree,512,16.43
8,numa_domains,false,dynamic,throughput,0,critical,256,16.492
8,numa_domains,false,dynamic,throughput,0,critical,512,16.512
8,numa_domains,false,dynamic,throughput,0,atomic,256,16.526
8,numa_domains,false,dynamic,throughput,0,atomic,512,16.492
8,numa_domains,false,dynamic,throughput,200,tree,256,13.324
8,numa_domains,false,dynamic,throughput,200,tree,512,13.32
8,numa_domains,false,dynamic,throughput,200,critical,256,13.314
8,numa_domains,false,dynamic,throughput,200,critical,512,13.328
8,numa_domains,false,dynamic,throughput,200,atomic,256,13.308
8,numa_domains,false,dynamic,throughput,200,atomic,512,13.338
8,numa_domains,false,dynamic,throughput,infinite,tree,256,13.326
8,numa_domains,false,dynamic,throughput,infinite,tree,512,13.34
8,numa_domains,false,dynamic,throughput,infinite,critical,256,13.334
8,numa_domains,false,dynamic,throughput,infinite,critical,512,13.332
8,numa_domains,false,dynamic,throughput,infinite,atomic,256,13.318
8,numa_domains,false,dynamic,throughput,infinite,atomic,512,13.328
8,numa_domains,false,dynamic,turnaround,0,tree,256,16.512
8,numa_domains,false,dynamic,turnaround,0,tree,512,16.524
8,numa_domains,false,dynamic,turnaround,0,critical,256,16.532
8,numa_domains,false,dynamic,turnaround,0,critical,512,16.496
8,numa_domains,false,dynamic,turnaround,0,atomic,256,16.52
8,numa_domains,false,dynamic,turnaround,0,atomic,512,16.494
8,numa_domains,false,dynamic,turnaround,200,tree,256,13.316
8,numa_domains,false,dynamic,turnaround,200,tree,512,13.328
8,numa_domains,false,dynamic,turnaround,200,critical,256,13.312
8,numa_domains,false,dynamic,turnaround,200,critical,512,13.33
8,numa_domains,false,dynamic,turnaround,200,atomic,256,13.328
8,numa_domains,false,dynamic,turnaround,200,atomic,512,13.322
8,numa_domains,false,dynamic,turnaround,infinite,tree,256,13.334
8,numa_domains,false,dynamic,turnaround,infinite,tree,512,13.342
8,numa_domains,false,dynamic,turnaround,infinite,critical,256,13.328
8,numa_domains,false,dynamic,turnaround,infinite,critical,512,13.338
8,numa_domains,false,dynamic,turnaround,infinite,atomic,256,13.326
8,numa_domains,false,dynamic,turnaround,infinite,atomic,512,13.346
8,numa_domains,false,guided,throughput,0,tree,256,16.556
8,numa_domains,false,guided,throughput,0,tree,512,16.462
8,numa_domains,false,guided,throughput,0,critical,256,16.566
8,numa_domains,false,guided,throughput,0,critical,512,16.524
8,numa_domains,false,guided,throughput,0,atomic,256,16.518
8,numa_domains,false,guided,throughput,0,atomic,512,16.502
8,numa_domains,false,guided,throughput,200,tree,256,13.32
8,numa_domains,false,guided,throughput,200,tree,512,13.324
8,numa_domains,false,guided,throughput,200,critical,256,13.322
8,numa_domains,false,guided,throughput,200,critical,512,13.324
