OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
48,cores,false,static,throughput,0,tree,256,47.74272
48,cores,false,static,throughput,0,tree,512,47.88746
48,cores,false,static,throughput,0,critical,256,47.66928
48,cores,false,static,throughput,0,critical,512,47.87116
48,cores,false,static,throughput,0,atomic,256,47.68828
48,cores,false,static,throughput,0,atomic,512,47.92334
48,cores,false,static,throughput,200,tree,256,47.3923
48,cores,false,static,throughput,200,tree,512,47.88752
48,cores,false,static,throughput,200,critical,256,47.86077
48,cores,false,static,throughput,200,critical,512,47.64541
48,cores,false,static,throughput,200,atomic,256,47.77665
48,cores,false,static,throughput,200,atomic,512,47.5803
48,cores,false,static,throughput,infinite,tree,256,48.00688
48,cores,false,static,throughput,infinite,tree,512,48.14803
48,cores,false,static,throughput,infinite,critical,256,48.09528
48,cores,false,static,throughput,infinite,critical,512,48.10503
48,cores,false,static,throughput,infinite,atomic,256,48.08654
48,cores,false,static,throughput,infinite,atomic,512,48.04685
48,cores,false,static,turnaround,0,tree,256,9.8275
48,cores,false,static,turnaround,0,tree,512,9.79638
48,cores,false,static,turnaround,0,critical,256,9.81198
48,cores,false,static,turnaround,0,critical,512,9.8235
48,cores,false,static,turnaround,0,atomic,256,9.81879
48,cores,false,static,turnaround,0,atomic,512,9.81648
48,cores,false,static,turnaround,200,tree,256,9.7948
48,cores,false,static,turnaround,200,tree,512,9.82243
48,cores,false,static,turnaround,200,critical,256,9.79579
48,cores,false,static,turnaround,200,critical,512,9.81446
48,cores,false,static,turnaround,200,atomic,256,9.82838
48,cores,false,static,turnaround,200,atomic,512,9.80508
48,cores,false,static,turnaround,infinite,tree,256,9.642
48,cores,false,static,turnaround,infinite,tree,512,9.6622
48,cores,false,static,turnaround,infinite,critical,256,9.66177
48,cores,false,static,turnaround,infinite,critical,512,9.66583
48,cores,false,static,turnaround,infinite,atomic,256,9.65553
48,cores,false,static,turnaround,infinite,atomic,512,9.65172
48,cores,false,dynamic,throughput,0,tree,256,47.56261
48,cores,false,dynamic,throughput,0,tree,512,47.90281
48,cores,false,dynamic,throughput,0,critical,256,47.76282
48,cores,false,dynamic,throughput,0,critical,512,47.62001
48,cores,false,dynamic,throughput,0,atomic,256,47.73279
48,cores,false,dynamic,throughput,0,atomic,512,47.6972
48,cores,false,dynamic,throughput,200,tree,256,47.98136
48,cores,false,dynamic,throughput,200,tree,512,47.82221
48,cores,false,dynamic,throughput,200,critical,256,47.69901
48,cores,false,dynamic,throughput,200,critical,512,47.83166
48,cores,false,dynamic,throughput,200,atomic,256,47.87278
48,cores,false,dynamic,throughput,200,atomic,512,47.74306
48,cores,false,dynamic,throughput,infinite,tree,256,48.1376
48,cores,false,dynamic,throughput,infinite,tree,512,48.0673
48,cores,false,dynamic,throughput,infinite,critical,256,48.09726
48,cores,false,dynamic,throughput,infinite,critical,512,48.19435
48,cores,false,dynamic,throughput,infinite,atomic,256,48.11366
48,cores,false,dynamic,throughput,infinite,atomic,512,48.19888
48,cores,false,dynamic,turnaround,0,tree,256,9.78743
48,cores,false,dynamic,turnaround,0,tree,512,9.8073
48,cores,false,dynamic,turnaround,0,critical,256,9.83943
48,cores,false,dynamic,turnaround,0,critical,512,9.81912
48,cores,false,dynamic,turnaround,0,atomic,256,9.80042
48,cores,false,dynamic,turnaround,0,atomic,512,9.81064
48,cores,false,dynamic,turnaround,200,tree,256,9.79424
48,cores,false,dynamic,turnaround,200,tree,512,9.82407
48,cores,false,dynamic,turnaround,200,critical,256,9.82074
48,cores,false,dynamic,turnaround,200,critical,512,9.83483
48,cores,false,dynamic,turnaround,200,atomic,256,9.79899
48,cores,false,dynamic,turnaround,200,atomic,512,9.80114
48,cores,false,dynamic,turnaround,infinite,tree,256,9.70062
48,cores,false,dynamic,turnaround,infinite,tree,512,9.66943
48,cores,false,dynamic,turnaround,infinite,critical,256,9.64876
48,cores,false,dynamic,turnaround,infinite,critical,512,9.65595
48,cores,false,dynamic,turnaround,infinite,atomic,256,9.64541
48,cores,false,dynamic,turnaround,infinite,atomic,512,9.65453
48,cores,false,guided,throughput,0,tree,256,47.80571
48,cores,false,guided,throughput,0,tree,512,47.95312
48,cores,false,guided,throughput,0,critical,256,47.87403
48,cores,false,guided,throughput,0,critical,512,47.57415
48,cores,false,guided,throughput,0,atomic,256,47.82014
48,cores,false,guided,throughput,0,atomic,512,47.73762
48,cores,false,guided,throughput,200,tree,256,48.04296
48,cores,false,guided,throughput,200,tree,512,47.78371
48,cores,false,guided,throughput,200,critical,256,47.80761
48,cores,false,guided,throughput,200,critical,512,47.83913
