OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
16,numa_domains,false,static,throughput,0,tree,256,88.087
16,numa_domains,false,static,throughput,0,tree,512,88.074
16,numa_domains,false,static,throughput,0,critical,256,88.0642
16,numa_domains,false,static,throughput,0,critical,512,88.0152
16,numa_domains,false,static,throughput,0,atomic,256,87.9878
16,numa_domains,false,static,throughput,0,atomic,512,88.1282
16,numa_domains,false,static,throughput,200,tree,256,88.121
16,numa_domains,false,static,throughput,200,tree,512,88.0578
16,numa_domains,false,static,throughput,200,critical,256,88.0652
16,numa_domains,false,static,throughput,200,critical,512,88.1088
16,numa_domains,false,static,throughput,200,atomic,256,88.0586
16,numa_domains,false,static,throughput,200,atomic,512,88.1076
16,numa_domains,false,static,throughput,infinite,tree,256,87.98
16,numa_domains,false,static,throughput,infinite,tree,512,88.0702
16,numa_domains,false,static,throughput,infinite,critical,256,88.1474
16,numa_domains,false,static,throughput,infinite,critical,512,88.0532
16,numa_domains,false,static,throughput,infinite,atomic,256,88.0818
16,numa_domains,false,static,throughput,infinite,atomic,512,88.1284
16,numa_domains,false,static,turnaround,0,tree,256,88.0592
16,numa_domains,false,static,turnaround,0,tree,512,88.1294
16,numa_domains,false,static,turnaround,0,critical,256,88.069
16,numa_domains,false,static,turnaround,0,critical,512,88.038
16,numa_domains,false,static,turnaround,0,atomic,256,88.1178
16,numa_domains,false,static,turnaround,0,atomic,512,88.1512
16,numa_domains,false,static,turnaround,200,tree,256,88.087
16,numa_domains,false,static,turnaround,200,tree,512,88.205
16,numa_domains,false,static,turnaround,200,critical,256,88.015
16,numa_domains,false,static,turnaround,200,critical,512,88.1624
16,numa_domains,false,static,turnaround,200,atomic,256,88.1232
16,numa_domains,false,static,turnaround,200,atomic,512,88.15
16,numa_domains,false,static,turnaround,infinite,tree,256,88.0644
16,numa_domains,false,static,turnaround,infinite,tree,512,88.1024
16,numa_domains,false,static,turnaround,infinite,critical,256,88.1686
16,numa_domains,false,static,turnaround,infinite,critical,512,88.0758
16,numa_domains,false,static,turnaround,infinite,atomic,256,87.9718
16,numa_domains,false,static,turnaround,infinite,atomic,512,88.0516
16,numa_domains,false,dynamic,throughput,0,tree,256,88.0138
16,numa_domains,false,dynamic,throughput,0,tree,512,88.241
16,numa_domains,false,dynamic,throughput,0,critical,256,88.0986
16,numa_domains,false,dynamic,throughput,0,critical,512,88.066
16,numa_domains,false,dynamic,throughput,0,atomic,256,88.107
16,numa_domains,false,dynamic,throughput,0,atomic,512,88.1578
16,numa_domains,false,dynamic,throughput,200,tree,256,88.0916
16,numa_domains,false,dynamic,throughput,200,tree,512,88.1398
16,numa_domains,false,dynamic,throughput,200,critical,256,88.1378
16,numa_domains,false,dynamic,throughput,200,critical,512,88.1232
16,numa_domains,false,dynamic,throughput,200,atomic,256,88.0522
16,numa_domains,false,dynamic,throughput,200,atomic,512,88.096
16,numa_domains,false,dynamic,throughput,infinite,tree,256,88.0598
16,numa_domains,false,dynamic,throughput,infinite,tree,512,88.143
16,numa_domains,false,dynamic,throughput,infinite,critical,256,88.2552
16,numa_domains,false,dynamic,throughput,infinite,critical,512,88.211
16,numa_domains,false,dynamic,throughput,infinite,atomic,256,87.9498
16,numa_domains,false,dynamic,throughput,infinite,atomic,512,88.0512
16,numa_domains,false,dynamic,turnaround,0,tree,256,87.999
16,numa_domains,false,dynamic,turnaround,0,tree,512,88.1576
16,numa_domains,false,dynamic,turnaround,0,critical,256,88.1288
16,numa_domains,false,dynamic,turnaround,0,critical,512,88.104
16,numa_domains,false,dynamic,turnaround,0,atomic,256,88.096
16,numa_domains,false,dynamic,turnaround,0,atomic,512,88.094
16,numa_domains,false,dynamic,turnaround,200,tree,256,88.0288
16,numa_domains,false,dynamic,turnaround,200,tree,512,88.114
16,numa_domains,false,dynamic,turnaround,200,critical,256,88.1074
16,numa_domains,false,dynamic,turnaround,200,critical,512,88.0126
16,numa_domains,false,dynamic,turnaround,200,atomic,256,88.1176
16,numa_domains,false,dynamic,turnaround,200,atomic,512,88.0072
16,numa_domains,false,dynamic,turnaround,infinite,tree,256,88.0256
16,numa_domains,false,dynamic,turnaround,infinite,tree,512,88.058
16,numa_domains,false,dynamic,turnaround,infinite,critical,256,88.2628
16,numa_domains,false,dynamic,turnaround,infinite,critical,512,88.0772
16,numa_domains,false,dynamic,turnaround,infinite,atomic,256,87.9142
16,numa_domains,false,dynamic,turnaround,infinite,atomic,512,88.1258
16,numa_domains,false,guided,throughput,0,tree,256,88.1286
16,numa_domains,false,guided,throughput,0,tree,512,88.1362
16,numa_domains,false,guided,throughput,0,critical,256,88.1306
16,numa_domains,false,guided,throughput,0,critical,512,88.207
16,numa_domains,false,guided,throughput,0,atomic,256,88.0146
16,numa_domains,false,guided,throughput,0,atomic,512,88.0932
16,numa_domains,false,guided,throughput,200,tree,256,87.989
16,numa_domains,false,guided,throughput,200,tree,512,88.099
16,numa_domains,false,guided,throughput,200,critical,256,88.0198
16,numa_domains,false,guided,throughput,200,critical,512,88.03
16,numa_domains,false,guided,throughput,200,atomic,256,88.1128
16,numa_domains,false,guided,throughput,200,atomic,512,88.0254
16,numa_domains,false,guided,throughput,infinite,tree,256,88.054
