OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
48,cores,false,static,throughput,0,tree,256,0.89149
48,cores,false,static,throughput,0,tree,512,0.8912
48,cores,false,static,throughput,0,critical,256,0.88812
48,cores,false,static,throughput,0,critical,512,0.88971
48,cores,false,static,throughput,0,atomic,256,0.89144
48,cores,false,static,throughput,0,atomic,512,0.88917
48,cores,false,static,throughput,200,tree,256,0.88873
48,cores,false,static,throughput,200,tree,512,0.88488
48,cores,false,static,throughput,200,critical,256,0.90795
48,cores,false,static,throughput,200,critical,512,0.88809
48,cores,false,static,throughput,200,atomic,256,0.88977
48,cores,false,static,throughput,200,atomic,512,0.89122
48,cores,false,static,throughput,infinite,tree,256,0.89217
48,cores,false,static,throughput,infinite,tree,512,0.89157
48,cores,false,static,throughput,infinite,critical,256,0.89348
48,cores,false,static,throughput,infinite,critical,512,0.89367
48,cores,false,static,throughput,infinite,atomic,256,0.89421
48,cores,false,static,throughput,infinite,atomic,512,0.90133
48,cores,false,static,turnaround,0,tree,256,0.75843
48,cores,false,static,turnaround,0,tree,512,0.75821
48,cores,false,static,turnaround,0,critical,256,0.78195
48,cores,false,static,turnaround,0,critical,512,0.75789
48,cores,false,static,turnaround,0,atomic,256,0.75921
48,cores,false,static,turnaround,0,atomic,512,0.76367
48,cores,false,static,turnaround,200,tree,256,0.75989
48,cores,false,static,turnaround,200,tree,512,0.75487
48,cores,false,static,turnaround,200,critical,256,0.75883
48,cores,false,static,turnaround,200,critical,512,0.75944
48,cores,false,static,turnaround,200,atomic,256,0.75794
48,cores,false,static,turnaround,200,atomic,512,0.75809
48,cores,false,static,turnaround,infinite,tree,256,0.75659
48,cores,false,static,turnaround,infinite,tree,512,0.76971
48,cores,false,static,turnaround,infinite,critical,256,0.75832
48,cores,false,static,turnaround,infinite,critical,512,0.76042
48,cores,false,static,turnaround,infinite,atomic,256,0.76008
48,cores,false,static,turnaround,infinite,atomic,512,0.77291
48,cores,false,dynamic,throughput,0,tree,256,0.88731
48,cores,false,dynamic,throughput,0,tree,512,0.88772
48,cores,false,dynamic,throughput,0,critical,256,0.89026
48,cores,false,dynamic,throughput,0,critical,512,0.89201
48,cores,false,dynamic,throughput,0,atomic,256,0.89297
48,cores,false,dynamic,throughput,0,atomic,512,0.89188
48,cores,false,dynamic,throughput,200,tree,256,0.88814
48,cores,false,dynamic,throughput,200,tree,512,0.89325
48,cores,false,dynamic,throughput,200,critical,256,0.88893
48,cores,false,dynamic,throughput,200,critical,512,0.8881
48,cores,false,dynamic,throughput,200,atomic,256,0.88894
48,cores,false,dynamic,throughput,200,atomic,512,0.89178
48,cores,false,dynamic,throughput,infinite,tree,256,0.89374
48,cores,false,dynamic,throughput,infinite,tree,512,0.89189
48,cores,false,dynamic,throughput,infinite,critical,256,0.89436
48,cores,false,dynamic,throughput,infinite,critical,512,0.92351
48,cores,false,dynamic,throughput,infinite,atomic,256,0.89016
48,cores,false,dynamic,throughput,infinite,atomic,512,0.89084
48,cores,false,dynamic,turnaround,0,tree,256,0.76001
48,cores,false,dynamic,turnaround,0,tree,512,0.76539
48,cores,false,dynamic,turnaround,0,critical,256,0.76776
48,cores,false,dynamic,turnaround,0,critical,512,0.75746
48,cores,false,dynamic,turnaround,0,atomic,256,0.75567
48,cores,false,dynamic,turnaround,0,atomic,512,0.75598
48,cores,false,dynamic,turnaround,200,tree,256,0.75879
48,cores,false,dynamic,turnaround,200,tree,512,0.75707
48,cores,false,dynamic,turnaround,200,critical,256,0.7551
48,cores,false,dynamic,turnaround,200,critical,512,0.75881
48,cores,false,dynamic,turnaround,200,atomic,256,0.7651
48,cores,false,dynamic,turnaround,200,atomic,512,0.75903
48,cores,false,dynamic,turnaround,infinite,tree,256,0.75938
48,cores,false,dynamic,turnaround,infinite,tree,512,0.76156
48,cores,false,dynamic,turnaround,infinite,critical,256,0.76026
48,cores,false,dynamic,turnaround,infinite,critical,512,0.75843
48,cores,false,dynamic,turnaround,infinite,atomic,256,0.76356
48,cores,false,dynamic,turnaround,infinite,atomic,512,0.76293
48,cores,false,guided,throughput,0,tree,256,0.91102
48,cores,false,guided,throughput,0,tree,512,0.89235
48,cores,false,guided,throughput,0,critical,256,0.88961
48,cores,false,guided,throughput,0,critical,512,0.8879
48,cores,false,guided,throughput,0,atomic,256,0.88749
48,cores,false,guided,throughput,0,atomic,512,0.89173
48,cores,false,guided,throughput,200,tree,256,0.89228
48,cores,false,guided,throughput,200,tree,512,0.88992
48,cores,false,guided,throughput,200,critical,256,0.89695
48,cores,false,guided,throughput,200,critical,512,0.89876
48,cores,false,guided,throughput,200,atomic,256,0.88554
48,cores,false,guided,throughput,200,atomic,512,0.90149
48,cores,false,guided,throughput,infinite,tree,256,0.89925
48,cores,false,guided,throughput,infinite,tree,512,0.90206
48,cores,false,guided,throughput,infinite,critical,256,0.8924
48,cores,false,guided,throughput,infinite,critical,512,0.8914
48,cores,false,guided,throughput,infinite,atomic,256,0.89073
48,cores,false,guided,throughput,infinite,atomic,512,0.90557
48,cores,false,guided,turnaround,0,tree,256,0.75573
48,cores,false,guided,turnaround,0,tree,512,0.75915
48,cores,false,guided,turnaround,0,critical,256,0.75494
48,cores,false,guided,turnaround,0,critical,512,0.75864
48,cores,false,guided,turnaround,0,atomic,256,0.7591
48,cores,false,guided,turnaround,0,atomic,512,0.76079
48,cores,false,guided,turnaround,200,tree,256,0.75678
48,cores,false,guided,turnaround,200,tree,512,0.75708
48,cores,false,guided,turnaround,200,critical,256,0.75635
48,cores,false,guided,turnaround,200,critical,512,0.76706
48,cores,false,guided,turnaround,200,atomic,256,0.76523
48,cores,false,guided,turnaround,200,atomic,512,0.75662
48,cores,false,guided,turnaround,infinite,tree,256,0.75927
48,cores,false,guided,turnaround,infinite,tree,512,0.76133
48,cores,false,guided,turnaround,infinite,critical,256,0.75868
48,cores,false,guided,turnaround,infinite,critical,512,0.76659
48,cores,false,guided,turnaround,infinite,atomic,256,0.76138
48,cores,false,guided,turnaround,infinite,atomic,512,0.75733
48,cores,false,auto,throughput,0,tree,256,0.88988
48,cores,false,auto,throughput,0,tree,512,0.91325
48,cores,false,auto,throughput,0,critical,256,0.88931
48,cores,false,auto,throughput,0,critical,512,0.88949
48,cores,false,auto,throughput,0,atomic,256,0.88788
48,cores,false,auto,throughput,0,atomic,512,0.88959
48,cores,false,auto,throughput,200,tree,256,0.88741
48,cores,false,auto,throughput,200,tree,512,0.88755
48,cores,false,auto,throughput,200,critical,256,0.90166
48,cores,false,auto,throughput,200,critical,512,0.89003
48,cores,false,auto,throughput,200,atomic,256,0.88844
48,cores,false,auto,throughput,200,atomic,512,0.88962
48,cores,false,auto,throughput,infinite,tree,256,0.89173
48,cores,false,auto,throughput,infinite,tree,512,0.89089
48,cores,false,auto,throughput,infinite,critical,256,0.89187
48,cores,false,auto,throughput,infinite,critical,512,0.89221
48,cores,false,auto,throughput,infinite,atomic,256,0.89408
48,cores,false,auto,throughput,infinite,atomic,512,0.89467
48,cores,false,auto,turnaround,0,tree,256,0.75365
48,cores,false,auto,turnaround,0,tree,512,0.75852
48,cores,false,auto,turnaround,0,critical,256,0.75674
48,cores,false,auto,turnaround,0,critical,512,0.7558
48,cores,false,auto,turnaround,0,atomic,256,0.76266
48,cores,false,auto,turnaround,0,atomic,512,0.75711
48,cores,false,auto,turnaround,200,tree,256,0.75864
48,cores,false,auto,turnaround,200,tree,512,0.76474
48,cores,false,auto,turnaround,200,critical,256,0.75992
48,cores,false,auto,turnaround,200,critical,512,0.7582
48,cores,false,auto,turnaround,200,atomic,256,0.75832
48,cores,false,auto,turnaround,200,atomic,512,0.75892
48,cores,false,auto,turnaround,infinite,tree,256,0.75962
48,cores,false,auto,turnaround,infinite,tree,512,0.77471
48,cores,false,auto,turnaround,infinite,critical,256,0.76088
48,cores,false,auto,turnaround,infinite,critical,512,0.76142
48,cores,false,auto,turnaround,infinite,atomic,256,0.76008
48,cores,false,auto,turnaround,infinite,atomic,512,0.75918
48,cores,true,static,throughput,0,tree,256,0.92878
48,cores,true,static,throughput,0,tree,512,0.89041
48,cores,true,static,throughput,0,critical,256,0.89114
48,cores,true,static,throughput,0,critical,512,0.88958
48,cores,true,static,throughput,0,atomic,256,0.89293
48,cores,true,static,throughput,0,atomic,512,0.8901
48,cores,true,static,throughput,200,tree,256,0.88769
48,cores,true,static,throughput,200,tree,512,0.89312
48,cores,true,static,throughput,200,critical,256,0.88961
48,cores,true,static,throughput,200,critical,512,0.88936
48,cores,true,static,throughput,200,atomic,256,0.88809
48,cores,true,static,throughput,200,atomic,512,0.88963
48,cores,true,static,throughput,infinite,tree,256,0.89031
48,cores,true,static,throughput,infinite,tree,512,0.89149
48,cores,true,static,throughput,infinite,critical,256,0.89704
48,cores,true,static,throughput,infinite,critical,512,0.89481
48,cores,true,static,throughput,infinite,atomic,256,0.89744
48,cores,true,static,throughput,infinite,atomic,512,0.89239
48,cores,true,static,turnaround,0,tree,256,0.75774
48,cores,true,static,turnaround,0,tree,512,0.76973
48,cores,true,static,turnaround,0,critical,256,0.7665
48,cores,true,static,turnaround,0,critical,512,0.7664
48,cores,true,static,turnaround,0,atomic,256,0.8262
48,cores,true,static,turnaround,0,atomic,512,0.76818
48,cores,true,static,turnaround,200,tree,256,0.76806
48,cores,true,static,turnaround,200,tree,512,0.75877
48,cores,true,static,turnaround,200,critical,256,0.75778
48,cores,true,static,turnaround,200,critical,512,0.91086
48,cores,true,static,turnaround,200,atomic,256,0.758
48,cores,true,static,turnaround,200,atomic,512,0.78607
48,cores,true,static,turnaround,infinite,tree,256,0.77538
48,cores,true,static,turnaround,infinite,tree,512,0.76191
48,cores,true,static,turnaround,infinite,critical,256,0.76978
48,cores,true,static,turnaround,infinite,critical,512,0.76082
48,cores,true,static,turnaround,infinite,atomic,256,0.75845
48,cores,true,static,turnaround,infinite,atomic,512,0.76163
48,cores,true,dynamic,throughput,0,tree,256,0.88979
48,cores,true,dynamic,throughput,0,tree,512,0.89335
48,cores,true,dynamic,throughput,0,critical,256,0.95755
48,cores,true,dynamic,throughput,0,critical,512,0.89002
48,cores,true,dynamic,throughput,0,atomic,256,0.88759
48,cores,true,dynamic,throughput,0,atomic,512,0.89137
48,cores,true,dynamic,throughput,200,tree,256,0.88962
48,cores,true,dynamic,throughput,200,tree,512,0.89975
48,cores,true,dynamic,throughput,200,critical,256,0.89124
