OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
48,cores,false,static,throughput,0,tree,256,0.21249
48,cores,false,static,throughput,0,tree,512,0.22435
48,cores,false,static,throughput,0,critical,256,0.21301
48,cores,false,static,throughput,0,critical,512,0.24413
48,cores,false,static,throughput,0,atomic,256,0.2124
48,cores,false,static,throughput,0,atomic,512,0.2132
48,cores,false,static,throughput,200,tree,256,0.21232
48,cores,false,static,throughput,200,tree,512,0.21355
48,cores,false,static,throughput,200,critical,256,0.21235
48,cores,false,static,throughput,200,critical,512,0.21189
48,cores,false,static,throughput,200,atomic,256,0.24323
48,cores,false,static,throughput,200,atomic,512,0.21271
48,cores,false,static,throughput,infinite,tree,256,0.21412
48,cores,false,static,throughput,infinite,tree,512,0.21664
48,cores,false,static,throughput,infinite,critical,256,0.21579
48,cores,false,static,throughput,infinite,critical,512,0.21335
48,cores,false,static,throughput,infinite,atomic,256,0.21535
48,cores,false,static,throughput,infinite,atomic,512,0.21773
48,cores,false,static,turnaround,0,tree,256,0.18225
48,cores,false,static,turnaround,0,tree,512,0.18192
48,cores,false,static,turnaround,0,critical,256,0.21556
48,cores,false,static,turnaround,0,critical,512,0.18248
48,cores,false,static,turnaround,0,atomic,256,0.18222
48,cores,false,static,turnaround,0,atomic,512,0.18281
48,cores,false,static,turnaround,200,tree,256,0.18187
48,cores,false,static,turnaround,200,tree,512,0.18214
48,cores,false,static,turnaround,200,critical,256,0.18288
48,cores,false,static,turnaround,200,critical,512,0.18271
48,cores,false,static,turnaround,200,atomic,256,0.18202
48,cores,false,static,turnaround,200,atomic,512,0.18232
48,cores,false,static,turnaround,infinite,tree,256,0.18483
48,cores,false,static,turnaround,infinite,tree,512,0.1859
48,cores,false,static,turnaround,infinite,critical,256,0.18492
48,cores,false,static,turnaround,infinite,critical,512,0.18388
48,cores,false,static,turnaround,infinite,atomic,256,0.18424
48,cores,false,static,turnaround,infinite,atomic,512,0.18448
48,cores,false,dynamic,throughput,0,tree,256,0.21243
48,cores,false,dynamic,throughput,0,tree,512,0.2119
48,cores,false,dynamic,throughput,0,critical,256,0.21187
48,cores,false,dynamic,throughput,0,critical,512,0.2112
48,cores,false,dynamic,throughput,0,atomic,256,0.21269
48,cores,false,dynamic,throughput,0,atomic,512,0.21145
48,cores,false,dynamic,throughput,200,tree,256,0.21191
48,cores,false,dynamic,throughput,200,tree,512,0.21153
48,cores,false,dynamic,throughput,200,critical,256,0.21981
48,cores,false,dynamic,throughput,200,critical,512,0.21365
48,cores,false,dynamic,throughput,200,atomic,256,0.2111
48,cores,false,dynamic,throughput,200,atomic,512,0.2125
48,cores,false,dynamic,throughput,infinite,tree,256,0.21424
48,cores,false,dynamic,throughput,infinite,tree,512,0.22421
48,cores,false,dynamic,throughput,infinite,critical,256,0.21308
48,cores,false,dynamic,throughput,infinite,critical,512,0.21352
48,cores,false,dynamic,throughput,infinite,atomic,256,0.26058
48,cores,false,dynamic,throughput,infinite,atomic,512,0.21774
48,cores,false,dynamic,turnaround,0,tree,256,0.18407
48,cores,false,dynamic,turnaround,0,tree,512,0.18217
48,cores,false,dynamic,turnaround,0,critical,256,0.18285
48,cores,false,dynamic,turnaround,0,critical,512,0.21184
48,cores,false,dynamic,turnaround,0,atomic,256,0.18271
48,cores,false,dynamic,turnaround,0,atomic,512,0.18322
48,cores,false,dynamic,turnaround,200,tree,256,0.18323
48,cores,false,dynamic,turnaround,200,tree,512,0.18211
48,cores,false,dynamic,turnaround,200,critical,256,0.18301
48,cores,false,dynamic,turnaround,200,critical,512,0.1833
48,cores,false,dynamic,turnaround,200,atomic,256,0.18337
48,cores,false,dynamic,turnaround,200,atomic,512,0.18146
48,cores,false,dynamic,turnaround,infinite,tree,256,0.18364
48,cores,false,dynamic,turnaround,infinite,tree,512,0.18465
48,cores,false,dynamic,turnaround,infinite,critical,256,0.18521
48,cores,false,dynamic,turnaround,infinite,critical,512,0.19309
48,cores,false,dynamic,turnaround,infinite,atomic,256,0.1844
48,cores,false,dynamic,turnaround,infinite,atomic,512,0.18795
48,cores,false,guided,throughput,0,tree,256,0.21206
48,cores,false,guided,throughput,0,tree,512,0.21272
48,cores,false,guided,throughput,0,critical,256,0.21776
48,cores,false,guided,throughput,0,critical,512,0.21203
48,cores,false,guided,throughput,0,atomic,256,0.21186
48,cores,false,guided,throughput,0,atomic,512,0.21354
48,cores,false,guided,throughput,200,tree,256,0.21157
48,cores,false,guided,throughput,200,tree,512,0.21251
48,cores,false,guided,throughput,200,critical,256,0.21215
48,cores,false,guided,throughput,200,critical,512,0.21088
48,cores,false,guided,throughput,200,atomic,256,0.21214
