OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
48,cores,false,static,throughput,0,tree,256,15.59496
48,cores,false,static,throughput,0,tree,512,15.42264
48,cores,false,static,throughput,0,critical,256,15.62787
48,cores,false,static,throughput,0,critical,512,15.54181
48,cores,false,static,throughput,0,atomic,256,15.44235
48,cores,false,static,throughput,0,atomic,512,15.36826
48,cores,false,static,throughput,200,tree,256,15.47983
48,cores,false,static,throughput,200,tree,512,15.49021
48,cores,false,static,throughput,200,critical,256,15.51431
48,cores,false,static,throughput,200,critical,512,15.53512
48,cores,false,static,throughput,200,atomic,256,15.56033
48,cores,false,static,throughput,200,atomic,512,15.5056
48,cores,false,static,throughput,infinite,tree,256,15.41533
48,cores,false,static,throughput,infinite,tree,512,15.42755
48,cores,false,static,throughput,infinite,critical,256,15.54328
48,cores,false,static,throughput,infinite,critical,512,15.33649
48,cores,false,static,throughput,infinite,atomic,256,15.38207
48,cores,false,static,throughput,infinite,atomic,512,15.46209
48,cores,false,static,turnaround,0,tree,256,15.42952
48,cores,false,static,turnaround,0,tree,512,15.58672
48,cores,false,static,turnaround,0,critical,256,15.42129
48,cores,false,static,turnaround,0,critical,512,15.65894
48,cores,false,static,turnaround,0,atomic,256,15.37571
48,cores,false,static,turnaround,0,atomic,512,15.45664
48,cores,false,static,turnaround,200,tree,256,15.39859
48,cores,false,static,turnaround,200,tree,512,15.35192
48,cores,false,static,turnaround,200,critical,256,15.3374
48,cores,false,static,turnaround,200,critical,512,15.38649
48,cores,false,static,turnaround,200,atomic,256,15.28601
48,cores,false,static,turnaround,200,atomic,512,15.32612
48,cores,false,static,turnaround,infinite,tree,256,15.26162
48,cores,false,static,turnaround,infinite,tree,512,15.24906
48,cores,false,static,turnaround,infinite,critical,256,15.55818
48,cores,false,static,turnaround,infinite,critical,512,15.25164
48,cores,false,static,turnaround,infinite,atomic,256,15.29019
