OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
8,numa_domains,false,static,throughput,0,tree,256,6.74991
8,numa_domains,false,static,throughput,0,tree,512,6.74826
8,numa_domains,false,static,throughput,0,critical,256,6.75097
8,numa_domains,false,static,throughput,0,critical,512,6.74747
8,numa_domains,false,static,throughput,0,atomic,256,6.7496
8,numa_domains,false,static,throughput,0,atomic,512,6.74679
8,numa_domains,false,static,throughput,200,tree,256,6.74368
8,numa_domains,false,static,throughput,200,tree,512,6.74435
8,numa_domains,false,static,throughput,200,critical,256,6.74366
8,numa_domains,false,static,throughput,200,critical,512,6.74133
8,numa_domains,false,static,throughput,200,atomic,256,6.74497
8,numa_domains,false,static,throughput,200,atomic,512,6.74132
8,numa_domains,false,static,throughput,infinite,tree,256,6.74378
8,numa_domains,false,static,throughput,infinite,tree,512,6.74383
8,numa_domains,false,static,throughput,infinite,critical,256,6.74395
8,numa_domains,false,static,throughput,infinite,critical,512,6.74191
8,numa_domains,false,static,throughput,infinite,atomic,256,6.74277
8,numa_domains,false,static,throughput,infinite,atomic,512,6.74288
8,numa_domains,false,static,turnaround,0,tree,256,6.74753
8,numa_domains,false,static,turnaround,0,tree,512,6.74829
8,numa_domains,false,static,turnaround,0,critical,256,6.74703
8,numa_domains,false,static,turnaround,0,critical,512,6.74732
8,numa_domains,false,static,turnaround,0,atomic,256,6.74865
8,numa_domains,false,static,turnaround,0,atomic,512,6.74717
8,numa_domains,false,static,turnaround,200,tree,256,6.74244
8,numa_domains,false,static,turnaround,200,tree,512,6.74419
8,numa_domains,false,static,turnaround,200,critical,256,6.7448
8,numa_domains,false,static,turnaround,200,critical,512,6.74016
8,numa_domains,false,static,turnaround,200,atomic,256,6.74162
8,numa_domains,false,static,turnaround,200,atomic,512,6.74342
8,numa_domains,false,static,turnaround,infinite,tree,256,6.74482
8,numa_domains,false,static,turnaround,infinite,tree,512,6.7454
8,numa_domains,false,static,turnaround,infinite,critical,256,6.74343
8,numa_domains,false,static,turnaround,infinite,critical,512,6.74318
8,numa_domains,false,static,turnaround,infinite,atomic,256,6.74424
8,numa_domains,false,static,turnaround,infinite,atomic,512,6.7439
8,numa_domains,false,dynamic,throughput,0,tree,256,6.74726
8,numa_domains,false,dynamic,throughput,0,tree,512,6.74896
8,numa_domains,false,dynamic,throughput,0,critical,256,6.74538
8,numa_domains,false,dynamic,throughput,0,critical,512,6.74775
8,numa_domains,false,dynamic,throughput,0,atomic,256,6.74942
8,numa_domains,false,dynamic,throughput,0,atomic,512,6.74553
8,numa_domains,false,dynamic,throughput,200,tree,256,6.74325
8,numa_domains,false,dynamic,throughput,200,tree,512,6.74289
8,numa_domains,false,dynamic,throughput,200,critical,256,6.74383
8,numa_domains,false,dynamic,throughput,200,critical,512,6.74297
8,numa_domains,false,dynamic,throughput,200,atomic,256,6.74277
8,numa_domains,false,dynamic,throughput,200,atomic,512,6.74344
8,numa_domains,false,dynamic,throughput,infinite,tree,256,6.74314
8,numa_domains,false,dynamic,throughput,infinite,tree,512,6.74362
8,numa_domains,false,dynamic,throughput,infinite,critical,256,6.74211
8,numa_domains,false,dynamic,throughput,infinite,critical,512,6.74273
8,numa_domains,false,dynamic,throughput,infinite,atomic,256,6.74522
8,numa_domains,false,dynamic,throughput,infinite,atomic,512,6.7427
