OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
24,numa_domains,false,static,throughput,0,tree,256,5.5244
24,numa_domains,false,static,throughput,0,tree,512,5.522
24,numa_domains,false,static,throughput,0,critical,256,5.523
24,numa_domains,false,static,throughput,0,critical,512,5.5282
24,numa_domains,false,static,throughput,0,atomic,256,5.5338
24,numa_domains,false,static,throughput,0,atomic,512,5.5296
24,numa_domains,false,static,throughput,200,tree,256,5.5214
24,numa_domains,false,static,throughput,200,tree,512,5.517
24,numa_domains,false,static,throughput,200,critical,256,5.5214
24,numa_domains,false,static,throughput,200,critical,512,5.523
24,numa_domains,false,static,throughput,200,atomic,256,5.523
24,numa_domains,false,static,throughput,200,atomic,512,5.5206
24,numa_domains,false,static,throughput,infinite,tree,256,5.5224
24,numa_domains,false,static,throughput,infinite,tree,512,5.5274
24,numa_domains,false,static,throughput,infinite,critical,256,5.526
24,numa_domains,false,static,throughput,infinite,critical,512,5.5208
24,numa_domains,false,static,throughput,infinite,atomic,256,5.4992
24,numa_domains,false,static,throughput,infinite,atomic,512,5.5236
24,numa_domains,false,static,turnaround,0,tree,256,5.5246
24,numa_domains,false,static,turnaround,0,tree,512,5.5354
24,numa_domains,false,static,turnaround,0,critical,256,5.5324
24,numa_domains,false,static,turnaround,0,critical,512,5.5186
24,numa_domains,false,static,turnaround,0,atomic,256,5.5316
24,numa_domains,false,static,turnaround,0,atomic,512,5.5206
24,numa_domains,false,static,turnaround,200,tree,256,5.5242
24,numa_domains,false,static,turnaround,200,tree,512,5.5284
24,numa_domains,false,static,turnaround,200,critical,256,5.5358
24,numa_domains,false,static,turnaround,200,critical,512,5.5188
24,numa_domains,false,static,turnaround,200,atomic,256,5.5258
24,numa_domains,false,static,turnaround,200,atomic,512,5.5342
24,numa_domains,false,static,turnaround,infinite,tree,256,5.5162
24,numa_domains,false,static,turnaround,infinite,tree,512,5.5286
24,numa_domains,false,static,turnaround,infinite,critical,256,5.5322
24,numa_domains,false,static,turnaround,infinite,critical,512,5.5372
24,numa_domains,false,static,turnaround,infinite,atomic,256,5.53
24,numa_domains,false,static,turnaround,infinite,atomic,512,5.542
24,numa_domains,false,dynamic,throughput,0,tree,256,5.534
24,numa_domains,false,dynamic,throughput,0,tree,512,5.5266
24,numa_domains,false,dynamic,throughput,0,critical,256,5.5358
24,numa_domains,false,dynamic,throughput,0,critical,512,5.5332
24,numa_domains,false,dynamic,throughput,0,atomic,256,5.5376
24,numa_domains,false,dynamic,throughput,0,atomic,512,5.547
24,numa_domains,false,dynamic,throughput,200,tree,256,5.551
24,numa_domains,false,dynamic,throughput,200,tree,512,5.5358
24,numa_domains,false,dynamic,throughput,200,critical,256,5.5382
24,numa_domains,false,dynamic,throughput,200,critical,512,5.537
24,numa_domains,false,dynamic,throughput,200,atomic,256,5.5414
24,numa_domains,false,dynamic,throughput,200,atomic,512,5.536
24,numa_domains,false,dynamic,throughput,infinite,tree,256,5.5366
24,numa_domains,false,dynamic,throughput,infinite,tree,512,5.5274
24,numa_domains,false,dynamic,throughput,infinite,critical,256,5.5364
24,numa_domains,false,dynamic,throughput,infinite,critical,512,5.5416
24,numa_domains,false,dynamic,throughput,infinite,atomic,256,5.5302
24,numa_domains,false,dynamic,throughput,infinite,atomic,512,5.505
24,numa_domains,false,dynamic,turnaround,0,tree,256,5.5328
24,numa_domains,false,dynamic,turnaround,0,tree,512,5.5366
24,numa_domains,false,dynamic,turnaround,0,critical,256,5.5248
24,numa_domains,false,dynamic,turnaround,0,critical,512,5.5374
24,numa_domains,false,dynamic,turnaround,0,atomic,256,5.5336
24,numa_domains,false,dynamic,turnaround,0,atomic,512,5.5298
24,numa_domains,false,dynamic,turnaround,200,tree,256,5.5432
24,numa_domains,false,dynamic,turnaround,200,tree,512,5.537
24,numa_domains,false,dynamic,turnaround,200,critical,256,5.5312
24,numa_domains,false,dynamic,turnaround,200,critical,512,5.5448
24,numa_domains,false,dynamic,turnaround,200,atomic,256,5.5318
24,numa_domains,false,dynamic,turnaround,200,atomic,512,5.5402
24,numa_domains,false,dynamic,turnaround,infinite,tree,256,5.5356
24,numa_domains,false,dynamic,turnaround,infinite,tree,512,5.499
24,numa_domains,false,dynamic,turnaround,infinite,critical,256,5.5144
24,numa_domains,false,dynamic,turnaround,infinite,critical,512,5.5292
24,numa_domains,false,dynamic,turnaround,infinite,atomic,256,5.4974
24,numa_domains,false,dynamic,turnaround,infinite,atomic,512,5.5182
24,numa_domains,false,guided,throughput,0,tree,256,5.5318
24,numa_domains,false,guided,throughput,0,tree,512,5.522
24,numa_domains,false,guided,throughput,0,critical,256,5.5276
24,numa_domains,false,guided,throughput,0,critical,512,5.5232
24,numa_domains,false,guided,throughput,0,atomic,256,5.5226
24,numa_domains,false,guided,throughput,0,atomic,512,5.5232
24,numa_domains,false,guided,throughput,200,tree,256,5.5278
24,numa_domains,false,guided,throughput,200,tree,512,5.5236
24,numa_domains,false,guided,throughput,200,critical,256,5.5192
24,numa_domains,false,guided,throughput,200,critical,512,5.5388
24,numa_domains,false,guided,throughput,200,atomic,256,5.524
24,numa_domains,false,guided,throughput,200,atomic,512,5.5362
24,numa_domains,false,guided,throughput,infinite,tree,256,5.5202
24,numa_domains,false,guided,throughput,infinite,tree,512,5.5244
24,numa_domains,false,guided,throughput,infinite,critical,256,5.5212
24,numa_domains,false,guided,throughput,infinite,critical,512,5.536
24,numa_domains,false,guided,throughput,infinite,atomic,256,5.5358
24,numa_domains,false,guided,throughput,infinite,atomic,512,5.5182
24,numa_domains,false,guided,turnaround,0,tree,256,5.518
24,numa_domains,false,guided,turnaround,0,tree,512,5.5204
24,numa_domains,false,guided,turnaround,0,critical,256,5.5288
24,numa_domains,false,guided,turnaround,0,critical,512,5.5266
24,numa_domains,false,guided,turnaround,0,atomic,256,5.525
24,numa_domains,false,guided,turnaround,0,atomic,512,5.526
24,numa_domains,false,guided,turnaround,200,tree,256,5.5214
24,numa_domains,false,guided,turnaround,200,tree,512,5.5364
24,numa_domains,false,guided,turnaround,200,critical,256,5.5168
24,numa_domains,false,guided,turnaround,200,critical,512,5.5194
24,numa_domains,false,guided,turnaround,200,atomic,256,5.5332
24,numa_domains,false,guided,turnaround,200,atomic,512,5.5268
24,numa_domains,false,guided,turnaround,infinite,tree,256,5.5172
24,numa_domains,false,guided,turnaround,infinite,tree,512,5.5252
24,numa_domains,false,guided,turnaround,infinite,critical,256,5.5158
24,numa_domains,false,guided,turnaround,infinite,critical,512,5.4986
24,numa_domains,false,guided,turnaround,infinite,atomic,256,5.5176
24,numa_domains,false,guided,turnaround,infinite,atomic,512,5.5198
24,numa_domains,false,auto,throughput,0,tree,256,5.5204
24,numa_domains,false,auto,throughput,0,tree,512,5.5346
24,numa_domains,false,auto,throughput,0,critical,256,5.5228
24,numa_domains,false,auto,throughput,0,critical,512,5.5332
24,numa_domains,false,auto,throughput,0,atomic,256,5.5166
24,numa_domains,false,auto,throughput,0,atomic,512,5.5238
24,numa_domains,false,auto,throughput,200,tree,256,5.5242
24,numa_domains,false,auto,throughput,200,tree,512,5.5228
24,numa_domains,false,auto,throughput,200,critical,256,5.5278
24,numa_domains,false,auto,throughput,200,critical,512,5.5228
24,numa_domains,false,auto,throughput,200,atomic,256,5.5306
24,numa_domains,false,auto,throughput,200,atomic,512,5.5234
24,numa_domains,false,auto,throughput,infinite,tree,256,5.5226
24,numa_domains,false,auto,throughput,infinite,tree,512,5.5174
24,numa_domains,false,auto,throughput,infinite,critical,256,5.5176
24,numa_domains,false,auto,throughput,infinite,critical,512,5.4998
24,numa_domains,false,auto,throughput,infinite,atomic,256,5.5272
24,numa_domains,false,auto,throughput,infinite,atomic,512,5.5042
24,numa_domains,false,auto,turnaround,0,tree,256,5.5206
24,numa_domains,false,auto,turnaround,0,tree,512,5.5224
24,numa_domains,false,auto,turnaround,0,critical,256,5.5218
