OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,false,static,throughput,0,tree,64,13.01667
96,cores,false,static,throughput,0,tree,128,13.98667
96,cores,false,static,throughput,0,tree,256,14.01
96,cores,false,static,throughput,0,tree,512,13.14
96,cores,false,static,throughput,0,critical,64,13.45333
96,cores,false,static,throughput,0,critical,128,12.90667
96,cores,false,static,throughput,0,critical,256,13.14333
96,cores,false,static,throughput,0,critical,512,12.76667
96,cores,false,static,throughput,0,atomic,64,12.69667
96,cores,false,static,throughput,0,atomic,128,12.87
96,cores,false,static,throughput,0,atomic,256,13.29
96,cores,false,static,throughput,0,atomic,512,12.80667
96,cores,false,static,throughput,200,tree,64,4.63333
96,cores,false,static,throughput,200,tree,128,4.45
96,cores,false,static,throughput,200,tree,256,4.87333
96,cores,false,static,throughput,200,tree,512,4.40333
96,cores,false,static,throughput,200,critical,64,4.75
96,cores,false,static,throughput,200,critical,128,4.89333
96,cores,false,static,throughput,200,critical,256,4.53
96,cores,false,static,throughput,200,critical,512,4.46
96,cores,false,static,throughput,200,atomic,64,4.46333
96,cores,false,static,throughput,200,atomic,128,4.62667
96,cores,false,static,throughput,200,atomic,256,4.66
96,cores,false,static,throughput,200,atomic,512,5.25333
96,cores,false,static,throughput,infinite,tree,64,4.81333
96,cores,false,static,throughput,infinite,tree,128,4.56
96,cores,false,static,throughput,infinite,tree,256,4.72333
96,cores,false,static,throughput,infinite,tree,512,4.46667
96,cores,false,static,throughput,infinite,critical,64,4.66333
96,cores,false,static,throughput,infinite,critical,128,4.56
96,cores,false,static,throughput,infinite,critical,256,4.63333
96,cores,false,static,throughput,infinite,critical,512,4.52
96,cores,false,static,throughput,infinite,atomic,64,4.83333
96,cores,false,static,throughput,infinite,atomic,128,4.59
96,cores,false,static,throughput,infinite,atomic,256,4.77333
96,cores,false,static,throughput,infinite,atomic,512,4.53333
96,cores,false,static,turnaround,0,tree,64,13.25
96,cores,false,static,turnaround,0,tree,128,13.01
96,cores,false,static,turnaround,0,tree,256,13.2
96,cores,false,static,turnaround,0,tree,512,13.50667
96,cores,false,static,turnaround,0,critical,64,13.65333
96,cores,false,static,turnaround,0,critical,128,13.23667
96,cores,false,static,turnaround,0,critical,256,12.96
96,cores,false,static,turnaround,0,critical,512,12.69333
96,cores,false,static,turnaround,0,atomic,64,12.68
96,cores,false,static,turnaround,0,atomic,128,13.42667
96,cores,false,static,turnaround,0,atomic,256,13.08333
96,cores,false,static,turnaround,0,atomic,512,12.83
96,cores,false,static,turnaround,200,tree,64,4.81333
96,cores,false,static,turnaround,200,tree,128,4.50333
96,cores,false,static,turnaround,200,tree,256,4.46667
96,cores,false,static,turnaround,200,tree,512,4.63333
96,cores,false,static,turnaround,200,critical,64,4.45333
96,cores,false,static,turnaround,200,critical,128,4.42333
96,cores,false,static,turnaround,200,critical,256,4.96
96,cores,false,static,turnaround,200,critical,512,4.85
96,cores,false,static,turnaround,200,atomic,64,4.87667
96,cores,false,static,turnaround,200,atomic,128,4.70667
96,cores,false,static,turnaround,200,atomic,256,4.63667
96,cores,false,static,turnaround,200,atomic,512,4.53
96,cores,false,static,turnaround,infinite,tree,64,5.95333
96,cores,false,static,turnaround,infinite,tree,128,5.15
96,cores,false,static,turnaround,infinite,tree,256,4.97333
96,cores,false,static,turnaround,infinite,tree,512,4.67
96,cores,false,static,turnaround,infinite,critical,64,4.83
96,cores,false,static,turnaround,infinite,critical,128,4.60667
96,cores,false,static,turnaround,infinite,critical,256,4.89
96,cores,false,static,turnaround,infinite,critical,512,4.81667
96,cores,false,static,turnaround,infinite,atomic,64,4.51333
96,cores,false,static,turnaround,infinite,atomic,128,4.85
96,cores,false,static,turnaround,infinite,atomic,256,4.86
96,cores,false,static,turnaround,infinite,atomic,512,4.34667
96,cores,false,dynamic,throughput,0,tree,64,12.84333
96,cores,false,dynamic,throughput,0,tree,128,13.21667
96,cores,false,dynamic,throughput,0,tree,256,12.88667
96,cores,false,dynamic,throughput,0,tree,512,13.5
96,cores,false,dynamic,throughput,0,critical,64,12.73667
96,cores,false,dynamic,throughput,0,critical,128,12.91
96,cores,false,dynamic,throughput,0,critical,256,13.10333
96,cores,false,dynamic,throughput,0,critical,512,13.31667
96,cores,false,dynamic,throughput,0,atomic,64,13.50333
96,cores,false,dynamic,throughput,0,atomic,128,13.06667
