OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,false,static,throughput,0,tree,64,28.88667
96,cores,false,static,throughput,0,tree,128,27.25
96,cores,false,static,throughput,0,tree,256,28.20333
96,cores,false,static,throughput,0,tree,512,28.72667
96,cores,false,static,throughput,0,critical,64,30.08
96,cores,false,static,throughput,0,critical,128,28.46667
96,cores,false,static,throughput,0,critical,256,27.93
96,cores,false,static,throughput,0,critical,512,27.10667
96,cores,false,static,throughput,0,atomic,64,27.87
96,cores,false,static,throughput,0,atomic,128,27.93333
96,cores,false,static,throughput,0,atomic,256,27.35667
96,cores,false,static,throughput,0,atomic,512,28.78
96,cores,false,static,throughput,200,tree,64,21.59667
96,cores,false,static,throughput,200,tree,128,22.56333
96,cores,false,static,throughput,200,tree,256,21.13
96,cores,false,static,throughput,200,tree,512,22.21
96,cores,false,static,throughput,200,critical,64,23.24
96,cores,false,static,throughput,200,critical,128,22.15333
96,cores,false,static,throughput,200,critical,256,22.53
96,cores,false,static,throughput,200,critical,512,21.27
96,cores,false,static,throughput,200,atomic,64,20.77667
96,cores,false,static,throughput,200,atomic,128,21.96333
96,cores,false,static,throughput,200,atomic,256,23.37
96,cores,false,static,throughput,200,atomic,512,22.00667
96,cores,false,static,throughput,infinite,tree,64,22.16667
96,cores,false,static,throughput,infinite,tree,128,21.40667
96,cores,false,static,throughput,infinite,tree,256,21.51667
96,cores,false,static,throughput,infinite,tree,512,23.22667
96,cores,false,static,throughput,infinite,critical,64,24.25
96,cores,false,static,throughput,infinite,critical,128,21.93333
96,cores,false,static,throughput,infinite,critical,256,23.94667
96,cores,false,static,throughput,infinite,critical,512,22.14667
96,cores,false,static,throughput,infinite,atomic,64,22.86667
96,cores,false,static,throughput,infinite,atomic,128,21.81
96,cores,false,static,throughput,infinite,atomic,256,21.48333
96,cores,false,static,throughput,infinite,atomic,512,25.41667
96,cores,false,static,turnaround,0,tree,64,29.27333
96,cores,false,static,turnaround,0,tree,128,27.90667
96,cores,false,static,turnaround,0,tree,256,28.16667
96,cores,false,static,turnaround,0,tree,512,28.78667
96,cores,false,static,turnaround,0,critical,64,28.68667
96,cores,false,static,turnaround,0,critical,128,28.17667
96,cores,false,static,turnaround,0,critical,256,27.75
96,cores,false,static,turnaround,0,critical,512,29.02667
96,cores,false,static,turnaround,0,atomic,64,28.23667
96,cores,false,static,turnaround,0,atomic,128,28.06333
96,cores,false,static,turnaround,0,atomic,256,27.38667
96,cores,false,static,turnaround,0,atomic,512,28.63667
96,cores,false,static,turnaround,200,tree,64,21.94667
96,cores,false,static,turnaround,200,tree,128,22.4
96,cores,false,static,turnaround,200,tree,256,22.05333
96,cores,false,static,turnaround,200,tree,512,20.90333
96,cores,false,static,turnaround,200,critical,64,21.35333
96,cores,false,static,turnaround,200,critical,128,23.91667
96,cores,false,static,turnaround,200,critical,256,22.12333
96,cores,false,static,turnaround,200,critical,512,21.87
96,cores,false,static,turnaround,200,atomic,64,20.9
96,cores,false,static,turnaround,200,atomic,128,23.65
96,cores,false,static,turnaround,200,atomic,256,22.34333
96,cores,false,static,turnaround,200,atomic,512,22.46
96,cores,false,static,turnaround,infinite,tree,64,21.96333
96,cores,false,static,turnaround,infinite,tree,128,22.81333
96,cores,false,static,turnaround,infinite,tree,256,21.32333
96,cores,false,static,turnaround,infinite,tree,512,23.28333
96,cores,false,static,turnaround,infinite,critical,64,22.77667
96,cores,false,static,turnaround,infinite,critical,128,24.82
96,cores,false,static,turnaround,infinite,critical,256,21.82667
96,cores,false,static,turnaround,infinite,critical,512,22.25667
96,cores,false,static,turnaround,infinite,atomic,64,23.98333
96,cores,false,static,turnaround,infinite,atomic,128,22.61667
96,cores,false,static,turnaround,infinite,atomic,256,21.52667
96,cores,false,static,turnaround,infinite,atomic,512,21.15667
96,cores,false,dynamic,throughput,0,tree,64,28.34
96,cores,false,dynamic,throughput,0,tree,128,27.54667
96,cores,false,dynamic,throughput,0,tree,256,28.07667
96,cores,false,dynamic,throughput,0,tree,512,28.27667
96,cores,false,dynamic,throughput,0,critical,64,29.86333
96,cores,false,dynamic,throughput,0,critical,128,27.08
96,cores,false,dynamic,throughput,0,critical,256,27.46333
96,cores,false,dynamic,throughput,0,critical,512,28.05667
96,cores,false,dynamic,throughput,0,atomic,64,28.13667
96,cores,false,dynamic,throughput,0,atomic,128,28.52333
96,cores,false,dynamic,throughput,0,atomic,256,27.62667
96,cores,false,dynamic,throughput,0,atomic,512,28.07667
96,cores,false,dynamic,throughput,200,tree,64,23.36667
96,cores,false,dynamic,throughput,200,tree,128,23.93
96,cores,false,dynamic,throughput,200,tree,256,22.49667
96,cores,false,dynamic,throughput,200,tree,512,23.19667
96,cores,false,dynamic,throughput,200,critical,64,24.01333
96,cores,false,dynamic,throughput,200,critical,128,23.95
96,cores,false,dynamic,throughput,200,critical,256,21.89
96,cores,false,dynamic,throughput,200,critical,512,21.97333
96,cores,false,dynamic,throughput,200,atomic,64,23.42667
96,cores,false,dynamic,throughput,200,atomic,128,21.36333
96,cores,false,dynamic,throughput,200,atomic,256,21.47
96,cores,false,dynamic,throughput,200,atomic,512,21.78667
96,cores,false,dynamic,throughput,infinite,tree,64,23.15333
96,cores,false,dynamic,throughput,infinite,tree,128,24.69333
96,cores,false,dynamic,throughput,infinite,tree,256,22.51333
96,cores,false,dynamic,throughput,infinite,tree,512,22.38667
96,cores,false,dynamic,throughput,infinite,critical,64,21.35667
96,cores,false,dynamic,throughput,infinite,critical,128,23.04667
96,cores,false,dynamic,throughput,infinite,critical,256,21.40333
96,cores,false,dynamic,throughput,infinite,critical,512,22.24
96,cores,false,dynamic,throughput,infinite,atomic,64,22.26333
96,cores,false,dynamic,throughput,infinite,atomic,128,21.82
96,cores,false,dynamic,throughput,infinite,atomic,256,22.34
96,cores,false,dynamic,throughput,infinite,atomic,512,21.77667
96,cores,false,dynamic,turnaround,0,tree,64,30.97
96,cores,false,dynamic,turnaround,0,tree,128,27.81333
96,cores,false,dynamic,turnaround,0,tree,256,27.42333
96,cores,false,dynamic,turnaround,0,tree,512,27.85333
96,cores,false,dynamic,turnaround,0,critical,64,29.02667
96,cores,false,dynamic,turnaround,0,critical,128,28.41667
96,cores,false,dynamic,turnaround,0,critical,256,27.87333
96,cores,false,dynamic,turnaround,0,critical,512,28.10333
96,cores,false,dynamic,turnaround,0,atomic,64,28.37333
96,cores,false,dynamic,turnaround,0,atomic,128,27.42
96,cores,false,dynamic,turnaround,0,atomic,256,27.01667
96,cores,false,dynamic,turnaround,0,atomic,512,29.77667
96,cores,false,dynamic,turnaround,200,tree,64,22.99
96,cores,false,dynamic,turnaround,200,tree,128,21.7
96,cores,false,dynamic,turnaround,200,tree,256,22.14667
96,cores,false,dynamic,turnaround,200,tree,512,20.84667
96,cores,false,dynamic,turnaround,200,critical,64,22.54667
96,cores,false,dynamic,turnaround,200,critical,128,22.10333
96,cores,false,dynamic,turnaround,200,critical,256,23.11667
96,cores,false,dynamic,turnaround,200,critical,512,23.12667
96,cores,false,dynamic,turnaround,200,atomic,64,20.86333
96,cores,false,dynamic,turnaround,200,atomic,128,22.83667
96,cores,false,dynamic,turnaround,200,atomic,256,21.09
96,cores,false,dynamic,turnaround,200,atomic,512,21.78333
96,cores,false,dynamic,turnaround,infinite,tree,64,21.83333
96,cores,false,dynamic,turnaround,infinite,tree,128,21.76
96,cores,false,dynamic,turnaround,infinite,tree,256,22.69333
96,cores,false,dynamic,turnaround,infinite,tree,512,24.36333
96,cores,false,dynamic,turnaround,infinite,critical,64,22.95667
96,cores,false,dynamic,turnaround,infinite,critical,128,20.59667
96,cores,false,dynamic,turnaround,infinite,critical,256,21.44
96,cores,false,dynamic,turnaround,infinite,critical,512,21.68
96,cores,false,dynamic,turnaround,infinite,atomic,64,22.08
96,cores,false,dynamic,turnaround,infinite,atomic,128,22.85
96,cores,false,dynamic,turnaround,infinite,atomic,256,22.39333
96,cores,false,dynamic,turnaround,infinite,atomic,512,22.35
96,cores,false,guided,throughput,0,tree,64,27.98667
96,cores,false,guided,throughput,0,tree,128,28.72
96,cores,false,guided,throughput,0,tree,256,27.4
96,cores,false,guided,throughput,0,tree,512,28.55
96,cores,false,guided,throughput,0,critical,64,27.60333
96,cores,false,guided,throughput,0,critical,128,28.63333
96,cores,false,guided,throughput,0,critical,256,28.82333
96,cores,false,guided,throughput,0,critical,512,29.20667
96,cores,false,guided,throughput,0,atomic,64,27.64333
96,cores,false,guided,throughput,0,atomic,128,27.68
96,cores,false,guided,throughput,0,atomic,256,28.44
96,cores,false,guided,throughput,0,atomic,512,28.82667
96,cores,false,guided,throughput,200,tree,64,20.96333
96,cores,false,guided,throughput,200,tree,128,21.46
96,cores,false,guided,throughput,200,tree,256,22.20333
96,cores,false,guided,throughput,200,tree,512,22.48667
