OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,false,static,throughput,0,tree,64,0.42667
96,cores,false,static,throughput,0,tree,128,0.42333
96,cores,false,static,throughput,0,tree,256,0.42333
96,cores,false,static,throughput,0,tree,512,0.42333
96,cores,false,static,throughput,0,critical,64,0.42333
96,cores,false,static,throughput,0,critical,128,0.42333
96,cores,false,static,throughput,0,critical,256,0.42333
96,cores,false,static,throughput,0,critical,512,0.42667
96,cores,false,static,throughput,0,atomic,64,0.43333
96,cores,false,static,throughput,0,atomic,128,0.43
96,cores,false,static,throughput,0,atomic,256,0.43
96,cores,false,static,throughput,0,atomic,512,0.43
96,cores,false,static,throughput,200,tree,64,0.08667
96,cores,false,static,throughput,200,tree,128,0.09
96,cores,false,static,throughput,200,tree,256,0.09
96,cores,false,static,throughput,200,tree,512,0.09
96,cores,false,static,throughput,200,critical,64,0.13
96,cores,false,static,throughput,200,critical,128,0.12667
96,cores,false,static,throughput,200,critical,256,0.12333
96,cores,false,static,throughput,200,critical,512,0.11333
96,cores,false,static,throughput,200,atomic,64,0.08667
96,cores,false,static,throughput,200,atomic,128,0.09333
96,cores,false,static,throughput,200,atomic,256,0.09
96,cores,false,static,throughput,200,atomic,512,0.09
96,cores,false,static,throughput,infinite,tree,64,0.08667
96,cores,false,static,throughput,infinite,tree,128,0.08333
96,cores,false,static,throughput,infinite,tree,256,0.09
96,cores,false,static,throughput,infinite,tree,512,0.09
96,cores,false,static,throughput,infinite,critical,64,0.13
96,cores,false,static,throughput,infinite,critical,128,0.12667
96,cores,false,static,throughput,infinite,critical,256,0.13333
96,cores,false,static,throughput,infinite,critical,512,0.13
96,cores,false,static,throughput,infinite,atomic,64,0.10333
96,cores,false,static,throughput,infinite,atomic,128,0.09667
96,cores,false,static,throughput,infinite,atomic,256,0.09667
96,cores,false,static,throughput,infinite,atomic,512,0.09667
96,cores,false,static,turnaround,0,tree,64,0.42667
96,cores,false,static,turnaround,0,tree,128,0.42667
96,cores,false,static,turnaround,0,tree,256,0.43
96,cores,false,static,turnaround,0,tree,512,0.42667
96,cores,false,static,turnaround,0,critical,64,0.42667
96,cores,false,static,turnaround,0,critical,128,0.42667
96,cores,false,static,turnaround,0,critical,256,0.42333
96,cores,false,static,turnaround,0,critical,512,0.43
96,cores,false,static,turnaround,0,atomic,64,0.43333
96,cores,false,static,turnaround,0,atomic,128,0.42667
96,cores,false,static,turnaround,0,atomic,256,0.43
96,cores,false,static,turnaround,0,atomic,512,0.43667
96,cores,false,static,turnaround,200,tree,64,0.07667
96,cores,false,static,turnaround,200,tree,128,0.08333
96,cores,false,static,turnaround,200,tree,256,0.09667
96,cores,false,static,turnaround,200,tree,512,0.08667
96,cores,false,static,turnaround,200,critical,64,0.13333
96,cores,false,static,turnaround,200,critical,128,0.13
96,cores,false,static,turnaround,200,critical,256,0.13333
96,cores,false,static,turnaround,200,critical,512,0.10667
96,cores,false,static,turnaround,200,atomic,64,0.07667
96,cores,false,static,turnaround,200,atomic,128,0.08
96,cores,false,static,turnaround,200,atomic,256,0.07667
96,cores,false,static,turnaround,200,atomic,512,0.06
96,cores,false,static,turnaround,infinite,tree,64,0.07333
96,cores,false,static,turnaround,infinite,tree,128,0.07333
96,cores,false,static,turnaround,infinite,tree,256,0.07333
96,cores,false,static,turnaround,infinite,tree,512,0.06667
96,cores,false,static,turnaround,infinite,critical,64,0.11667
96,cores,false,static,turnaround,infinite,critical,128,0.11
96,cores,false,static,turnaround,infinite,critical,256,0.10667
96,cores,false,static,turnaround,infinite,critical,512,0.09
96,cores,false,static,turnaround,infinite,atomic,64,0.06
96,cores,false,static,turnaround,infinite,atomic,128,0.06
96,cores,false,static,turnaround,infinite,atomic,256,0.06333
96,cores,false,static,turnaround,infinite,atomic,512,0.08
96,cores,false,dynamic,throughput,0,tree,64,0.42667
96,cores,false,dynamic,throughput,0,tree,128,0.42667
96,cores,false,dynamic,throughput,0,tree,256,0.42667
96,cores,false,dynamic,throughput,0,tree,512,0.42667
96,cores,false,dynamic,throughput,0,critical,64,0.42667
96,cores,false,dynamic,throughput,0,critical,128,0.41
96,cores,false,dynamic,throughput,0,critical,256,0.41333
