OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,false,static,throughput,0,tree,64,3.68
96,cores,false,static,throughput,0,tree,128,3.19667
96,cores,false,static,throughput,0,tree,256,3.46667
96,cores,false,static,throughput,0,tree,512,3.37333
96,cores,false,static,throughput,0,critical,64,3.46
96,cores,false,static,throughput,0,critical,128,3.53
96,cores,false,static,throughput,0,critical,256,3.42333
96,cores,false,static,throughput,0,critical,512,3.51333
96,cores,false,static,throughput,0,atomic,64,3.39667
96,cores,false,static,throughput,0,atomic,128,3.55667
96,cores,false,static,throughput,0,atomic,256,3.68667
96,cores,false,static,throughput,0,atomic,512,3.59
96,cores,false,static,throughput,200,tree,64,1.47333
96,cores,false,static,throughput,200,tree,128,1.77
96,cores,false,static,throughput,200,tree,256,1.58333
96,cores,false,static,throughput,200,tree,512,1.5
96,cores,false,static,throughput,200,critical,64,1.79
96,cores,false,static,throughput,200,critical,128,1.77667
96,cores,false,static,throughput,200,critical,256,1.8
96,cores,false,static,throughput,200,critical,512,1.7
96,cores,false,static,throughput,200,atomic,64,1.62333
96,cores,false,static,throughput,200,atomic,128,1.70333
96,cores,false,static,throughput,200,atomic,256,1.45333
96,cores,false,static,throughput,200,atomic,512,1.85667
96,cores,false,static,throughput,infinite,tree,64,1.85333
96,cores,false,static,throughput,infinite,tree,128,1.38667
96,cores,false,static,throughput,infinite,tree,256,1.53333
96,cores,false,static,throughput,infinite,tree,512,1.51667
96,cores,false,static,throughput,infinite,critical,64,1.74333
96,cores,false,static,throughput,infinite,critical,128,1.86333
96,cores,false,static,throughput,infinite,critical,256,1.54667
96,cores,false,static,throughput,infinite,critical,512,1.71
96,cores,false,static,throughput,infinite,atomic,64,1.72
96,cores,false,static,throughput,infinite,atomic,128,1.75667
96,cores,false,static,throughput,infinite,atomic,256,1.7
96,cores,false,static,throughput,infinite,atomic,512,1.77667
96,cores,false,static,turnaround,0,tree,64,3.69333
96,cores,false,static,turnaround,0,tree,128,3.52333
96,cores,false,static,turnaround,0,tree,256,3.68
96,cores,false,static,turnaround,0,tree,512,3.56
96,cores,false,static,turnaround,0,critical,64,3.43333
96,cores,false,static,turnaround,0,critical,128,3.36
96,cores,false,static,turnaround,0,critical,256,3.41667
96,cores,false,static,turnaround,0,critical,512,3.73333
96,cores,false,static,turnaround,0,atomic,64,3.65667
96,cores,false,static,turnaround,0,atomic,128,3.48
96,cores,false,static,turnaround,0,atomic,256,3.57333
96,cores,false,static,turnaround,0,atomic,512,3.65667
96,cores,false,static,turnaround,200,tree,64,1.48
96,cores,false,static,turnaround,200,tree,128,1.90667
96,cores,false,static,turnaround,200,tree,256,1.57667
96,cores,false,static,turnaround,200,tree,512,1.57667
96,cores,false,static,turnaround,200,critical,64,1.93333
96,cores,false,static,turnaround,200,critical,128,1.9
96,cores,false,static,turnaround,200,critical,256,1.94
96,cores,false,static,turnaround,200,critical,512,1.77667
96,cores,false,static,turnaround,200,atomic,64,1.73667
96,cores,false,static,turnaround,200,atomic,128,1.68667
96,cores,false,static,turnaround,200,atomic,256,1.83
96,cores,false,static,turnaround,200,atomic,512,1.87667
96,cores,false,static,turnaround,infinite,tree,64,1.66
96,cores,false,static,turnaround,infinite,tree,128,1.61
96,cores,false,static,turnaround,infinite,tree,256,1.81
96,cores,false,static,turnaround,infinite,tree,512,1.63333
96,cores,false,static,turnaround,infinite,critical,64,1.82
96,cores,false,static,turnaround,infinite,critical,128,1.86
96,cores,false,static,turnaround,infinite,critical,256,1.75333
96,cores,false,static,turnaround,infinite,critical,512,1.61333
96,cores,false,static,turnaround,infinite,atomic,64,1.66333
96,cores,false,static,turnaround,infinite,atomic,128,1.75
96,cores,false,static,turnaround,infinite,atomic,256,1.87333
96,cores,false,static,turnaround,infinite,atomic,512,1.48
96,cores,false,dynamic,throughput,0,tree,64,3.42333
96,cores,false,dynamic,throughput,0,tree,128,3.59667
96,cores,false,dynamic,throughput,0,tree,256,3.27667
96,cores,false,dynamic,throughput,0,tree,512,3.57667
96,cores,false,dynamic,throughput,0,critical,64,3.29667
96,cores,false,dynamic,throughput,0,critical,128,3.48
96,cores,false,dynamic,throughput,0,critical,256,3.62333
96,cores,false,dynamic,throughput,0,critical,512,3.63667
96,cores,false,dynamic,throughput,0,atomic,64,3.57
96,cores,false,dynamic,throughput,0,atomic,128,3.55
96,cores,false,dynamic,throughput,0,atomic,256,3.57
96,cores,false,dynamic,throughput,0,atomic,512,3.49333
96,cores,false,dynamic,throughput,200,tree,64,1.58
96,cores,false,dynamic,throughput,200,tree,128,1.52667
96,cores,false,dynamic,throughput,200,tree,256,1.42667
96,cores,false,dynamic,throughput,200,tree,512,1.47667
96,cores,false,dynamic,throughput,200,critical,64,1.96667
96,cores,false,dynamic,throughput,200,critical,128,1.95333
96,cores,false,dynamic,throughput,200,critical,256,2.27667
96,cores,false,dynamic,throughput,200,critical,512,2.03333
96,cores,false,dynamic,throughput,200,atomic,64,1.52667
96,cores,false,dynamic,throughput,200,atomic,128,1.61333
96,cores,false,dynamic,throughput,200,atomic,256,1.79333
96,cores,false,dynamic,throughput,200,atomic,512,1.86
96,cores,false,dynamic,throughput,infinite,tree,64,1.37667
96,cores,false,dynamic,throughput,infinite,tree,128,1.64667
96,cores,false,dynamic,throughput,infinite,tree,256,1.42
96,cores,false,dynamic,throughput,infinite,tree,512,1.71333
96,cores,false,dynamic,throughput,infinite,critical,64,2.10333
96,cores,false,dynamic,throughput,infinite,critical,128,1.83
96,cores,false,dynamic,throughput,infinite,critical,256,1.72667
96,cores,false,dynamic,throughput,infinite,critical,512,1.80667
96,cores,false,dynamic,throughput,infinite,atomic,64,1.73667
96,cores,false,dynamic,throughput,infinite,atomic,128,2.10667
96,cores,false,dynamic,throughput,infinite,atomic,256,1.61
96,cores,false,dynamic,throughput,infinite,atomic,512,1.81333
96,cores,false,dynamic,turnaround,0,tree,64,3.63333
96,cores,false,dynamic,turnaround,0,tree,128,3.51333
96,cores,false,dynamic,turnaround,0,tree,256,3.42667
96,cores,false,dynamic,turnaround,0,tree,512,3.48667
96,cores,false,dynamic,turnaround,0,critical,64,3.60667
96,cores,false,dynamic,turnaround,0,critical,128,3.57
96,cores,false,dynamic,turnaround,0,critical,256,3.57667
96,cores,false,dynamic,turnaround,0,critical,512,3.46667
96,cores,false,dynamic,turnaround,0,atomic,64,3.48
96,cores,false,dynamic,turnaround,0,atomic,128,3.66
96,cores,false,dynamic,turnaround,0,atomic,256,3.60333
96,cores,false,dynamic,turnaround,0,atomic,512,3.52667
96,cores,false,dynamic,turnaround,200,tree,64,1.40333
96,cores,false,dynamic,turnaround,200,tree,128,1.95333
96,cores,false,dynamic,turnaround,200,tree,256,1.75333
96,cores,false,dynamic,turnaround,200,tree,512,1.61
96,cores,false,dynamic,turnaround,200,critical,64,2.33667
96,cores,false,dynamic,turnaround,200,critical,128,1.88
96,cores,false,dynamic,turnaround,200,critical,256,1.66
96,cores,false,dynamic,turnaround,200,critical,512,1.56
96,cores,false,dynamic,turnaround,200,atomic,64,1.52333
96,cores,false,dynamic,turnaround,200,atomic,128,1.55
