OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,false,static,throughput,0,tree,64,6.18667
96,cores,false,static,throughput,0,tree,128,5.65333
96,cores,false,static,throughput,0,tree,256,4.86667
96,cores,false,static,throughput,0,tree,512,5.71667
96,cores,false,static,throughput,0,critical,64,5.41
96,cores,false,static,throughput,0,critical,128,5.25333
96,cores,false,static,throughput,0,critical,256,5.51333
96,cores,false,static,throughput,0,critical,512,5.10333
96,cores,false,static,throughput,0,atomic,64,5.75667
96,cores,false,static,throughput,0,atomic,128,5.64
96,cores,false,static,throughput,0,atomic,256,5.15
96,cores,false,static,throughput,0,atomic,512,6.23667
96,cores,false,static,throughput,200,tree,64,4.28333
96,cores,false,static,throughput,200,tree,128,3.72667
96,cores,false,static,throughput,200,tree,256,4.21333
96,cores,false,static,throughput,200,tree,512,4.02333
96,cores,false,static,throughput,200,critical,64,4.17667
96,cores,false,static,throughput,200,critical,128,4.16667
96,cores,false,static,throughput,200,critical,256,4.37667
96,cores,false,static,throughput,200,critical,512,4.58333
96,cores,false,static,throughput,200,atomic,64,4.01
96,cores,false,static,throughput,200,atomic,128,4.65
96,cores,false,static,throughput,200,atomic,256,3.8
96,cores,false,static,throughput,200,atomic,512,4.39333
96,cores,false,static,throughput,infinite,tree,64,3.45667
96,cores,false,static,throughput,infinite,tree,128,3.23
96,cores,false,static,throughput,infinite,tree,256,3.4
96,cores,false,static,throughput,infinite,tree,512,3.74
96,cores,false,static,throughput,infinite,critical,64,4.14333
96,cores,false,static,throughput,infinite,critical,128,3.46
96,cores,false,static,throughput,infinite,critical,256,3.64
96,cores,false,static,throughput,infinite,critical,512,4.2
96,cores,false,static,throughput,infinite,atomic,64,4.09
96,cores,false,static,throughput,infinite,atomic,128,4.07333
96,cores,false,static,throughput,infinite,atomic,256,3.63333
96,cores,false,static,throughput,infinite,atomic,512,3.43667
96,cores,false,static,turnaround,0,tree,64,5.78
96,cores,false,static,turnaround,0,tree,128,6.11
96,cores,false,static,turnaround,0,tree,256,5.32667
96,cores,false,static,turnaround,0,tree,512,5.08667
96,cores,false,static,turnaround,0,critical,64,5.56667
96,cores,false,static,turnaround,0,critical,128,5.47667
96,cores,false,static,turnaround,0,critical,256,5.91667
96,cores,false,static,turnaround,0,critical,512,5.24333
96,cores,false,static,turnaround,0,atomic,64,4.83
96,cores,false,static,turnaround,0,atomic,128,5.34
96,cores,false,static,turnaround,0,atomic,256,5.66
96,cores,false,static,turnaround,0,atomic,512,5.31667
96,cores,false,static,turnaround,200,tree,64,3.83
96,cores,false,static,turnaround,200,tree,128,3.96
96,cores,false,static,turnaround,200,tree,256,4.29667
96,cores,false,static,turnaround,200,tree,512,3.8
96,cores,false,static,turnaround,200,critical,64,4.00667
96,cores,false,static,turnaround,200,critical,128,4.33333
96,cores,false,static,turnaround,200,critical,256,4.65
96,cores,false,static,turnaround,200,critical,512,4.56667
96,cores,false,static,turnaround,200,atomic,64,4.52333
96,cores,false,static,turnaround,200,atomic,128,3.64667
96,cores,false,static,turnaround,200,atomic,256,4.23333
96,cores,false,static,turnaround,200,atomic,512,4.16
96,cores,false,static,turnaround,infinite,tree,64,3.94333
96,cores,false,static,turnaround,infinite,tree,128,4.07
96,cores,false,static,turnaround,infinite,tree,256,4.25
96,cores,false,static,turnaround,infinite,tree,512,4.48
96,cores,false,static,turnaround,infinite,critical,64,4.26333
96,cores,false,static,turnaround,infinite,critical,128,4.06667
96,cores,false,static,turnaround,infinite,critical,256,4.51667
96,cores,false,static,turnaround,infinite,critical,512,4.50667
96,cores,false,static,turnaround,infinite,atomic,64,3.66667
96,cores,false,static,turnaround,infinite,atomic,128,3.72333
96,cores,false,static,turnaround,infinite,atomic,256,3.68667
96,cores,false,static,turnaround,infinite,atomic,512,4.37333
96,cores,false,dynamic,throughput,0,tree,64,6.07333
96,cores,false,dynamic,throughput,0,tree,128,5.46333
96,cores,false,dynamic,throughput,0,tree,256,4.84
96,cores,false,dynamic,throughput,0,tree,512,5.72667
96,cores,false,dynamic,throughput,0,critical,64,5.44667
96,cores,false,dynamic,throughput,0,critical,128,5.35667
96,cores,false,dynamic,throughput,0,critical,256,4.51
96,cores,false,dynamic,throughput,0,critical,512,5.6
96,cores,false,dynamic,throughput,0,atomic,64,5.67667
96,cores,false,dynamic,throughput,0,atomic,128,5.34333
96,cores,false,dynamic,throughput,0,atomic,256,6.17667
96,cores,false,dynamic,throughput,0,atomic,512,5.71
96,cores,false,dynamic,throughput,200,tree,64,4.24333
96,cores,false,dynamic,throughput,200,tree,128,3.92667
96,cores,false,dynamic,throughput,200,tree,256,4.26
96,cores,false,dynamic,throughput,200,tree,512,3.98667
96,cores,false,dynamic,throughput,200,critical,64,4.29667
96,cores,false,dynamic,throughput,200,critical,128,4.99333
96,cores,false,dynamic,throughput,200,critical,256,4.81333
96,cores,false,dynamic,throughput,200,critical,512,4.24667
96,cores,false,dynamic,throughput,200,atomic,64,4.38667
96,cores,false,dynamic,throughput,200,atomic,128,4.04667
96,cores,false,dynamic,throughput,200,atomic,256,4.34333
96,cores,false,dynamic,throughput,200,atomic,512,3.59667
96,cores,false,dynamic,throughput,infinite,tree,64,3.56333
96,cores,false,dynamic,throughput,infinite,tree,128,4.19667
96,cores,false,dynamic,throughput,infinite,tree,256,3.54667
96,cores,false,dynamic,throughput,infinite,tree,512,4.20667
