OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,false,static,throughput,0,tree,64,6.97333
96,cores,false,static,throughput,0,tree,128,7.02667
96,cores,false,static,throughput,0,tree,256,7.06667
96,cores,false,static,throughput,0,tree,512,6.97667
96,cores,false,static,throughput,0,critical,64,6.96667
96,cores,false,static,throughput,0,critical,128,7.08667
96,cores,false,static,throughput,0,critical,256,6.98333
96,cores,false,static,throughput,0,critical,512,7.02667
96,cores,false,static,throughput,0,atomic,64,6.97333
96,cores,false,static,throughput,0,atomic,128,6.96
96,cores,false,static,throughput,0,atomic,256,6.93333
96,cores,false,static,throughput,0,atomic,512,7.00333
96,cores,false,static,throughput,200,tree,64,7.68667
96,cores,false,static,throughput,200,tree,128,8.10667
96,cores,false,static,throughput,200,tree,256,7.91333
96,cores,false,static,throughput,200,tree,512,7.91667
96,cores,false,static,throughput,200,critical,64,8.16333
96,cores,false,static,throughput,200,critical,128,7.79667
96,cores,false,static,throughput,200,critical,256,7.93333
96,cores,false,static,throughput,200,critical,512,8.24333
96,cores,false,static,throughput,200,atomic,64,8.09333
96,cores,false,static,throughput,200,atomic,128,7.97
96,cores,false,static,throughput,200,atomic,256,8.02333
96,cores,false,static,throughput,200,atomic,512,7.94667
96,cores,false,static,throughput,infinite,tree,64,13.06333
96,cores,false,static,throughput,infinite,tree,128,10.53333
96,cores,false,static,throughput,infinite,tree,256,12.71
96,cores,false,static,throughput,infinite,tree,512,12.66
96,cores,false,static,throughput,infinite,critical,64,11.51333
96,cores,false,static,throughput,infinite,critical,128,12.67
96,cores,false,static,throughput,infinite,critical,256,11.73333
96,cores,false,static,throughput,infinite,critical,512,12.65667
96,cores,false,static,throughput,infinite,atomic,64,10.87
96,cores,false,static,throughput,infinite,atomic,128,12.87333
96,cores,false,static,throughput,infinite,atomic,256,9.72
96,cores,false,static,throughput,infinite,atomic,512,11.03667
96,cores,false,static,turnaround,0,tree,64,7.04667
96,cores,false,static,turnaround,0,tree,128,6.97667
96,cores,false,static,turnaround,0,tree,256,6.98
96,cores,false,static,turnaround,0,tree,512,6.98333
96,cores,false,static,turnaround,0,critical,64,6.97667
96,cores,false,static,turnaround,0,critical,128,6.97667
96,cores,false,static,turnaround,0,critical,256,6.99667
96,cores,false,static,turnaround,0,critical,512,7.0
96,cores,false,static,turnaround,0,atomic,64,6.94667
96,cores,false,static,turnaround,0,atomic,128,6.95
96,cores,false,static,turnaround,0,atomic,256,6.99667
96,cores,false,static,turnaround,0,atomic,512,7.3
96,cores,false,static,turnaround,200,tree,64,8.22667
96,cores,false,static,turnaround,200,tree,128,7.93333
96,cores,false,static,turnaround,200,tree,256,8.20667
96,cores,false,static,turnaround,200,tree,512,7.81
96,cores,false,static,turnaround,200,critical,64,8.06333
96,cores,false,static,turnaround,200,critical,128,8.15333
96,cores,false,static,turnaround,200,critical,256,8.28667
96,cores,false,static,turnaround,200,critical,512,7.94667
96,cores,false,static,turnaround,200,atomic,64,8.26
96,cores,false,static,turnaround,200,atomic,128,7.72333
96,cores,false,static,turnaround,200,atomic,256,7.84
96,cores,false,static,turnaround,200,atomic,512,7.62667
96,cores,false,static,turnaround,infinite,tree,64,11.65
96,cores,false,static,turnaround,infinite,tree,128,10.96
96,cores,false,static,turnaround,infinite,tree,256,9.78
96,cores,false,static,turnaround,infinite,tree,512,11.04333
96,cores,false,static,turnaround,infinite,critical,64,11.50667
96,cores,false,static,turnaround,infinite,critical,128,12.66667
96,cores,false,static,turnaround,infinite,critical,256,12.66
96,cores,false,static,turnaround,infinite,critical,512,12.78667
96,cores,false,static,turnaround,infinite,atomic,64,11.65
96,cores,false,static,turnaround,infinite,atomic,128,11.61667
96,cores,false,static,turnaround,infinite,atomic,256,11.76667
96,cores,false,static,turnaround,infinite,atomic,512,10.96333
96,cores,false,dynamic,throughput,0,tree,64,7.01333
96,cores,false,dynamic,throughput,0,tree,128,7.07
96,cores,false,dynamic,throughput,0,tree,256,7.0
96,cores,false,dynamic,throughput,0,tree,512,7.01667
96,cores,false,dynamic,throughput,0,critical,64,6.97667
96,cores,false,dynamic,throughput,0,critical,128,6.95
96,cores,false,dynamic,throughput,0,critical,256,7.04333
96,cores,false,dynamic,throughput,0,critical,512,6.99333
96,cores,false,dynamic,throughput,0,atomic,64,6.96667
96,cores,false,dynamic,throughput,0,atomic,128,7.01
96,cores,false,dynamic,throughput,0,atomic,256,7.01
96,cores,false,dynamic,throughput,0,atomic,512,7.35333
96,cores,false,dynamic,throughput,200,tree,64,8.18667
96,cores,false,dynamic,throughput,200,tree,128,8.0
96,cores,false,dynamic,throughput,200,tree,256,8.13333
96,cores,false,dynamic,throughput,200,tree,512,8.22333
96,cores,false,dynamic,throughput,200,critical,64,8.24333
96,cores,false,dynamic,throughput,200,critical,128,7.83667
96,cores,false,dynamic,throughput,200,critical,256,7.61333
96,cores,false,dynamic,throughput,200,critical,512,8.28333
96,cores,false,dynamic,throughput,200,atomic,64,8.18667
96,cores,false,dynamic,throughput,200,atomic,128,8.04
96,cores,false,dynamic,throughput,200,atomic,256,7.71
96,cores,false,dynamic,throughput,200,atomic,512,7.73333
96,cores,false,dynamic,throughput,infinite,tree,64,12.72
96,cores,false,dynamic,throughput,infinite,tree,128,10.83667
96,cores,false,dynamic,throughput,infinite,tree,256,12.9
96,cores,false,dynamic,throughput,infinite,tree,512,9.74667
96,cores,false,dynamic,throughput,infinite,critical,64,12.93
96,cores,false,dynamic,throughput,infinite,critical,128,9.12667
96,cores,false,dynamic,throughput,infinite,critical,256,12.82667
96,cores,false,dynamic,throughput,infinite,critical,512,12.94667
96,cores,false,dynamic,throughput,infinite,atomic,64,11.85667
96,cores,false,dynamic,throughput,infinite,atomic,128,12.86667
96,cores,false,dynamic,throughput,infinite,atomic,256,12.1
96,cores,false,dynamic,throughput,infinite,atomic,512,11.39667
96,cores,false,dynamic,turnaround,0,tree,64,7.04667
96,cores,false,dynamic,turnaround,0,tree,128,6.93333
96,cores,false,dynamic,turnaround,0,tree,256,6.96333
96,cores,false,dynamic,turnaround,0,tree,512,6.99
96,cores,false,dynamic,turnaround,0,critical,64,6.99
96,cores,false,dynamic,turnaround,0,critical,128,7.05
96,cores,false,dynamic,turnaround,0,critical,256,6.97667
96,cores,false,dynamic,turnaround,0,critical,512,6.97
96,cores,false,dynamic,turnaround,0,atomic,64,7.04
96,cores,false,dynamic,turnaround,0,atomic,128,7.00333
96,cores,false,dynamic,turnaround,0,atomic,256,7.09667
96,cores,false,dynamic,turnaround,0,atomic,512,6.97333
96,cores,false,dynamic,turnaround,200,tree,64,7.64
96,cores,false,dynamic,turnaround,200,tree,128,8.03
96,cores,false,dynamic,turnaround,200,tree,256,8.36667
96,cores,false,dynamic,turnaround,200,tree,512,8.22333
96,cores,false,dynamic,turnaround,200,critical,64,7.87667
96,cores,false,dynamic,turnaround,200,critical,128,7.83667
96,cores,false,dynamic,turnaround,200,critical,256,8.15
96,cores,false,dynamic,turnaround,200,critical,512,8.21667
96,cores,false,dynamic,turnaround,200,atomic,64,8.04333
96,cores,false,dynamic,turnaround,200,atomic,128,8.14333
96,cores,false,dynamic,turnaround,200,atomic,256,7.66
96,cores,false,dynamic,turnaround,200,atomic,512,7.83667
96,cores,false,dynamic,turnaround,infinite,tree,64,11.78
96,cores,false,dynamic,turnaround,infinite,tree,128,12.77667
96,cores,false,dynamic,turnaround,infinite,tree,256,10.97667
96,cores,false,dynamic,turnaround,infinite,tree,512,11.17333
96,cores,false,dynamic,turnaround,infinite,critical,64,11.78
96,cores,false,dynamic,turnaround,infinite,critical,128,12.84667
96,cores,false,dynamic,turnaround,infinite,critical,256,10.79667
96,cores,false,dynamic,turnaround,infinite,critical,512,12.84333
96,cores,false,dynamic,turnaround,infinite,atomic,64,12.07333
96,cores,false,dynamic,turnaround,infinite,atomic,128,9.93333
96,cores,false,dynamic,turnaround,infinite,atomic,256,12.91
96,cores,false,dynamic,turnaround,infinite,atomic,512,12.70333
96,cores,false,guided,throughput,0,tree,64,7.03
96,cores,false,guided,throughput,0,tree,128,6.99333
96,cores,false,guided,throughput,0,tree,256,6.94333
96,cores,false,guided,throughput,0,tree,512,7.06667
96,cores,false,guided,throughput,0,critical,64,7.00333
96,cores,false,guided,throughput,0,critical,128,7.38333
96,cores,false,guided,throughput,0,critical,256,7.07667
96,cores,false,guided,throughput,0,critical,512,7.04
96,cores,false,guided,throughput,0,atomic,64,6.96667
96,cores,false,guided,throughput,0,atomic,128,7.02
96,cores,false,guided,throughput,0,atomic,256,6.98667
96,cores,false,guided,throughput,0,atomic,512,7.08667
96,cores,false,guided,throughput,200,tree,64,7.9
96,cores,false,guided,throughput,200,tree,128,7.9
96,cores,false,guided,throughput,200,tree,256,8.09
96,cores,false,guided,throughput,200,tree,512,8.23
96,cores,false,guided,throughput,200,critical,64,7.96333
96,cores,false,guided,throughput,200,critical,128,8.25333
96,cores,false,guided,throughput,200,critical,256,8.03667
