OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,false,static,throughput,0,tree,64,2.18333
96,cores,false,static,throughput,0,tree,128,2.33
96,cores,false,static,throughput,0,tree,256,2.18333
96,cores,false,static,throughput,0,tree,512,2.17333
96,cores,false,static,throughput,0,critical,64,2.36667
96,cores,false,static,throughput,0,critical,128,2.22667
96,cores,false,static,throughput,0,critical,256,2.13667
96,cores,false,static,throughput,0,critical,512,2.16
96,cores,false,static,throughput,0,atomic,64,2.17
96,cores,false,static,throughput,0,atomic,128,2.10333
96,cores,false,static,throughput,0,atomic,256,2.20667
96,cores,false,static,throughput,0,atomic,512,2.13667
96,cores,false,static,throughput,200,tree,64,1.89667
96,cores,false,static,throughput,200,tree,128,1.76333
96,cores,false,static,throughput,200,tree,256,1.79
96,cores,false,static,throughput,200,tree,512,1.87667
96,cores,false,static,throughput,200,critical,64,1.84
96,cores,false,static,throughput,200,critical,128,1.93667
96,cores,false,static,throughput,200,critical,256,1.73333
96,cores,false,static,throughput,200,critical,512,1.89
96,cores,false,static,throughput,200,atomic,64,1.71
96,cores,false,static,throughput,200,atomic,128,1.84
96,cores,false,static,throughput,200,atomic,256,1.82667
96,cores,false,static,throughput,200,atomic,512,1.84667
96,cores,false,static,throughput,infinite,tree,64,1.84333
96,cores,false,static,throughput,infinite,tree,128,1.86333
96,cores,false,static,throughput,infinite,tree,256,1.86333
96,cores,false,static,throughput,infinite,tree,512,1.83
96,cores,false,static,throughput,infinite,critical,64,1.85667
96,cores,false,static,throughput,infinite,critical,128,1.90667
96,cores,false,static,throughput,infinite,critical,256,1.92667
96,cores,false,static,throughput,infinite,critical,512,1.85333
96,cores,false,static,throughput,infinite,atomic,64,1.84333
96,cores,false,static,throughput,infinite,atomic,128,1.9
96,cores,false,static,throughput,infinite,atomic,256,1.98
96,cores,false,static,throughput,infinite,atomic,512,1.84333
96,cores,false,static,turnaround,0,tree,64,2.16333
96,cores,false,static,turnaround,0,tree,128,2.12
96,cores,false,static,turnaround,0,tree,256,2.14667
96,cores,false,static,turnaround,0,tree,512,2.19667
96,cores,false,static,turnaround,0,critical,64,2.27
96,cores,false,static,turnaround,0,critical,128,2.03333
96,cores,false,static,turnaround,0,critical,256,2.27
96,cores,false,static,turnaround,0,critical,512,2.13
96,cores,false,static,turnaround,0,atomic,64,2.27333
96,cores,false,static,turnaround,0,atomic,128,2.16333
96,cores,false,static,turnaround,0,atomic,256,2.24333
96,cores,false,static,turnaround,0,atomic,512,2.12333
96,cores,false,static,turnaround,200,tree,64,1.78
96,cores,false,static,turnaround,200,tree,128,1.87
96,cores,false,static,turnaround,200,tree,256,1.97667
96,cores,false,static,turnaround,200,tree,512,1.75667
96,cores,false,static,turnaround,200,critical,64,1.80333
96,cores,false,static,turnaround,200,critical,128,1.85333
96,cores,false,static,turnaround,200,critical,256,1.89
96,cores,false,static,turnaround,200,critical,512,1.8
96,cores,false,static,turnaround,200,atomic,64,1.74
96,cores,false,static,turnaround,200,atomic,128,1.82333
96,cores,false,static,turnaround,200,atomic,256,1.82
96,cores,false,static,turnaround,200,atomic,512,2.24
96,cores,false,static,turnaround,infinite,tree,64,1.88333
96,cores,false,static,turnaround,infinite,tree,128,1.90333
96,cores,false,static,turnaround,infinite,tree,256,1.84333
96,cores,false,static,turnaround,infinite,tree,512,1.88333
96,cores,false,static,turnaround,infinite,critical,64,1.93333
96,cores,false,static,turnaround,infinite,critical,128,1.82333
96,cores,false,static,turnaround,infinite,critical,256,1.86
96,cores,false,static,turnaround,infinite,critical,512,1.97333
96,cores,false,static,turnaround,infinite,atomic,64,1.89333
96,cores,false,static,turnaround,infinite,atomic,128,1.86667
96,cores,false,static,turnaround,infinite,atomic,256,1.86
96,cores,false,static,turnaround,infinite,atomic,512,1.80667
96,cores,false,dynamic,throughput,0,tree,64,2.14
96,cores,false,dynamic,throughput,0,tree,128,2.30333
96,cores,false,dynamic,throughput,0,tree,256,2.32667
96,cores,false,dynamic,throughput,0,tree,512,2.37333
96,cores,false,dynamic,throughput,0,critical,64,2.37
96,cores,false,dynamic,throughput,0,critical,128,2.25333
96,cores,false,dynamic,throughput,0,critical,256,2.12333
96,cores,false,dynamic,throughput,0,critical,512,2.33667
96,cores,false,dynamic,throughput,0,atomic,64,2.15667
96,cores,false,dynamic,throughput,0,atomic,128,2.11667
96,cores,false,dynamic,throughput,0,atomic,256,2.17333
96,cores,false,dynamic,throughput,0,atomic,512,2.23667
96,cores,false,dynamic,throughput,200,tree,64,1.78
96,cores,false,dynamic,throughput,200,tree,128,1.79333
96,cores,false,dynamic,throughput,200,tree,256,1.88
