OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,false,static,throughput,0,tree,64,5.02667
96,cores,false,static,throughput,0,tree,128,5.23
96,cores,false,static,throughput,0,tree,256,5.59667
96,cores,false,static,throughput,0,tree,512,5.38333
96,cores,false,static,throughput,0,critical,64,5.34333
96,cores,false,static,throughput,0,critical,128,5.3
96,cores,false,static,throughput,0,critical,256,5.32333
96,cores,false,static,throughput,0,critical,512,5.74
96,cores,false,static,throughput,0,atomic,64,5.04
96,cores,false,static,throughput,0,atomic,128,5.84667
96,cores,false,static,throughput,0,atomic,256,5.34667
96,cores,false,static,throughput,0,atomic,512,4.94333
96,cores,false,static,throughput,200,tree,64,4.78
96,cores,false,static,throughput,200,tree,128,4.55333
96,cores,false,static,throughput,200,tree,256,4.78
96,cores,false,static,throughput,200,tree,512,4.83667
96,cores,false,static,throughput,200,critical,64,5.01333
96,cores,false,static,throughput,200,critical,128,4.71667
96,cores,false,static,throughput,200,critical,256,4.68667
96,cores,false,static,throughput,200,critical,512,4.68
96,cores,false,static,throughput,200,atomic,64,5.47667
96,cores,false,static,throughput,200,atomic,128,4.57667
96,cores,false,static,throughput,200,atomic,256,4.73333
96,cores,false,static,throughput,200,atomic,512,4.77667
96,cores,false,static,throughput,infinite,tree,64,5.17667
96,cores,false,static,throughput,infinite,tree,128,4.98333
96,cores,false,static,throughput,infinite,tree,256,4.4
96,cores,false,static,throughput,infinite,tree,512,4.66667
96,cores,false,static,throughput,infinite,critical,64,4.55667
96,cores,false,static,throughput,infinite,critical,128,4.52
96,cores,false,static,throughput,infinite,critical,256,4.67333
96,cores,false,static,throughput,infinite,critical,512,5.36
96,cores,false,static,throughput,infinite,atomic,64,4.79667
96,cores,false,static,throughput,infinite,atomic,128,4.92333
96,cores,false,static,throughput,infinite,atomic,256,4.75333
96,cores,false,static,throughput,infinite,atomic,512,4.70667
96,cores,false,static,turnaround,0,tree,64,5.12333
96,cores,false,static,turnaround,0,tree,128,5.25
96,cores,false,static,turnaround,0,tree,256,5.37667
96,cores,false,static,turnaround,0,tree,512,5.35
96,cores,false,static,turnaround,0,critical,64,5.29333
96,cores,false,static,turnaround,0,critical,128,5.23
96,cores,false,static,turnaround,0,critical,256,5.47
96,cores,false,static,turnaround,0,critical,512,5.16
96,cores,false,static,turnaround,0,atomic,64,5.24667
96,cores,false,static,turnaround,0,atomic,128,6.41667
96,cores,false,static,turnaround,0,atomic,256,5.61667
96,cores,false,static,turnaround,0,atomic,512,5.51667
96,cores,false,static,turnaround,200,tree,64,4.58667
96,cores,false,static,turnaround,200,tree,128,4.70333
96,cores,false,static,turnaround,200,tree,256,5.07
96,cores,false,static,turnaround,200,tree,512,4.84667
96,cores,false,static,turnaround,200,critical,64,4.6
96,cores,false,static,turnaround,200,critical,128,4.84333
96,cores,false,static,turnaround,200,critical,256,5.44667
96,cores,false,static,turnaround,200,critical,512,4.52667
