OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,false,static,throughput,0,tree,64,22.76
96,cores,false,static,throughput,0,tree,128,21.83667
96,cores,false,static,throughput,0,tree,256,21.57
96,cores,false,static,throughput,0,tree,512,22.26
96,cores,false,static,throughput,0,critical,64,21.71333
96,cores,false,static,throughput,0,critical,128,21.79333
96,cores,false,static,throughput,0,critical,256,21.47333
96,cores,false,static,throughput,0,critical,512,21.37
96,cores,false,static,throughput,0,atomic,64,20.86333
96,cores,false,static,throughput,0,atomic,128,21.25333
96,cores,false,static,throughput,0,atomic,256,19.84667
96,cores,false,static,throughput,0,atomic,512,21.08667
96,cores,false,static,throughput,200,tree,64,18.67667
96,cores,false,static,throughput,200,tree,128,18.57333
96,cores,false,static,throughput,200,tree,256,19.03
96,cores,false,static,throughput,200,tree,512,19.85667
96,cores,false,static,throughput,200,critical,64,19.07667
96,cores,false,static,throughput,200,critical,128,18.93
96,cores,false,static,throughput,200,critical,256,18.76333
96,cores,false,static,throughput,200,critical,512,18.27333
96,cores,false,static,throughput,200,atomic,64,18.91667
96,cores,false,static,throughput,200,atomic,128,18.34667
96,cores,false,static,throughput,200,atomic,256,19.30333
96,cores,false,static,throughput,200,atomic,512,19.08333
96,cores,false,static,throughput,infinite,tree,64,21.75
96,cores,false,static,throughput,infinite,tree,128,21.08333
96,cores,false,static,throughput,infinite,tree,256,18.98333
96,cores,false,static,throughput,infinite,tree,512,18.42
96,cores,false,static,throughput,infinite,critical,64,20.83333
96,cores,false,static,throughput,infinite,critical,128,18.58667
96,cores,false,static,throughput,infinite,critical,256,18.78
96,cores,false,static,throughput,infinite,critical,512,18.10667
96,cores,false,static,throughput,infinite,atomic,64,18.35
96,cores,false,static,throughput,infinite,atomic,128,19.65667
96,cores,false,static,throughput,infinite,atomic,256,18.92667
96,cores,false,static,throughput,infinite,atomic,512,19.09333
96,cores,false,static,turnaround,0,tree,64,21.64667
96,cores,false,static,turnaround,0,tree,128,22.28667
96,cores,false,static,turnaround,0,tree,256,21.60667
96,cores,false,static,turnaround,0,tree,512,19.84
96,cores,false,static,turnaround,0,critical,64,22.28333
96,cores,false,static,turnaround,0,critical,128,19.89
96,cores,false,static,turnaround,0,critical,256,19.5
96,cores,false,static,turnaround,0,critical,512,20.14
96,cores,false,static,turnaround,0,atomic,64,20.45667
96,cores,false,static,turnaround,0,atomic,128,20.29
96,cores,false,static,turnaround,0,atomic,256,20.59
96,cores,false,static,turnaround,0,atomic,512,20.5
96,cores,false,static,turnaround,200,tree,64,19.09667
96,cores,false,static,turnaround,200,tree,128,18.45
96,cores,false,static,turnaround,200,tree,256,18.02
96,cores,false,static,turnaround,200,tree,512,18.33
96,cores,false,static,turnaround,200,critical,64,19.24
96,cores,false,static,turnaround,200,critical,128,19.07667
96,cores,false,static,turnaround,200,critical,256,19.32333
96,cores,false,static,turnaround,200,critical,512,18.54
96,cores,false,static,turnaround,200,atomic,64,19.31333
96,cores,false,static,turnaround,200,atomic,128,18.76667
96,cores,false,static,turnaround,200,atomic,256,18.8
96,cores,false,static,turnaround,200,atomic,512,18.71
96,cores,false,static,turnaround,infinite,tree,64,19.04333
96,cores,false,static,turnaround,infinite,tree,128,18.80333
96,cores,false,static,turnaround,infinite,tree,256,21.78667
96,cores,false,static,turnaround,infinite,tree,512,18.40333
96,cores,false,static,turnaround,infinite,critical,64,18.68667
96,cores,false,static,turnaround,infinite,critical,128,19.75667
96,cores,false,static,turnaround,infinite,critical,256,18.58
96,cores,false,static,turnaround,infinite,critical,512,18.53
96,cores,false,static,turnaround,infinite,atomic,64,18.73
96,cores,false,static,turnaround,infinite,atomic,128,18.34333
96,cores,false,static,turnaround,infinite,atomic,256,19.66333
96,cores,false,static,turnaround,infinite,atomic,512,18.90333
96,cores,false,dynamic,throughput,0,tree,64,20.79333
96,cores,false,dynamic,throughput,0,tree,128,20.02667
96,cores,false,dynamic,throughput,0,tree,256,20.61667
96,cores,false,dynamic,throughput,0,tree,512,22.23667
96,cores,false,dynamic,throughput,0,critical,64,23.16333
96,cores,false,dynamic,throughput,0,critical,128,20.34
