OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,true,static,throughput,0,tree,64,0.26
96,cores,true,static,throughput,0,tree,128,0.26
96,cores,true,static,throughput,0,tree,256,0.26
96,cores,true,static,throughput,0,tree,512,0.25
96,cores,true,static,throughput,0,critical,64,0.26
96,cores,true,static,throughput,0,critical,128,0.25
96,cores,true,static,throughput,0,critical,256,0.26
96,cores,true,static,throughput,0,critical,512,0.25
96,cores,true,static,throughput,0,atomic,64,0.26
96,cores,true,static,throughput,0,atomic,128,0.26
96,cores,true,static,throughput,0,atomic,256,0.26
96,cores,true,static,throughput,0,atomic,512,0.25
96,cores,true,static,throughput,200,tree,64,0.38
96,cores,true,static,throughput,200,tree,128,0.35
96,cores,true,static,throughput,200,tree,256,0.23
96,cores,true,static,throughput,200,tree,512,0.23
96,cores,true,static,throughput,200,critical,64,0.23
96,cores,true,static,throughput,200,critical,128,0.39
96,cores,true,static,throughput,200,critical,256,0.23
96,cores,true,static,throughput,200,critical,512,0.23
96,cores,true,static,throughput,200,atomic,64,0.23
96,cores,true,static,throughput,200,atomic,128,0.39
96,cores,true,static,throughput,200,atomic,256,0.23
96,cores,true,static,throughput,200,atomic,512,0.24
96,cores,true,static,throughput,infinite,tree,64,0.27
96,cores,true,static,throughput,infinite,tree,128,0.28
96,cores,true,static,throughput,infinite,tree,256,0.26
96,cores,true,static,throughput,infinite,tree,512,0.28
96,cores,true,static,throughput,infinite,critical,64,0.25
96,cores,true,static,throughput,infinite,critical,128,0.28
96,cores,true,static,throughput,infinite,critical,256,0.27
96,cores,true,static,throughput,infinite,critical,512,0.28
96,cores,true,static,throughput,infinite,atomic,64,0.25
96,cores,true,static,throughput,infinite,atomic,128,0.27
96,cores,true,static,throughput,infinite,atomic,256,0.26
96,cores,true,static,throughput,infinite,atomic,512,0.27
96,cores,true,static,turnaround,0,tree,64,0.26
96,cores,true,static,turnaround,0,tree,128,0.26
96,cores,true,static,turnaround,0,tree,256,0.26
96,cores,true,static,turnaround,0,tree,512,0.26
96,cores,true,static,turnaround,0,critical,64,0.25
96,cores,true,static,turnaround,0,critical,128,0.26
96,cores,true,static,turnaround,0,critical,256,0.26
96,cores,true,static,turnaround,0,critical,512,0.26
96,cores,true,static,turnaround,0,atomic,64,0.26
96,cores,true,static,turnaround,0,atomic,128,0.25
96,cores,true,static,turnaround,0,atomic,256,0.25
96,cores,true,static,turnaround,0,atomic,512,0.27
96,cores,true,static,turnaround,200,tree,64,0.24
96,cores,true,static,turnaround,200,tree,128,0.23
96,cores,true,static,turnaround,200,tree,256,0.35
96,cores,true,static,turnaround,200,tree,512,0.23
96,cores,true,static,turnaround,200,critical,64,0.23
96,cores,true,static,turnaround,200,critical,128,0.23
96,cores,true,static,turnaround,200,critical,256,0.23
96,cores,true,static,turnaround,200,critical,512,0.23
96,cores,true,static,turnaround,200,atomic,64,0.38
96,cores,true,static,turnaround,200,atomic,128,0.23
96,cores,true,static,turnaround,200,atomic,256,0.24
96,cores,true,static,turnaround,200,atomic,512,0.23
96,cores,true,static,turnaround,infinite,tree,64,0.28
96,cores,true,static,turnaround,infinite,tree,128,0.28
96,cores,true,static,turnaround,infinite,tree,256,0.28
96,cores,true,static,turnaround,infinite,tree,512,0.28
96,cores,true,static,turnaround,infinite,critical,64,0.27
96,cores,true,static,turnaround,infinite,critical,128,0.27
96,cores,true,static,turnaround,infinite,critical,256,0.28
96,cores,true,static,turnaround,infinite,critical,512,0.28
96,cores,true,static,turnaround,infinite,atomic,64,0.28
96,cores,true,static,turnaround,infinite,atomic,128,0.27
96,cores,true,static,turnaround,infinite,atomic,256,0.26
96,cores,true,static,turnaround,infinite,atomic,512,0.27
96,cores,true,dynamic,throughput,0,tree,64,0.26
96,cores,true,dynamic,throughput,0,tree,128,0.26
96,cores,true,dynamic,throughput,0,tree,256,0.26
96,cores,true,dynamic,throughput,0,tree,512,0.26
96,cores,true,dynamic,throughput,0,critical,64,0.26
96,cores,true,dynamic,throughput,0,critical,128,0.26
96,cores,true,dynamic,throughput,0,critical,256,0.26
96,cores,true,dynamic,throughput,0,critical,512,0.26
96,cores,true,dynamic,throughput,0,atomic,64,0.26
96,cores,true,dynamic,throughput,0,atomic,128,0.25
96,cores,true,dynamic,throughput,0,atomic,256,0.27
96,cores,true,dynamic,throughput,0,atomic,512,0.26
96,cores,true,dynamic,throughput,200,tree,64,0.23
96,cores,true,dynamic,throughput,200,tree,128,0.23
96,cores,true,dynamic,throughput,200,tree,256,0.39
96,cores,true,dynamic,throughput,200,tree,512,0.38
96,cores,true,dynamic,throughput,200,critical,64,0.23
96,cores,true,dynamic,throughput,200,critical,128,0.23
96,cores,true,dynamic,throughput,200,critical,256,0.39
96,cores,true,dynamic,throughput,200,critical,512,0.23
96,cores,true,dynamic,throughput,200,atomic,64,0.23
96,cores,true,dynamic,throughput,200,atomic,128,0.23
96,cores,true,dynamic,throughput,200,atomic,256,0.25
96,cores,true,dynamic,throughput,200,atomic,512,0.24
96,cores,true,dynamic,throughput,infinite,tree,64,0.29
96,cores,true,dynamic,throughput,infinite,tree,128,0.27
96,cores,true,dynamic,throughput,infinite,tree,256,0.28
96,cores,true,dynamic,throughput,infinite,tree,512,0.28
96,cores,true,dynamic,throughput,infinite,critical,64,0.27
96,cores,true,dynamic,throughput,infinite,critical,128,0.27
96,cores,true,dynamic,throughput,infinite,critical,256,0.27
96,cores,true,dynamic,throughput,infinite,critical,512,0.27
96,cores,true,dynamic,throughput,infinite,atomic,64,0.26
96,cores,true,dynamic,throughput,infinite,atomic,128,0.27
96,cores,true,dynamic,throughput,infinite,atomic,256,0.27
96,cores,true,dynamic,throughput,infinite,atomic,512,0.28
96,cores,true,dynamic,turnaround,0,tree,64,0.27
96,cores,true,dynamic,turnaround,0,tree,128,0.26
96,cores,true,dynamic,turnaround,0,tree,256,0.26
96,cores,true,dynamic,turnaround,0,tree,512,0.26
96,cores,true,dynamic,turnaround,0,critical,64,0.25
96,cores,true,dynamic,turnaround,0,critical,128,0.26
96,cores,true,dynamic,turnaround,0,critical,256,0.27
96,cores,true,dynamic,turnaround,0,critical,512,0.26
96,cores,true,dynamic,turnaround,0,atomic,64,0.26
96,cores,true,dynamic,turnaround,0,atomic,128,0.26
96,cores,true,dynamic,turnaround,0,atomic,256,0.26
96,cores,true,dynamic,turnaround,0,atomic,512,0.25
96,cores,true,dynamic,turnaround,200,tree,64,0.23
96,cores,true,dynamic,turnaround,200,tree,128,0.37
96,cores,true,dynamic,turnaround,200,tree,256,0.23
96,cores,true,dynamic,turnaround,200,tree,512,0.23
96,cores,true,dynamic,turnaround,200,critical,64,0.23
96,cores,true,dynamic,turnaround,200,critical,128,0.25
96,cores,true,dynamic,turnaround,200,critical,256,0.23
96,cores,true,dynamic,turnaround,200,critical,512,0.35
96,cores,true,dynamic,turnaround,200,atomic,64,0.23
96,cores,true,dynamic,turnaround,200,atomic,128,0.35
96,cores,true,dynamic,turnaround,200,atomic,256,0.23
96,cores,true,dynamic,turnaround,200,atomic,512,0.23
96,cores,true,dynamic,turnaround,infinite,tree,64,0.27
96,cores,true,dynamic,turnaround,infinite,tree,128,0.28
96,cores,true,dynamic,turnaround,infinite,tree,256,0.26
96,cores,true,dynamic,turnaround,infinite,tree,512,0.27
96,cores,true,dynamic,turnaround,infinite,critical,64,0.26
96,cores,true,dynamic,turnaround,infinite,critical,128,0.28
96,cores,true,dynamic,turnaround,infinite,critical,256,0.28
96,cores,true,dynamic,turnaround,infinite,critical,512,0.27
96,cores,true,dynamic,turnaround,infinite,atomic,64,0.26
96,cores,true,dynamic,turnaround,infinite,atomic,128,0.28
96,cores,true,dynamic,turnaround,infinite,atomic,256,0.26
96,cores,true,dynamic,turnaround,infinite,atomic,512,0.28
96,cores,true,guided,throughput,0,tree,64,0.26
96,cores,true,guided,throughput,0,tree,128,0.26
96,cores,true,guided,throughput,0,tree,256,0.26
96,cores,true,guided,throughput,0,tree,512,0.25
96,cores,true,guided,throughput,0,critical,64,0.27
96,cores,true,guided,throughput,0,critical,128,0.26
96,cores,true,guided,throughput,0,critical,256,0.25
96,cores,true,guided,throughput,0,critical,512,0.25
96,cores,true,guided,throughput,0,atomic,64,0.25
96,cores,true,guided,throughput,0,atomic,128,0.26
96,cores,true,guided,throughput,0,atomic,256,0.25
96,cores,true,guided,throughput,0,atomic,512,0.26
96,cores,true,guided,throughput,200,tree,64,0.23
96,cores,true,guided,throughput,200,tree,128,0.23
96,cores,true,guided,throughput,200,tree,256,0.23
96,cores,true,guided,throughput,200,tree,512,0.38
96,cores,true,guided,throughput,200,critical,64,0.23
96,cores,true,guided,throughput,200,critical,128,0.23
96,cores,true,guided,throughput,200,critical,256,0.25
96,cores,true,guided,throughput,200,critical,512,0.23
96,cores,true,guided,throughput,200,atomic,64,0.23
96,cores,true,guided,throughput,200,atomic,128,0.23
96,cores,true,guided,throughput,200,atomic,256,0.23
96,cores,true,guided,throughput,200,atomic,512,0.23
96,cores,true,guided,throughput,infinite,tree,64,0.27
96,cores,true,guided,throughput,infinite,tree,128,0.27
96,cores,true,guided,throughput,infinite,tree,256,0.27
96,cores,true,guided,throughput,infinite,tree,512,0.28
96,cores,true,guided,throughput,infinite,critical,64,0.27
96,cores,true,guided,throughput,infinite,critical,128,0.36
96,cores,true,guided,throughput,infinite,critical,256,0.27
96,cores,true,guided,throughput,infinite,critical,512,0.3
96,cores,true,guided,throughput,infinite,atomic,64,0.28
96,cores,true,guided,throughput,infinite,atomic,128,0.28
96,cores,true,guided,throughput,infinite,atomic,256,0.28
96,cores,true,guided,throughput,infinite,atomic,512,0.27
96,cores,true,guided,turnaround,0,tree,64,0.26
96,cores,true,guided,turnaround,0,tree,128,0.26
96,cores,true,guided,turnaround,0,tree,256,0.26
96,cores,true,guided,turnaround,0,tree,512,0.26
96,cores,true,guided,turnaround,0,critical,64,0.25
96,cores,true,guided,turnaround,0,critical,128,0.25
96,cores,true,guided,turnaround,0,critical,256,0.26
96,cores,true,guided,turnaround,0,critical,512,0.26
96,cores,true,guided,turnaround,0,atomic,64,0.27
96,cores,true,guided,turnaround,0,atomic,128,0.26
96,cores,true,guided,turnaround,0,atomic,256,0.26
96,cores,true,guided,turnaround,0,atomic,512,0.25
96,cores,true,guided,turnaround,200,tree,64,0.23
96,cores,true,guided,turnaround,200,tree,128,0.23
96,cores,true,guided,turnaround,200,tree,256,0.23
96,cores,true,guided,turnaround,200,tree,512,0.4
96,cores,true,guided,turnaround,200,critical,64,0.23
96,cores,true,guided,turnaround,200,critical,128,0.38
96,cores,true,guided,turnaround,200,critical,256,0.23
96,cores,true,guided,turnaround,200,critical,512,0.37
96,cores,true,guided,turnaround,200,atomic,64,0.23
96,cores,true,guided,turnaround,200,atomic,128,0.41
96,cores,true,guided,turnaround,200,atomic,256,0.23
96,cores,true,guided,turnaround,200,atomic,512,0.23
96,cores,true,guided,turnaround,infinite,tree,64,0.27
96,cores,true,guided,turnaround,infinite,tree,128,0.28
96,cores,true,guided,turnaround,infinite,tree,256,0.27
96,cores,true,guided,turnaround,infinite,tree,512,0.27
96,cores,true,guided,turnaround,infinite,critical,64,0.26
96,cores,true,guided,turnaround,infinite,critical,128,0.28
96,cores,true,guided,turnaround,infinite,critical,256,0.29
96,cores,true,guided,turnaround,infinite,critical,512,0.27
96,cores,true,guided,turnaround,infinite,atomic,64,0.27
96,cores,true,guided,turnaround,infinite,atomic,128,0.27
96,cores,true,guided,turnaround,infinite,atomic,256,0.28
96,cores,true,guided,turnaround,infinite,atomic,512,0.28
96,cores,true,auto,throughput,0,tree,64,0.26
96,cores,true,auto,throughput,0,tree,128,0.26
96,cores,true,auto,throughput,0,tree,256,0.26
96,cores,true,auto,throughput,0,tree,512,0.26
96,cores,true,auto,throughput,0,critical,64,0.26
96,cores,true,auto,throughput,0,critical,128,0.26
96,cores,true,auto,throughput,0,critical,256,0.25
96,cores,true,auto,throughput,0,critical,512,0.26
96,cores,true,auto,throughput,0,atomic,64,0.26
96,cores,true,auto,throughput,0,atomic,128,0.25
96,cores,true,auto,throughput,0,atomic,256,0.25
96,cores,true,auto,throughput,0,atomic,512,0.25
96,cores,true,auto,throughput,200,tree,64,0.23
96,cores,true,auto,throughput,200,tree,128,0.34
96,cores,true,auto,throughput,200,tree,256,0.23
96,cores,true,auto,throughput,200,tree,512,0.36
96,cores,true,auto,throughput,200,critical,64,0.38
96,cores,true,auto,throughput,200,critical,128,0.25
96,cores,true,auto,throughput,200,critical,256,0.23
96,cores,true,auto,throughput,200,critical,512,0.24
96,cores,true,auto,throughput,200,atomic,64,0.23
96,cores,true,auto,throughput,200,atomic,128,0.23
96,cores,true,auto,throughput,200,atomic,256,0.23
96,cores,true,auto,throughput,200,atomic,512,0.33
96,cores,true,auto,throughput,infinite,tree,64,0.27
96,cores,true,auto,throughput,infinite,tree,128,0.27
96,cores,true,auto,throughput,infinite,tree,256,0.27
96,cores,true,auto,throughput,infinite,tree,512,0.26
96,cores,true,auto,throughput,infinite,critical,64,0.28
96,cores,true,auto,throughput,infinite,critical,128,0.28
96,cores,true,auto,throughput,infinite,critical,256,0.28
96,cores,true,auto,throughput,infinite,critical,512,0.26
96,cores,true,auto,throughput,infinite,atomic,64,0.26
96,cores,true,auto,throughput,infinite,atomic,128,0.29
96,cores,true,auto,throughput,infinite,atomic,256,0.28
96,cores,true,auto,throughput,infinite,atomic,512,0.28
96,cores,true,auto,turnaround,0,tree,64,0.25
96,cores,true,auto,turnaround,0,tree,128,0.26
96,cores,true,auto,turnaround,0,tree,256,0.25
96,cores,true,auto,turnaround,0,tree,512,0.25
96,cores,true,auto,turnaround,0,critical,64,0.27
96,cores,true,auto,turnaround,0,critical,128,0.27
96,cores,true,auto,turnaround,0,critical,256,0.25
96,cores,true,auto,turnaround,0,critical,512,0.26
96,cores,true,auto,turnaround,0,atomic,64,0.26
96,cores,true,auto,turnaround,0,atomic,128,0.28
96,cores,true,auto,turnaround,0,atomic,256,0.26
96,cores,true,auto,turnaround,0,atomic,512,0.26
96,cores,true,auto,turnaround,200,tree,64,0.23
96,cores,true,auto,turnaround,200,tree,128,0.23
96,cores,true,auto,turnaround,200,tree,256,0.39
96,cores,true,auto,turnaround,200,tree,512,0.23
96,cores,true,auto,turnaround,200,critical,64,0.23
96,cores,true,auto,turnaround,200,critical,128,0.36
96,cores,true,auto,turnaround,200,critical,256,0.23
96,cores,true,auto,turnaround,200,critical,512,0.36
96,cores,true,auto,turnaround,200,atomic,64,0.23
96,cores,true,auto,turnaround,200,atomic,128,0.23
96,cores,true,auto,turnaround,200,atomic,256,0.23
96,cores,true,auto,turnaround,200,atomic,512,0.25
96,cores,true,auto,turnaround,infinite,tree,64,0.27
96,cores,true,auto,turnaround,infinite,tree,128,0.27
96,cores,true,auto,turnaround,infinite,tree,256,0.28
96,cores,true,auto,turnaround,infinite,tree,512,0.27
96,cores,true,auto,turnaround,infinite,critical,64,0.27
96,cores,true,auto,turnaround,infinite,critical,128,0.28
96,cores,true,auto,turnaround,infinite,critical,256,0.28
96,cores,true,auto,turnaround,infinite,critical,512,0.28
96,cores,true,auto,turnaround,infinite,atomic,64,0.28
96,cores,true,auto,turnaround,infinite,atomic,128,0.27
96,cores,true,auto,turnaround,infinite,atomic,256,0.26
96,cores,true,auto,turnaround,infinite,atomic,512,0.27
96,cores,false,static,throughput,0,tree,64,0.25
96,cores,false,static,throughput,0,tree,128,0.26
96,cores,false,static,throughput,0,tree,256,0.25
96,cores,false,static,throughput,0,tree,512,0.27
96,cores,false,static,throughput,0,critical,64,0.26
96,cores,false,static,throughput,0,critical,128,0.25
96,cores,false,static,throughput,0,critical,256,0.26
96,cores,false,static,throughput,0,critical,512,0.26
96,cores,false,static,throughput,0,atomic,64,0.25
96,cores,false,static,throughput,0,atomic,128,0.25
96,cores,false,static,throughput,0,atomic,256,0.26
96,cores,false,static,throughput,0,atomic,512,0.26
96,cores,false,static,throughput,200,tree,64,0.23
96,cores,false,static,throughput,200,tree,128,0.41
96,cores,false,static,throughput,200,tree,256,0.4
96,cores,false,static,throughput,200,tree,512,0.23
96,cores,false,static,throughput,200,critical,64,0.23
96,cores,false,static,throughput,200,critical,128,0.23
96,cores,false,static,throughput,200,critical,256,0.39
96,cores,false,static,throughput,200,critical,512,0.23
96,cores,false,static,throughput,200,atomic,64,0.23
96,cores,false,static,throughput,200,atomic,128,0.37
96,cores,false,static,throughput,200,atomic,256,0.23
96,cores,false,static,throughput,200,atomic,512,0.32
96,cores,false,static,throughput,infinite,tree,64,0.27
96,cores,false,static,throughput,infinite,tree,128,0.28
96,cores,false,static,throughput,infinite,tree,256,0.27
96,cores,false,static,throughput,infinite,tree,512,0.27
96,cores,false,static,throughput,infinite,critical,64,0.26
96,cores,false,static,throughput,infinite,critical,128,0.27
96,cores,false,static,throughput,infinite,critical,256,0.26
96,cores,false,static,throughput,infinite,critical,512,0.28
96,cores,false,static,throughput,infinite,atomic,64,0.27
96,cores,false,static,throughput,infinite,atomic,128,0.27
96,cores,false,static,throughput,infinite,atomic,256,0.27
96,cores,false,static,throughput,infinite,atomic,512,0.26
96,cores,false,static,turnaround,0,tree,64,0.26
96,cores,false,static,turnaround,0,tree,128,0.26
96,cores,false,static,turnaround,0,tree,256,0.26
96,cores,false,static,turnaround,0,tree,512,0.26
