OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,true,static,throughput,0,tree,64,0.75
96,cores,true,static,throughput,0,tree,128,0.83
96,cores,true,static,throughput,0,tree,256,0.74
96,cores,true,static,throughput,0,tree,512,0.78
96,cores,true,static,throughput,0,critical,64,0.77
96,cores,true,static,throughput,0,critical,128,0.76
96,cores,true,static,throughput,0,critical,256,0.75
96,cores,true,static,throughput,0,critical,512,0.78
96,cores,true,static,throughput,0,atomic,64,0.74
96,cores,true,static,throughput,0,atomic,128,0.75
96,cores,true,static,throughput,0,atomic,256,0.75
96,cores,true,static,throughput,0,atomic,512,0.77
96,cores,true,static,throughput,200,tree,64,0.58
96,cores,true,static,throughput,200,tree,128,0.5
96,cores,true,static,throughput,200,tree,256,0.68
96,cores,true,static,throughput,200,tree,512,0.57
96,cores,true,static,throughput,200,critical,64,0.63
96,cores,true,static,throughput,200,critical,128,0.59
96,cores,true,static,throughput,200,critical,256,0.64
96,cores,true,static,throughput,200,critical,512,0.6
96,cores,true,static,throughput,200,atomic,64,0.58
96,cores,true,static,throughput,200,atomic,128,0.58
96,cores,true,static,throughput,200,atomic,256,0.58
96,cores,true,static,throughput,200,atomic,512,0.6
96,cores,true,static,throughput,infinite,tree,64,0.4
96,cores,true,static,throughput,infinite,tree,128,0.4
96,cores,true,static,throughput,infinite,tree,256,0.43
96,cores,true,static,throughput,infinite,tree,512,0.41
96,cores,true,static,throughput,infinite,critical,64,0.4
96,cores,true,static,throughput,infinite,critical,128,0.41
96,cores,true,static,throughput,infinite,critical,256,0.4
96,cores,true,static,throughput,infinite,critical,512,0.4
96,cores,true,static,throughput,infinite,atomic,64,0.4
96,cores,true,static,throughput,infinite,atomic,128,0.4
96,cores,true,static,throughput,infinite,atomic,256,0.41
96,cores,true,static,throughput,infinite,atomic,512,0.41
96,cores,true,static,turnaround,0,tree,64,0.75
96,cores,true,static,turnaround,0,tree,128,0.76
96,cores,true,static,turnaround,0,tree,256,0.75
96,cores,true,static,turnaround,0,tree,512,0.77
96,cores,true,static,turnaround,0,critical,64,0.76
96,cores,true,static,turnaround,0,critical,128,0.75
96,cores,true,static,turnaround,0,critical,256,0.76
96,cores,true,static,turnaround,0,critical,512,0.76
96,cores,true,static,turnaround,0,atomic,64,0.82
96,cores,true,static,turnaround,0,atomic,128,0.75
96,cores,true,static,turnaround,0,atomic,256,0.73
96,cores,true,static,turnaround,0,atomic,512,0.75
96,cores,true,static,turnaround,200,tree,64,0.54
96,cores,true,static,turnaround,200,tree,128,0.57
96,cores,true,static,turnaround,200,tree,256,0.56
96,cores,true,static,turnaround,200,tree,512,0.99
96,cores,true,static,turnaround,200,critical,64,0.63
96,cores,true,static,turnaround,200,critical,128,0.51
96,cores,true,static,turnaround,200,critical,256,0.6
96,cores,true,static,turnaround,200,critical,512,0.67
96,cores,true,static,turnaround,200,atomic,64,0.6
96,cores,true,static,turnaround,200,atomic,128,0.56
96,cores,true,static,turnaround,200,atomic,256,0.64
96,cores,true,static,turnaround,200,atomic,512,0.56
96,cores,true,static,turnaround,infinite,tree,64,0.4
96,cores,true,static,turnaround,infinite,tree,128,0.4
96,cores,true,static,turnaround,infinite,tree,256,0.4
96,cores,true,static,turnaround,infinite,tree,512,0.4
96,cores,true,static,turnaround,infinite,critical,64,0.4
96,cores,true,static,turnaround,infinite,critical,128,0.4
96,cores,true,static,turnaround,infinite,critical,256,0.4
96,cores,true,static,turnaround,infinite,critical,512,0.4
96,cores,true,static,turnaround,infinite,atomic,64,0.41
96,cores,true,static,turnaround,infinite,atomic,128,0.4
96,cores,true,static,turnaround,infinite,atomic,256,0.4
96,cores,true,static,turnaround,infinite,atomic,512,0.4
96,cores,true,dynamic,throughput,0,tree,64,0.73
96,cores,true,dynamic,throughput,0,tree,128,0.76
96,cores,true,dynamic,throughput,0,tree,256,0.75
96,cores,true,dynamic,throughput,0,tree,512,0.86
96,cores,true,dynamic,throughput,0,critical,64,0.74
96,cores,true,dynamic,throughput,0,critical,128,0.75
96,cores,true,dynamic,throughput,0,critical,256,0.77
96,cores,true,dynamic,throughput,0,critical,512,0.75
96,cores,true,dynamic,throughput,0,atomic,64,0.75
96,cores,true,dynamic,throughput,0,atomic,128,0.76
96,cores,true,dynamic,throughput,0,atomic,256,0.75
96,cores,true,dynamic,throughput,0,atomic,512,0.77
96,cores,true,dynamic,throughput,200,tree,64,0.63
96,cores,true,dynamic,throughput,200,tree,128,0.56
96,cores,true,dynamic,throughput,200,tree,256,0.59
96,cores,true,dynamic,throughput,200,tree,512,0.57
96,cores,true,dynamic,throughput,200,critical,64,0.61
96,cores,true,dynamic,throughput,200,critical,128,0.58
96,cores,true,dynamic,throughput,200,critical,256,0.58
96,cores,true,dynamic,throughput,200,critical,512,0.56
