OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,false,static,throughput,0,tree,64,3.32667
96,cores,false,static,throughput,0,tree,128,3.32333
96,cores,false,static,throughput,0,tree,256,3.24667
96,cores,false,static,throughput,0,tree,512,3.58667
96,cores,false,static,throughput,0,critical,64,3.02
96,cores,false,static,throughput,0,critical,128,2.96
96,cores,false,static,throughput,0,critical,256,3.08333
96,cores,false,static,throughput,0,critical,512,3.32
96,cores,false,static,throughput,0,atomic,64,3.26667
96,cores,false,static,throughput,0,atomic,128,3.31
96,cores,false,static,throughput,0,atomic,256,3.18333
96,cores,false,static,throughput,0,atomic,512,3.37667
96,cores,false,static,throughput,200,tree,64,3.07
96,cores,false,static,throughput,200,tree,128,3.03
96,cores,false,static,throughput,200,tree,256,3.02333
96,cores,false,static,throughput,200,tree,512,3.34667
96,cores,false,static,throughput,200,critical,64,2.68667
96,cores,false,static,throughput,200,critical,128,2.84333
96,cores,false,static,throughput,200,critical,256,2.88
96,cores,false,static,throughput,200,critical,512,2.49
96,cores,false,static,throughput,200,atomic,64,3.25
96,cores,false,static,throughput,200,atomic,128,3.03
96,cores,false,static,throughput,200,atomic,256,2.79333
96,cores,false,static,throughput,200,atomic,512,3.06
96,cores,false,static,throughput,infinite,tree,64,3.41
96,cores,false,static,throughput,infinite,tree,128,3.33667
96,cores,false,static,throughput,infinite,tree,256,3.29
96,cores,false,static,throughput,infinite,tree,512,3.71
96,cores,false,static,throughput,infinite,critical,64,3.65333
96,cores,false,static,throughput,infinite,critical,128,3.30667
96,cores,false,static,throughput,infinite,critical,256,3.53667
96,cores,false,static,throughput,infinite,critical,512,3.29667
96,cores,false,static,throughput,infinite,atomic,64,3.20667
96,cores,false,static,throughput,infinite,atomic,128,3.30333
96,cores,false,static,throughput,infinite,atomic,256,3.56333
96,cores,false,static,throughput,infinite,atomic,512,3.27667
96,cores,false,static,turnaround,0,tree,64,3.26333
96,cores,false,static,turnaround,0,tree,128,3.29667
96,cores,false,static,turnaround,0,tree,256,3.60667
96,cores,false,static,turnaround,0,tree,512,3.21333
96,cores,false,static,turnaround,0,critical,64,3.36
96,cores,false,static,turnaround,0,critical,128,3.34333
96,cores,false,static,turnaround,0,critical,256,3.6
96,cores,false,static,turnaround,0,critical,512,3.28333
96,cores,false,static,turnaround,0,atomic,64,3.0
96,cores,false,static,turnaround,0,atomic,128,3.00333
96,cores,false,static,turnaround,0,atomic,256,3.44333
96,cores,false,static,turnaround,0,atomic,512,3.3
96,cores,false,static,turnaround,200,tree,64,3.03333
96,cores,false,static,turnaround,200,tree,128,3.34333
96,cores,false,static,turnaround,200,tree,256,3.30667
96,cores,false,static,turnaround,200,tree,512,3.04333
96,cores,false,static,turnaround,200,critical,64,3.06
96,cores,false,static,turnaround,200,critical,128,3.06
96,cores,false,static,turnaround,200,critical,256,3.34
96,cores,false,static,turnaround,200,critical,512,3.09
96,cores,false,static,turnaround,200,atomic,64,2.77
96,cores,false,static,turnaround,200,atomic,128,3.34
96,cores,false,static,turnaround,200,atomic,256,3.33667
96,cores,false,static,turnaround,200,atomic,512,3.42667
96,cores,false,static,turnaround,infinite,tree,64,3.33
96,cores,false,static,turnaround,infinite,tree,128,3.45333
96,cores,false,static,turnaround,infinite,tree,256,3.83333
96,cores,false,static,turnaround,infinite,tree,512,3.71333
