OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,close,static,throughput,0,tree,64,1.43285
96,cores,close,static,throughput,0,tree,128,1.46909
96,cores,close,static,throughput,0,tree,256,1.52855
96,cores,close,static,throughput,0,tree,512,1.5629
96,cores,close,static,throughput,0,critical,64,1.44732
96,cores,close,static,throughput,0,critical,128,1.44697
96,cores,close,static,throughput,0,critical,256,1.47701
96,cores,close,static,throughput,0,critical,512,1.50902
96,cores,close,static,throughput,0,atomic,64,1.42544
96,cores,close,static,throughput,0,atomic,128,1.48261
96,cores,close,static,throughput,0,atomic,256,1.48128
96,cores,close,static,throughput,0,atomic,512,1.51714
96,cores,close,static,throughput,200,tree,64,1.47886
96,cores,close,static,throughput,200,tree,128,1.46879
96,cores,close,static,throughput,200,tree,256,1.49832
96,cores,close,static,throughput,200,tree,512,1.5453
96,cores,close,static,throughput,200,critical,64,1.44336
96,cores,close,static,throughput,200,critical,128,1.43409
96,cores,close,static,throughput,200,critical,256,1.49312
96,cores,close,static,throughput,200,critical,512,1.51211
96,cores,close,static,throughput,200,atomic,64,1.44993
96,cores,close,static,throughput,200,atomic,128,1.47614
96,cores,close,static,throughput,200,atomic,256,1.50364
96,cores,close,static,throughput,200,atomic,512,1.52358
96,cores,close,static,throughput,infinite,tree,64,1.41598
96,cores,close,static,throughput,infinite,tree,128,1.4738
96,cores,close,static,throughput,infinite,tree,256,1.49401
96,cores,close,static,throughput,infinite,tree,512,1.53687
96,cores,close,static,throughput,infinite,critical,64,1.43472
96,cores,close,static,throughput,infinite,critical,128,1.45172
96,cores,close,static,throughput,infinite,critical,256,1.50146
96,cores,close,static,throughput,infinite,critical,512,1.57599
96,cores,close,static,throughput,infinite,atomic,64,1.4605
96,cores,close,static,throughput,infinite,atomic,128,1.43766
96,cores,close,static,throughput,infinite,atomic,256,1.51517
96,cores,close,static,throughput,infinite,atomic,512,1.52229
96,cores,close,static,turnaround,0,tree,64,1.45287
96,cores,close,static,turnaround,0,tree,128,1.42149
96,cores,close,static,turnaround,0,tree,256,1.43361
96,cores,close,static,turnaround,0,tree,512,1.53109
96,cores,close,static,turnaround,0,critical,64,1.42882
96,cores,close,static,turnaround,0,critical,128,1.52582
96,cores,close,static,turnaround,0,critical,256,1.4162
96,cores,close,static,turnaround,0,critical,512,1.52045
96,cores,close,static,turnaround,0,atomic,64,1.45293
96,cores,close,static,turnaround,0,atomic,128,1.4164
96,cores,close,static,turnaround,0,atomic,256,1.41489
96,cores,close,static,turnaround,0,atomic,512,1.49235
96,cores,close,static,turnaround,200,tree,64,1.41966
96,cores,close,static,turnaround,200,tree,128,1.38671
96,cores,close,static,turnaround,200,tree,256,1.45566
96,cores,close,static,turnaround,200,tree,512,1.50636
96,cores,close,static,turnaround,200,critical,64,1.42554
96,cores,close,static,turnaround,200,critical,128,1.41875
96,cores,close,static,turnaround,200,critical,256,1.4488
96,cores,close,static,turnaround,200,critical,512,1.50999
96,cores,close,static,turnaround,200,atomic,64,1.39552
96,cores,close,static,turnaround,200,atomic,128,1.38684
96,cores,close,static,turnaround,200,atomic,256,1.43002
96,cores,close,static,turnaround,200,atomic,512,1.47851
96,cores,close,static,turnaround,infinite,tree,64,1.4308
