OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,true,static,throughput,0,tree,64,7.56
96,cores,true,static,throughput,0,tree,128,7.27
96,cores,true,static,throughput,0,tree,256,7.21
96,cores,true,static,throughput,0,tree,512,7.19
96,cores,true,static,throughput,0,critical,64,7.38
96,cores,true,static,throughput,0,critical,128,7.17
96,cores,true,static,throughput,0,critical,256,7.37
96,cores,true,static,throughput,0,critical,512,7.16
96,cores,true,static,throughput,0,atomic,64,7.37
96,cores,true,static,throughput,0,atomic,128,7.25
96,cores,true,static,throughput,0,atomic,256,7.47
96,cores,true,static,throughput,0,atomic,512,7.41
96,cores,true,static,throughput,200,tree,64,3.92
96,cores,true,static,throughput,200,tree,128,3.93
96,cores,true,static,throughput,200,tree,256,3.86
96,cores,true,static,throughput,200,tree,512,3.73
96,cores,true,static,throughput,200,critical,64,3.78
96,cores,true,static,throughput,200,critical,128,3.95
96,cores,true,static,throughput,200,critical,256,3.77
96,cores,true,static,throughput,200,critical,512,3.76
96,cores,true,static,throughput,200,atomic,64,3.8
96,cores,true,static,throughput,200,atomic,128,3.87
96,cores,true,static,throughput,200,atomic,256,3.87
96,cores,true,static,throughput,200,atomic,512,3.82
96,cores,true,static,throughput,infinite,tree,64,3.79
96,cores,true,static,throughput,infinite,tree,128,3.88
96,cores,true,static,throughput,infinite,tree,256,4.39
96,cores,true,static,throughput,infinite,tree,512,3.82
96,cores,true,static,throughput,infinite,critical,64,3.8
96,cores,true,static,throughput,infinite,critical,128,3.87
96,cores,true,static,throughput,infinite,critical,256,3.82
96,cores,true,static,throughput,infinite,critical,512,3.75
96,cores,true,static,throughput,infinite,atomic,64,3.81
96,cores,true,static,throughput,infinite,atomic,128,3.87
96,cores,true,static,throughput,infinite,atomic,256,3.74
96,cores,true,static,throughput,infinite,atomic,512,3.84
96,cores,true,static,turnaround,0,tree,64,7.34
96,cores,true,static,turnaround,0,tree,128,7.24
96,cores,true,static,turnaround,0,tree,256,7.25
96,cores,true,static,turnaround,0,tree,512,7.32
96,cores,true,static,turnaround,0,critical,64,7.22
96,cores,true,static,turnaround,0,critical,128,7.2
96,cores,true,static,turnaround,0,critical,256,7.23
96,cores,true,static,turnaround,0,critical,512,7.11
96,cores,true,static,turnaround,0,atomic,64,7.29
96,cores,true,static,turnaround,0,atomic,128,7.25
96,cores,true,static,turnaround,0,atomic,256,7.2
96,cores,true,static,turnaround,0,atomic,512,7.08
96,cores,true,static,turnaround,200,tree,64,3.77
96,cores,true,static,turnaround,200,tree,128,3.82
96,cores,true,static,turnaround,200,tree,256,3.75
96,cores,true,static,turnaround,200,tree,512,4.07
96,cores,true,static,turnaround,200,critical,64,3.93
96,cores,true,static,turnaround,200,critical,128,3.88
96,cores,true,static,turnaround,200,critical,256,3.74
96,cores,true,static,turnaround,200,critical,512,3.82
96,cores,true,static,turnaround,200,atomic,64,3.83
96,cores,true,static,turnaround,200,atomic,128,3.85
96,cores,true,static,turnaround,200,atomic,256,3.83
96,cores,true,static,turnaround,200,atomic,512,3.92
96,cores,true,static,turnaround,infinite,tree,64,3.92
96,cores,true,static,turnaround,infinite,tree,128,3.85
96,cores,true,static,turnaround,infinite,tree,256,3.93
96,cores,true,static,turnaround,infinite,tree,512,3.71
96,cores,true,static,turnaround,infinite,critical,64,3.68
96,cores,true,static,turnaround,infinite,critical,128,3.75
96,cores,true,static,turnaround,infinite,critical,256,3.7
96,cores,true,static,turnaround,infinite,critical,512,3.76
96,cores,true,static,turnaround,infinite,atomic,64,3.87
96,cores,true,static,turnaround,infinite,atomic,128,3.77
96,cores,true,static,turnaround,infinite,atomic,256,3.77
96,cores,true,static,turnaround,infinite,atomic,512,3.82
96,cores,true,dynamic,throughput,0,tree,64,7.33
96,cores,true,dynamic,throughput,0,tree,128,7.54
96,cores,true,dynamic,throughput,0,tree,256,7.46
96,cores,true,dynamic,throughput,0,tree,512,7.46
96,cores,true,dynamic,throughput,0,critical,64,7.24
96,cores,true,dynamic,throughput,0,critical,128,7.39
96,cores,true,dynamic,throughput,0,critical,256,7.22
96,cores,true,dynamic,throughput,0,critical,512,7.18
96,cores,true,dynamic,throughput,0,atomic,64,7.41
96,cores,true,dynamic,throughput,0,atomic,128,7.07
96,cores,true,dynamic,throughput,0,atomic,256,7.19
96,cores,true,dynamic,throughput,0,atomic,512,7.28
96,cores,true,dynamic,throughput,200,tree,64,3.92
96,cores,true,dynamic,throughput,200,tree,128,3.88
96,cores,true,dynamic,throughput,200,tree,256,3.8
96,cores,true,dynamic,throughput,200,tree,512,3.81
96,cores,true,dynamic,throughput,200,critical,64,3.9
96,cores,true,dynamic,throughput,200,critical,128,3.84
96,cores,true,dynamic,throughput,200,critical,256,3.94
96,cores,true,dynamic,throughput,200,critical,512,3.66
96,cores,true,dynamic,throughput,200,atomic,64,4.03
96,cores,true,dynamic,throughput,200,atomic,128,3.95
96,cores,true,dynamic,throughput,200,atomic,256,3.9
96,cores,true,dynamic,throughput,200,atomic,512,3.98
96,cores,true,dynamic,throughput,infinite,tree,64,3.86
96,cores,true,dynamic,throughput,infinite,tree,128,3.87
96,cores,true,dynamic,throughput,infinite,tree,256,3.8
96,cores,true,dynamic,throughput,infinite,tree,512,3.96
96,cores,true,dynamic,throughput,infinite,critical,64,3.81
96,cores,true,dynamic,throughput,infinite,critical,128,3.84
96,cores,true,dynamic,throughput,infinite,critical,256,3.76
96,cores,true,dynamic,throughput,infinite,critical,512,4.09
96,cores,true,dynamic,throughput,infinite,atomic,64,4.01
96,cores,true,dynamic,throughput,infinite,atomic,128,3.73
96,cores,true,dynamic,throughput,infinite,atomic,256,3.82
96,cores,true,dynamic,throughput,infinite,atomic,512,3.84
96,cores,true,dynamic,turnaround,0,tree,64,7.4
96,cores,true,dynamic,turnaround,0,tree,128,7.33
96,cores,true,dynamic,turnaround,0,tree,256,7.13
96,cores,true,dynamic,turnaround,0,tree,512,7.13
96,cores,true,dynamic,turnaround,0,critical,64,7.36
