OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,true,static,throughput,0,tree,64,0.276971
96,cores,true,static,throughput,0,tree,128,0.319634
96,cores,true,static,throughput,0,tree,256,0.309398
96,cores,true,static,throughput,0,tree,512,0.301643
96,cores,true,static,throughput,0,critical,64,0.309094
96,cores,true,static,throughput,0,critical,128,0.343892
96,cores,true,static,throughput,0,critical,256,0.319482
96,cores,true,static,throughput,0,critical,512,0.322709
96,cores,true,static,throughput,0,atomic,64,0.309882
96,cores,true,static,throughput,0,atomic,128,0.312714
96,cores,true,static,throughput,0,atomic,256,0.312077
96,cores,true,static,throughput,0,atomic,512,0.328385
96,cores,true,static,throughput,200,tree,64,0.310425
96,cores,true,static,throughput,200,tree,128,0.295754
96,cores,true,static,throughput,200,tree,256,0.305211
96,cores,true,static,throughput,200,tree,512,0.339967
96,cores,true,static,throughput,200,critical,64,0.293664
96,cores,true,static,throughput,200,critical,128,0.330828
96,cores,true,static,throughput,200,critical,256,0.332594
96,cores,true,static,throughput,200,critical,512,0.314179
96,cores,true,static,throughput,200,atomic,64,0.287484
96,cores,true,static,throughput,200,atomic,128,0.30884
96,cores,true,static,throughput,200,atomic,256,0.321788
96,cores,true,static,throughput,200,atomic,512,0.305719
96,cores,true,static,throughput,infinite,tree,64,0.309346
96,cores,true,static,throughput,infinite,tree,128,0.315575
96,cores,true,static,throughput,infinite,tree,256,0.361141
96,cores,true,static,throughput,infinite,tree,512,0.319552
96,cores,true,static,throughput,infinite,critical,64,0.340929
96,cores,true,static,throughput,infinite,critical,128,0.328238
96,cores,true,static,throughput,infinite,critical,256,0.465154
96,cores,true,static,throughput,infinite,critical,512,0.335963
96,cores,true,static,throughput,infinite,atomic,64,0.309954
96,cores,true,static,throughput,infinite,atomic,128,0.345481
96,cores,true,static,throughput,infinite,atomic,256,0.311078
96,cores,true,static,throughput,infinite,atomic,512,0.313336
96,cores,true,static,turnaround,0,tree,64,0.34342
96,cores,true,static,turnaround,0,tree,128,0.302869
96,cores,true,static,turnaround,0,tree,256,0.324477
96,cores,true,static,turnaround,0,tree,512,0.296139
96,cores,true,static,turnaround,0,critical,64,0.308216
96,cores,true,static,turnaround,0,critical,128,0.315929
96,cores,true,static,turnaround,0,critical,256,0.323342
96,cores,true,static,turnaround,0,critical,512,0.302635
96,cores,true,static,turnaround,0,atomic,64,0.31198
96,cores,true,static,turnaround,0,atomic,128,0.308628
96,cores,true,static,turnaround,0,atomic,256,0.321459
96,cores,true,static,turnaround,0,atomic,512,0.301123
96,cores,true,static,turnaround,200,tree,64,0.305329
96,cores,true,static,turnaround,200,tree,128,0.292344
96,cores,true,static,turnaround,200,tree,256,0.33587
96,cores,true,static,turnaround,200,tree,512,0.318665
96,cores,true,static,turnaround,200,critical,64,0.306762
96,cores,true,static,turnaround,200,critical,128,0.284405
96,cores,true,static,turnaround,200,critical,256,0.29854
96,cores,true,static,turnaround,200,critical,512,0.267846
96,cores,true,static,turnaround,200,atomic,64,0.327529
96,cores,true,static,turnaround,200,atomic,128,0.29008
96,cores,true,static,turnaround,200,atomic,256,0.316937
96,cores,true,static,turnaround,200,atomic,512,0.305237
96,cores,true,static,turnaround,infinite,tree,64,0.300536
96,cores,true,static,turnaround,infinite,tree,128,0.34023
96,cores,true,static,turnaround,infinite,tree,256,0.34658
96,cores,true,static,turnaround,infinite,tree,512,0.346594
96,cores,true,static,turnaround,infinite,critical,64,0.329738
96,cores,true,static,turnaround,infinite,critical,128,0.297763
96,cores,true,static,turnaround,infinite,critical,256,0.335128
