OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,true,static,throughput,0,tree,64,9.913
96,cores,true,static,throughput,0,tree,128,9.93
96,cores,true,static,throughput,0,tree,256,10.062
96,cores,true,static,throughput,0,tree,512,10.085
96,cores,true,static,throughput,0,critical,64,9.867
96,cores,true,static,throughput,0,critical,128,9.944
96,cores,true,static,throughput,0,critical,256,10.085
96,cores,true,static,throughput,0,critical,512,7.809
96,cores,true,static,throughput,0,atomic,64,10.015
96,cores,true,static,throughput,0,atomic,128,9.873
96,cores,true,static,throughput,0,atomic,256,9.947
96,cores,true,static,throughput,0,atomic,512,9.968
96,cores,true,static,throughput,200,tree,64,10.062
96,cores,true,static,throughput,200,tree,128,9.914
96,cores,true,static,throughput,200,tree,256,9.959
96,cores,true,static,throughput,200,tree,512,9.683
96,cores,true,static,throughput,200,critical,64,10.078
96,cores,true,static,throughput,200,critical,128,10.019
96,cores,true,static,throughput,200,critical,256,9.937
96,cores,true,static,throughput,200,critical,512,9.064
96,cores,true,static,throughput,200,atomic,64,10.013
96,cores,true,static,throughput,200,atomic,128,10.057
96,cores,true,static,throughput,200,atomic,256,10.074
96,cores,true,static,throughput,200,atomic,512,10.011
96,cores,true,static,throughput,infinite,tree,64,9.987
96,cores,true,static,throughput,infinite,tree,128,9.978
96,cores,true,static,throughput,infinite,tree,256,10.04
96,cores,true,static,throughput,infinite,tree,512,9.654
96,cores,true,static,throughput,infinite,critical,64,10.016
96,cores,true,static,throughput,infinite,critical,128,9.934
96,cores,true,static,throughput,infinite,critical,256,9.981
96,cores,true,static,throughput,infinite,critical,512,9.64
96,cores,true,static,throughput,infinite,atomic,64,10.01
96,cores,true,static,throughput,infinite,atomic,128,9.998
96,cores,true,static,throughput,infinite,atomic,256,9.954
96,cores,true,static,throughput,infinite,atomic,512,10.027
96,cores,true,static,turnaround,0,tree,64,9.98
96,cores,true,static,turnaround,0,tree,128,10.024
96,cores,true,static,turnaround,0,tree,256,9.999
96,cores,true,static,turnaround,0,tree,512,9.96
96,cores,true,static,turnaround,0,critical,64,10.074
96,cores,true,static,turnaround,0,critical,128,10.014
96,cores,true,static,turnaround,0,critical,256,10.069
96,cores,true,static,turnaround,0,critical,512,8.458
96,cores,true,static,turnaround,0,atomic,64,10.036
96,cores,true,static,turnaround,0,atomic,128,9.989
96,cores,true,static,turnaround,0,atomic,256,10.027
96,cores,true,static,turnaround,0,atomic,512,9.733
96,cores,true,static,turnaround,200,tree,64,10.069
96,cores,true,static,turnaround,200,tree,128,10.037
96,cores,true,static,turnaround,200,tree,256,9.996
96,cores,true,static,turnaround,200,tree,512,7.521
96,cores,true,static,turnaround,200,critical,64,10.001
96,cores,true,static,turnaround,200,critical,128,10.079
96,cores,true,static,turnaround,200,critical,256,9.982
96,cores,true,static,turnaround,200,critical,512,9.971
96,cores,true,static,turnaround,200,atomic,64,10.055
96,cores,true,static,turnaround,200,atomic,128,10.054
96,cores,true,static,turnaround,200,atomic,256,10.023
96,cores,true,static,turnaround,200,atomic,512,9.919
96,cores,true,static,turnaround,infinite,tree,64,10.051
96,cores,true,static,turnaround,infinite,tree,128,9.982
96,cores,true,static,turnaround,infinite,tree,256,10.013
96,cores,true,static,turnaround,infinite,tree,512,9.954
96,cores,true,static,turnaround,infinite,critical,64,10.04
96,cores,true,static,turnaround,infinite,critical,128,9.908
96,cores,true,static,turnaround,infinite,critical,256,10.009
96,cores,true,static,turnaround,infinite,critical,512,8.403
96,cores,true,static,turnaround,infinite,atomic,64,10.085
96,cores,true,static,turnaround,infinite,atomic,128,10.029
96,cores,true,static,turnaround,infinite,atomic,256,10.119
96,cores,true,static,turnaround,infinite,atomic,512,10.064
96,cores,true,dynamic,throughput,0,tree,64,9.912
96,cores,true,dynamic,throughput,0,tree,128,9.999
96,cores,true,dynamic,throughput,0,tree,256,9.949
96,cores,true,dynamic,throughput,0,tree,512,10.01
96,cores,true,dynamic,throughput,0,critical,64,9.955
96,cores,true,dynamic,throughput,0,critical,128,10.011
96,cores,true,dynamic,throughput,0,critical,256,9.157
96,cores,true,dynamic,throughput,0,critical,512,10.043
96,cores,true,dynamic,throughput,0,atomic,64,9.957
96,cores,true,dynamic,throughput,0,atomic,128,9.978
96,cores,true,dynamic,throughput,0,atomic,256,9.808
96,cores,true,dynamic,throughput,0,atomic,512,9.574
96,cores,true,dynamic,throughput,200,tree,64,9.84
96,cores,true,dynamic,throughput,200,tree,128,9.967
96,cores,true,dynamic,throughput,200,tree,256,10.026
96,cores,true,dynamic,throughput,200,tree,512,9.974
96,cores,true,dynamic,throughput,200,critical,64,10.02
96,cores,true,dynamic,throughput,200,critical,128,9.949
96,cores,true,dynamic,throughput,200,critical,256,10.06
96,cores,true,dynamic,throughput,200,critical,512,10.009
96,cores,true,dynamic,throughput,200,atomic,64,9.946
96,cores,true,dynamic,throughput,200,atomic,128,9.915
96,cores,true,dynamic,throughput,200,atomic,256,10.06
96,cores,true,dynamic,throughput,200,atomic,512,10.043
96,cores,true,dynamic,throughput,infinite,tree,64,10.05
96,cores,true,dynamic,throughput,infinite,tree,128,10.015
96,cores,true,dynamic,throughput,infinite,tree,256,9.686
96,cores,true,dynamic,throughput,infinite,tree,512,10.033
96,cores,true,dynamic,throughput,infinite,critical,64,10.024
96,cores,true,dynamic,throughput,infinite,critical,128,9.908
96,cores,true,dynamic,throughput,infinite,critical,256,9.926
96,cores,true,dynamic,throughput,infinite,critical,512,9.936
96,cores,true,dynamic,throughput,infinite,atomic,64,9.904
96,cores,true,dynamic,throughput,infinite,atomic,128,10.021
96,cores,true,dynamic,throughput,infinite,atomic,256,10.021
96,cores,true,dynamic,throughput,infinite,atomic,512,10.1
96,cores,true,dynamic,turnaround,0,tree,64,9.94
96,cores,true,dynamic,turnaround,0,tree,128,9.962
96,cores,true,dynamic,turnaround,0,tree,256,10.049
96,cores,true,dynamic,turnaround,0,tree,512,10.045
96,cores,true,dynamic,turnaround,0,critical,64,10.068
96,cores,true,dynamic,turnaround,0,critical,128,10.013
96,cores,true,dynamic,turnaround,0,critical,256,9.995
96,cores,true,dynamic,turnaround,0,critical,512,9.604
96,cores,true,dynamic,turnaround,0,atomic,64,9.943
96,cores,true,dynamic,turnaround,0,atomic,128,9.954
96,cores,true,dynamic,turnaround,0,atomic,256,10.045
96,cores,true,dynamic,turnaround,0,atomic,512,10.005
96,cores,true,dynamic,turnaround,200,tree,64,9.99
96,cores,true,dynamic,turnaround,200,tree,128,9.976
96,cores,true,dynamic,turnaround,200,tree,256,10.081
96,cores,true,dynamic,turnaround,200,tree,512,10.04
96,cores,true,dynamic,turnaround,200,critical,64,10.011
96,cores,true,dynamic,turnaround,200,critical,128,9.981
96,cores,true,dynamic,turnaround,200,critical,256,10.007
96,cores,true,dynamic,turnaround,200,critical,512,9.936
96,cores,true,dynamic,turnaround,200,atomic,64,10.01
96,cores,true,dynamic,turnaround,200,atomic,128,10.024
96,cores,true,dynamic,turnaround,200,atomic,256,9.945
96,cores,true,dynamic,turnaround,200,atomic,512,10.046
96,cores,true,dynamic,turnaround,infinite,tree,64,9.98
96,cores,true,dynamic,turnaround,infinite,tree,128,10.009
96,cores,true,dynamic,turnaround,infinite,tree,256,9.962
96,cores,true,dynamic,turnaround,infinite,tree,512,9.942
96,cores,true,dynamic,turnaround,infinite,critical,64,9.996
