OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
40,cores,false,static,throughput,0,tree,64,0.19667
40,cores,false,static,throughput,0,tree,128,0.19667
40,cores,false,static,throughput,0,tree,256,0.19333
40,cores,false,static,throughput,0,tree,512,0.19667
40,cores,false,static,throughput,0,critical,64,0.20333
40,cores,false,static,throughput,0,critical,128,0.20333
40,cores,false,static,throughput,0,critical,256,0.2
40,cores,false,static,throughput,0,critical,512,0.20333
40,cores,false,static,throughput,0,atomic,64,0.19333
40,cores,false,static,throughput,0,atomic,128,0.19667
40,cores,false,static,throughput,0,atomic,256,0.2
40,cores,false,static,throughput,0,atomic,512,0.2
40,cores,false,static,throughput,200,tree,64,0.11667
40,cores,false,static,throughput,200,tree,128,0.11667
40,cores,false,static,throughput,200,tree,256,0.10667
40,cores,false,static,throughput,200,tree,512,0.11667
40,cores,false,static,throughput,200,critical,64,0.12333
40,cores,false,static,throughput,200,critical,128,0.12667
40,cores,false,static,throughput,200,critical,256,0.13
40,cores,false,static,throughput,200,critical,512,0.12667
40,cores,false,static,throughput,200,atomic,64,0.1
40,cores,false,static,throughput,200,atomic,128,0.1
40,cores,false,static,throughput,200,atomic,256,0.10333
40,cores,false,static,throughput,200,atomic,512,0.10667
40,cores,false,static,throughput,infinite,tree,64,0.11333
40,cores,false,static,throughput,infinite,tree,128,0.12
40,cores,false,static,throughput,infinite,tree,256,0.11
40,cores,false,static,throughput,infinite,tree,512,0.12
40,cores,false,static,throughput,infinite,critical,64,0.14
40,cores,false,static,throughput,infinite,critical,128,0.13667
40,cores,false,static,throughput,infinite,critical,256,0.15667
40,cores,false,static,throughput,infinite,critical,512,0.13333
40,cores,false,static,throughput,infinite,atomic,64,0.10333
40,cores,false,static,throughput,infinite,atomic,128,0.11
40,cores,false,static,throughput,infinite,atomic,256,0.10333
40,cores,false,static,throughput,infinite,atomic,512,0.1
40,cores,false,static,turnaround,0,tree,64,0.19333
40,cores,false,static,turnaround,0,tree,128,0.20333
40,cores,false,static,turnaround,0,tree,256,0.19333
40,cores,false,static,turnaround,0,tree,512,0.2
40,cores,false,static,turnaround,0,critical,64,0.19667
40,cores,false,static,turnaround,0,critical,128,0.20667
40,cores,false,static,turnaround,0,critical,256,0.2
40,cores,false,static,turnaround,0,critical,512,0.20333
40,cores,false,static,turnaround,0,atomic,64,0.19667
40,cores,false,static,turnaround,0,atomic,128,0.2
40,cores,false,static,turnaround,0,atomic,256,0.2
40,cores,false,static,turnaround,0,atomic,512,0.19667
40,cores,false,static,turnaround,200,tree,64,0.11667
40,cores,false,static,turnaround,200,tree,128,0.11667
40,cores,false,static,turnaround,200,tree,256,0.10667
40,cores,false,static,turnaround,200,tree,512,0.11333
40,cores,false,static,turnaround,200,critical,64,0.12333
40,cores,false,static,turnaround,200,critical,128,0.13
40,cores,false,static,turnaround,200,critical,256,0.13
40,cores,false,static,turnaround,200,critical,512,0.12333
40,cores,false,static,turnaround,200,atomic,64,0.10667
40,cores,false,static,turnaround,200,atomic,128,0.10333
40,cores,false,static,turnaround,200,atomic,256,0.10333
40,cores,false,static,turnaround,200,atomic,512,0.10333
40,cores,false,static,turnaround,infinite,tree,64,0.12
40,cores,false,static,turnaround,infinite,tree,128,0.12
40,cores,false,static,turnaround,infinite,tree,256,0.10667
40,cores,false,static,turnaround,infinite,tree,512,0.12
40,cores,false,static,turnaround,infinite,critical,64,0.14
40,cores,false,static,turnaround,infinite,critical,128,0.13667
40,cores,false,static,turnaround,infinite,critical,256,0.13333
40,cores,false,static,turnaround,infinite,critical,512,0.13667
40,cores,false,static,turnaround,infinite,atomic,64,0.10667
40,cores,false,static,turnaround,infinite,atomic,128,0.10667
40,cores,false,static,turnaround,infinite,atomic,256,0.1
40,cores,false,static,turnaround,infinite,atomic,512,0.1
40,cores,false,dynamic,throughput,0,tree,64,0.19667
40,cores,false,dynamic,throughput,0,tree,128,0.19667
40,cores,false,dynamic,throughput,0,tree,256,0.19333
40,cores,false,dynamic,throughput,0,tree,512,0.19667
40,cores,false,dynamic,throughput,0,critical,64,0.2
40,cores,false,dynamic,throughput,0,critical,128,0.20333
40,cores,false,dynamic,throughput,0,critical,256,0.2
40,cores,false,dynamic,throughput,0,critical,512,0.20667
40,cores,false,dynamic,throughput,0,atomic,64,0.19667
40,cores,false,dynamic,throughput,0,atomic,128,0.20667
40,cores,false,dynamic,throughput,0,atomic,256,0.19667
40,cores,false,dynamic,throughput,0,atomic,512,0.2
40,cores,false,dynamic,throughput,200,tree,64,0.11667
40,cores,false,dynamic,throughput,200,tree,128,0.13
40,cores,false,dynamic,throughput,200,tree,256,0.11
40,cores,false,dynamic,throughput,200,tree,512,0.11667
40,cores,false,dynamic,throughput,200,critical,64,0.13667
40,cores,false,dynamic,throughput,200,critical,128,0.13667
40,cores,false,dynamic,throughput,200,critical,256,0.13
40,cores,false,dynamic,throughput,200,critical,512,0.13667
40,cores,false,dynamic,throughput,200,atomic,64,0.10667
40,cores,false,dynamic,throughput,200,atomic,128,0.10333
40,cores,false,dynamic,throughput,200,atomic,256,0.10333
40,cores,false,dynamic,throughput,200,atomic,512,0.11
40,cores,false,dynamic,throughput,infinite,tree,64,0.12
40,cores,false,dynamic,throughput,infinite,tree,128,0.12
40,cores,false,dynamic,throughput,infinite,tree,256,0.10667
40,cores,false,dynamic,throughput,infinite,tree,512,0.11333
40,cores,false,dynamic,throughput,infinite,critical,64,0.13667
40,cores,false,dynamic,throughput,infinite,critical,128,0.13333
40,cores,false,dynamic,throughput,infinite,critical,256,0.12667
40,cores,false,dynamic,throughput,infinite,critical,512,0.13
40,cores,false,dynamic,throughput,infinite,atomic,64,0.11
40,cores,false,dynamic,throughput,infinite,atomic,128,0.10333
40,cores,false,dynamic,throughput,infinite,atomic,256,0.1
40,cores,false,dynamic,throughput,infinite,atomic,512,0.10333
40,cores,false,dynamic,turnaround,0,tree,64,0.19333
40,cores,false,dynamic,turnaround,0,tree,128,0.2
40,cores,false,dynamic,turnaround,0,tree,256,0.19333
40,cores,false,dynamic,turnaround,0,tree,512,0.19667
40,cores,false,dynamic,turnaround,0,critical,64,0.2
40,cores,false,dynamic,turnaround,0,critical,128,0.20333
40,cores,false,dynamic,turnaround,0,critical,256,0.20333
40,cores,false,dynamic,turnaround,0,critical,512,0.20667
40,cores,false,dynamic,turnaround,0,atomic,64,0.2
40,cores,false,dynamic,turnaround,0,atomic,128,0.20333
40,cores,false,dynamic,turnaround,0,atomic,256,0.20333
40,cores,false,dynamic,turnaround,0,atomic,512,0.20333
40,cores,false,dynamic,turnaround,200,tree,64,0.12
40,cores,false,dynamic,turnaround,200,tree,128,0.11667
40,cores,false,dynamic,turnaround,200,tree,256,0.11
40,cores,false,dynamic,turnaround,200,tree,512,0.11667
40,cores,false,dynamic,turnaround,200,critical,64,0.14
40,cores,false,dynamic,turnaround,200,critical,128,0.13
40,cores,false,dynamic,turnaround,200,critical,256,0.13
40,cores,false,dynamic,turnaround,200,critical,512,0.12667
40,cores,false,dynamic,turnaround,200,atomic,64,0.10333
40,cores,false,dynamic,turnaround,200,atomic,128,0.10333
40,cores,false,dynamic,turnaround,200,atomic,256,0.1
40,cores,false,dynamic,turnaround,200,atomic,512,0.10333
40,cores,false,dynamic,turnaround,infinite,tree,64,0.11333
40,cores,false,dynamic,turnaround,infinite,tree,128,0.11667
40,cores,false,dynamic,turnaround,infinite,tree,256,0.11333
40,cores,false,dynamic,turnaround,infinite,tree,512,0.13333
40,cores,false,dynamic,turnaround,infinite,critical,64,0.14
40,cores,false,dynamic,turnaround,infinite,critical,128,0.13333
40,cores,false,dynamic,turnaround,infinite,critical,256,0.13
40,cores,false,dynamic,turnaround,infinite,critical,512,0.13333
40,cores,false,dynamic,turnaround,infinite,atomic,64,0.11
40,cores,false,dynamic,turnaround,infinite,atomic,128,0.10667
40,cores,false,dynamic,turnaround,infinite,atomic,256,0.18333
40,cores,false,dynamic,turnaround,infinite,atomic,512,0.1
40,cores,false,guided,throughput,0,tree,64,0.19667
40,cores,false,guided,throughput,0,tree,128,0.19667
40,cores,false,guided,throughput,0,tree,256,0.2
40,cores,false,guided,throughput,0,tree,512,0.19333
40,cores,false,guided,throughput,0,critical,64,0.19667
40,cores,false,guided,throughput,0,critical,128,0.20333
40,cores,false,guided,throughput,0,critical,256,0.20333
40,cores,false,guided,throughput,0,critical,512,0.20333
40,cores,false,guided,throughput,0,atomic,64,0.2
40,cores,false,guided,throughput,0,atomic,128,0.20333
40,cores,false,guided,throughput,0,atomic,256,0.20333
40,cores,false,guided,throughput,0,atomic,512,0.20333
40,cores,false,guided,throughput,200,tree,64,0.12
40,cores,false,guided,throughput,200,tree,128,0.11667
40,cores,false,guided,throughput,200,tree,256,0.11
40,cores,false,guided,throughput,200,tree,512,0.11667
40,cores,false,guided,throughput,200,critical,64,0.13333
40,cores,false,guided,throughput,200,critical,128,0.13333
40,cores,false,guided,throughput,200,critical,256,0.14667
40,cores,false,guided,throughput,200,critical,512,0.13333
40,cores,false,guided,throughput,200,atomic,64,0.10667
40,cores,false,guided,throughput,200,atomic,128,0.10333
40,cores,false,guided,throughput,200,atomic,256,0.1
40,cores,false,guided,throughput,200,atomic,512,0.1
40,cores,false,guided,throughput,infinite,tree,64,0.12333
40,cores,false,guided,throughput,infinite,tree,128,0.11667
40,cores,false,guided,throughput,infinite,tree,256,0.11
40,cores,false,guided,throughput,infinite,tree,512,0.12
40,cores,false,guided,throughput,infinite,critical,64,0.14
40,cores,false,guided,throughput,infinite,critical,128,0.13667
40,cores,false,guided,throughput,infinite,critical,256,0.12667
40,cores,false,guided,throughput,infinite,critical,512,0.13667
40,cores,false,guided,throughput,infinite,atomic,64,0.11
40,cores,false,guided,throughput,infinite,atomic,128,0.10667
40,cores,false,guided,throughput,infinite,atomic,256,0.1
40,cores,false,guided,throughput,infinite,atomic,512,0.1
40,cores,false,guided,turnaround,0,tree,64,0.2
40,cores,false,guided,turnaround,0,tree,128,0.19667
40,cores,false,guided,turnaround,0,tree,256,0.2
40,cores,false,guided,turnaround,0,tree,512,0.19667
40,cores,false,guided,turnaround,0,critical,64,0.20667
40,cores,false,guided,turnaround,0,critical,128,0.20333
40,cores,false,guided,turnaround,0,critical,256,0.20333
40,cores,false,guided,turnaround,0,critical,512,0.21
40,cores,false,guided,turnaround,0,atomic,64,0.20333
40,cores,false,guided,turnaround,0,atomic,128,0.19667
40,cores,false,guided,turnaround,0,atomic,256,0.2
40,cores,false,guided,turnaround,0,atomic,512,0.2
40,cores,false,guided,turnaround,200,tree,64,0.11333
40,cores,false,guided,turnaround,200,tree,128,0.11333
40,cores,false,guided,turnaround,200,tree,256,0.10333
40,cores,false,guided,turnaround,200,tree,512,0.12
40,cores,false,guided,turnaround,200,critical,64,0.13667
40,cores,false,guided,turnaround,200,critical,128,0.13333
40,cores,false,guided,turnaround,200,critical,256,0.12667
40,cores,false,guided,turnaround,200,critical,512,0.13
40,cores,false,guided,turnaround,200,atomic,64,0.12667
40,cores,false,guided,turnaround,200,atomic,128,0.10333
40,cores,false,guided,turnaround,200,atomic,256,0.10333
40,cores,false,guided,turnaround,200,atomic,512,0.1
40,cores,false,guided,turnaround,infinite,tree,64,0.11667
40,cores,false,guided,turnaround,infinite,tree,128,0.12
40,cores,false,guided,turnaround,infinite,tree,256,0.11
40,cores,false,guided,turnaround,infinite,tree,512,0.11667
40,cores,false,guided,turnaround,infinite,critical,64,0.14
40,cores,false,guided,turnaround,infinite,critical,128,0.13667
40,cores,false,guided,turnaround,infinite,critical,256,0.13
40,cores,false,guided,turnaround,infinite,critical,512,0.13333
40,cores,false,guided,turnaround,infinite,atomic,64,0.10667
40,cores,false,guided,turnaround,infinite,atomic,128,0.10333
40,cores,false,guided,turnaround,infinite,atomic,256,0.1
40,cores,false,guided,turnaround,infinite,atomic,512,0.10667
40,cores,false,auto,throughput,0,tree,64,0.19333
40,cores,false,auto,throughput,0,tree,128,0.19667
40,cores,false,auto,throughput,0,tree,256,0.19667
40,cores,false,auto,throughput,0,tree,512,0.20333
40,cores,false,auto,throughput,0,critical,64,0.2
40,cores,false,auto,throughput,0,critical,128,0.20333
40,cores,false,auto,throughput,0,critical,256,0.19667
40,cores,false,auto,throughput,0,critical,512,0.2
40,cores,false,auto,throughput,0,atomic,64,0.2
40,cores,false,auto,throughput,0,atomic,128,0.2
40,cores,false,auto,throughput,0,atomic,256,0.20333
40,cores,false,auto,throughput,0,atomic,512,0.20333
40,cores,false,auto,throughput,200,tree,64,0.11667
40,cores,false,auto,throughput,200,tree,128,0.11667
40,cores,false,auto,throughput,200,tree,256,0.10667
