OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
40,cores,false,static,throughput,0,tree,64,11.365
40,cores,false,static,throughput,0,tree,128,10.61
40,cores,false,static,throughput,0,tree,256,10.83
40,cores,false,static,throughput,0,tree,512,10.99
40,cores,false,static,throughput,0,critical,64,11.605
40,cores,false,static,throughput,0,critical,128,11.09
40,cores,false,static,throughput,0,critical,256,10.55
40,cores,false,static,throughput,0,critical,512,11.05
40,cores,false,static,throughput,0,atomic,64,10.57
40,cores,false,static,throughput,0,atomic,128,11.235
40,cores,false,static,throughput,0,atomic,256,10.845
40,cores,false,static,throughput,0,atomic,512,10.71
40,cores,false,static,throughput,200,tree,64,10.225
40,cores,false,static,throughput,200,tree,128,11.53
40,cores,false,static,throughput,200,tree,256,10.23
40,cores,false,static,throughput,200,tree,512,11.035
40,cores,false,static,throughput,200,critical,64,10.7
40,cores,false,static,throughput,200,critical,128,11.915
40,cores,false,static,throughput,200,critical,256,10.975
40,cores,false,static,throughput,200,critical,512,11.905
40,cores,false,static,throughput,200,atomic,64,11.135
40,cores,false,static,throughput,200,atomic,128,10.365
40,cores,false,static,throughput,200,atomic,256,10.17
40,cores,false,static,throughput,200,atomic,512,9.48
40,cores,false,static,throughput,infinite,tree,64,11.685
40,cores,false,static,throughput,infinite,tree,128,11.295
40,cores,false,static,throughput,infinite,tree,256,11.04
40,cores,false,static,throughput,infinite,tree,512,10.355
40,cores,false,static,throughput,infinite,critical,64,11.53
40,cores,false,static,throughput,infinite,critical,128,10.955
40,cores,false,static,throughput,infinite,critical,256,10.94
40,cores,false,static,throughput,infinite,critical,512,11.86
40,cores,false,static,throughput,infinite,atomic,64,10.46
40,cores,false,static,throughput,infinite,atomic,128,11.795
40,cores,false,static,throughput,infinite,atomic,256,10.775
40,cores,false,static,throughput,infinite,atomic,512,10.49
40,cores,false,static,turnaround,0,tree,64,11.41
40,cores,false,static,turnaround,0,tree,128,11.36
40,cores,false,static,turnaround,0,tree,256,11.35
40,cores,false,static,turnaround,0,tree,512,11.115
40,cores,false,static,turnaround,0,critical,64,11.2
40,cores,false,static,turnaround,0,critical,128,10.91
40,cores,false,static,turnaround,0,critical,256,10.83
40,cores,false,static,turnaround,0,critical,512,11.37
40,cores,false,static,turnaround,0,atomic,64,10.84
40,cores,false,static,turnaround,0,atomic,128,10.955
40,cores,false,static,turnaround,0,atomic,256,11.21
40,cores,false,static,turnaround,0,atomic,512,10.785
