OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
40,cores,false,static,throughput,0,tree,64,1.89
40,cores,false,static,throughput,0,tree,128,1.885
40,cores,false,static,throughput,0,tree,256,1.885
40,cores,false,static,throughput,0,tree,512,1.885
40,cores,false,static,throughput,0,critical,64,1.885
40,cores,false,static,throughput,0,critical,128,1.885
40,cores,false,static,throughput,0,critical,256,1.89
40,cores,false,static,throughput,0,critical,512,1.885
40,cores,false,static,throughput,0,atomic,64,1.885
40,cores,false,static,throughput,0,atomic,128,1.885
40,cores,false,static,throughput,0,atomic,256,1.89
40,cores,false,static,throughput,0,atomic,512,1.885
40,cores,false,static,throughput,200,tree,64,1.89
40,cores,false,static,throughput,200,tree,128,1.89
40,cores,false,static,throughput,200,tree,256,1.89
40,cores,false,static,throughput,200,tree,512,1.96
40,cores,false,static,throughput,200,critical,64,1.89
40,cores,false,static,throughput,200,critical,128,1.9
40,cores,false,static,throughput,200,critical,256,1.895
40,cores,false,static,throughput,200,critical,512,1.89
40,cores,false,static,throughput,200,atomic,64,1.895
40,cores,false,static,throughput,200,atomic,128,1.89
40,cores,false,static,throughput,200,atomic,256,1.89
40,cores,false,static,throughput,200,atomic,512,1.89
40,cores,false,static,throughput,infinite,tree,64,1.895
40,cores,false,static,throughput,infinite,tree,128,1.895
40,cores,false,static,throughput,infinite,tree,256,1.89
40,cores,false,static,throughput,infinite,tree,512,1.895
40,cores,false,static,throughput,infinite,critical,64,1.89
40,cores,false,static,throughput,infinite,critical,128,1.89
40,cores,false,static,throughput,infinite,critical,256,1.89
40,cores,false,static,throughput,infinite,critical,512,1.885
40,cores,false,static,throughput,infinite,atomic,64,1.89
40,cores,false,static,throughput,infinite,atomic,128,1.89
40,cores,false,static,throughput,infinite,atomic,256,1.89
40,cores,false,static,throughput,infinite,atomic,512,1.885
40,cores,false,static,turnaround,0,tree,64,1.89
40,cores,false,static,turnaround,0,tree,128,1.89
40,cores,false,static,turnaround,0,tree,256,1.89
40,cores,false,static,turnaround,0,tree,512,1.89
40,cores,false,static,turnaround,0,critical,64,1.9
40,cores,false,static,turnaround,0,critical,128,1.885
40,cores,false,static,turnaround,0,critical,256,1.885
40,cores,false,static,turnaround,0,critical,512,1.89
40,cores,false,static,turnaround,0,atomic,64,1.885
40,cores,false,static,turnaround,0,atomic,128,1.885
40,cores,false,static,turnaround,0,atomic,256,1.89
40,cores,false,static,turnaround,0,atomic,512,1.885
40,cores,false,static,turnaround,200,tree,64,1.895
40,cores,false,static,turnaround,200,tree,128,1.89
