OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
40,cores,false,static,throughput,0,tree,64,3.23667
40,cores,false,static,throughput,0,tree,128,3.23667
40,cores,false,static,throughput,0,tree,256,3.25667
40,cores,false,static,throughput,0,tree,512,3.25667
40,cores,false,static,throughput,0,critical,64,3.23333
40,cores,false,static,throughput,0,critical,128,3.25
40,cores,false,static,throughput,0,critical,256,3.24333
40,cores,false,static,throughput,0,critical,512,3.23667
40,cores,false,static,throughput,0,atomic,64,3.24667
40,cores,false,static,throughput,0,atomic,128,3.24
40,cores,false,static,throughput,0,atomic,256,3.26
40,cores,false,static,throughput,0,atomic,512,3.28333
40,cores,false,static,throughput,200,tree,64,3.04667
40,cores,false,static,throughput,200,tree,128,3.17333
40,cores,false,static,throughput,200,tree,256,3.01
40,cores,false,static,throughput,200,tree,512,3.16667
40,cores,false,static,throughput,200,critical,64,3.07
40,cores,false,static,throughput,200,critical,128,3.08667
40,cores,false,static,throughput,200,critical,256,3.09667
40,cores,false,static,throughput,200,critical,512,3.11
40,cores,false,static,throughput,200,atomic,64,3.18333
40,cores,false,static,throughput,200,atomic,128,3.10333
40,cores,false,static,throughput,200,atomic,256,3.18333
40,cores,false,static,throughput,200,atomic,512,3.18
40,cores,false,static,throughput,infinite,tree,64,3.41667
40,cores,false,static,throughput,infinite,tree,128,3.37333
40,cores,false,static,throughput,infinite,tree,256,3.47333
40,cores,false,static,throughput,infinite,tree,512,3.38667
40,cores,false,static,throughput,infinite,critical,64,3.48667
40,cores,false,static,throughput,infinite,critical,128,3.41667
40,cores,false,static,throughput,infinite,critical,256,3.49
40,cores,false,static,throughput,infinite,critical,512,3.51667
40,cores,false,static,throughput,infinite,atomic,64,3.40333
40,cores,false,static,throughput,infinite,atomic,128,3.39667
40,cores,false,static,throughput,infinite,atomic,256,3.39333
40,cores,false,static,throughput,infinite,atomic,512,3.46333
40,cores,false,static,turnaround,0,tree,64,3.22667
40,cores,false,static,turnaround,0,tree,128,3.22667
40,cores,false,static,turnaround,0,tree,256,3.25333
40,cores,false,static,turnaround,0,tree,512,3.28333
40,cores,false,static,turnaround,0,critical,64,3.25667
40,cores,false,static,turnaround,0,critical,128,3.22667
40,cores,false,static,turnaround,0,critical,256,3.24
40,cores,false,static,turnaround,0,critical,512,3.23333
40,cores,false,static,turnaround,0,atomic,64,3.25667
40,cores,false,static,turnaround,0,atomic,128,3.28333
40,cores,false,static,turnaround,0,atomic,256,3.26667
40,cores,false,static,turnaround,0,atomic,512,3.27333
40,cores,false,static,turnaround,200,tree,64,3.13333
40,cores,false,static,turnaround,200,tree,128,3.11
40,cores,false,static,turnaround,200,tree,256,3.1
40,cores,false,static,turnaround,200,tree,512,3.15667
40,cores,false,static,turnaround,200,critical,64,3.10333
40,cores,false,static,turnaround,200,critical,128,3.07333
40,cores,false,static,turnaround,200,critical,256,3.18333
40,cores,false,static,turnaround,200,critical,512,3.1
40,cores,false,static,turnaround,200,atomic,64,3.17333
40,cores,false,static,turnaround,200,atomic,128,2.99
40,cores,false,static,turnaround,200,atomic,256,3.19333
40,cores,false,static,turnaround,200,atomic,512,3.09667
40,cores,false,static,turnaround,infinite,tree,64,3.38
40,cores,false,static,turnaround,infinite,tree,128,3.37667
40,cores,false,static,turnaround,infinite,tree,256,3.37333
40,cores,false,static,turnaround,infinite,tree,512,3.49667
40,cores,false,static,turnaround,infinite,critical,64,3.47667
40,cores,false,static,turnaround,infinite,critical,128,3.39
40,cores,false,static,turnaround,infinite,critical,256,3.4
40,cores,false,static,turnaround,infinite,critical,512,3.49333
40,cores,false,static,turnaround,infinite,atomic,64,3.48333
40,cores,false,static,turnaround,infinite,atomic,128,3.37667
40,cores,false,static,turnaround,infinite,atomic,256,3.30667
40,cores,false,static,turnaround,infinite,atomic,512,3.54333
40,cores,false,dynamic,throughput,0,tree,64,3.22667
40,cores,false,dynamic,throughput,0,tree,128,3.23667
40,cores,false,dynamic,throughput,0,tree,256,3.22667
40,cores,false,dynamic,throughput,0,tree,512,3.25
40,cores,false,dynamic,throughput,0,critical,64,3.21
40,cores,false,dynamic,throughput,0,critical,128,3.24667
40,cores,false,dynamic,throughput,0,critical,256,3.24333
40,cores,false,dynamic,throughput,0,critical,512,3.24
40,cores,false,dynamic,throughput,0,atomic,64,3.22
40,cores,false,dynamic,throughput,0,atomic,128,3.23333
