OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
40,cores,false,static,throughput,0,tree,64,1.87
40,cores,false,static,throughput,0,tree,128,1.91
40,cores,false,static,throughput,0,tree,256,1.91667
40,cores,false,static,throughput,0,tree,512,1.92
40,cores,false,static,throughput,0,critical,64,1.87
40,cores,false,static,throughput,0,critical,128,1.9
40,cores,false,static,throughput,0,critical,256,1.91333
40,cores,false,static,throughput,0,critical,512,2.00333
40,cores,false,static,throughput,0,atomic,64,1.9
40,cores,false,static,throughput,0,atomic,128,1.95333
40,cores,false,static,throughput,0,atomic,256,1.89667
40,cores,false,static,throughput,0,atomic,512,1.91
40,cores,false,static,throughput,200,tree,64,1.89667
40,cores,false,static,throughput,200,tree,128,1.75667
40,cores,false,static,throughput,200,tree,256,1.80667
40,cores,false,static,throughput,200,tree,512,1.84667
40,cores,false,static,throughput,200,critical,64,1.79667
40,cores,false,static,throughput,200,critical,128,1.80667
40,cores,false,static,throughput,200,critical,256,1.77
40,cores,false,static,throughput,200,critical,512,1.77667
40,cores,false,static,throughput,200,atomic,64,1.8
40,cores,false,static,throughput,200,atomic,128,1.79
40,cores,false,static,throughput,200,atomic,256,1.8
40,cores,false,static,throughput,200,atomic,512,1.80333
40,cores,false,static,throughput,infinite,tree,64,1.75667
40,cores,false,static,throughput,infinite,tree,128,1.78333
40,cores,false,static,throughput,infinite,tree,256,1.78667
40,cores,false,static,throughput,infinite,tree,512,1.80667
40,cores,false,static,throughput,infinite,critical,64,1.82
40,cores,false,static,throughput,infinite,critical,128,1.80333
40,cores,false,static,throughput,infinite,critical,256,1.79
40,cores,false,static,throughput,infinite,critical,512,1.79
40,cores,false,static,throughput,infinite,atomic,64,1.78333
40,cores,false,static,throughput,infinite,atomic,128,1.79667
40,cores,false,static,throughput,infinite,atomic,256,1.8
40,cores,false,static,throughput,infinite,atomic,512,1.81333
40,cores,false,static,turnaround,0,tree,64,1.93667
40,cores,false,static,turnaround,0,tree,128,1.88333
40,cores,false,static,turnaround,0,tree,256,1.91333
40,cores,false,static,turnaround,0,tree,512,1.92
40,cores,false,static,turnaround,0,critical,64,1.92333
40,cores,false,static,turnaround,0,critical,128,1.88333
40,cores,false,static,turnaround,0,critical,256,1.94667
40,cores,false,static,turnaround,0,critical,512,1.91
40,cores,false,static,turnaround,0,atomic,64,1.88333
40,cores,false,static,turnaround,0,atomic,128,1.92
40,cores,false,static,turnaround,0,atomic,256,1.97333
40,cores,false,static,turnaround,0,atomic,512,1.88333
