OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
40,cores,false,static,throughput,0,tree,64,6.33667
40,cores,false,static,throughput,0,tree,128,6.5
40,cores,false,static,throughput,0,tree,256,6.33333
40,cores,false,static,throughput,0,tree,512,6.61333
40,cores,false,static,throughput,0,critical,64,6.46667
40,cores,false,static,throughput,0,critical,128,6.54667
40,cores,false,static,throughput,0,critical,256,6.41
40,cores,false,static,throughput,0,critical,512,6.47
40,cores,false,static,throughput,0,atomic,64,6.41333
40,cores,false,static,throughput,0,atomic,128,6.32
40,cores,false,static,throughput,0,atomic,256,6.4
40,cores,false,static,throughput,0,atomic,512,6.4
40,cores,false,static,throughput,200,tree,64,6.24667
40,cores,false,static,throughput,200,tree,128,6.23333
40,cores,false,static,throughput,200,tree,256,6.34667
40,cores,false,static,throughput,200,tree,512,6.25667
40,cores,false,static,throughput,200,critical,64,6.39667
40,cores,false,static,throughput,200,critical,128,6.32
40,cores,false,static,throughput,200,critical,256,6.36
40,cores,false,static,throughput,200,critical,512,6.19333
40,cores,false,static,throughput,200,atomic,64,6.29667
40,cores,false,static,throughput,200,atomic,128,6.23667
40,cores,false,static,throughput,200,atomic,256,6.43667
40,cores,false,static,throughput,200,atomic,512,6.2
40,cores,false,static,throughput,infinite,tree,64,6.38667
40,cores,false,static,throughput,infinite,tree,128,6.25333
40,cores,false,static,throughput,infinite,tree,256,6.28667
40,cores,false,static,throughput,infinite,tree,512,6.55333
40,cores,false,static,throughput,infinite,critical,64,6.15667
40,cores,false,static,throughput,infinite,critical,128,6.26
40,cores,false,static,throughput,infinite,critical,256,6.14667
40,cores,false,static,throughput,infinite,critical,512,6.22
40,cores,false,static,throughput,infinite,atomic,64,6.29667
40,cores,false,static,throughput,infinite,atomic,128,6.32
40,cores,false,static,throughput,infinite,atomic,256,6.13667
40,cores,false,static,throughput,infinite,atomic,512,6.24333
40,cores,false,static,turnaround,0,tree,64,6.35333
40,cores,false,static,turnaround,0,tree,128,6.26333
40,cores,false,static,turnaround,0,tree,256,6.32333
40,cores,false,static,turnaround,0,tree,512,6.28667
40,cores,false,static,turnaround,0,critical,64,6.55333
40,cores,false,static,turnaround,0,critical,128,6.38
40,cores,false,static,turnaround,0,critical,256,6.24
40,cores,false,static,turnaround,0,critical,512,6.25
40,cores,false,static,turnaround,0,atomic,64,6.25333
40,cores,false,static,turnaround,0,atomic,128,6.34
40,cores,false,static,turnaround,0,atomic,256,6.29667
40,cores,false,static,turnaround,0,atomic,512,6.30667
40,cores,false,static,turnaround,200,tree,64,6.36
