OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
40,cores,true,static,throughput,0,tree,64,0.247717
40,cores,true,static,throughput,0,tree,128,0.239991
40,cores,true,static,throughput,0,tree,256,0.246762
40,cores,true,static,throughput,0,tree,512,0.239673
40,cores,true,static,throughput,0,critical,64,0.247075
40,cores,true,static,throughput,0,critical,128,0.24726
40,cores,true,static,throughput,0,critical,256,0.245673
40,cores,true,static,throughput,0,critical,512,0.246654
40,cores,true,static,throughput,0,atomic,64,0.243125
40,cores,true,static,throughput,0,atomic,128,0.252177
40,cores,true,static,throughput,0,atomic,256,0.247193
40,cores,true,static,throughput,0,atomic,512,0.246953
40,cores,true,static,throughput,200,tree,64,0.239829
40,cores,true,static,throughput,200,tree,128,0.246737
40,cores,true,static,throughput,200,tree,256,0.246748
40,cores,true,static,throughput,200,tree,512,0.2363
40,cores,true,static,throughput,200,critical,64,0.235535
40,cores,true,static,throughput,200,critical,128,0.236944
40,cores,true,static,throughput,200,critical,256,0.247004
40,cores,true,static,throughput,200,critical,512,0.24638
40,cores,true,static,throughput,200,atomic,64,0.246269
40,cores,true,static,throughput,200,atomic,128,0.246809
40,cores,true,static,throughput,200,atomic,256,0.245795
40,cores,true,static,throughput,200,atomic,512,0.241878
40,cores,true,static,throughput,infinite,tree,64,0.237674
40,cores,true,static,throughput,infinite,tree,128,0.237669
40,cores,true,static,throughput,infinite,tree,256,0.235519
40,cores,true,static,throughput,infinite,tree,512,0.236374
40,cores,true,static,throughput,infinite,critical,64,0.23584
40,cores,true,static,throughput,infinite,critical,128,0.246146
40,cores,true,static,throughput,infinite,critical,256,0.246071
40,cores,true,static,throughput,infinite,critical,512,0.245756
40,cores,true,static,throughput,infinite,atomic,64,0.245639
40,cores,true,static,throughput,infinite,atomic,128,0.236921
40,cores,true,static,throughput,infinite,atomic,256,0.243414
40,cores,true,static,throughput,infinite,atomic,512,0.245792
40,cores,true,static,turnaround,0,tree,64,0.245248
40,cores,true,static,turnaround,0,tree,128,0.245598
40,cores,true,static,turnaround,0,tree,256,0.236294
40,cores,true,static,turnaround,0,tree,512,0.246866
40,cores,true,static,turnaround,0,critical,64,0.24642
40,cores,true,static,turnaround,0,critical,128,0.247533
40,cores,true,static,turnaround,0,critical,256,0.237286
40,cores,true,static,turnaround,0,critical,512,0.23663
40,cores,true,static,turnaround,0,atomic,64,0.241059
40,cores,true,static,turnaround,0,atomic,128,0.234787
40,cores,true,static,turnaround,0,atomic,256,0.241051
40,cores,true,static,turnaround,0,atomic,512,0.246256
40,cores,true,static,turnaround,200,tree,64,0.241955
40,cores,true,static,turnaround,200,tree,128,0.246366
40,cores,true,static,turnaround,200,tree,256,0.247101
40,cores,true,static,turnaround,200,tree,512,0.237342
40,cores,true,static,turnaround,200,critical,64,0.236068
40,cores,true,static,turnaround,200,critical,128,0.241272
40,cores,true,static,turnaround,200,critical,256,0.246434
40,cores,true,static,turnaround,200,critical,512,0.246277
40,cores,true,static,turnaround,200,atomic,64,0.245571
40,cores,true,static,turnaround,200,atomic,128,0.246002
40,cores,true,static,turnaround,200,atomic,256,0.245407
40,cores,true,static,turnaround,200,atomic,512,0.246205
40,cores,true,static,turnaround,infinite,tree,64,0.246493
40,cores,true,static,turnaround,infinite,tree,128,0.237249
40,cores,true,static,turnaround,infinite,tree,256,0.24035
40,cores,true,static,turnaround,infinite,tree,512,0.246177
40,cores,true,static,turnaround,infinite,critical,64,0.237426
40,cores,true,static,turnaround,infinite,critical,128,0.245207
40,cores,true,static,turnaround,infinite,critical,256,0.237151
40,cores,true,static,turnaround,infinite,critical,512,0.246806
40,cores,true,static,turnaround,infinite,atomic,64,0.246363
40,cores,true,static,turnaround,infinite,atomic,128,0.245769
40,cores,true,static,turnaround,infinite,atomic,256,0.245003
40,cores,true,static,turnaround,infinite,atomic,512,0.238597
40,cores,true,dynamic,throughput,0,tree,64,0.242669
40,cores,true,dynamic,throughput,0,tree,128,0.242469
40,cores,true,dynamic,throughput,0,tree,256,0.24222
40,cores,true,dynamic,throughput,0,tree,512,0.246187
40,cores,true,dynamic,throughput,0,critical,64,0.237649
40,cores,true,dynamic,throughput,0,critical,128,0.247335
40,cores,true,dynamic,throughput,0,critical,256,0.246822
40,cores,true,dynamic,throughput,0,critical,512,0.241956
40,cores,true,dynamic,throughput,0,atomic,64,0.24404
40,cores,true,dynamic,throughput,0,atomic,128,0.24731
40,cores,true,dynamic,throughput,0,atomic,256,0.239731
40,cores,true,dynamic,throughput,0,atomic,512,0.248047
40,cores,true,dynamic,throughput,200,tree,64,0.24505
40,cores,true,dynamic,throughput,200,tree,128,0.250167
40,cores,true,dynamic,throughput,200,tree,256,0.247126
40,cores,true,dynamic,throughput,200,tree,512,0.244374
40,cores,true,dynamic,throughput,200,critical,64,0.240117
40,cores,true,dynamic,throughput,200,critical,128,0.242532
40,cores,true,dynamic,throughput,200,critical,256,0.240001
40,cores,true,dynamic,throughput,200,critical,512,0.2465
40,cores,true,dynamic,throughput,200,atomic,64,0.245951
40,cores,true,dynamic,throughput,200,atomic,128,0.24749
40,cores,true,dynamic,throughput,200,atomic,256,0.247636
40,cores,true,dynamic,throughput,200,atomic,512,0.247457
40,cores,true,dynamic,throughput,infinite,tree,64,0.240136
40,cores,true,dynamic,throughput,infinite,tree,128,0.23388
40,cores,true,dynamic,throughput,infinite,tree,256,0.246759
40,cores,true,dynamic,throughput,infinite,tree,512,0.246236
40,cores,true,dynamic,throughput,infinite,critical,64,0.246916
40,cores,true,dynamic,throughput,infinite,critical,128,0.245996
40,cores,true,dynamic,throughput,infinite,critical,256,0.247172
40,cores,true,dynamic,throughput,infinite,critical,512,0.237099
40,cores,true,dynamic,throughput,infinite,atomic,64,0.246509
40,cores,true,dynamic,throughput,infinite,atomic,128,0.241975
40,cores,true,dynamic,throughput,infinite,atomic,256,0.246017
40,cores,true,dynamic,throughput,infinite,atomic,512,0.251738
40,cores,true,dynamic,turnaround,0,tree,64,0.246511
40,cores,true,dynamic,turnaround,0,tree,128,0.239706
40,cores,true,dynamic,turnaround,0,tree,256,0.241922
40,cores,true,dynamic,turnaround,0,tree,512,0.246373
40,cores,true,dynamic,turnaround,0,critical,64,0.246547
40,cores,true,dynamic,turnaround,0,critical,128,0.241096
40,cores,true,dynamic,turnaround,0,critical,256,0.246809
40,cores,true,dynamic,turnaround,0,critical,512,0.246266
40,cores,true,dynamic,turnaround,0,atomic,64,0.246735
40,cores,true,dynamic,turnaround,0,atomic,128,0.246295
40,cores,true,dynamic,turnaround,0,atomic,256,0.247218
40,cores,true,dynamic,turnaround,0,atomic,512,0.240729
40,cores,true,dynamic,turnaround,200,tree,64,0.245039
40,cores,true,dynamic,turnaround,200,tree,128,0.24641
40,cores,true,dynamic,turnaround,200,tree,256,0.241155
40,cores,true,dynamic,turnaround,200,tree,512,0.246135
40,cores,true,dynamic,turnaround,200,critical,64,0.248594
40,cores,true,dynamic,turnaround,200,critical,128,0.236536
40,cores,true,dynamic,turnaround,200,critical,256,0.237193
40,cores,true,dynamic,turnaround,200,critical,512,0.246385
40,cores,true,dynamic,turnaround,200,atomic,64,0.246008
40,cores,true,dynamic,turnaround,200,atomic,128,0.247404
40,cores,true,dynamic,turnaround,200,atomic,256,0.241176
40,cores,true,dynamic,turnaround,200,atomic,512,0.246737
40,cores,true,dynamic,turnaround,infinite,tree,64,0.246287
40,cores,true,dynamic,turnaround,infinite,tree,128,0.24705
40,cores,true,dynamic,turnaround,infinite,tree,256,0.246254
40,cores,true,dynamic,turnaround,infinite,tree,512,0.246139
40,cores,true,dynamic,turnaround,infinite,critical,64,0.24665
40,cores,true,dynamic,turnaround,infinite,critical,128,0.246613
40,cores,true,dynamic,turnaround,infinite,critical,256,0.246321
40,cores,true,dynamic,turnaround,infinite,critical,512,0.246416
40,cores,true,dynamic,turnaround,infinite,atomic,64,0.247245
40,cores,true,dynamic,turnaround,infinite,atomic,128,0.237472
40,cores,true,dynamic,turnaround,infinite,atomic,256,0.247004
40,cores,true,dynamic,turnaround,infinite,atomic,512,0.246719
40,cores,true,guided,throughput,0,tree,64,0.239177
40,cores,true,guided,throughput,0,tree,128,0.247363
40,cores,true,guided,throughput,0,tree,256,0.236448
40,cores,true,guided,throughput,0,tree,512,0.246617
40,cores,true,guided,throughput,0,critical,64,0.246617
40,cores,true,guided,throughput,0,critical,128,0.245574
40,cores,true,guided,throughput,0,critical,256,0.246216
40,cores,true,guided,throughput,0,critical,512,0.239681
40,cores,true,guided,throughput,0,atomic,64,0.236504
40,cores,true,guided,throughput,0,atomic,128,0.247416
40,cores,true,guided,throughput,0,atomic,256,0.246664
40,cores,true,guided,throughput,0,atomic,512,0.246997
40,cores,true,guided,throughput,200,tree,64,0.24687
40,cores,true,guided,throughput,200,tree,128,0.246701
40,cores,true,guided,throughput,200,tree,256,0.247113
40,cores,true,guided,throughput,200,tree,512,0.241165
40,cores,true,guided,throughput,200,critical,64,0.247372
40,cores,true,guided,throughput,200,critical,128,0.246794
40,cores,true,guided,throughput,200,critical,256,0.241878
40,cores,true,guided,throughput,200,critical,512,0.247114
40,cores,true,guided,throughput,200,atomic,64,0.236355
40,cores,true,guided,throughput,200,atomic,128,0.236513
40,cores,true,guided,throughput,200,atomic,256,0.246937
40,cores,true,guided,throughput,200,atomic,512,0.246013
40,cores,true,guided,throughput,infinite,tree,64,0.236597
40,cores,true,guided,throughput,infinite,tree,128,0.24385
40,cores,true,guided,throughput,infinite,tree,256,0.237918
40,cores,true,guided,throughput,infinite,tree,512,0.24616
40,cores,true,guided,throughput,infinite,critical,64,0.243849
40,cores,true,guided,throughput,infinite,critical,128,0.246903
40,cores,true,guided,throughput,infinite,critical,256,0.247416
40,cores,true,guided,throughput,infinite,critical,512,0.245961
40,cores,true,guided,throughput,infinite,atomic,64,0.23686
40,cores,true,guided,throughput,infinite,atomic,128,0.246516
40,cores,true,guided,throughput,infinite,atomic,256,0.246594
40,cores,true,guided,throughput,infinite,atomic,512,0.245864
40,cores,true,guided,turnaround,0,tree,64,0.234596
40,cores,true,guided,turnaround,0,tree,128,0.24691
40,cores,true,guided,turnaround,0,tree,256,0.246707
40,cores,true,guided,turnaround,0,tree,512,0.235869
40,cores,true,guided,turnaround,0,critical,64,0.245772
40,cores,true,guided,turnaround,0,critical,128,0.24733
40,cores,true,guided,turnaround,0,critical,256,0.246829
40,cores,true,guided,turnaround,0,critical,512,0.248091
40,cores,true,guided,turnaround,0,atomic,64,0.246529
40,cores,true,guided,turnaround,0,atomic,128,0.236983
40,cores,true,guided,turnaround,0,atomic,256,0.246667
40,cores,true,guided,turnaround,0,atomic,512,0.24634
40,cores,true,guided,turnaround,200,tree,64,0.247994
40,cores,true,guided,turnaround,200,tree,128,0.236387
40,cores,true,guided,turnaround,200,tree,256,0.244518
40,cores,true,guided,turnaround,200,tree,512,0.236879
40,cores,true,guided,turnaround,200,critical,64,0.246905
40,cores,true,guided,turnaround,200,critical,128,0.240444
40,cores,true,guided,turnaround,200,critical,256,0.246383
40,cores,true,guided,turnaround,200,critical,512,0.247393
40,cores,true,guided,turnaround,200,atomic,64,0.24643
40,cores,true,guided,turnaround,200,atomic,128,0.245601
40,cores,true,guided,turnaround,200,atomic,256,0.243916
40,cores,true,guided,turnaround,200,atomic,512,0.246284
40,cores,true,guided,turnaround,infinite,tree,64,0.247155
40,cores,true,guided,turnaround,infinite,tree,128,0.24624
40,cores,true,guided,turnaround,infinite,tree,256,0.246815
40,cores,true,guided,turnaround,infinite,tree,512,0.246455
40,cores,true,guided,turnaround,infinite,critical,64,0.238466
40,cores,true,guided,turnaround,infinite,critical,128,0.247552
40,cores,true,guided,turnaround,infinite,critical,256,0.245735
40,cores,true,guided,turnaround,infinite,critical,512,0.246241
40,cores,true,guided,turnaround,infinite,atomic,64,0.246695
40,cores,true,guided,turnaround,infinite,atomic,128,0.235608
40,cores,true,guided,turnaround,infinite,atomic,256,0.243619
40,cores,true,guided,turnaround,infinite,atomic,512,0.246783
40,cores,true,auto,throughput,0,tree,64,0.246457
40,cores,true,auto,throughput,0,tree,128,0.247576
40,cores,true,auto,throughput,0,tree,256,0.245379
40,cores,true,auto,throughput,0,tree,512,0.245656
40,cores,true,auto,throughput,0,critical,64,0.24736
40,cores,true,auto,throughput,0,critical,128,0.246541
40,cores,true,auto,throughput,0,critical,256,0.246771
40,cores,true,auto,throughput,0,critical,512,0.245907
40,cores,true,auto,throughput,0,atomic,64,0.236921
40,cores,true,auto,throughput,0,atomic,128,0.247301
40,cores,true,auto,throughput,0,atomic,256,0.240242
40,cores,true,auto,throughput,0,atomic,512,0.236288
40,cores,true,auto,throughput,200,tree,64,0.234398
40,cores,true,auto,throughput,200,tree,128,0.246395
40,cores,true,auto,throughput,200,tree,256,0.245889
40,cores,true,auto,throughput,200,tree,512,0.246841
40,cores,true,auto,throughput,200,critical,64,0.246536
40,cores,true,auto,throughput,200,critical,128,0.247051
40,cores,true,auto,throughput,200,critical,256,0.25161
40,cores,true,auto,throughput,200,critical,512,0.246061
40,cores,true,auto,throughput,200,atomic,64,0.24587
40,cores,true,auto,throughput,200,atomic,128,0.247505
40,cores,true,auto,throughput,200,atomic,256,0.246129
40,cores,true,auto,throughput,200,atomic,512,0.245947
40,cores,true,auto,throughput,infinite,tree,64,0.245864
40,cores,true,auto,throughput,infinite,tree,128,0.236871
40,cores,true,auto,throughput,infinite,tree,256,0.237416
40,cores,true,auto,throughput,infinite,tree,512,0.245101
40,cores,true,auto,throughput,infinite,critical,64,0.246316
40,cores,true,auto,throughput,infinite,critical,128,0.24487
40,cores,true,auto,throughput,infinite,critical,256,0.234949
40,cores,true,auto,throughput,infinite,critical,512,0.245642
40,cores,true,auto,throughput,infinite,atomic,64,0.246546
40,cores,true,auto,throughput,infinite,atomic,128,0.246593
40,cores,true,auto,throughput,infinite,atomic,256,0.246375
40,cores,true,auto,throughput,infinite,atomic,512,0.245623
40,cores,true,auto,turnaround,0,tree,64,0.246445
40,cores,true,auto,turnaround,0,tree,128,0.24619
40,cores,true,auto,turnaround,0,tree,256,0.23581
40,cores,true,auto,turnaround,0,tree,512,0.240206
40,cores,true,auto,turnaround,0,critical,64,0.247006
40,cores,true,auto,turnaround,0,critical,128,0.236879
40,cores,true,auto,turnaround,0,critical,256,0.246962
40,cores,true,auto,turnaround,0,critical,512,0.24349
40,cores,true,auto,turnaround,0,atomic,64,0.237755
40,cores,true,auto,turnaround,0,atomic,128,0.240759
40,cores,true,auto,turnaround,0,atomic,256,0.234589
40,cores,true,auto,turnaround,0,atomic,512,0.24653
40,cores,true,auto,turnaround,200,tree,64,0.235776
40,cores,true,auto,turnaround,200,tree,128,0.246587
40,cores,true,auto,turnaround,200,tree,256,0.24644
40,cores,true,auto,turnaround,200,tree,512,0.247066
40,cores,true,auto,turnaround,200,critical,64,0.247495
