OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
40,cores,false,static,throughput,0,tree,64,0.01987
40,cores,false,static,throughput,0,tree,128,0.01993
40,cores,false,static,throughput,0,tree,256,0.02087
40,cores,false,static,throughput,0,tree,512,0.01981
40,cores,false,static,throughput,0,critical,64,0.0194
40,cores,false,static,throughput,0,critical,128,0.01969
40,cores,false,static,throughput,0,critical,256,0.01977
40,cores,false,static,throughput,0,critical,512,0.02017
40,cores,false,static,throughput,0,atomic,64,0.01941
40,cores,false,static,throughput,0,atomic,128,0.01906
40,cores,false,static,throughput,0,atomic,256,0.01954
40,cores,false,static,throughput,0,atomic,512,0.01889
40,cores,false,static,throughput,200,tree,64,0.01972
40,cores,false,static,throughput,200,tree,128,0.02001
40,cores,false,static,throughput,200,tree,256,0.01976
40,cores,false,static,throughput,200,tree,512,0.01982
40,cores,false,static,throughput,200,critical,64,0.02047
40,cores,false,static,throughput,200,critical,128,0.01928
40,cores,false,static,throughput,200,critical,256,0.02082
40,cores,false,static,throughput,200,critical,512,0.01838
40,cores,false,static,throughput,200,atomic,64,0.01939
40,cores,false,static,throughput,200,atomic,128,0.01957
40,cores,false,static,throughput,200,atomic,256,0.02005
40,cores,false,static,throughput,200,atomic,512,0.01945
40,cores,false,static,throughput,infinite,tree,64,0.02092
40,cores,false,static,throughput,infinite,tree,128,0.0188
40,cores,false,static,throughput,infinite,tree,256,0.01926
40,cores,false,static,throughput,infinite,tree,512,0.02015
40,cores,false,static,throughput,infinite,critical,64,0.02059
40,cores,false,static,throughput,infinite,critical,128,0.02054
40,cores,false,static,throughput,infinite,critical,256,0.02051
40,cores,false,static,throughput,infinite,critical,512,0.0199
40,cores,false,static,throughput,infinite,atomic,64,0.02057
40,cores,false,static,throughput,infinite,atomic,128,0.02048
40,cores,false,static,throughput,infinite,atomic,256,0.02005
40,cores,false,static,throughput,infinite,atomic,512,0.02088
40,cores,false,static,turnaround,0,tree,64,0.01928
40,cores,false,static,turnaround,0,tree,128,0.02027
40,cores,false,static,turnaround,0,tree,256,0.01951
40,cores,false,static,turnaround,0,tree,512,0.01923
40,cores,false,static,turnaround,0,critical,64,0.02024
40,cores,false,static,turnaround,0,critical,128,0.02039
40,cores,false,static,turnaround,0,critical,256,0.01948
40,cores,false,static,turnaround,0,critical,512,0.01804
40,cores,false,static,turnaround,0,atomic,64,0.01988
40,cores,false,static,turnaround,0,atomic,128,0.01946
40,cores,false,static,turnaround,0,atomic,256,0.01943
40,cores,false,static,turnaround,0,atomic,512,0.02087
40,cores,false,static,turnaround,200,tree,64,0.01987
40,cores,false,static,turnaround,200,tree,128,0.02006
40,cores,false,static,turnaround,200,tree,256,0.01886
40,cores,false,static,turnaround,200,tree,512,0.02017
40,cores,false,static,turnaround,200,critical,64,0.01901
40,cores,false,static,turnaround,200,critical,128,0.01946
40,cores,false,static,turnaround,200,critical,256,0.02191
40,cores,false,static,turnaround,200,critical,512,0.02079
40,cores,false,static,turnaround,200,atomic,64,0.02028
40,cores,false,static,turnaround,200,atomic,128,0.01955
40,cores,false,static,turnaround,200,atomic,256,0.01964
40,cores,false,static,turnaround,200,atomic,512,0.01947
40,cores,false,static,turnaround,infinite,tree,64,0.0204
40,cores,false,static,turnaround,infinite,tree,128,0.02131
40,cores,false,static,turnaround,infinite,tree,256,0.01906
40,cores,false,static,turnaround,infinite,tree,512,0.02014
40,cores,false,static,turnaround,infinite,critical,64,0.02026
40,cores,false,static,turnaround,infinite,critical,128,0.02036
40,cores,false,static,turnaround,infinite,critical,256,0.02091
40,cores,false,static,turnaround,infinite,critical,512,0.01966
40,cores,false,static,turnaround,infinite,atomic,64,0.01997
40,cores,false,static,turnaround,infinite,atomic,128,0.02064
40,cores,false,static,turnaround,infinite,atomic,256,0.0198
40,cores,false,static,turnaround,infinite,atomic,512,0.01999
40,cores,false,dynamic,throughput,0,tree,64,0.02059
40,cores,false,dynamic,throughput,0,tree,128,0.01941
40,cores,false,dynamic,throughput,0,tree,256,0.02039
40,cores,false,dynamic,throughput,0,tree,512,0.02016
40,cores,false,dynamic,throughput,0,critical,64,0.02102
40,cores,false,dynamic,throughput,0,critical,128,0.01937
40,cores,false,dynamic,throughput,0,critical,256,0.02006
40,cores,false,dynamic,throughput,0,critical,512,0.02076
40,cores,false,dynamic,throughput,0,atomic,64,0.01935
40,cores,false,dynamic,throughput,0,atomic,128,0.01951
40,cores,false,dynamic,throughput,0,atomic,256,0.01947
40,cores,false,dynamic,throughput,0,atomic,512,0.02
40,cores,false,dynamic,throughput,200,tree,64,0.02009
40,cores,false,dynamic,throughput,200,tree,128,0.02183
40,cores,false,dynamic,throughput,200,tree,256,0.01978
40,cores,false,dynamic,throughput,200,tree,512,0.01933
40,cores,false,dynamic,throughput,200,critical,64,0.01928
40,cores,false,dynamic,throughput,200,critical,128,0.01978
40,cores,false,dynamic,throughput,200,critical,256,0.02128
40,cores,false,dynamic,throughput,200,critical,512,0.01897
40,cores,false,dynamic,throughput,200,atomic,64,0.02015
40,cores,false,dynamic,throughput,200,atomic,128,0.01935
40,cores,false,dynamic,throughput,200,atomic,256,0.01981
40,cores,false,dynamic,throughput,200,atomic,512,0.01917
40,cores,false,dynamic,throughput,infinite,tree,64,0.01987
40,cores,false,dynamic,throughput,infinite,tree,128,0.02041
40,cores,false,dynamic,throughput,infinite,tree,256,0.02056
40,cores,false,dynamic,throughput,infinite,tree,512,0.02017
40,cores,false,dynamic,throughput,infinite,critical,64,0.02021
40,cores,false,dynamic,throughput,infinite,critical,128,0.01946
40,cores,false,dynamic,throughput,infinite,critical,256,0.02015
40,cores,false,dynamic,throughput,infinite,critical,512,0.02098
40,cores,false,dynamic,throughput,infinite,atomic,64,0.0211
40,cores,false,dynamic,throughput,infinite,atomic,128,0.01986
40,cores,false,dynamic,throughput,infinite,atomic,256,0.02026
40,cores,false,dynamic,throughput,infinite,atomic,512,0.02028
40,cores,false,dynamic,turnaround,0,tree,64,0.02042
40,cores,false,dynamic,turnaround,0,tree,128,0.02115
40,cores,false,dynamic,turnaround,0,tree,256,0.02098
40,cores,false,dynamic,turnaround,0,tree,512,0.01945
40,cores,false,dynamic,turnaround,0,critical,64,0.01973
40,cores,false,dynamic,turnaround,0,critical,128,0.01939
40,cores,false,dynamic,turnaround,0,critical,256,0.01954
40,cores,false,dynamic,turnaround,0,critical,512,0.01965
40,cores,false,dynamic,turnaround,0,atomic,64,0.02
40,cores,false,dynamic,turnaround,0,atomic,128,0.01924
40,cores,false,dynamic,turnaround,0,atomic,256,0.01916
40,cores,false,dynamic,turnaround,0,atomic,512,0.02009
40,cores,false,dynamic,turnaround,200,tree,64,0.02042
40,cores,false,dynamic,turnaround,200,tree,128,0.02057
40,cores,false,dynamic,turnaround,200,tree,256,0.01933
40,cores,false,dynamic,turnaround,200,tree,512,0.01884
40,cores,false,dynamic,turnaround,200,critical,64,0.019
40,cores,false,dynamic,turnaround,200,critical,128,0.01939
40,cores,false,dynamic,turnaround,200,critical,256,0.01984
40,cores,false,dynamic,turnaround,200,critical,512,0.01999
40,cores,false,dynamic,turnaround,200,atomic,64,0.02064
40,cores,false,dynamic,turnaround,200,atomic,128,0.01992
40,cores,false,dynamic,turnaround,200,atomic,256,0.01983
40,cores,false,dynamic,turnaround,200,atomic,512,0.01972
40,cores,false,dynamic,turnaround,infinite,tree,64,0.02042
40,cores,false,dynamic,turnaround,infinite,tree,128,0.0198
40,cores,false,dynamic,turnaround,infinite,tree,256,0.02108
40,cores,false,dynamic,turnaround,infinite,tree,512,0.02
40,cores,false,dynamic,turnaround,infinite,critical,64,0.02089
40,cores,false,dynamic,turnaround,infinite,critical,128,0.02056
40,cores,false,dynamic,turnaround,infinite,critical,256,0.01996
40,cores,false,dynamic,turnaround,infinite,critical,512,0.01995
40,cores,false,dynamic,turnaround,infinite,atomic,64,0.0212
40,cores,false,dynamic,turnaround,infinite,atomic,128,0.02019
40,cores,false,dynamic,turnaround,infinite,atomic,256,0.02324
40,cores,false,dynamic,turnaround,infinite,atomic,512,0.02063
40,cores,false,guided,throughput,0,tree,64,0.01981
40,cores,false,guided,throughput,0,tree,128,0.01927
40,cores,false,guided,throughput,0,tree,256,0.01932
40,cores,false,guided,throughput,0,tree,512,0.01967
40,cores,false,guided,throughput,0,critical,64,0.01972
40,cores,false,guided,throughput,0,critical,128,0.02014
40,cores,false,guided,throughput,0,critical,256,0.0199
40,cores,false,guided,throughput,0,critical,512,0.02129
40,cores,false,guided,throughput,0,atomic,64,0.01944
40,cores,false,guided,throughput,0,atomic,128,0.01924
40,cores,false,guided,throughput,0,atomic,256,0.02092
40,cores,false,guided,throughput,0,atomic,512,0.0193
40,cores,false,guided,throughput,200,tree,64,0.0194
40,cores,false,guided,throughput,200,tree,128,0.02021
40,cores,false,guided,throughput,200,tree,256,0.01973
40,cores,false,guided,throughput,200,tree,512,0.01892
40,cores,false,guided,throughput,200,critical,64,0.01963
40,cores,false,guided,throughput,200,critical,128,0.01866
40,cores,false,guided,throughput,200,critical,256,0.02047
40,cores,false,guided,throughput,200,critical,512,0.01959
40,cores,false,guided,throughput,200,atomic,64,0.01922
