OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
40,cores,true,static,throughput,0,tree,64,6.64
40,cores,true,static,throughput,0,tree,128,6.31
40,cores,true,static,throughput,0,tree,256,6.29
40,cores,true,static,throughput,0,tree,512,6.4
40,cores,true,static,throughput,0,critical,64,6.37
40,cores,true,static,throughput,0,critical,128,6.28
40,cores,true,static,throughput,0,critical,256,6.26
40,cores,true,static,throughput,0,critical,512,6.38
40,cores,true,static,throughput,0,atomic,64,6.3
40,cores,true,static,throughput,0,atomic,128,6.32
40,cores,true,static,throughput,0,atomic,256,6.28
40,cores,true,static,throughput,0,atomic,512,6.37
40,cores,true,static,throughput,200,tree,64,3.94
40,cores,true,static,throughput,200,tree,128,3.96
40,cores,true,static,throughput,200,tree,256,3.96
40,cores,true,static,throughput,200,tree,512,3.95
40,cores,true,static,throughput,200,critical,64,4.02
40,cores,true,static,throughput,200,critical,128,4.02
40,cores,true,static,throughput,200,critical,256,4.26
40,cores,true,static,throughput,200,critical,512,3.99
40,cores,true,static,throughput,200,atomic,64,3.99
40,cores,true,static,throughput,200,atomic,128,3.99
40,cores,true,static,throughput,200,atomic,256,3.95
40,cores,true,static,throughput,200,atomic,512,4.02
40,cores,true,static,throughput,infinite,tree,64,3.92
40,cores,true,static,throughput,infinite,tree,128,3.94
40,cores,true,static,throughput,infinite,tree,256,3.97
40,cores,true,static,throughput,infinite,tree,512,3.9
40,cores,true,static,throughput,infinite,critical,64,4.02
40,cores,true,static,throughput,infinite,critical,128,4.0
40,cores,true,static,throughput,infinite,critical,256,3.95
40,cores,true,static,throughput,infinite,critical,512,3.96
40,cores,true,static,throughput,infinite,atomic,64,3.93
40,cores,true,static,throughput,infinite,atomic,128,3.95
40,cores,true,static,throughput,infinite,atomic,256,3.94
40,cores,true,static,throughput,infinite,atomic,512,3.98
40,cores,true,static,turnaround,0,tree,64,6.33
40,cores,true,static,turnaround,0,tree,128,6.38
40,cores,true,static,turnaround,0,tree,256,6.32
40,cores,true,static,turnaround,0,tree,512,6.49
40,cores,true,static,turnaround,0,critical,64,6.54
40,cores,true,static,turnaround,0,critical,128,6.42
40,cores,true,static,turnaround,0,critical,256,6.34
40,cores,true,static,turnaround,0,critical,512,6.44
40,cores,true,static,turnaround,0,atomic,64,6.36
40,cores,true,static,turnaround,0,atomic,128,6.35
40,cores,true,static,turnaround,0,atomic,256,6.34
40,cores,true,static,turnaround,0,atomic,512,6.38
40,cores,true,static,turnaround,200,tree,64,3.95
40,cores,true,static,turnaround,200,tree,128,3.93
40,cores,true,static,turnaround,200,tree,256,3.95
40,cores,true,static,turnaround,200,tree,512,3.89
40,cores,true,static,turnaround,200,critical,64,3.97
40,cores,true,static,turnaround,200,critical,128,3.96
40,cores,true,static,turnaround,200,critical,256,3.93
40,cores,true,static,turnaround,200,critical,512,4.02
40,cores,true,static,turnaround,200,atomic,64,3.98
40,cores,true,static,turnaround,200,atomic,128,3.95
40,cores,true,static,turnaround,200,atomic,256,3.98
40,cores,true,static,turnaround,200,atomic,512,3.99
40,cores,true,static,turnaround,infinite,tree,64,4.26
40,cores,true,static,turnaround,infinite,tree,128,3.97
40,cores,true,static,turnaround,infinite,tree,256,3.92
40,cores,true,static,turnaround,infinite,tree,512,3.95
40,cores,true,static,turnaround,infinite,critical,64,3.97
