OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
40,cores,true,static,throughput,0,tree,64,5.26452
40,cores,true,static,throughput,0,tree,128,5.246083
40,cores,true,static,throughput,0,tree,256,5.252576
40,cores,true,static,throughput,0,tree,512,5.231318
40,cores,true,static,throughput,0,critical,64,5.262982
40,cores,true,static,throughput,0,critical,128,5.247673
40,cores,true,static,throughput,0,critical,256,5.259987
40,cores,true,static,throughput,0,critical,512,5.285849
40,cores,true,static,throughput,0,atomic,64,5.267048
40,cores,true,static,throughput,0,atomic,128,5.247594
40,cores,true,static,throughput,0,atomic,256,5.249616
40,cores,true,static,throughput,0,atomic,512,5.245501
40,cores,true,static,throughput,200,tree,64,5.243735
40,cores,true,static,throughput,200,tree,128,5.25416
40,cores,true,static,throughput,200,tree,256,5.257973
40,cores,true,static,throughput,200,tree,512,5.249133
40,cores,true,static,throughput,200,critical,64,5.245568
40,cores,true,static,throughput,200,critical,128,5.254047
40,cores,true,static,throughput,200,critical,256,5.283283
40,cores,true,static,throughput,200,critical,512,5.254311
40,cores,true,static,throughput,200,atomic,64,5.248464
40,cores,true,static,throughput,200,atomic,128,5.253454
40,cores,true,static,throughput,200,atomic,256,5.262063
40,cores,true,static,throughput,200,atomic,512,5.246579
40,cores,true,static,throughput,infinite,tree,64,5.239887
40,cores,true,static,throughput,infinite,tree,128,5.239036
40,cores,true,static,throughput,infinite,tree,256,5.246734
40,cores,true,static,throughput,infinite,tree,512,5.250282
40,cores,true,static,throughput,infinite,critical,64,5.250228
40,cores,true,static,throughput,infinite,critical,128,5.254271
40,cores,true,static,throughput,infinite,critical,256,5.246039
40,cores,true,static,throughput,infinite,critical,512,5.245756
40,cores,true,static,throughput,infinite,atomic,64,5.268063
40,cores,true,static,throughput,infinite,atomic,128,5.247995
40,cores,true,static,throughput,infinite,atomic,256,5.243385
40,cores,true,static,throughput,infinite,atomic,512,5.25628
40,cores,true,static,turnaround,0,tree,64,1.519554
40,cores,true,static,turnaround,0,tree,128,1.516413
40,cores,true,static,turnaround,0,tree,256,1.516651
40,cores,true,static,turnaround,0,tree,512,1.514535
40,cores,true,static,turnaround,0,critical,64,1.518103
40,cores,true,static,turnaround,0,critical,128,1.516198
40,cores,true,static,turnaround,0,critical,256,1.514578
40,cores,true,static,turnaround,0,critical,512,1.514654
40,cores,true,static,turnaround,0,atomic,64,1.518399
40,cores,true,static,turnaround,0,atomic,128,1.516243
40,cores,true,static,turnaround,0,atomic,256,1.514531
40,cores,true,static,turnaround,0,atomic,512,1.514002
40,cores,true,static,turnaround,200,tree,64,1.516323
40,cores,true,static,turnaround,200,tree,128,1.517962
40,cores,true,static,turnaround,200,tree,256,1.517345
40,cores,true,static,turnaround,200,tree,512,1.514093
40,cores,true,static,turnaround,200,critical,64,1.518241
40,cores,true,static,turnaround,200,critical,128,1.517623
40,cores,true,static,turnaround,200,critical,256,1.515492
40,cores,true,static,turnaround,200,critical,512,1.514147
40,cores,true,static,turnaround,200,atomic,64,1.559787
40,cores,true,static,turnaround,200,atomic,128,1.515445
40,cores,true,static,turnaround,200,atomic,256,1.516075
40,cores,true,static,turnaround,200,atomic,512,1.514801
40,cores,true,static,turnaround,infinite,tree,64,1.523436
40,cores,true,static,turnaround,infinite,tree,128,1.518524
40,cores,true,static,turnaround,infinite,tree,256,1.517199
40,cores,true,static,turnaround,infinite,tree,512,1.516291
40,cores,true,static,turnaround,infinite,critical,64,1.522924
40,cores,true,static,turnaround,infinite,critical,128,1.520181
40,cores,true,static,turnaround,infinite,critical,256,1.518016
40,cores,true,static,turnaround,infinite,critical,512,1.517074
40,cores,true,static,turnaround,infinite,atomic,64,1.522033
40,cores,true,static,turnaround,infinite,atomic,128,1.518932
40,cores,true,static,turnaround,infinite,atomic,256,1.519105
40,cores,true,static,turnaround,infinite,atomic,512,1.518019
40,cores,true,dynamic,throughput,0,tree,64,5.249354
40,cores,true,dynamic,throughput,0,tree,128,5.257714
40,cores,true,dynamic,throughput,0,tree,256,5.253863
40,cores,true,dynamic,throughput,0,tree,512,5.251942
40,cores,true,dynamic,throughput,0,critical,64,5.248843
40,cores,true,dynamic,throughput,0,critical,128,5.245621
40,cores,true,dynamic,throughput,0,critical,256,5.251787
40,cores,true,dynamic,throughput,0,critical,512,5.253792
40,cores,true,dynamic,throughput,0,atomic,64,5.262726
40,cores,true,dynamic,throughput,0,atomic,128,5.255436
40,cores,true,dynamic,throughput,0,atomic,256,5.247977
40,cores,true,dynamic,throughput,0,atomic,512,5.234858
40,cores,true,dynamic,throughput,200,tree,64,5.245235
40,cores,true,dynamic,throughput,200,tree,128,5.248919
40,cores,true,dynamic,throughput,200,tree,256,5.251258
40,cores,true,dynamic,throughput,200,tree,512,5.246062
40,cores,true,dynamic,throughput,200,critical,64,5.284433
40,cores,true,dynamic,throughput,200,critical,128,5.265004
40,cores,true,dynamic,throughput,200,critical,256,5.252746
40,cores,true,dynamic,throughput,200,critical,512,5.250745
40,cores,true,dynamic,throughput,200,atomic,64,5.248155
40,cores,true,dynamic,throughput,200,atomic,128,5.264903
40,cores,true,dynamic,throughput,200,atomic,256,5.248051
40,cores,true,dynamic,throughput,200,atomic,512,5.247735
40,cores,true,dynamic,throughput,infinite,tree,64,5.259852
40,cores,true,dynamic,throughput,infinite,tree,128,5.244398
40,cores,true,dynamic,throughput,infinite,tree,256,5.249539
40,cores,true,dynamic,throughput,infinite,tree,512,5.235127
40,cores,true,dynamic,throughput,infinite,critical,64,5.253634
40,cores,true,dynamic,throughput,infinite,critical,128,5.247379
40,cores,true,dynamic,throughput,infinite,critical,256,5.233766
40,cores,true,dynamic,throughput,infinite,critical,512,5.242999
40,cores,true,dynamic,throughput,infinite,atomic,64,5.244742
40,cores,true,dynamic,throughput,infinite,atomic,128,5.239697
40,cores,true,dynamic,throughput,infinite,atomic,256,5.243185
40,cores,true,dynamic,throughput,infinite,atomic,512,5.245269
40,cores,true,dynamic,turnaround,0,tree,64,1.518663
40,cores,true,dynamic,turnaround,0,tree,128,1.520116
40,cores,true,dynamic,turnaround,0,tree,256,1.51562
40,cores,true,dynamic,turnaround,0,tree,512,1.516703
40,cores,true,dynamic,turnaround,0,critical,64,1.518827
40,cores,true,dynamic,turnaround,0,critical,128,1.516345
40,cores,true,dynamic,turnaround,0,critical,256,1.515193
40,cores,true,dynamic,turnaround,0,critical,512,1.514479
40,cores,true,dynamic,turnaround,0,atomic,64,1.515289
40,cores,true,dynamic,turnaround,0,atomic,128,1.51525
40,cores,true,dynamic,turnaround,0,atomic,256,1.515626
40,cores,true,dynamic,turnaround,0,atomic,512,1.51492
40,cores,true,dynamic,turnaround,200,tree,64,1.51822
40,cores,true,dynamic,turnaround,200,tree,128,1.517563
40,cores,true,dynamic,turnaround,200,tree,256,1.517082
40,cores,true,dynamic,turnaround,200,tree,512,1.514098
40,cores,true,dynamic,turnaround,200,critical,64,1.518626
40,cores,true,dynamic,turnaround,200,critical,128,1.515649
40,cores,true,dynamic,turnaround,200,critical,256,1.516544
40,cores,true,dynamic,turnaround,200,critical,512,1.514697
40,cores,true,dynamic,turnaround,200,atomic,64,1.518114
40,cores,true,dynamic,turnaround,200,atomic,128,1.516329
40,cores,true,dynamic,turnaround,200,atomic,256,1.5159
40,cores,true,dynamic,turnaround,200,atomic,512,1.514886
40,cores,true,dynamic,turnaround,infinite,tree,64,1.52073
40,cores,true,dynamic,turnaround,infinite,tree,128,1.519173
40,cores,true,dynamic,turnaround,infinite,tree,256,1.519806
40,cores,true,dynamic,turnaround,infinite,tree,512,1.517799
40,cores,true,dynamic,turnaround,infinite,critical,64,1.521772
40,cores,true,dynamic,turnaround,infinite,critical,128,1.517186
40,cores,true,dynamic,turnaround,infinite,critical,256,1.518464
40,cores,true,dynamic,turnaround,infinite,critical,512,1.518206
40,cores,true,dynamic,turnaround,infinite,atomic,64,1.520718
40,cores,true,dynamic,turnaround,infinite,atomic,128,1.518351
40,cores,true,dynamic,turnaround,infinite,atomic,256,1.519087
40,cores,true,dynamic,turnaround,infinite,atomic,512,1.518196
40,cores,true,guided,throughput,0,tree,64,5.25749
40,cores,true,guided,throughput,0,tree,128,5.246797
40,cores,true,guided,throughput,0,tree,256,5.243243
40,cores,true,guided,throughput,0,tree,512,5.248784
40,cores,true,guided,throughput,0,critical,64,5.251463
40,cores,true,guided,throughput,0,critical,128,5.250446
40,cores,true,guided,throughput,0,critical,256,5.250394
40,cores,true,guided,throughput,0,critical,512,5.254721
40,cores,true,guided,throughput,0,atomic,64,5.260063
40,cores,true,guided,throughput,0,atomic,128,5.248445
40,cores,true,guided,throughput,0,atomic,256,5.244553
40,cores,true,guided,throughput,0,atomic,512,5.247352
40,cores,true,guided,throughput,200,tree,64,5.256672
40,cores,true,guided,throughput,200,tree,128,5.254974
40,cores,true,guided,throughput,200,tree,256,5.248943
40,cores,true,guided,throughput,200,tree,512,5.249956
40,cores,true,guided,throughput,200,critical,64,5.264088
40,cores,true,guided,throughput,200,critical,128,5.256725
40,cores,true,guided,throughput,200,critical,256,5.255117
40,cores,true,guided,throughput,200,critical,512,5.246204
40,cores,true,guided,throughput,200,atomic,64,5.250048
40,cores,true,guided,throughput,200,atomic,128,5.25477
40,cores,true,guided,throughput,200,atomic,256,5.257567
40,cores,true,guided,throughput,200,atomic,512,5.237665
40,cores,true,guided,throughput,infinite,tree,64,5.282017
40,cores,true,guided,throughput,infinite,tree,128,5.244207
40,cores,true,guided,throughput,infinite,tree,256,5.251169
40,cores,true,guided,throughput,infinite,tree,512,5.243808
40,cores,true,guided,throughput,infinite,critical,64,5.245927
40,cores,true,guided,throughput,infinite,critical,128,5.250709
40,cores,true,guided,throughput,infinite,critical,256,5.251463
40,cores,true,guided,throughput,infinite,critical,512,5.24436
40,cores,true,guided,throughput,infinite,atomic,64,5.256958
40,cores,true,guided,throughput,infinite,atomic,128,5.241446
40,cores,true,guided,throughput,infinite,atomic,256,5.248894
40,cores,true,guided,throughput,infinite,atomic,512,5.231085
40,cores,true,guided,turnaround,0,tree,64,1.519139
40,cores,true,guided,turnaround,0,tree,128,1.518102
40,cores,true,guided,turnaround,0,tree,256,1.515777
40,cores,true,guided,turnaround,0,tree,512,1.515135
40,cores,true,guided,turnaround,0,critical,64,1.518643
40,cores,true,guided,turnaround,0,critical,128,1.516719
40,cores,true,guided,turnaround,0,critical,256,1.516275
40,cores,true,guided,turnaround,0,critical,512,1.513953
40,cores,true,guided,turnaround,0,atomic,64,1.518123
40,cores,true,guided,turnaround,0,atomic,128,1.516916
40,cores,true,guided,turnaround,0,atomic,256,1.515372
40,cores,true,guided,turnaround,0,atomic,512,1.51453
40,cores,true,guided,turnaround,200,tree,64,1.519796
40,cores,true,guided,turnaround,200,tree,128,1.515495
40,cores,true,guided,turnaround,200,tree,256,1.514772
40,cores,true,guided,turnaround,200,tree,512,1.514265
40,cores,true,guided,turnaround,200,critical,64,1.518047
40,cores,true,guided,turnaround,200,critical,128,1.51642
40,cores,true,guided,turnaround,200,critical,256,1.51324
40,cores,true,guided,turnaround,200,critical,512,1.514981
40,cores,true,guided,turnaround,200,atomic,64,1.522537
40,cores,true,guided,turnaround,200,atomic,128,1.518731
40,cores,true,guided,turnaround,200,atomic,256,1.515922
40,cores,true,guided,turnaround,200,atomic,512,1.515637
40,cores,true,guided,turnaround,infinite,tree,64,1.52142
40,cores,true,guided,turnaround,infinite,tree,128,1.519677
40,cores,true,guided,turnaround,infinite,tree,256,1.519724
40,cores,true,guided,turnaround,infinite,tree,512,1.51585
40,cores,true,guided,turnaround,infinite,critical,64,1.52135
40,cores,true,guided,turnaround,infinite,critical,128,1.520282
40,cores,true,guided,turnaround,infinite,critical,256,1.519185
40,cores,true,guided,turnaround,infinite,critical,512,1.517382
40,cores,true,guided,turnaround,infinite,atomic,64,1.521101
40,cores,true,guided,turnaround,infinite,atomic,128,1.519292
40,cores,true,guided,turnaround,infinite,atomic,256,1.519969
40,cores,true,guided,turnaround,infinite,atomic,512,1.517723
40,cores,true,auto,throughput,0,tree,64,5.252979
40,cores,true,auto,throughput,0,tree,128,5.251488
40,cores,true,auto,throughput,0,tree,256,5.252787
40,cores,true,auto,throughput,0,tree,512,5.250553
40,cores,true,auto,throughput,0,critical,64,5.254414
40,cores,true,auto,throughput,0,critical,128,5.257093
40,cores,true,auto,throughput,0,critical,256,5.257359
40,cores,true,auto,throughput,0,critical,512,5.250685
40,cores,true,auto,throughput,0,atomic,64,5.260449
40,cores,true,auto,throughput,0,atomic,128,5.251063
40,cores,true,auto,throughput,0,atomic,256,5.244306
40,cores,true,auto,throughput,0,atomic,512,5.241554
40,cores,true,auto,throughput,200,tree,64,5.246703
40,cores,true,auto,throughput,200,tree,128,5.246999
40,cores,true,auto,throughput,200,tree,256,5.24224
40,cores,true,auto,throughput,200,tree,512,5.254028
40,cores,true,auto,throughput,200,critical,64,5.25779
40,cores,true,auto,throughput,200,critical,128,5.268529
40,cores,true,auto,throughput,200,critical,256,5.255598
40,cores,true,auto,throughput,200,critical,512,5.245898
40,cores,true,auto,throughput,200,atomic,64,5.253256
40,cores,true,auto,throughput,200,atomic,128,5.247823
40,cores,true,auto,throughput,200,atomic,256,5.255751
40,cores,true,auto,throughput,200,atomic,512,5.24106
40,cores,true,auto,throughput,infinite,tree,64,5.241095
40,cores,true,auto,throughput,infinite,tree,128,5.235684
40,cores,true,auto,throughput,infinite,tree,256,5.248335
40,cores,true,auto,throughput,infinite,tree,512,5.243627
40,cores,true,auto,throughput,infinite,critical,64,5.245094
40,cores,true,auto,throughput,infinite,critical,128,5.23739
40,cores,true,auto,throughput,infinite,critical,256,5.2412
40,cores,true,auto,throughput,infinite,critical,512,5.239815
40,cores,true,auto,throughput,infinite,atomic,64,5.249195
40,cores,true,auto,throughput,infinite,atomic,128,5.290558
