OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
40,cores,true,static,throughput,0,tree,64,6.621
40,cores,true,static,throughput,0,tree,128,6.578
40,cores,true,static,throughput,0,tree,256,6.811
40,cores,true,static,throughput,0,tree,512,6.823
40,cores,true,static,throughput,0,critical,64,6.743
40,cores,true,static,throughput,0,critical,128,6.669
40,cores,true,static,throughput,0,critical,256,6.737
40,cores,true,static,throughput,0,critical,512,6.792
40,cores,true,static,throughput,0,atomic,64,6.962
40,cores,true,static,throughput,0,atomic,128,6.804
40,cores,true,static,throughput,0,atomic,256,6.783
40,cores,true,static,throughput,0,atomic,512,6.979
40,cores,true,static,throughput,200,tree,64,6.836
40,cores,true,static,throughput,200,tree,128,6.596
40,cores,true,static,throughput,200,tree,256,6.991
40,cores,true,static,throughput,200,tree,512,6.835
40,cores,true,static,throughput,200,critical,64,6.823
40,cores,true,static,throughput,200,critical,128,6.861
40,cores,true,static,throughput,200,critical,256,6.628
40,cores,true,static,throughput,200,critical,512,6.633
40,cores,true,static,throughput,200,atomic,64,6.934
40,cores,true,static,throughput,200,atomic,128,7.066
40,cores,true,static,throughput,200,atomic,256,6.449
40,cores,true,static,throughput,200,atomic,512,6.775
40,cores,true,static,throughput,infinite,tree,64,7.014
40,cores,true,static,throughput,infinite,tree,128,7.131
40,cores,true,static,throughput,infinite,tree,256,7.13
40,cores,true,static,throughput,infinite,tree,512,7.153
40,cores,true,static,throughput,infinite,critical,64,6.571
40,cores,true,static,throughput,infinite,critical,128,6.779
40,cores,true,static,throughput,infinite,critical,256,6.833
40,cores,true,static,throughput,infinite,critical,512,6.841
40,cores,true,static,throughput,infinite,atomic,64,7.016
40,cores,true,static,throughput,infinite,atomic,128,6.571
40,cores,true,static,throughput,infinite,atomic,256,6.48
40,cores,true,static,throughput,infinite,atomic,512,6.618
40,cores,true,static,turnaround,0,tree,64,6.635
40,cores,true,static,turnaround,0,tree,128,6.827
40,cores,true,static,turnaround,0,tree,256,6.65
40,cores,true,static,turnaround,0,tree,512,6.441
40,cores,true,static,turnaround,0,critical,64,6.461
40,cores,true,static,turnaround,0,critical,128,6.434
40,cores,true,static,turnaround,0,critical,256,6.966
40,cores,true,static,turnaround,0,critical,512,6.868
40,cores,true,static,turnaround,0,atomic,64,6.432
40,cores,true,static,turnaround,0,atomic,128,6.615
40,cores,true,static,turnaround,0,atomic,256,6.507
40,cores,true,static,turnaround,0,atomic,512,6.784
40,cores,true,static,turnaround,200,tree,64,7.077
40,cores,true,static,turnaround,200,tree,128,6.518
40,cores,true,static,turnaround,200,tree,256,6.572
40,cores,true,static,turnaround,200,tree,512,6.91
40,cores,true,static,turnaround,200,critical,64,6.543
40,cores,true,static,turnaround,200,critical,128,6.792
40,cores,true,static,turnaround,200,critical,256,6.752
40,cores,true,static,turnaround,200,critical,512,6.575
40,cores,true,static,turnaround,200,atomic,64,6.45
40,cores,true,static,turnaround,200,atomic,128,6.795
40,cores,true,static,turnaround,200,atomic,256,6.887
40,cores,true,static,turnaround,200,atomic,512,6.441
40,cores,true,static,turnaround,infinite,tree,64,6.833
40,cores,true,static,turnaround,infinite,tree,128,6.555
40,cores,true,static,turnaround,infinite,tree,256,6.465
40,cores,true,static,turnaround,infinite,tree,512,6.498
40,cores,true,static,turnaround,infinite,critical,64,6.429
40,cores,true,static,turnaround,infinite,critical,128,6.395
40,cores,true,static,turnaround,infinite,critical,256,6.831
40,cores,true,static,turnaround,infinite,critical,512,7.069
40,cores,true,static,turnaround,infinite,atomic,64,6.759
40,cores,true,static,turnaround,infinite,atomic,128,6.607
40,cores,true,static,turnaround,infinite,atomic,256,6.587
40,cores,true,static,turnaround,infinite,atomic,512,6.436
40,cores,true,dynamic,throughput,0,tree,64,6.432
40,cores,true,dynamic,throughput,0,tree,128,7.059
40,cores,true,dynamic,throughput,0,tree,256,6.601
40,cores,true,dynamic,throughput,0,tree,512,6.491
40,cores,true,dynamic,throughput,0,critical,64,6.569
40,cores,true,dynamic,throughput,0,critical,128,6.863
40,cores,true,dynamic,throughput,0,critical,256,6.594
40,cores,true,dynamic,throughput,0,critical,512,6.588
40,cores,true,dynamic,throughput,0,atomic,64,6.597
40,cores,true,dynamic,throughput,0,atomic,128,6.588
40,cores,true,dynamic,throughput,0,atomic,256,6.436
40,cores,true,dynamic,throughput,0,atomic,512,6.471
40,cores,true,dynamic,throughput,200,tree,64,6.775
40,cores,true,dynamic,throughput,200,tree,128,6.821
40,cores,true,dynamic,throughput,200,tree,256,6.381
40,cores,true,dynamic,throughput,200,tree,512,6.469
40,cores,true,dynamic,throughput,200,critical,64,6.829
40,cores,true,dynamic,throughput,200,critical,128,6.537
40,cores,true,dynamic,throughput,200,critical,256,6.482
40,cores,true,dynamic,throughput,200,critical,512,6.833
40,cores,true,dynamic,throughput,200,atomic,64,6.493
40,cores,true,dynamic,throughput,200,atomic,128,6.611
40,cores,true,dynamic,throughput,200,atomic,256,6.525
40,cores,true,dynamic,throughput,200,atomic,512,6.593
40,cores,true,dynamic,throughput,infinite,tree,64,6.763
40,cores,true,dynamic,throughput,infinite,tree,128,6.832
40,cores,true,dynamic,throughput,infinite,tree,256,7.071
40,cores,true,dynamic,throughput,infinite,tree,512,6.416
40,cores,true,dynamic,throughput,infinite,critical,64,6.626
40,cores,true,dynamic,throughput,infinite,critical,128,6.774
40,cores,true,dynamic,throughput,infinite,critical,256,6.835
40,cores,true,dynamic,throughput,infinite,critical,512,6.573
40,cores,true,dynamic,throughput,infinite,atomic,64,6.625
40,cores,true,dynamic,throughput,infinite,atomic,128,6.665
40,cores,true,dynamic,throughput,infinite,atomic,256,6.812
40,cores,true,dynamic,throughput,infinite,atomic,512,6.829
40,cores,true,dynamic,turnaround,0,tree,64,6.782
40,cores,true,dynamic,turnaround,0,tree,128,6.435
40,cores,true,dynamic,turnaround,0,tree,256,6.717
40,cores,true,dynamic,turnaround,0,tree,512,6.641
40,cores,true,dynamic,turnaround,0,critical,64,6.597
40,cores,true,dynamic,turnaround,0,critical,128,6.437
40,cores,true,dynamic,turnaround,0,critical,256,6.829
40,cores,true,dynamic,turnaround,0,critical,512,6.485
40,cores,true,dynamic,turnaround,0,atomic,64,6.593
40,cores,true,dynamic,turnaround,0,atomic,128,6.45
40,cores,true,dynamic,turnaround,0,atomic,256,6.522
40,cores,true,dynamic,turnaround,0,atomic,512,6.602
40,cores,true,dynamic,turnaround,200,tree,64,6.48
40,cores,true,dynamic,turnaround,200,tree,128,6.608
40,cores,true,dynamic,turnaround,200,tree,256,6.436
40,cores,true,dynamic,turnaround,200,tree,512,6.41
40,cores,true,dynamic,turnaround,200,critical,64,6.562
40,cores,true,dynamic,turnaround,200,critical,128,6.403
40,cores,true,dynamic,turnaround,200,critical,256,6.479
40,cores,true,dynamic,turnaround,200,critical,512,6.43
40,cores,true,dynamic,turnaround,200,atomic,64,6.756
40,cores,true,dynamic,turnaround,200,atomic,128,6.692
40,cores,true,dynamic,turnaround,200,atomic,256,7.002
40,cores,true,dynamic,turnaround,200,atomic,512,6.573
40,cores,true,dynamic,turnaround,infinite,tree,64,6.699
40,cores,true,dynamic,turnaround,infinite,tree,128,6.412
40,cores,true,dynamic,turnaround,infinite,tree,256,6.447
40,cores,true,dynamic,turnaround,infinite,tree,512,6.443
40,cores,true,dynamic,turnaround,infinite,critical,64,6.63
40,cores,true,dynamic,turnaround,infinite,critical,128,6.47
40,cores,true,dynamic,turnaround,infinite,critical,256,6.615
40,cores,true,dynamic,turnaround,infinite,critical,512,7.029
