OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
40,cores,true,static,throughput,0,tree,64,0.516206
40,cores,true,static,throughput,0,tree,128,0.508895
40,cores,true,static,throughput,0,tree,256,0.514354
40,cores,true,static,throughput,0,tree,512,0.521483
40,cores,true,static,throughput,0,critical,64,0.507208
40,cores,true,static,throughput,0,critical,128,0.508921
40,cores,true,static,throughput,0,critical,256,0.541809
40,cores,true,static,throughput,0,critical,512,0.525071
40,cores,true,static,throughput,0,atomic,64,0.518961
40,cores,true,static,throughput,0,atomic,128,0.519076
40,cores,true,static,throughput,0,atomic,256,0.522035
40,cores,true,static,throughput,0,atomic,512,0.528784
40,cores,true,static,throughput,200,tree,64,0.53398
40,cores,true,static,throughput,200,tree,128,0.521444
40,cores,true,static,throughput,200,tree,256,0.530368
40,cores,true,static,throughput,200,tree,512,0.620526
40,cores,true,static,throughput,200,critical,64,0.51931
40,cores,true,static,throughput,200,critical,128,0.530279
40,cores,true,static,throughput,200,critical,256,0.527781
40,cores,true,static,throughput,200,critical,512,0.5154
40,cores,true,static,throughput,200,atomic,64,0.519885
40,cores,true,static,throughput,200,atomic,128,0.520864
40,cores,true,static,throughput,200,atomic,256,0.527937
40,cores,true,static,throughput,200,atomic,512,0.521676
40,cores,true,static,throughput,infinite,tree,64,0.626429
40,cores,true,static,throughput,infinite,tree,128,0.533219
40,cores,true,static,throughput,infinite,tree,256,0.522616
40,cores,true,static,throughput,infinite,tree,512,0.516422
40,cores,true,static,throughput,infinite,critical,64,0.515805
40,cores,true,static,throughput,infinite,critical,128,0.519948
40,cores,true,static,throughput,infinite,critical,256,0.524468
40,cores,true,static,throughput,infinite,critical,512,0.524031
40,cores,true,static,throughput,infinite,atomic,64,0.534602
40,cores,true,static,throughput,infinite,atomic,128,0.521588
40,cores,true,static,throughput,infinite,atomic,256,0.632346
40,cores,true,static,throughput,infinite,atomic,512,0.517263
40,cores,true,static,turnaround,0,tree,64,0.527037
40,cores,true,static,turnaround,0,tree,128,0.519734
40,cores,true,static,turnaround,0,tree,256,0.523864
40,cores,true,static,turnaround,0,tree,512,0.522304
40,cores,true,static,turnaround,0,critical,64,0.518761
40,cores,true,static,turnaround,0,critical,128,0.527728
40,cores,true,static,turnaround,0,critical,256,0.516736
40,cores,true,static,turnaround,0,critical,512,0.518796
40,cores,true,static,turnaround,0,atomic,64,0.596441
40,cores,true,static,turnaround,0,atomic,128,0.507168
40,cores,true,static,turnaround,0,atomic,256,0.527661
40,cores,true,static,turnaround,0,atomic,512,0.502129
40,cores,true,static,turnaround,200,tree,64,0.506883
40,cores,true,static,turnaround,200,tree,128,0.509516
40,cores,true,static,turnaround,200,tree,256,0.51232
40,cores,true,static,turnaround,200,tree,512,0.511535
40,cores,true,static,turnaround,200,critical,64,0.502859
40,cores,true,static,turnaround,200,critical,128,0.49979
40,cores,true,static,turnaround,200,critical,256,0.620968
40,cores,true,static,turnaround,200,critical,512,0.50249
40,cores,true,static,turnaround,200,atomic,64,0.497285
40,cores,true,static,turnaround,200,atomic,128,0.505115
40,cores,true,static,turnaround,200,atomic,256,0.506913
