OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
40,cores,true,static,throughput,0,tree,64,1.813
40,cores,true,static,throughput,0,tree,128,1.812
40,cores,true,static,throughput,0,tree,256,1.834
40,cores,true,static,throughput,0,tree,512,1.811
40,cores,true,static,throughput,0,critical,64,1.814
40,cores,true,static,throughput,0,critical,128,1.813
40,cores,true,static,throughput,0,critical,256,1.812
40,cores,true,static,throughput,0,critical,512,1.811
40,cores,true,static,throughput,0,atomic,64,1.813
40,cores,true,static,throughput,0,atomic,128,1.809
40,cores,true,static,throughput,0,atomic,256,1.812
40,cores,true,static,throughput,0,atomic,512,1.811
40,cores,true,static,throughput,200,tree,64,1.811
40,cores,true,static,throughput,200,tree,128,1.813
40,cores,true,static,throughput,200,tree,256,1.813
40,cores,true,static,throughput,200,tree,512,1.811
40,cores,true,static,throughput,200,critical,64,1.813
40,cores,true,static,throughput,200,critical,128,1.812
40,cores,true,static,throughput,200,critical,256,1.815
40,cores,true,static,throughput,200,critical,512,1.812
40,cores,true,static,throughput,200,atomic,64,1.813
40,cores,true,static,throughput,200,atomic,128,1.812
40,cores,true,static,throughput,200,atomic,256,1.813
40,cores,true,static,throughput,200,atomic,512,1.811
40,cores,true,static,throughput,infinite,tree,64,1.812
40,cores,true,static,throughput,infinite,tree,128,1.813
40,cores,true,static,throughput,infinite,tree,256,1.814
40,cores,true,static,throughput,infinite,tree,512,1.811
40,cores,true,static,throughput,infinite,critical,64,1.813
40,cores,true,static,throughput,infinite,critical,128,1.813
40,cores,true,static,throughput,infinite,critical,256,1.814
40,cores,true,static,throughput,infinite,critical,512,1.812
40,cores,true,static,throughput,infinite,atomic,64,1.813
40,cores,true,static,throughput,infinite,atomic,128,1.811
40,cores,true,static,throughput,infinite,atomic,256,1.813
40,cores,true,static,throughput,infinite,atomic,512,1.811
40,cores,true,static,turnaround,0,tree,64,1.816
40,cores,true,static,turnaround,0,tree,128,1.813
40,cores,true,static,turnaround,0,tree,256,1.814
40,cores,true,static,turnaround,0,tree,512,1.813
40,cores,true,static,turnaround,0,critical,64,1.812
40,cores,true,static,turnaround,0,critical,128,1.812
40,cores,true,static,turnaround,0,critical,256,1.814
40,cores,true,static,turnaround,0,critical,512,1.817
40,cores,true,static,turnaround,0,atomic,64,1.813
40,cores,true,static,turnaround,0,atomic,128,1.809
40,cores,true,static,turnaround,0,atomic,256,1.812
