OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,false,static,throughput,0,tree,64,3.192
96,cores,false,static,throughput,0,tree,128,3.124
96,cores,false,static,throughput,0,tree,256,3.146
96,cores,false,static,throughput,0,tree,512,3.136
96,cores,false,static,throughput,0,critical,64,2.938
96,cores,false,static,throughput,0,critical,128,2.946
96,cores,false,static,throughput,0,critical,256,2.92
96,cores,false,static,throughput,0,critical,512,2.932
96,cores,false,static,throughput,0,atomic,64,2.946
96,cores,false,static,throughput,0,atomic,128,2.908
96,cores,false,static,throughput,0,atomic,256,2.932
96,cores,false,static,throughput,0,atomic,512,2.93
96,cores,false,static,throughput,200,tree,64,0.052
96,cores,false,static,throughput,200,tree,128,0.052
96,cores,false,static,throughput,200,tree,256,0.06
96,cores,false,static,throughput,200,tree,512,0.052
96,cores,false,static,throughput,200,critical,64,0.108
96,cores,false,static,throughput,200,critical,128,0.134
96,cores,false,static,throughput,200,critical,256,0.11
96,cores,false,static,throughput,200,critical,512,0.112
96,cores,false,static,throughput,200,atomic,64,0.062
96,cores,false,static,throughput,200,atomic,128,0.062
96,cores,false,static,throughput,200,atomic,256,0.064
96,cores,false,static,throughput,200,atomic,512,0.062
96,cores,false,static,throughput,infinite,tree,64,0.052
96,cores,false,static,throughput,infinite,tree,128,0.052
96,cores,false,static,throughput,infinite,tree,256,0.052
96,cores,false,static,throughput,infinite,tree,512,0.052
96,cores,false,static,throughput,infinite,critical,64,0.108
96,cores,false,static,throughput,infinite,critical,128,0.112
96,cores,false,static,throughput,infinite,critical,256,0.116
96,cores,false,static,throughput,infinite,critical,512,0.112
96,cores,false,static,throughput,infinite,atomic,64,0.064
96,cores,false,static,throughput,infinite,atomic,128,0.062
96,cores,false,static,throughput,infinite,atomic,256,0.062
96,cores,false,static,throughput,infinite,atomic,512,0.062
96,cores,false,static,turnaround,0,tree,64,3.182
96,cores,false,static,turnaround,0,tree,128,3.164
96,cores,false,static,turnaround,0,tree,256,3.144
96,cores,false,static,turnaround,0,tree,512,3.148
96,cores,false,static,turnaround,0,critical,64,2.964
96,cores,false,static,turnaround,0,critical,128,2.928
96,cores,false,static,turnaround,0,critical,256,2.908
96,cores,false,static,turnaround,0,critical,512,2.944
96,cores,false,static,turnaround,0,atomic,64,2.92
96,cores,false,static,turnaround,0,atomic,128,2.958
96,cores,false,static,turnaround,0,atomic,256,2.912
96,cores,false,static,turnaround,0,atomic,512,2.922
96,cores,false,static,turnaround,200,tree,64,0.054
96,cores,false,static,turnaround,200,tree,128,0.052
96,cores,false,static,turnaround,200,tree,256,0.052
96,cores,false,static,turnaround,200,tree,512,0.054
96,cores,false,static,turnaround,200,critical,64,0.108
96,cores,false,static,turnaround,200,critical,128,0.108
96,cores,false,static,turnaround,200,critical,256,0.148
96,cores,false,static,turnaround,200,critical,512,0.112
96,cores,false,static,turnaround,200,atomic,64,0.062
96,cores,false,static,turnaround,200,atomic,128,0.062
96,cores,false,static,turnaround,200,atomic,256,0.064
96,cores,false,static,turnaround,200,atomic,512,0.07
96,cores,false,static,turnaround,infinite,tree,64,0.052
96,cores,false,static,turnaround,infinite,tree,128,0.052
96,cores,false,static,turnaround,infinite,tree,256,0.052
96,cores,false,static,turnaround,infinite,tree,512,0.052
96,cores,false,static,turnaround,infinite,critical,64,0.106
96,cores,false,static,turnaround,infinite,critical,128,0.108
96,cores,false,static,turnaround,infinite,critical,256,0.108
96,cores,false,static,turnaround,infinite,critical,512,0.116
96,cores,false,static,turnaround,infinite,atomic,64,0.062
96,cores,false,static,turnaround,infinite,atomic,128,0.062
96,cores,false,static,turnaround,infinite,atomic,256,0.062
96,cores,false,static,turnaround,infinite,atomic,512,0.062
96,cores,false,dynamic,throughput,0,tree,64,3.114
96,cores,false,dynamic,throughput,0,tree,128,3.124
96,cores,false,dynamic,throughput,0,tree,256,3.166
96,cores,false,dynamic,throughput,0,tree,512,3.146
96,cores,false,dynamic,throughput,0,critical,64,2.922
96,cores,false,dynamic,throughput,0,critical,128,2.93
96,cores,false,dynamic,throughput,0,critical,256,2.914
96,cores,false,dynamic,throughput,0,critical,512,2.916
96,cores,false,dynamic,throughput,0,atomic,64,2.916
96,cores,false,dynamic,throughput,0,atomic,128,2.932
96,cores,false,dynamic,throughput,0,atomic,256,2.926
96,cores,false,dynamic,throughput,0,atomic,512,2.922
96,cores,false,dynamic,throughput,200,tree,64,0.052
96,cores,false,dynamic,throughput,200,tree,128,0.052
96,cores,false,dynamic,throughput,200,tree,256,0.052
96,cores,false,dynamic,throughput,200,tree,512,0.052
96,cores,false,dynamic,throughput,200,critical,64,0.11
96,cores,false,dynamic,throughput,200,critical,128,0.108
96,cores,false,dynamic,throughput,200,critical,256,0.11
96,cores,false,dynamic,throughput,200,critical,512,0.114
96,cores,false,dynamic,throughput,200,atomic,64,0.062
96,cores,false,dynamic,throughput,200,atomic,128,0.064
96,cores,false,dynamic,throughput,200,atomic,256,0.062
96,cores,false,dynamic,throughput,200,atomic,512,0.064
