OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,false,static,throughput,0,tree,64,16.564
96,cores,false,static,throughput,0,tree,128,16.65
96,cores,false,static,throughput,0,tree,256,16.576
96,cores,false,static,throughput,0,tree,512,16.552
96,cores,false,static,throughput,0,critical,64,15.534
96,cores,false,static,throughput,0,critical,128,15.494
96,cores,false,static,throughput,0,critical,256,15.534
96,cores,false,static,throughput,0,critical,512,15.51
96,cores,false,static,throughput,0,atomic,64,15.56
96,cores,false,static,throughput,0,atomic,128,15.492
96,cores,false,static,throughput,0,atomic,256,15.462
96,cores,false,static,throughput,0,atomic,512,15.49
96,cores,false,static,throughput,200,tree,64,1.154
96,cores,false,static,throughput,200,tree,128,1.152
96,cores,false,static,throughput,200,tree,256,1.134
96,cores,false,static,throughput,200,tree,512,1.146
96,cores,false,static,throughput,200,critical,64,1.538
96,cores,false,static,throughput,200,critical,128,1.57
96,cores,false,static,throughput,200,critical,256,1.44
96,cores,false,static,throughput,200,critical,512,1.468
96,cores,false,static,throughput,200,atomic,64,1.17
96,cores,false,static,throughput,200,atomic,128,1.156
96,cores,false,static,throughput,200,atomic,256,1.164
96,cores,false,static,throughput,200,atomic,512,1.158
96,cores,false,static,throughput,infinite,tree,64,1.152
96,cores,false,static,throughput,infinite,tree,128,1.166
96,cores,false,static,throughput,infinite,tree,256,1.158
96,cores,false,static,throughput,infinite,tree,512,1.2
96,cores,false,static,throughput,infinite,critical,64,1.486
96,cores,false,static,throughput,infinite,critical,128,1.592
96,cores,false,static,throughput,infinite,critical,256,1.512
96,cores,false,static,throughput,infinite,critical,512,1.552
96,cores,false,static,throughput,infinite,atomic,64,1.176
96,cores,false,static,throughput,infinite,atomic,128,1.176
96,cores,false,static,throughput,infinite,atomic,256,1.182
96,cores,false,static,throughput,infinite,atomic,512,1.162
96,cores,false,static,turnaround,0,tree,64,16.596
96,cores,false,static,turnaround,0,tree,128,16.594
96,cores,false,static,turnaround,0,tree,256,16.63
96,cores,false,static,turnaround,0,tree,512,16.6
96,cores,false,static,turnaround,0,critical,64,15.474
96,cores,false,static,turnaround,0,critical,128,15.552
96,cores,false,static,turnaround,0,critical,256,15.48
96,cores,false,static,turnaround,0,critical,512,15.524
96,cores,false,static,turnaround,0,atomic,64,15.566
96,cores,false,static,turnaround,0,atomic,128,15.436
96,cores,false,static,turnaround,0,atomic,256,15.474
96,cores,false,static,turnaround,0,atomic,512,15.452
96,cores,false,static,turnaround,200,tree,64,1.162
96,cores,false,static,turnaround,200,tree,128,1.184
96,cores,false,static,turnaround,200,tree,256,1.146
96,cores,false,static,turnaround,200,tree,512,1.152
96,cores,false,static,turnaround,200,critical,64,1.596
96,cores,false,static,turnaround,200,critical,128,1.58
96,cores,false,static,turnaround,200,critical,256,1.562
96,cores,false,static,turnaround,200,critical,512,1.55
96,cores,false,static,turnaround,200,atomic,64,1.214
96,cores,false,static,turnaround,200,atomic,128,1.174
96,cores,false,static,turnaround,200,atomic,256,1.176
96,cores,false,static,turnaround,200,atomic,512,1.198
96,cores,false,static,turnaround,infinite,tree,64,1.154
96,cores,false,static,turnaround,infinite,tree,128,1.156
96,cores,false,static,turnaround,infinite,tree,256,1.174
96,cores,false,static,turnaround,infinite,tree,512,1.154
96,cores,false,static,turnaround,infinite,critical,64,1.592
96,cores,false,static,turnaround,infinite,critical,128,1.524
96,cores,false,static,turnaround,infinite,critical,256,1.496
96,cores,false,static,turnaround,infinite,critical,512,1.622
96,cores,false,static,turnaround,infinite,atomic,64,1.17
96,cores,false,static,turnaround,infinite,atomic,128,1.204
96,cores,false,static,turnaround,infinite,atomic,256,1.21
96,cores,false,static,turnaround,infinite,atomic,512,1.176
96,cores,false,dynamic,throughput,0,tree,64,16.556
96,cores,false,dynamic,throughput,0,tree,128,16.548
96,cores,false,dynamic,throughput,0,tree,256,16.622
96,cores,false,dynamic,throughput,0,tree,512,16.588
96,cores,false,dynamic,throughput,0,critical,64,15.48
96,cores,false,dynamic,throughput,0,critical,128,15.496
96,cores,false,dynamic,throughput,0,critical,256,15.498
96,cores,false,dynamic,throughput,0,critical,512,15.466
96,cores,false,dynamic,throughput,0,atomic,64,15.418
96,cores,false,dynamic,throughput,0,atomic,128,15.51
96,cores,false,dynamic,throughput,0,atomic,256,15.478
96,cores,false,dynamic,throughput,0,atomic,512,15.538
96,cores,false,dynamic,throughput,200,tree,64,1.156
96,cores,false,dynamic,throughput,200,tree,128,1.154
96,cores,false,dynamic,throughput,200,tree,256,1.166
96,cores,false,dynamic,throughput,200,tree,512,1.186
96,cores,false,dynamic,throughput,200,critical,64,1.472
96,cores,false,dynamic,throughput,200,critical,128,1.528
96,cores,false,dynamic,throughput,200,critical,256,1.652
96,cores,false,dynamic,throughput,200,critical,512,1.534
96,cores,false,dynamic,throughput,200,atomic,64,1.178
96,cores,false,dynamic,throughput,200,atomic,128,1.166
96,cores,false,dynamic,throughput,200,atomic,256,1.18
96,cores,false,dynamic,throughput,200,atomic,512,1.174
96,cores,false,dynamic,throughput,infinite,tree,64,1.142
96,cores,false,dynamic,throughput,infinite,tree,128,1.196
96,cores,false,dynamic,throughput,infinite,tree,256,1.15
96,cores,false,dynamic,throughput,infinite,tree,512,1.136
96,cores,false,dynamic,throughput,infinite,critical,64,1.656
96,cores,false,dynamic,throughput,infinite,critical,128,1.554
96,cores,false,dynamic,throughput,infinite,critical,256,1.468
96,cores,false,dynamic,throughput,infinite,critical,512,1.414
96,cores,false,dynamic,throughput,infinite,atomic,64,1.184
96,cores,false,dynamic,throughput,infinite,atomic,128,1.176
96,cores,false,dynamic,throughput,infinite,atomic,256,1.164
96,cores,false,dynamic,throughput,infinite,atomic,512,1.226
96,cores,false,dynamic,turnaround,0,tree,64,16.628
96,cores,false,dynamic,turnaround,0,tree,128,16.546
96,cores,false,dynamic,turnaround,0,tree,256,16.572
96,cores,false,dynamic,turnaround,0,tree,512,16.66
96,cores,false,dynamic,turnaround,0,critical,64,15.506
96,cores,false,dynamic,turnaround,0,critical,128,15.48
96,cores,false,dynamic,turnaround,0,critical,256,15.48
96,cores,false,dynamic,turnaround,0,critical,512,15.496
96,cores,false,dynamic,turnaround,0,atomic,64,15.432
96,cores,false,dynamic,turnaround,0,atomic,128,15.464
96,cores,false,dynamic,turnaround,0,atomic,256,15.54
96,cores,false,dynamic,turnaround,0,atomic,512,15.454
96,cores,false,dynamic,turnaround,200,tree,64,1.15
96,cores,false,dynamic,turnaround,200,tree,128,1.16
96,cores,false,dynamic,turnaround,200,tree,256,1.158
96,cores,false,dynamic,turnaround,200,tree,512,1.148
96,cores,false,dynamic,turnaround,200,critical,64,1.45
96,cores,false,dynamic,turnaround,200,critical,128,1.464
96,cores,false,dynamic,turnaround,200,critical,256,1.638
96,cores,false,dynamic,turnaround,200,critical,512,1.574
96,cores,false,dynamic,turnaround,200,atomic,64,1.172
96,cores,false,dynamic,turnaround,200,atomic,128,1.164
96,cores,false,dynamic,turnaround,200,atomic,256,1.174
96,cores,false,dynamic,turnaround,200,atomic,512,1.18
96,cores,false,dynamic,turnaround,infinite,tree,64,1.156
96,cores,false,dynamic,turnaround,infinite,tree,128,1.146
96,cores,false,dynamic,turnaround,infinite,tree,256,1.186
96,cores,false,dynamic,turnaround,infinite,tree,512,1.148
96,cores,false,dynamic,turnaround,infinite,critical,64,1.46
96,cores,false,dynamic,turnaround,infinite,critical,128,1.484
96,cores,false,dynamic,turnaround,infinite,critical,256,1.488
96,cores,false,dynamic,turnaround,infinite,critical,512,1.472
96,cores,false,dynamic,turnaround,infinite,atomic,64,1.166
96,cores,false,dynamic,turnaround,infinite,atomic,128,1.176
96,cores,false,dynamic,turnaround,infinite,atomic,256,1.188
96,cores,false,dynamic,turnaround,infinite,atomic,512,1.168
96,cores,false,guided,throughput,0,tree,64,16.638
96,cores,false,guided,throughput,0,tree,128,16.61
96,cores,false,guided,throughput,0,tree,256,16.552
96,cores,false,guided,throughput,0,tree,512,16.598
96,cores,false,guided,throughput,0,critical,64,15.506
96,cores,false,guided,throughput,0,critical,128,15.482
96,cores,false,guided,throughput,0,critical,256,15.438
96,cores,false,guided,throughput,0,critical,512,15.556
96,cores,false,guided,throughput,0,atomic,64,15.428
96,cores,false,guided,throughput,0,atomic,128,15.434
96,cores,false,guided,throughput,0,atomic,256,15.5
96,cores,false,guided,throughput,0,atomic,512,15.526
96,cores,false,guided,throughput,200,tree,64,1.158
96,cores,false,guided,throughput,200,tree,128,1.158
96,cores,false,guided,throughput,200,tree,256,1.154
96,cores,false,guided,throughput,200,tree,512,1.142
96,cores,false,guided,throughput,200,critical,64,1.608
