OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,false,static,throughput,0,tree,64,0.714
96,cores,false,static,throughput,0,tree,128,0.714
96,cores,false,static,throughput,0,tree,256,0.716
96,cores,false,static,throughput,0,tree,512,0.73
96,cores,false,static,throughput,0,critical,64,0.716
96,cores,false,static,throughput,0,critical,128,0.732
96,cores,false,static,throughput,0,critical,256,0.71
96,cores,false,static,throughput,0,critical,512,0.742
96,cores,false,static,throughput,0,atomic,64,0.714
96,cores,false,static,throughput,0,atomic,128,0.714
96,cores,false,static,throughput,0,atomic,256,0.714
96,cores,false,static,throughput,0,atomic,512,0.73
96,cores,false,static,throughput,200,tree,64,0.716
96,cores,false,static,throughput,200,tree,128,0.716
96,cores,false,static,throughput,200,tree,256,0.722
96,cores,false,static,throughput,200,tree,512,0.718
96,cores,false,static,throughput,200,critical,64,0.72
96,cores,false,static,throughput,200,critical,128,0.722
96,cores,false,static,throughput,200,critical,256,0.72
96,cores,false,static,throughput,200,critical,512,0.716
96,cores,false,static,throughput,200,atomic,64,0.722
96,cores,false,static,throughput,200,atomic,128,0.72
96,cores,false,static,throughput,200,atomic,256,0.718
96,cores,false,static,throughput,200,atomic,512,0.72
96,cores,false,static,throughput,infinite,tree,64,0.726
96,cores,false,static,throughput,infinite,tree,128,0.718
96,cores,false,static,throughput,infinite,tree,256,0.732
96,cores,false,static,throughput,infinite,tree,512,0.718
96,cores,false,static,throughput,infinite,critical,64,0.72
96,cores,false,static,throughput,infinite,critical,128,0.758
96,cores,false,static,throughput,infinite,critical,256,0.718
96,cores,false,static,throughput,infinite,critical,512,0.712
96,cores,false,static,throughput,infinite,atomic,64,0.722
96,cores,false,static,throughput,infinite,atomic,128,0.718
96,cores,false,static,throughput,infinite,atomic,256,0.72
96,cores,false,static,throughput,infinite,atomic,512,0.718
96,cores,false,static,turnaround,0,tree,64,0.712
96,cores,false,static,turnaround,0,tree,128,0.712
96,cores,false,static,turnaround,0,tree,256,0.728
96,cores,false,static,turnaround,0,tree,512,0.712
96,cores,false,static,turnaround,0,critical,64,0.712
96,cores,false,static,turnaround,0,critical,128,0.712
96,cores,false,static,turnaround,0,critical,256,0.714
96,cores,false,static,turnaround,0,critical,512,0.714
96,cores,false,static,turnaround,0,atomic,64,0.714
96,cores,false,static,turnaround,0,atomic,128,0.712
96,cores,false,static,turnaround,0,atomic,256,0.73
96,cores,false,static,turnaround,0,atomic,512,0.714
96,cores,false,static,turnaround,200,tree,64,0.72
96,cores,false,static,turnaround,200,tree,128,0.716
96,cores,false,static,turnaround,200,tree,256,0.722
96,cores,false,static,turnaround,200,tree,512,0.718
96,cores,false,static,turnaround,200,critical,64,0.718
96,cores,false,static,turnaround,200,critical,128,0.714
96,cores,false,static,turnaround,200,critical,256,0.724
96,cores,false,static,turnaround,200,critical,512,0.716
96,cores,false,static,turnaround,200,atomic,64,0.72
96,cores,false,static,turnaround,200,atomic,128,0.714
96,cores,false,static,turnaround,200,atomic,256,0.72
96,cores,false,static,turnaround,200,atomic,512,0.73
96,cores,false,static,turnaround,infinite,tree,64,0.716
96,cores,false,static,turnaround,infinite,tree,128,0.716
96,cores,false,static,turnaround,infinite,tree,256,0.718
96,cores,false,static,turnaround,infinite,tree,512,0.756
96,cores,false,static,turnaround,infinite,critical,64,0.72
96,cores,false,static,turnaround,infinite,critical,128,0.716
96,cores,false,static,turnaround,infinite,critical,256,0.716
96,cores,false,static,turnaround,infinite,critical,512,0.718
96,cores,false,static,turnaround,infinite,atomic,64,0.716
96,cores,false,static,turnaround,infinite,atomic,128,0.722
96,cores,false,static,turnaround,infinite,atomic,256,0.72
96,cores,false,static,turnaround,infinite,atomic,512,0.74
96,cores,false,dynamic,throughput,0,tree,64,0.714
96,cores,false,dynamic,throughput,0,tree,128,0.712
96,cores,false,dynamic,throughput,0,tree,256,0.712
96,cores,false,dynamic,throughput,0,tree,512,0.712
96,cores,false,dynamic,throughput,0,critical,64,0.712
96,cores,false,dynamic,throughput,0,critical,128,0.714
96,cores,false,dynamic,throughput,0,critical,256,0.714
96,cores,false,dynamic,throughput,0,critical,512,0.714
96,cores,false,dynamic,throughput,0,atomic,64,0.712
96,cores,false,dynamic,throughput,0,atomic,128,0.712
96,cores,false,dynamic,throughput,0,atomic,256,0.718
96,cores,false,dynamic,throughput,0,atomic,512,0.712
96,cores,false,dynamic,throughput,200,tree,64,0.716
96,cores,false,dynamic,throughput,200,tree,128,0.714
96,cores,false,dynamic,throughput,200,tree,256,0.718
96,cores,false,dynamic,throughput,200,tree,512,0.714
96,cores,false,dynamic,throughput,200,critical,64,0.756
96,cores,false,dynamic,throughput,200,critical,128,0.718
96,cores,false,dynamic,throughput,200,critical,256,0.718
96,cores,false,dynamic,throughput,200,critical,512,0.722
96,cores,false,dynamic,throughput,200,atomic,64,0.734
96,cores,false,dynamic,throughput,200,atomic,128,0.716
96,cores,false,dynamic,throughput,200,atomic,256,0.714
96,cores,false,dynamic,throughput,200,atomic,512,0.718
96,cores,false,dynamic,throughput,infinite,tree,64,0.766
96,cores,false,dynamic,throughput,infinite,tree,128,0.74
96,cores,false,dynamic,throughput,infinite,tree,256,0.724
96,cores,false,dynamic,throughput,infinite,tree,512,0.716
96,cores,false,dynamic,throughput,infinite,critical,64,0.716
96,cores,false,dynamic,throughput,infinite,critical,128,0.718
96,cores,false,dynamic,throughput,infinite,critical,256,0.72
96,cores,false,dynamic,throughput,infinite,critical,512,0.716
96,cores,false,dynamic,throughput,infinite,atomic,64,0.728
96,cores,false,dynamic,throughput,infinite,atomic,128,0.714
96,cores,false,dynamic,throughput,infinite,atomic,256,0.716
96,cores,false,dynamic,throughput,infinite,atomic,512,0.714
96,cores,false,dynamic,turnaround,0,tree,64,0.714
96,cores,false,dynamic,turnaround,0,tree,128,0.712
96,cores,false,dynamic,turnaround,0,tree,256,0.71
96,cores,false,dynamic,turnaround,0,tree,512,0.732
96,cores,false,dynamic,turnaround,0,critical,64,0.71
96,cores,false,dynamic,turnaround,0,critical,128,0.742
96,cores,false,dynamic,turnaround,0,critical,256,0.712
96,cores,false,dynamic,turnaround,0,critical,512,0.71
