OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,false,static,throughput,0,tree,64,2.962
96,cores,false,static,throughput,0,tree,128,2.838
96,cores,false,static,throughput,0,tree,256,2.832
96,cores,false,static,throughput,0,tree,512,2.836
96,cores,false,static,throughput,0,critical,64,2.838
96,cores,false,static,throughput,0,critical,128,2.962
96,cores,false,static,throughput,0,critical,256,2.83
96,cores,false,static,throughput,0,critical,512,2.848
96,cores,false,static,throughput,0,atomic,64,2.838
96,cores,false,static,throughput,0,atomic,128,2.968
96,cores,false,static,throughput,0,atomic,256,2.832
96,cores,false,static,throughput,0,atomic,512,2.836
96,cores,false,static,throughput,200,tree,64,2.856
96,cores,false,static,throughput,200,tree,128,2.85
96,cores,false,static,throughput,200,tree,256,2.858
96,cores,false,static,throughput,200,tree,512,2.858
96,cores,false,static,throughput,200,critical,64,2.856
96,cores,false,static,throughput,200,critical,128,2.87
96,cores,false,static,throughput,200,critical,256,2.858
96,cores,false,static,throughput,200,critical,512,2.852
96,cores,false,static,throughput,200,atomic,64,2.856
96,cores,false,static,throughput,200,atomic,128,2.866
96,cores,false,static,throughput,200,atomic,256,2.868
96,cores,false,static,throughput,200,atomic,512,2.858
96,cores,false,static,throughput,infinite,tree,64,2.862
96,cores,false,static,throughput,infinite,tree,128,2.858
96,cores,false,static,throughput,infinite,tree,256,2.858
96,cores,false,static,throughput,infinite,tree,512,2.858
96,cores,false,static,throughput,infinite,critical,64,2.864
96,cores,false,static,throughput,infinite,critical,128,2.86
96,cores,false,static,throughput,infinite,critical,256,2.87
96,cores,false,static,throughput,infinite,critical,512,2.856
96,cores,false,static,throughput,infinite,atomic,64,2.87
96,cores,false,static,throughput,infinite,atomic,128,2.866
96,cores,false,static,throughput,infinite,atomic,256,2.862
96,cores,false,static,throughput,infinite,atomic,512,2.864
96,cores,false,static,turnaround,0,tree,64,2.848
96,cores,false,static,turnaround,0,tree,128,2.852
96,cores,false,static,turnaround,0,tree,256,2.84
96,cores,false,static,turnaround,0,tree,512,2.846
96,cores,false,static,turnaround,0,critical,64,2.828
96,cores,false,static,turnaround,0,critical,128,2.838
96,cores,false,static,turnaround,0,critical,256,2.838
96,cores,false,static,turnaround,0,critical,512,2.838
96,cores,false,static,turnaround,0,atomic,64,2.838
96,cores,false,static,turnaround,0,atomic,128,2.832
96,cores,false,static,turnaround,0,atomic,256,2.838
96,cores,false,static,turnaround,0,atomic,512,2.842
96,cores,false,static,turnaround,200,tree,64,2.858
96,cores,false,static,turnaround,200,tree,128,2.86
96,cores,false,static,turnaround,200,tree,256,2.858
96,cores,false,static,turnaround,200,tree,512,2.858
96,cores,false,static,turnaround,200,critical,64,2.864
96,cores,false,static,turnaround,200,critical,128,2.84
96,cores,false,static,turnaround,200,critical,256,2.858
96,cores,false,static,turnaround,200,critical,512,2.856
96,cores,false,static,turnaround,200,atomic,64,2.854
96,cores,false,static,turnaround,200,atomic,128,3.002
96,cores,false,static,turnaround,200,atomic,256,2.86
96,cores,false,static,turnaround,200,atomic,512,2.858
96,cores,false,static,turnaround,infinite,tree,64,2.858
96,cores,false,static,turnaround,infinite,tree,128,2.85
96,cores,false,static,turnaround,infinite,tree,256,2.862
96,cores,false,static,turnaround,infinite,tree,512,2.866
96,cores,false,static,turnaround,infinite,critical,64,2.842
96,cores,false,static,turnaround,infinite,critical,128,2.854
96,cores,false,static,turnaround,infinite,critical,256,2.856
96,cores,false,static,turnaround,infinite,critical,512,2.856
96,cores,false,static,turnaround,infinite,atomic,64,2.864
96,cores,false,static,turnaround,infinite,atomic,128,2.868
96,cores,false,static,turnaround,infinite,atomic,256,2.858
96,cores,false,static,turnaround,infinite,atomic,512,3.026
96,cores,false,dynamic,throughput,0,tree,64,2.838
96,cores,false,dynamic,throughput,0,tree,128,2.842
96,cores,false,dynamic,throughput,0,tree,256,2.844
96,cores,false,dynamic,throughput,0,tree,512,2.83
96,cores,false,dynamic,throughput,0,critical,64,2.834
96,cores,false,dynamic,throughput,0,critical,128,2.836
96,cores,false,dynamic,throughput,0,critical,256,2.846
96,cores,false,dynamic,throughput,0,critical,512,2.84
96,cores,false,dynamic,throughput,0,atomic,64,2.908
96,cores,false,dynamic,throughput,0,atomic,128,2.834
96,cores,false,dynamic,throughput,0,atomic,256,2.836
96,cores,false,dynamic,throughput,0,atomic,512,2.848
96,cores,false,dynamic,throughput,200,tree,64,2.864
96,cores,false,dynamic,throughput,200,tree,128,2.858
96,cores,false,dynamic,throughput,200,tree,256,2.848
96,cores,false,dynamic,throughput,200,tree,512,2.856
96,cores,false,dynamic,throughput,200,critical,64,2.858
96,cores,false,dynamic,throughput,200,critical,128,2.852
96,cores,false,dynamic,throughput,200,critical,256,2.86
96,cores,false,dynamic,throughput,200,critical,512,2.924
96,cores,false,dynamic,throughput,200,atomic,64,2.872
96,cores,false,dynamic,throughput,200,atomic,128,2.848
96,cores,false,dynamic,throughput,200,atomic,256,2.866
96,cores,false,dynamic,throughput,200,atomic,512,2.856
96,cores,false,dynamic,throughput,infinite,tree,64,2.864
96,cores,false,dynamic,throughput,infinite,tree,128,2.862
96,cores,false,dynamic,throughput,infinite,tree,256,2.958
96,cores,false,dynamic,throughput,infinite,tree,512,2.86
96,cores,false,dynamic,throughput,infinite,critical,64,2.854
96,cores,false,dynamic,throughput,infinite,critical,128,2.86
96,cores,false,dynamic,throughput,infinite,critical,256,2.86
96,cores,false,dynamic,throughput,infinite,critical,512,2.856
96,cores,false,dynamic,throughput,infinite,atomic,64,2.856
96,cores,false,dynamic,throughput,infinite,atomic,128,2.856
96,cores,false,dynamic,throughput,infinite,atomic,256,2.858
96,cores,false,dynamic,throughput,infinite,atomic,512,2.868
96,cores,false,dynamic,turnaround,0,tree,64,2.838
96,cores,false,dynamic,turnaround,0,tree,128,2.84
96,cores,false,dynamic,turnaround,0,tree,256,2.836
96,cores,false,dynamic,turnaround,0,tree,512,2.838
96,cores,false,dynamic,turnaround,0,critical,64,2.902
96,cores,false,dynamic,turnaround,0,critical,128,2.828
96,cores,false,dynamic,turnaround,0,critical,256,2.84
96,cores,false,dynamic,turnaround,0,critical,512,2.836
96,cores,false,dynamic,turnaround,0,atomic,64,2.838
96,cores,false,dynamic,turnaround,0,atomic,128,2.84
96,cores,false,dynamic,turnaround,0,atomic,256,2.962
96,cores,false,dynamic,turnaround,0,atomic,512,2.828
96,cores,false,dynamic,turnaround,200,tree,64,2.858
96,cores,false,dynamic,turnaround,200,tree,128,2.856
96,cores,false,dynamic,turnaround,200,tree,256,2.936
96,cores,false,dynamic,turnaround,200,tree,512,2.864
96,cores,false,dynamic,turnaround,200,critical,64,2.87
96,cores,false,dynamic,turnaround,200,critical,128,2.854
96,cores,false,dynamic,turnaround,200,critical,256,2.864
96,cores,false,dynamic,turnaround,200,critical,512,2.86
96,cores,false,dynamic,turnaround,200,atomic,64,2.858
96,cores,false,dynamic,turnaround,200,atomic,128,2.858
96,cores,false,dynamic,turnaround,200,atomic,256,2.86
96,cores,false,dynamic,turnaround,200,atomic,512,2.856
96,cores,false,dynamic,turnaround,infinite,tree,64,2.852
96,cores,false,dynamic,turnaround,infinite,tree,128,2.85
96,cores,false,dynamic,turnaround,infinite,tree,256,2.862
96,cores,false,dynamic,turnaround,infinite,tree,512,2.862
96,cores,false,dynamic,turnaround,infinite,critical,64,2.858
96,cores,false,dynamic,turnaround,infinite,critical,128,2.862
96,cores,false,dynamic,turnaround,infinite,critical,256,2.858
96,cores,false,dynamic,turnaround,infinite,critical,512,2.862
96,cores,false,dynamic,turnaround,infinite,atomic,64,2.862
96,cores,false,dynamic,turnaround,infinite,atomic,128,2.854
96,cores,false,dynamic,turnaround,infinite,atomic,256,2.862
96,cores,false,dynamic,turnaround,infinite,atomic,512,2.856
96,cores,false,guided,throughput,0,tree,64,2.838
96,cores,false,guided,throughput,0,tree,128,2.836
96,cores,false,guided,throughput,0,tree,256,2.838
96,cores,false,guided,throughput,0,tree,512,2.836
96,cores,false,guided,throughput,0,critical,64,2.828
96,cores,false,guided,throughput,0,critical,128,2.838
96,cores,false,guided,throughput,0,critical,256,2.832
96,cores,false,guided,throughput,0,critical,512,2.834
96,cores,false,guided,throughput,0,atomic,64,2.84
96,cores,false,guided,throughput,0,atomic,128,2.84
96,cores,false,guided,throughput,0,atomic,256,2.836
96,cores,false,guided,throughput,0,atomic,512,2.844
96,cores,false,guided,throughput,200,tree,64,2.856
96,cores,false,guided,throughput,200,tree,128,2.87
96,cores,false,guided,throughput,200,tree,256,2.866
96,cores,false,guided,throughput,200,tree,512,2.94
96,cores,false,guided,throughput,200,critical,64,2.864
96,cores,false,guided,throughput,200,critical,128,2.856
96,cores,false,guided,throughput,200,critical,256,2.862
96,cores,false,guided,throughput,200,critical,512,2.856
96,cores,false,guided,throughput,200,atomic,64,2.862
96,cores,false,guided,throughput,200,atomic,128,2.858
96,cores,false,guided,throughput,200,atomic,256,2.85
96,cores,false,guided,throughput,200,atomic,512,2.856
96,cores,false,guided,throughput,infinite,tree,64,2.864
96,cores,false,guided,throughput,infinite,tree,128,2.854
96,cores,false,guided,throughput,infinite,tree,256,2.87
96,cores,false,guided,throughput,infinite,tree,512,2.856
96,cores,false,guided,throughput,infinite,critical,64,2.862
