OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,false,static,throughput,0,tree,64,3.364
96,cores,false,static,throughput,0,tree,128,3.362
96,cores,false,static,throughput,0,tree,256,3.36
96,cores,false,static,throughput,0,tree,512,3.37
96,cores,false,static,throughput,0,critical,64,3.376
96,cores,false,static,throughput,0,critical,128,3.368
96,cores,false,static,throughput,0,critical,256,3.356
96,cores,false,static,throughput,0,critical,512,3.364
96,cores,false,static,throughput,0,atomic,64,3.378
96,cores,false,static,throughput,0,atomic,128,3.37
96,cores,false,static,throughput,0,atomic,256,3.368
96,cores,false,static,throughput,0,atomic,512,3.37
96,cores,false,static,throughput,200,tree,64,3.898
96,cores,false,static,throughput,200,tree,128,3.56
96,cores,false,static,throughput,200,tree,256,3.724
96,cores,false,static,throughput,200,tree,512,3.722
96,cores,false,static,throughput,200,critical,64,3.734
96,cores,false,static,throughput,200,critical,128,3.588
96,cores,false,static,throughput,200,critical,256,4.016
96,cores,false,static,throughput,200,critical,512,3.284
96,cores,false,static,throughput,200,atomic,64,3.61
96,cores,false,static,throughput,200,atomic,128,3.888
96,cores,false,static,throughput,200,atomic,256,3.558
96,cores,false,static,throughput,200,atomic,512,3.6
96,cores,false,static,throughput,infinite,tree,64,3.632
96,cores,false,static,throughput,infinite,tree,128,3.988
96,cores,false,static,throughput,infinite,tree,256,3.584
96,cores,false,static,throughput,infinite,tree,512,3.116
96,cores,false,static,throughput,infinite,critical,64,3.826
96,cores,false,static,throughput,infinite,critical,128,3.364
96,cores,false,static,throughput,infinite,critical,256,3.41
96,cores,false,static,throughput,infinite,critical,512,3.322
96,cores,false,static,throughput,infinite,atomic,64,3.396
96,cores,false,static,throughput,infinite,atomic,128,3.516
96,cores,false,static,throughput,infinite,atomic,256,3.366
96,cores,false,static,throughput,infinite,atomic,512,3.272
96,cores,false,static,turnaround,0,tree,64,3.376
96,cores,false,static,turnaround,0,tree,128,3.354
96,cores,false,static,turnaround,0,tree,256,3.362
96,cores,false,static,turnaround,0,tree,512,3.364
96,cores,false,static,turnaround,0,critical,64,3.348
96,cores,false,static,turnaround,0,critical,128,3.364
96,cores,false,static,turnaround,0,critical,256,3.358
96,cores,false,static,turnaround,0,critical,512,3.36
96,cores,false,static,turnaround,0,atomic,64,3.368
96,cores,false,static,turnaround,0,atomic,128,3.43
96,cores,false,static,turnaround,0,atomic,256,3.362
96,cores,false,static,turnaround,0,atomic,512,3.348
96,cores,false,static,turnaround,200,tree,64,3.432
96,cores,false,static,turnaround,200,tree,128,3.558
96,cores,false,static,turnaround,200,tree,256,3.658
96,cores,false,static,turnaround,200,tree,512,3.41
96,cores,false,static,turnaround,200,critical,64,3.85
96,cores,false,static,turnaround,200,critical,128,4.002
96,cores,false,static,turnaround,200,critical,256,3.864
96,cores,false,static,turnaround,200,critical,512,3.624
96,cores,false,static,turnaround,200,atomic,64,3.558
96,cores,false,static,turnaround,200,atomic,128,3.72
96,cores,false,static,turnaround,200,atomic,256,3.718
96,cores,false,static,turnaround,200,atomic,512,3.286
96,cores,false,static,turnaround,infinite,tree,64,3.104
96,cores,false,static,turnaround,infinite,tree,128,3.362
96,cores,false,static,turnaround,infinite,tree,256,3.58
96,cores,false,static,turnaround,infinite,tree,512,3.404
96,cores,false,static,turnaround,infinite,critical,64,3.458
96,cores,false,static,turnaround,infinite,critical,128,3.17
96,cores,false,static,turnaround,infinite,critical,256,2.922
96,cores,false,static,turnaround,infinite,critical,512,3.138
96,cores,false,static,turnaround,infinite,atomic,64,3.408
96,cores,false,static,turnaround,infinite,atomic,128,3.498
96,cores,false,static,turnaround,infinite,atomic,256,3.578
96,cores,false,static,turnaround,infinite,atomic,512,3.168
96,cores,false,dynamic,throughput,0,tree,64,3.38
96,cores,false,dynamic,throughput,0,tree,128,3.366
96,cores,false,dynamic,throughput,0,tree,256,3.38
96,cores,false,dynamic,throughput,0,tree,512,3.354
96,cores,false,dynamic,throughput,0,critical,64,3.392
96,cores,false,dynamic,throughput,0,critical,128,3.36
96,cores,false,dynamic,throughput,0,critical,256,3.368
96,cores,false,dynamic,throughput,0,critical,512,3.378
96,cores,false,dynamic,throughput,0,atomic,64,3.366
96,cores,false,dynamic,throughput,0,atomic,128,3.38
96,cores,false,dynamic,throughput,0,atomic,256,3.37
96,cores,false,dynamic,throughput,0,atomic,512,3.376
96,cores,false,dynamic,throughput,200,tree,64,3.806
96,cores,false,dynamic,throughput,200,tree,128,3.708
96,cores,false,dynamic,throughput,200,tree,256,3.702
96,cores,false,dynamic,throughput,200,tree,512,3.704
96,cores,false,dynamic,throughput,200,critical,64,4.022
96,cores,false,dynamic,throughput,200,critical,128,3.892
96,cores,false,dynamic,throughput,200,critical,256,3.912
96,cores,false,dynamic,throughput,200,critical,512,3.464
96,cores,false,dynamic,throughput,200,atomic,64,3.842
96,cores,false,dynamic,throughput,200,atomic,128,3.928
96,cores,false,dynamic,throughput,200,atomic,256,3.724
96,cores,false,dynamic,throughput,200,atomic,512,3.736
96,cores,false,dynamic,throughput,infinite,tree,64,3.29
96,cores,false,dynamic,throughput,infinite,tree,128,3.312
96,cores,false,dynamic,throughput,infinite,tree,256,2.962
96,cores,false,dynamic,throughput,infinite,tree,512,3.336
96,cores,false,dynamic,throughput,infinite,critical,64,3.384
96,cores,false,dynamic,throughput,infinite,critical,128,2.948
96,cores,false,dynamic,throughput,infinite,critical,256,3.402
96,cores,false,dynamic,throughput,infinite,critical,512,3.6
96,cores,false,dynamic,throughput,infinite,atomic,64,3.418
96,cores,false,dynamic,throughput,infinite,atomic,128,3.31
96,cores,false,dynamic,throughput,infinite,atomic,256,3.314
96,cores,false,dynamic,throughput,infinite,atomic,512,3.754
96,cores,false,dynamic,turnaround,0,tree,64,3.364
96,cores,false,dynamic,turnaround,0,tree,128,3.36
96,cores,false,dynamic,turnaround,0,tree,256,3.372
96,cores,false,dynamic,turnaround,0,tree,512,3.364
96,cores,false,dynamic,turnaround,0,critical,64,3.358
96,cores,false,dynamic,turnaround,0,critical,128,3.37
96,cores,false,dynamic,turnaround,0,critical,256,3.382
96,cores,false,dynamic,turnaround,0,critical,512,3.366
96,cores,false,dynamic,turnaround,0,atomic,64,3.368
96,cores,false,dynamic,turnaround,0,atomic,128,3.368
96,cores,false,dynamic,turnaround,0,atomic,256,3.382
96,cores,false,dynamic,turnaround,0,atomic,512,3.368
96,cores,false,dynamic,turnaround,200,tree,64,3.634
96,cores,false,dynamic,turnaround,200,tree,128,4.018
96,cores,false,dynamic,turnaround,200,tree,256,4.046
96,cores,false,dynamic,turnaround,200,tree,512,3.594
96,cores,false,dynamic,turnaround,200,critical,64,3.89
96,cores,false,dynamic,turnaround,200,critical,128,3.466
96,cores,false,dynamic,turnaround,200,critical,256,3.872
96,cores,false,dynamic,turnaround,200,critical,512,3.82
96,cores,false,dynamic,turnaround,200,atomic,64,4.018
96,cores,false,dynamic,turnaround,200,atomic,128,3.578
96,cores,false,dynamic,turnaround,200,atomic,256,3.728
96,cores,false,dynamic,turnaround,200,atomic,512,3.716
96,cores,false,dynamic,turnaround,infinite,tree,64,3.578
96,cores,false,dynamic,turnaround,infinite,tree,128,3.356
96,cores,false,dynamic,turnaround,infinite,tree,256,3.114
96,cores,false,dynamic,turnaround,infinite,tree,512,3.176
96,cores,false,dynamic,turnaround,infinite,critical,64,3.208
96,cores,false,dynamic,turnaround,infinite,critical,128,3.088
96,cores,false,dynamic,turnaround,infinite,critical,256,3.656
96,cores,false,dynamic,turnaround,infinite,critical,512,3.166
96,cores,false,dynamic,turnaround,infinite,atomic,64,3.09
96,cores,false,dynamic,turnaround,infinite,atomic,128,3.336
96,cores,false,dynamic,turnaround,infinite,atomic,256,3.248
96,cores,false,dynamic,turnaround,infinite,atomic,512,2.944
96,cores,false,guided,throughput,0,tree,64,3.374
96,cores,false,guided,throughput,0,tree,128,3.38
96,cores,false,guided,throughput,0,tree,256,3.388
96,cores,false,guided,throughput,0,tree,512,3.366
96,cores,false,guided,throughput,0,critical,64,3.378
96,cores,false,guided,throughput,0,critical,128,3.366
96,cores,false,guided,throughput,0,critical,256,3.368
96,cores,false,guided,throughput,0,critical,512,3.36
96,cores,false,guided,throughput,0,atomic,64,3.368
96,cores,false,guided,throughput,0,atomic,128,3.37
96,cores,false,guided,throughput,0,atomic,256,3.362
96,cores,false,guided,throughput,0,atomic,512,3.368
96,cores,false,guided,throughput,200,tree,64,3.748
96,cores,false,guided,throughput,200,tree,128,3.704
96,cores,false,guided,throughput,200,tree,256,3.77
96,cores,false,guided,throughput,200,tree,512,3.444
96,cores,false,guided,throughput,200,critical,64,3.574
96,cores,false,guided,throughput,200,critical,128,3.882
96,cores,false,guided,throughput,200,critical,256,3.612
96,cores,false,guided,throughput,200,critical,512,3.278
96,cores,false,guided,throughput,200,atomic,64,3.748
96,cores,false,guided,throughput,200,atomic,128,3.606
96,cores,false,guided,throughput,200,atomic,256,3.69
96,cores,false,guided,throughput,200,atomic,512,3.608
96,cores,false,guided,throughput,infinite,tree,64,3.836
96,cores,false,guided,throughput,infinite,tree,128,3.05
96,cores,false,guided,throughput,infinite,tree,256,3.834
96,cores,false,guided,throughput,infinite,tree,512,3.346
96,cores,false,guided,throughput,infinite,critical,64,3.18
96,cores,false,guided,throughput,infinite,critical,128,3.158
96,cores,false,guided,throughput,infinite,critical,256,2.94
96,cores,false,guided,throughput,infinite,critical,512,3.584
96,cores,false,guided,throughput,infinite,atomic,64,3.08
96,cores,false,guided,throughput,infinite,atomic,128,3.638
96,cores,false,guided,throughput,infinite,atomic,256,3.386
96,cores,false,guided,throughput,infinite,atomic,512,3.102
96,cores,false,guided,turnaround,0,tree,64,3.35
96,cores,false,guided,turnaround,0,tree,128,3.374
96,cores,false,guided,turnaround,0,tree,256,3.35
96,cores,false,guided,turnaround,0,tree,512,3.368
96,cores,false,guided,turnaround,0,critical,64,3.372
96,cores,false,guided,turnaround,0,critical,128,3.362
96,cores,false,guided,turnaround,0,critical,256,3.362
96,cores,false,guided,turnaround,0,critical,512,3.364
96,cores,false,guided,turnaround,0,atomic,64,3.358
96,cores,false,guided,turnaround,0,atomic,128,3.368
96,cores,false,guided,turnaround,0,atomic,256,3.36
96,cores,false,guided,turnaround,0,atomic,512,3.384
96,cores,false,guided,turnaround,200,tree,64,3.742
96,cores,false,guided,turnaround,200,tree,128,3.416
96,cores,false,guided,turnaround,200,tree,256,3.752
96,cores,false,guided,turnaround,200,tree,512,3.738
96,cores,false,guided,turnaround,200,critical,64,3.768
96,cores,false,guided,turnaround,200,critical,128,3.722
