OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,false,static,throughput,0,tree,64,11.358
96,cores,false,static,throughput,0,tree,128,11.328
96,cores,false,static,throughput,0,tree,256,11.366
96,cores,false,static,throughput,0,tree,512,11.36
96,cores,false,static,throughput,0,critical,64,11.364
96,cores,false,static,throughput,0,critical,128,11.362
96,cores,false,static,throughput,0,critical,256,11.366
96,cores,false,static,throughput,0,critical,512,11.358
96,cores,false,static,throughput,0,atomic,64,11.372
96,cores,false,static,throughput,0,atomic,128,11.362
96,cores,false,static,throughput,0,atomic,256,11.358
96,cores,false,static,throughput,0,atomic,512,11.362
96,cores,false,static,throughput,200,tree,64,10.232
96,cores,false,static,throughput,200,tree,128,9.79
96,cores,false,static,throughput,200,tree,256,10.166
96,cores,false,static,throughput,200,tree,512,10.552
96,cores,false,static,throughput,200,critical,64,9.356
96,cores,false,static,throughput,200,critical,128,10.17
96,cores,false,static,throughput,200,critical,256,10.562
96,cores,false,static,throughput,200,critical,512,10.61
96,cores,false,static,throughput,200,atomic,64,9.756
96,cores,false,static,throughput,200,atomic,128,9.76
96,cores,false,static,throughput,200,atomic,256,10.588
96,cores,false,static,throughput,200,atomic,512,10.568
96,cores,false,static,throughput,infinite,tree,64,13.458
96,cores,false,static,throughput,infinite,tree,128,15.94
96,cores,false,static,throughput,infinite,tree,256,12.934
96,cores,false,static,throughput,infinite,tree,512,14.802
96,cores,false,static,throughput,infinite,critical,64,12.906
96,cores,false,static,throughput,infinite,critical,128,14.506
96,cores,false,static,throughput,infinite,critical,256,14.582
96,cores,false,static,throughput,infinite,critical,512,15.858
96,cores,false,static,throughput,infinite,atomic,64,13.422
96,cores,false,static,throughput,infinite,atomic,128,14.044
96,cores,false,static,throughput,infinite,atomic,256,15.838
96,cores,false,static,throughput,infinite,atomic,512,17.532
96,cores,false,static,turnaround,0,tree,64,11.372
96,cores,false,static,turnaround,0,tree,128,11.344
96,cores,false,static,turnaround,0,tree,256,11.362
96,cores,false,static,turnaround,0,tree,512,11.36
96,cores,false,static,turnaround,0,critical,64,11.37
96,cores,false,static,turnaround,0,critical,128,11.374
96,cores,false,static,turnaround,0,critical,256,11.34
96,cores,false,static,turnaround,0,critical,512,11.362
96,cores,false,static,turnaround,0,atomic,64,11.356
96,cores,false,static,turnaround,0,atomic,128,11.402
96,cores,false,static,turnaround,0,atomic,256,11.374
96,cores,false,static,turnaround,0,atomic,512,11.356
96,cores,false,static,turnaround,200,tree,64,9.788
96,cores,false,static,turnaround,200,tree,128,10.582
96,cores,false,static,turnaround,200,tree,256,9.762
96,cores,false,static,turnaround,200,tree,512,9.786
96,cores,false,static,turnaround,200,critical,64,10.57
96,cores,false,static,turnaround,200,critical,128,10.574
96,cores,false,static,turnaround,200,critical,256,10.576
96,cores,false,static,turnaround,200,critical,512,10.588
96,cores,false,static,turnaround,200,atomic,64,10.172
96,cores,false,static,turnaround,200,atomic,128,10.562
96,cores,false,static,turnaround,200,atomic,256,9.806
96,cores,false,static,turnaround,200,atomic,512,10.54
96,cores,false,static,turnaround,infinite,tree,64,12.6
96,cores,false,static,turnaround,infinite,tree,128,15.042
96,cores,false,static,turnaround,infinite,tree,256,11.998
96,cores,false,static,turnaround,infinite,tree,512,12.97
96,cores,false,static,turnaround,infinite,critical,64,13.096
96,cores,false,static,turnaround,infinite,critical,128,12.578
96,cores,false,static,turnaround,infinite,critical,256,13.332
96,cores,false,static,turnaround,infinite,critical,512,15.004
96,cores,false,static,turnaround,infinite,atomic,64,14.496
96,cores,false,static,turnaround,infinite,atomic,128,14.124
96,cores,false,static,turnaround,infinite,atomic,256,13.42
96,cores,false,static,turnaround,infinite,atomic,512,13.136
96,cores,false,dynamic,throughput,0,tree,64,11.358
96,cores,false,dynamic,throughput,0,tree,128,11.364
96,cores,false,dynamic,throughput,0,tree,256,11.358
96,cores,false,dynamic,throughput,0,tree,512,11.368
96,cores,false,dynamic,throughput,0,critical,64,11.368
96,cores,false,dynamic,throughput,0,critical,128,11.368
96,cores,false,dynamic,throughput,0,critical,256,11.344
96,cores,false,dynamic,throughput,0,critical,512,11.352
96,cores,false,dynamic,throughput,0,atomic,64,11.36
96,cores,false,dynamic,throughput,0,atomic,128,11.356
96,cores,false,dynamic,throughput,0,atomic,256,11.372
96,cores,false,dynamic,throughput,0,atomic,512,11.346
96,cores,false,dynamic,throughput,200,tree,64,10.588
96,cores,false,dynamic,throughput,200,tree,128,9.808
96,cores,false,dynamic,throughput,200,tree,256,10.574
96,cores,false,dynamic,throughput,200,tree,512,10.584
96,cores,false,dynamic,throughput,200,critical,64,9.348
96,cores,false,dynamic,throughput,200,critical,128,10.566
96,cores,false,dynamic,throughput,200,critical,256,9.384
96,cores,false,dynamic,throughput,200,critical,512,10.638
96,cores,false,dynamic,throughput,200,atomic,64,10.184
96,cores,false,dynamic,throughput,200,atomic,128,10.586
96,cores,false,dynamic,throughput,200,atomic,256,10.18
96,cores,false,dynamic,throughput,200,atomic,512,9.754
96,cores,false,dynamic,throughput,infinite,tree,64,12.152
96,cores,false,dynamic,throughput,infinite,tree,128,15.532
96,cores,false,dynamic,throughput,infinite,tree,256,13.724
96,cores,false,dynamic,throughput,infinite,tree,512,18.674
96,cores,false,dynamic,throughput,infinite,critical,64,15.712
96,cores,false,dynamic,throughput,infinite,critical,128,13.668
96,cores,false,dynamic,throughput,infinite,critical,256,14.486
96,cores,false,dynamic,throughput,infinite,critical,512,12.434
96,cores,false,dynamic,throughput,infinite,atomic,64,12.676
96,cores,false,dynamic,throughput,infinite,atomic,128,14.122
96,cores,false,dynamic,throughput,infinite,atomic,256,14.012
96,cores,false,dynamic,throughput,infinite,atomic,512,13.166
96,cores,false,dynamic,turnaround,0,tree,64,11.348
96,cores,false,dynamic,turnaround,0,tree,128,11.364
96,cores,false,dynamic,turnaround,0,tree,256,11.36
96,cores,false,dynamic,turnaround,0,tree,512,11.358
96,cores,false,dynamic,turnaround,0,critical,64,11.378
96,cores,false,dynamic,turnaround,0,critical,128,11.366
96,cores,false,dynamic,turnaround,0,critical,256,11.38
96,cores,false,dynamic,turnaround,0,critical,512,11.378
96,cores,false,dynamic,turnaround,0,atomic,64,11.366
96,cores,false,dynamic,turnaround,0,atomic,128,11.38
96,cores,false,dynamic,turnaround,0,atomic,256,11.39
96,cores,false,dynamic,turnaround,0,atomic,512,11.342
96,cores,false,dynamic,turnaround,200,tree,64,10.572
96,cores,false,dynamic,turnaround,200,tree,128,10.576
96,cores,false,dynamic,turnaround,200,tree,256,10.984
96,cores,false,dynamic,turnaround,200,tree,512,11.42
96,cores,false,dynamic,turnaround,200,critical,64,10.584
96,cores,false,dynamic,turnaround,200,critical,128,10.164
96,cores,false,dynamic,turnaround,200,critical,256,10.582
96,cores,false,dynamic,turnaround,200,critical,512,10.204
96,cores,false,dynamic,turnaround,200,atomic,64,10.216
96,cores,false,dynamic,turnaround,200,atomic,128,9.354
96,cores,false,dynamic,turnaround,200,atomic,256,10.572
96,cores,false,dynamic,turnaround,200,atomic,512,10.958
96,cores,false,dynamic,turnaround,infinite,tree,64,15.128
96,cores,false,dynamic,turnaround,infinite,tree,128,14.374
96,cores,false,dynamic,turnaround,infinite,tree,256,12.116
96,cores,false,dynamic,turnaround,infinite,tree,512,14.622
96,cores,false,dynamic,turnaround,infinite,critical,64,13.472
96,cores,false,dynamic,turnaround,infinite,critical,128,14.71
96,cores,false,dynamic,turnaround,infinite,critical,256,13.064
96,cores,false,dynamic,turnaround,infinite,critical,512,12.784
96,cores,false,dynamic,turnaround,infinite,atomic,64,14.616
96,cores,false,dynamic,turnaround,infinite,atomic,128,14.876
96,cores,false,dynamic,turnaround,infinite,atomic,256,12.156
96,cores,false,dynamic,turnaround,infinite,atomic,512,16.226
96,cores,false,guided,throughput,0,tree,64,11.342
96,cores,false,guided,throughput,0,tree,128,11.362
96,cores,false,guided,throughput,0,tree,256,11.354
96,cores,false,guided,throughput,0,tree,512,11.388
96,cores,false,guided,throughput,0,critical,64,11.352
96,cores,false,guided,throughput,0,critical,128,11.356
96,cores,false,guided,throughput,0,critical,256,11.37
96,cores,false,guided,throughput,0,critical,512,11.368
96,cores,false,guided,throughput,0,atomic,64,11.356
96,cores,false,guided,throughput,0,atomic,128,11.35
96,cores,false,guided,throughput,0,atomic,256,11.38
96,cores,false,guided,throughput,0,atomic,512,11.37
96,cores,false,guided,throughput,200,tree,64,9.796
