OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,false,static,throughput,0,tree,64,3.798
96,cores,false,static,throughput,0,tree,128,3.848
96,cores,false,static,throughput,0,tree,256,3.8
96,cores,false,static,throughput,0,tree,512,3.862
96,cores,false,static,throughput,0,critical,64,3.826
96,cores,false,static,throughput,0,critical,128,3.794
96,cores,false,static,throughput,0,critical,256,3.81
96,cores,false,static,throughput,0,critical,512,3.844
96,cores,false,static,throughput,0,atomic,64,3.814
96,cores,false,static,throughput,0,atomic,128,3.832
96,cores,false,static,throughput,0,atomic,256,3.818
96,cores,false,static,throughput,0,atomic,512,3.81
96,cores,false,static,throughput,200,tree,64,1.254
96,cores,false,static,throughput,200,tree,128,1.266
96,cores,false,static,throughput,200,tree,256,1.306
96,cores,false,static,throughput,200,tree,512,1.278
96,cores,false,static,throughput,200,critical,64,1.262
96,cores,false,static,throughput,200,critical,128,1.268
96,cores,false,static,throughput,200,critical,256,1.28
96,cores,false,static,throughput,200,critical,512,1.31
96,cores,false,static,throughput,200,atomic,64,1.262
96,cores,false,static,throughput,200,atomic,128,1.27
96,cores,false,static,throughput,200,atomic,256,1.3
96,cores,false,static,throughput,200,atomic,512,1.256
96,cores,false,static,throughput,infinite,tree,64,1.264
96,cores,false,static,throughput,infinite,tree,128,1.254
96,cores,false,static,throughput,infinite,tree,256,1.292
96,cores,false,static,throughput,infinite,tree,512,1.276
96,cores,false,static,throughput,infinite,critical,64,1.254
96,cores,false,static,throughput,infinite,critical,128,1.264
96,cores,false,static,throughput,infinite,critical,256,1.266
96,cores,false,static,throughput,infinite,critical,512,1.278
96,cores,false,static,throughput,infinite,atomic,64,1.266
96,cores,false,static,throughput,infinite,atomic,128,1.27
96,cores,false,static,throughput,infinite,atomic,256,1.26
96,cores,false,static,throughput,infinite,atomic,512,1.288
96,cores,false,static,turnaround,0,tree,64,3.8
96,cores,false,static,turnaround,0,tree,128,3.806
96,cores,false,static,turnaround,0,tree,256,3.842
96,cores,false,static,turnaround,0,tree,512,3.81
96,cores,false,static,turnaround,0,critical,64,3.85
96,cores,false,static,turnaround,0,critical,128,3.844
96,cores,false,static,turnaround,0,critical,256,3.806
96,cores,false,static,turnaround,0,critical,512,3.806
96,cores,false,static,turnaround,0,atomic,64,3.8
96,cores,false,static,turnaround,0,atomic,128,3.822
96,cores,false,static,turnaround,0,atomic,256,3.82
96,cores,false,static,turnaround,0,atomic,512,3.82
96,cores,false,static,turnaround,200,tree,64,1.266
96,cores,false,static,turnaround,200,tree,128,1.272
96,cores,false,static,turnaround,200,tree,256,1.286
96,cores,false,static,turnaround,200,tree,512,1.278
96,cores,false,static,turnaround,200,critical,64,1.31
96,cores,false,static,turnaround,200,critical,128,1.272
96,cores,false,static,turnaround,200,critical,256,1.26
96,cores,false,static,turnaround,200,critical,512,1.268
96,cores,false,static,turnaround,200,atomic,64,1.284
96,cores,false,static,turnaround,200,atomic,128,1.254
96,cores,false,static,turnaround,200,atomic,256,1.274
96,cores,false,static,turnaround,200,atomic,512,1.268
96,cores,false,static,turnaround,infinite,tree,64,1.274
96,cores,false,static,turnaround,infinite,tree,128,1.298
96,cores,false,static,turnaround,infinite,tree,256,1.262
96,cores,false,static,turnaround,infinite,tree,512,1.27
96,cores,false,static,turnaround,infinite,critical,64,1.314
96,cores,false,static,turnaround,infinite,critical,128,1.276
96,cores,false,static,turnaround,infinite,critical,256,1.326
96,cores,false,static,turnaround,infinite,critical,512,1.268
96,cores,false,static,turnaround,infinite,atomic,64,1.254
96,cores,false,static,turnaround,infinite,atomic,128,1.284
96,cores,false,static,turnaround,infinite,atomic,256,1.266
96,cores,false,static,turnaround,infinite,atomic,512,1.262
96,cores,false,dynamic,throughput,0,tree,64,3.806
96,cores,false,dynamic,throughput,0,tree,128,3.844
96,cores,false,dynamic,throughput,0,tree,256,3.822
96,cores,false,dynamic,throughput,0,tree,512,3.814
96,cores,false,dynamic,throughput,0,critical,64,3.816
96,cores,false,dynamic,throughput,0,critical,128,3.836
96,cores,false,dynamic,throughput,0,critical,256,3.838
96,cores,false,dynamic,throughput,0,critical,512,3.826
96,cores,false,dynamic,throughput,0,atomic,64,3.812
96,cores,false,dynamic,throughput,0,atomic,128,3.798
96,cores,false,dynamic,throughput,0,atomic,256,3.828
96,cores,false,dynamic,throughput,0,atomic,512,3.818
96,cores,false,dynamic,throughput,200,tree,64,1.274
96,cores,false,dynamic,throughput,200,tree,128,1.274
96,cores,false,dynamic,throughput,200,tree,256,1.29
96,cores,false,dynamic,throughput,200,tree,512,1.292
96,cores,false,dynamic,throughput,200,critical,64,1.264
96,cores,false,dynamic,throughput,200,critical,128,1.288
96,cores,false,dynamic,throughput,200,critical,256,1.306
96,cores,false,dynamic,throughput,200,critical,512,1.264
96,cores,false,dynamic,throughput,200,atomic,64,1.266
96,cores,false,dynamic,throughput,200,atomic,128,1.266
96,cores,false,dynamic,throughput,200,atomic,256,1.26
96,cores,false,dynamic,throughput,200,atomic,512,1.28
96,cores,false,dynamic,throughput,infinite,tree,64,1.266
96,cores,false,dynamic,throughput,infinite,tree,128,1.308
96,cores,false,dynamic,throughput,infinite,tree,256,1.252
96,cores,false,dynamic,throughput,infinite,tree,512,1.264
96,cores,false,dynamic,throughput,infinite,critical,64,1.298
96,cores,false,dynamic,throughput,infinite,critical,128,1.274
96,cores,false,dynamic,throughput,infinite,critical,256,1.274
96,cores,false,dynamic,throughput,infinite,critical,512,1.262
96,cores,false,dynamic,throughput,infinite,atomic,64,1.256
96,cores,false,dynamic,throughput,infinite,atomic,128,1.272
96,cores,false,dynamic,throughput,infinite,atomic,256,1.278
96,cores,false,dynamic,throughput,infinite,atomic,512,1.26
96,cores,false,dynamic,turnaround,0,tree,64,3.806
96,cores,false,dynamic,turnaround,0,tree,128,3.816
96,cores,false,dynamic,turnaround,0,tree,256,3.81
96,cores,false,dynamic,turnaround,0,tree,512,3.858
96,cores,false,dynamic,turnaround,0,critical,64,3.804
96,cores,false,dynamic,turnaround,0,critical,128,3.854
96,cores,false,dynamic,turnaround,0,critical,256,3.81
96,cores,false,dynamic,turnaround,0,critical,512,3.84
96,cores,false,dynamic,turnaround,0,atomic,64,3.804
96,cores,false,dynamic,turnaround,0,atomic,128,3.848
96,cores,false,dynamic,turnaround,0,atomic,256,3.802
96,cores,false,dynamic,turnaround,0,atomic,512,3.81
96,cores,false,dynamic,turnaround,200,tree,64,1.278
96,cores,false,dynamic,turnaround,200,tree,128,1.254
96,cores,false,dynamic,turnaround,200,tree,256,1.288
96,cores,false,dynamic,turnaround,200,tree,512,1.286
96,cores,false,dynamic,turnaround,200,critical,64,1.254
96,cores,false,dynamic,turnaround,200,critical,128,1.258
96,cores,false,dynamic,turnaround,200,critical,256,1.266
96,cores,false,dynamic,turnaround,200,critical,512,1.302
96,cores,false,dynamic,turnaround,200,atomic,64,1.286
96,cores,false,dynamic,turnaround,200,atomic,128,1.262
96,cores,false,dynamic,turnaround,200,atomic,256,1.266
96,cores,false,dynamic,turnaround,200,atomic,512,1.304
96,cores,false,dynamic,turnaround,infinite,tree,64,1.26
96,cores,false,dynamic,turnaround,infinite,tree,128,1.27
96,cores,false,dynamic,turnaround,infinite,tree,256,1.258
96,cores,false,dynamic,turnaround,infinite,tree,512,1.26
96,cores,false,dynamic,turnaround,infinite,critical,64,1.276
96,cores,false,dynamic,turnaround,infinite,critical,128,1.266
96,cores,false,dynamic,turnaround,infinite,critical,256,1.294
96,cores,false,dynamic,turnaround,infinite,critical,512,1.256
96,cores,false,dynamic,turnaround,infinite,atomic,64,1.274
96,cores,false,dynamic,turnaround,infinite,atomic,128,1.262
96,cores,false,dynamic,turnaround,infinite,atomic,256,1.268
96,cores,false,dynamic,turnaround,infinite,atomic,512,1.27
96,cores,false,guided,throughput,0,tree,64,3.8
96,cores,false,guided,throughput,0,tree,128,3.818
96,cores,false,guided,throughput,0,tree,256,3.802
96,cores,false,guided,throughput,0,tree,512,3.804
96,cores,false,guided,throughput,0,critical,64,3.906
96,cores,false,guided,throughput,0,critical,128,3.794
96,cores,false,guided,throughput,0,critical,256,3.812
96,cores,false,guided,throughput,0,critical,512,3.814
96,cores,false,guided,throughput,0,atomic,64,3.818
96,cores,false,guided,throughput,0,atomic,128,3.814
96,cores,false,guided,throughput,0,atomic,256,3.892
96,cores,false,guided,throughput,0,atomic,512,3.796
96,cores,false,guided,throughput,200,tree,64,1.282
96,cores,false,guided,throughput,200,tree,128,1.27
96,cores,false,guided,throughput,200,tree,256,1.27
96,cores,false,guided,throughput,200,tree,512,1.282
96,cores,false,guided,throughput,200,critical,64,1.27
96,cores,false,guided,throughput,200,critical,128,1.258
96,cores,false,guided,throughput,200,critical,256,1.298
96,cores,false,guided,throughput,200,critical,512,1.26
96,cores,false,guided,throughput,200,atomic,64,1.274
96,cores,false,guided,throughput,200,atomic,128,1.292
96,cores,false,guided,throughput,200,atomic,256,1.258
96,cores,false,guided,throughput,200,atomic,512,1.272
96,cores,false,guided,throughput,infinite,tree,64,1.27
96,cores,false,guided,throughput,infinite,tree,128,1.268
96,cores,false,guided,throughput,infinite,tree,256,1.272
96,cores,false,guided,throughput,infinite,tree,512,1.266
96,cores,false,guided,throughput,infinite,critical,64,1.302
96,cores,false,guided,throughput,infinite,critical,128,1.274
96,cores,false,guided,throughput,infinite,critical,256,1.262
96,cores,false,guided,throughput,infinite,critical,512,1.258
