OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,false,static,throughput,0,tree,64,15.158
96,cores,false,static,throughput,0,tree,128,15.096
96,cores,false,static,throughput,0,tree,256,16.07
96,cores,false,static,throughput,0,tree,512,15.322
96,cores,false,static,throughput,0,critical,64,15.326
96,cores,false,static,throughput,0,critical,128,15.022
96,cores,false,static,throughput,0,critical,256,15.152
96,cores,false,static,throughput,0,critical,512,16.744
96,cores,false,static,throughput,0,atomic,64,15.148
96,cores,false,static,throughput,0,atomic,128,15.276
96,cores,false,static,throughput,0,atomic,256,15.29
96,cores,false,static,throughput,0,atomic,512,15.282
96,cores,false,static,throughput,200,tree,64,13.2
96,cores,false,static,throughput,200,tree,128,13.568
96,cores,false,static,throughput,200,tree,256,12.958
96,cores,false,static,throughput,200,tree,512,13.114
96,cores,false,static,throughput,200,critical,64,13.206
96,cores,false,static,throughput,200,critical,128,13.31
96,cores,false,static,throughput,200,critical,256,13.314
96,cores,false,static,throughput,200,critical,512,13.1
96,cores,false,static,throughput,200,atomic,64,12.962
96,cores,false,static,throughput,200,atomic,128,13.134
96,cores,false,static,throughput,200,atomic,256,12.986
96,cores,false,static,throughput,200,atomic,512,13.186
96,cores,false,static,throughput,infinite,tree,64,13.196
96,cores,false,static,throughput,infinite,tree,128,13.798
96,cores,false,static,throughput,infinite,tree,256,13.532
96,cores,false,static,throughput,infinite,tree,512,12.822
96,cores,false,static,throughput,infinite,critical,64,12.86
96,cores,false,static,throughput,infinite,critical,128,14.09
96,cores,false,static,throughput,infinite,critical,256,13.254
96,cores,false,static,throughput,infinite,critical,512,13.1
96,cores,false,static,throughput,infinite,atomic,64,13.144
96,cores,false,static,throughput,infinite,atomic,128,12.972
96,cores,false,static,throughput,infinite,atomic,256,12.9
96,cores,false,static,throughput,infinite,atomic,512,13.14
96,cores,false,static,turnaround,0,tree,64,15.222
96,cores,false,static,turnaround,0,tree,128,15.22
96,cores,false,static,turnaround,0,tree,256,15.42
96,cores,false,static,turnaround,0,tree,512,16.15
96,cores,false,static,turnaround,0,critical,64,15.078
96,cores,false,static,turnaround,0,critical,128,15.102
96,cores,false,static,turnaround,0,critical,256,14.932
96,cores,false,static,turnaround,0,critical,512,15.048
96,cores,false,static,turnaround,0,atomic,64,15.014
96,cores,false,static,turnaround,0,atomic,128,15.756
96,cores,false,static,turnaround,0,atomic,256,15.216
96,cores,false,static,turnaround,0,atomic,512,15.564
96,cores,false,static,turnaround,200,tree,64,13.034
96,cores,false,static,turnaround,200,tree,128,13.55
96,cores,false,static,turnaround,200,tree,256,13.318
96,cores,false,static,turnaround,200,tree,512,13.342
96,cores,false,static,turnaround,200,critical,64,12.97
96,cores,false,static,turnaround,200,critical,128,12.858
96,cores,false,static,turnaround,200,critical,256,13.89
96,cores,false,static,turnaround,200,critical,512,13.25
96,cores,false,static,turnaround,200,atomic,64,13.124
96,cores,false,static,turnaround,200,atomic,128,12.892
96,cores,false,static,turnaround,200,atomic,256,13.582
96,cores,false,static,turnaround,200,atomic,512,12.998
96,cores,false,static,turnaround,infinite,tree,64,13.02
96,cores,false,static,turnaround,infinite,tree,128,12.958
96,cores,false,static,turnaround,infinite,tree,256,12.866
96,cores,false,static,turnaround,infinite,tree,512,13.758
96,cores,false,static,turnaround,infinite,critical,64,13.216
96,cores,false,static,turnaround,infinite,critical,128,12.876
96,cores,false,static,turnaround,infinite,critical,256,12.758
96,cores,false,static,turnaround,infinite,critical,512,13.978
96,cores,false,static,turnaround,infinite,atomic,64,12.894
96,cores,false,static,turnaround,infinite,atomic,128,12.934
96,cores,false,static,turnaround,infinite,atomic,256,13.382
96,cores,false,static,turnaround,infinite,atomic,512,12.972
96,cores,false,dynamic,throughput,0,tree,64,15.52
96,cores,false,dynamic,throughput,0,tree,128,15.288
96,cores,false,dynamic,throughput,0,tree,256,15.04
96,cores,false,dynamic,throughput,0,tree,512,15.326
96,cores,false,dynamic,throughput,0,critical,64,14.946
96,cores,false,dynamic,throughput,0,critical,128,15.124
96,cores,false,dynamic,throughput,0,critical,256,15.01
96,cores,false,dynamic,throughput,0,critical,512,15.328
96,cores,false,dynamic,throughput,0,atomic,64,15.326
96,cores,false,dynamic,throughput,0,atomic,128,14.886
96,cores,false,dynamic,throughput,0,atomic,256,15.266
96,cores,false,dynamic,throughput,0,atomic,512,15.052
96,cores,false,dynamic,throughput,200,tree,64,13.352
96,cores,false,dynamic,throughput,200,tree,128,12.99
96,cores,false,dynamic,throughput,200,tree,256,13.186
96,cores,false,dynamic,throughput,200,tree,512,12.944
96,cores,false,dynamic,throughput,200,critical,64,13.296
96,cores,false,dynamic,throughput,200,critical,128,13.208
96,cores,false,dynamic,throughput,200,critical,256,13.222
96,cores,false,dynamic,throughput,200,critical,512,12.882
96,cores,false,dynamic,throughput,200,atomic,64,13.03
96,cores,false,dynamic,throughput,200,atomic,128,13.102
96,cores,false,dynamic,throughput,200,atomic,256,13.602
96,cores,false,dynamic,throughput,200,atomic,512,14.542
96,cores,false,dynamic,throughput,infinite,tree,64,13.448
96,cores,false,dynamic,throughput,infinite,tree,128,13.278
96,cores,false,dynamic,throughput,infinite,tree,256,12.928
96,cores,false,dynamic,throughput,infinite,tree,512,13.04
96,cores,false,dynamic,throughput,infinite,critical,64,13.414
96,cores,false,dynamic,throughput,infinite,critical,128,12.934
96,cores,false,dynamic,throughput,infinite,critical,256,12.932
96,cores,false,dynamic,throughput,infinite,critical,512,13.02
96,cores,false,dynamic,throughput,infinite,atomic,64,12.882
96,cores,false,dynamic,throughput,infinite,atomic,128,12.854
96,cores,false,dynamic,throughput,infinite,atomic,256,13.868
96,cores,false,dynamic,throughput,infinite,atomic,512,14.112
96,cores,false,dynamic,turnaround,0,tree,64,15.096
96,cores,false,dynamic,turnaround,0,tree,128,15.176
96,cores,false,dynamic,turnaround,0,tree,256,15.214
96,cores,false,dynamic,turnaround,0,tree,512,15.264
96,cores,false,dynamic,turnaround,0,critical,64,15.15
96,cores,false,dynamic,turnaround,0,critical,128,15.012
96,cores,false,dynamic,turnaround,0,critical,256,14.97
96,cores,false,dynamic,turnaround,0,critical,512,15.084
96,cores,false,dynamic,turnaround,0,atomic,64,14.93
96,cores,false,dynamic,turnaround,0,atomic,128,15.104
96,cores,false,dynamic,turnaround,0,atomic,256,15.118
96,cores,false,dynamic,turnaround,0,atomic,512,15.074
96,cores,false,dynamic,turnaround,200,tree,64,12.87
96,cores,false,dynamic,turnaround,200,tree,128,14.806
96,cores,false,dynamic,turnaround,200,tree,256,13.126
96,cores,false,dynamic,turnaround,200,tree,512,13.554
96,cores,false,dynamic,turnaround,200,critical,64,13.11
96,cores,false,dynamic,turnaround,200,critical,128,13.168
96,cores,false,dynamic,turnaround,200,critical,256,13.648
96,cores,false,dynamic,turnaround,200,critical,512,13.042
96,cores,false,dynamic,turnaround,200,atomic,64,13.0
96,cores,false,dynamic,turnaround,200,atomic,128,12.944
96,cores,false,dynamic,turnaround,200,atomic,256,13.554
96,cores,false,dynamic,turnaround,200,atomic,512,13.006
96,cores,false,dynamic,turnaround,infinite,tree,64,13.566
96,cores,false,dynamic,turnaround,infinite,tree,128,13.06
96,cores,false,dynamic,turnaround,infinite,tree,256,13.01
96,cores,false,dynamic,turnaround,infinite,tree,512,13.018
96,cores,false,dynamic,turnaround,infinite,critical,64,12.814
96,cores,false,dynamic,turnaround,infinite,critical,128,13.002
96,cores,false,dynamic,turnaround,infinite,critical,256,12.916
