OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,false,static,throughput,0,tree,64,0.522
96,cores,false,static,throughput,0,tree,128,0.542
96,cores,false,static,throughput,0,tree,256,0.536
96,cores,false,static,throughput,0,tree,512,0.528
96,cores,false,static,throughput,0,critical,64,0.51
96,cores,false,static,throughput,0,critical,128,0.506
96,cores,false,static,throughput,0,critical,256,0.508
96,cores,false,static,throughput,0,critical,512,0.506
96,cores,false,static,throughput,0,atomic,64,0.534
96,cores,false,static,throughput,0,atomic,128,0.52
96,cores,false,static,throughput,0,atomic,256,0.514
96,cores,false,static,throughput,0,atomic,512,0.518
96,cores,false,static,throughput,200,tree,64,0.164
96,cores,false,static,throughput,200,tree,128,0.164
96,cores,false,static,throughput,200,tree,256,0.164
96,cores,false,static,throughput,200,tree,512,0.164
96,cores,false,static,throughput,200,critical,64,0.166
96,cores,false,static,throughput,200,critical,128,0.162
96,cores,false,static,throughput,200,critical,256,0.166
96,cores,false,static,throughput,200,critical,512,0.166
96,cores,false,static,throughput,200,atomic,64,0.196
96,cores,false,static,throughput,200,atomic,128,0.164
96,cores,false,static,throughput,200,atomic,256,0.162
96,cores,false,static,throughput,200,atomic,512,0.164
96,cores,false,static,throughput,infinite,tree,64,0.168
96,cores,false,static,throughput,infinite,tree,128,0.152
96,cores,false,static,throughput,infinite,tree,256,0.156
96,cores,false,static,throughput,infinite,tree,512,0.158
96,cores,false,static,throughput,infinite,critical,64,0.156
96,cores,false,static,throughput,infinite,critical,128,0.174
96,cores,false,static,throughput,infinite,critical,256,0.154
96,cores,false,static,throughput,infinite,critical,512,0.158
96,cores,false,static,throughput,infinite,atomic,64,0.164
96,cores,false,static,throughput,infinite,atomic,128,0.162
96,cores,false,static,throughput,infinite,atomic,256,0.156
96,cores,false,static,throughput,infinite,atomic,512,0.156
96,cores,false,static,turnaround,0,tree,64,0.52
96,cores,false,static,turnaround,0,tree,128,0.52
96,cores,false,static,turnaround,0,tree,256,0.528
96,cores,false,static,turnaround,0,tree,512,0.544
