OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,false,static,throughput,0,tree,64,2.356
96,cores,false,static,throughput,0,tree,128,2.344
96,cores,false,static,throughput,0,tree,256,2.326
96,cores,false,static,throughput,0,tree,512,2.342
96,cores,false,static,throughput,0,critical,64,2.37
96,cores,false,static,throughput,0,critical,128,2.344
96,cores,false,static,throughput,0,critical,256,2.336
96,cores,false,static,throughput,0,critical,512,2.336
96,cores,false,static,throughput,0,atomic,64,2.32
96,cores,false,static,throughput,0,atomic,128,2.338
96,cores,false,static,throughput,0,atomic,256,2.378
96,cores,false,static,throughput,0,atomic,512,2.378
96,cores,false,static,throughput,200,tree,64,0.492
96,cores,false,static,throughput,200,tree,128,0.496
96,cores,false,static,throughput,200,tree,256,0.502
96,cores,false,static,throughput,200,tree,512,0.482
96,cores,false,static,throughput,200,critical,64,0.468
96,cores,false,static,throughput,200,critical,128,0.46
96,cores,false,static,throughput,200,critical,256,0.446
96,cores,false,static,throughput,200,critical,512,0.452
96,cores,false,static,throughput,200,atomic,64,0.476
96,cores,false,static,throughput,200,atomic,128,0.478
96,cores,false,static,throughput,200,atomic,256,0.474
96,cores,false,static,throughput,200,atomic,512,0.484
96,cores,false,static,throughput,infinite,tree,64,0.294
96,cores,false,static,throughput,infinite,tree,128,0.268
96,cores,false,static,throughput,infinite,tree,256,0.292
96,cores,false,static,throughput,infinite,tree,512,0.312
96,cores,false,static,throughput,infinite,critical,64,0.256
96,cores,false,static,throughput,infinite,critical,128,0.266
96,cores,false,static,throughput,infinite,critical,256,0.282
96,cores,false,static,throughput,infinite,critical,512,0.278
96,cores,false,static,throughput,infinite,atomic,64,0.294
96,cores,false,static,throughput,infinite,atomic,128,0.274
96,cores,false,static,throughput,infinite,atomic,256,0.284
96,cores,false,static,throughput,infinite,atomic,512,0.296
96,cores,false,static,turnaround,0,tree,64,2.362
96,cores,false,static,turnaround,0,tree,128,2.386
96,cores,false,static,turnaround,0,tree,256,2.348
96,cores,false,static,turnaround,0,tree,512,2.35
96,cores,false,static,turnaround,0,critical,64,2.362
96,cores,false,static,turnaround,0,critical,128,2.366
96,cores,false,static,turnaround,0,critical,256,2.35
96,cores,false,static,turnaround,0,critical,512,2.358
96,cores,false,static,turnaround,0,atomic,64,2.364
96,cores,false,static,turnaround,0,atomic,128,2.342
96,cores,false,static,turnaround,0,atomic,256,2.354
96,cores,false,static,turnaround,0,atomic,512,2.37
96,cores,false,static,turnaround,200,tree,64,0.492
96,cores,false,static,turnaround,200,tree,128,0.488
96,cores,false,static,turnaround,200,tree,256,0.482
96,cores,false,static,turnaround,200,tree,512,0.492
96,cores,false,static,turnaround,200,critical,64,0.464
96,cores,false,static,turnaround,200,critical,128,0.45
96,cores,false,static,turnaround,200,critical,256,0.45
96,cores,false,static,turnaround,200,critical,512,0.448
96,cores,false,static,turnaround,200,atomic,64,0.476
96,cores,false,static,turnaround,200,atomic,128,0.492
96,cores,false,static,turnaround,200,atomic,256,0.462
96,cores,false,static,turnaround,200,atomic,512,0.478
96,cores,false,static,turnaround,infinite,tree,64,0.27
96,cores,false,static,turnaround,infinite,tree,128,0.282
96,cores,false,static,turnaround,infinite,tree,256,0.292
96,cores,false,static,turnaround,infinite,tree,512,0.272
96,cores,false,static,turnaround,infinite,critical,64,0.272
96,cores,false,static,turnaround,infinite,critical,128,0.27
96,cores,false,static,turnaround,infinite,critical,256,0.27
96,cores,false,static,turnaround,infinite,critical,512,0.264
96,cores,false,static,turnaround,infinite,atomic,64,0.272
96,cores,false,static,turnaround,infinite,atomic,128,0.294
96,cores,false,static,turnaround,infinite,atomic,256,0.274
96,cores,false,static,turnaround,infinite,atomic,512,0.266
96,cores,false,dynamic,throughput,0,tree,64,2.35
96,cores,false,dynamic,throughput,0,tree,128,2.41
96,cores,false,dynamic,throughput,0,tree,256,2.358
96,cores,false,dynamic,throughput,0,tree,512,2.35
96,cores,false,dynamic,throughput,0,critical,64,2.36
96,cores,false,dynamic,throughput,0,critical,128,2.342
96,cores,false,dynamic,throughput,0,critical,256,2.326
96,cores,false,dynamic,throughput,0,critical,512,2.346
96,cores,false,dynamic,throughput,0,atomic,64,2.332
96,cores,false,dynamic,throughput,0,atomic,128,2.37
96,cores,false,dynamic,throughput,0,atomic,256,2.372
96,cores,false,dynamic,throughput,0,atomic,512,2.344
96,cores,false,dynamic,throughput,200,tree,64,0.486
96,cores,false,dynamic,throughput,200,tree,128,0.474
96,cores,false,dynamic,throughput,200,tree,256,0.478
96,cores,false,dynamic,throughput,200,tree,512,0.47
96,cores,false,dynamic,throughput,200,critical,64,0.456
