OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,false,static,throughput,0,tree,64,3.834
96,cores,false,static,throughput,0,tree,128,3.778
96,cores,false,static,throughput,0,tree,256,3.87
96,cores,false,static,throughput,0,tree,512,3.836
96,cores,false,static,throughput,0,critical,64,3.74
96,cores,false,static,throughput,0,critical,128,3.74
96,cores,false,static,throughput,0,critical,256,3.738
96,cores,false,static,throughput,0,critical,512,3.84
96,cores,false,static,throughput,0,atomic,64,3.716
96,cores,false,static,throughput,0,atomic,128,3.69
96,cores,false,static,throughput,0,atomic,256,3.856
96,cores,false,static,throughput,0,atomic,512,3.736
96,cores,false,static,throughput,200,tree,64,1.946
96,cores,false,static,throughput,200,tree,128,1.924
96,cores,false,static,throughput,200,tree,256,1.802
96,cores,false,static,throughput,200,tree,512,1.924
96,cores,false,static,throughput,200,critical,64,1.776
96,cores,false,static,throughput,200,critical,128,1.838
96,cores,false,static,throughput,200,critical,256,1.85
96,cores,false,static,throughput,200,critical,512,1.898
96,cores,false,static,throughput,200,atomic,64,1.888
96,cores,false,static,throughput,200,atomic,128,1.808
96,cores,false,static,throughput,200,atomic,256,1.868
96,cores,false,static,throughput,200,atomic,512,1.902
96,cores,false,static,throughput,infinite,tree,64,3.42
96,cores,false,static,throughput,infinite,tree,128,3.91
96,cores,false,static,throughput,infinite,tree,256,3.912
96,cores,false,static,throughput,infinite,tree,512,3.884
96,cores,false,static,throughput,infinite,critical,64,3.946
96,cores,false,static,throughput,infinite,critical,128,3.892
96,cores,false,static,throughput,infinite,critical,256,3.92
96,cores,false,static,throughput,infinite,critical,512,3.912
96,cores,false,static,throughput,infinite,atomic,64,3.908
96,cores,false,static,throughput,infinite,atomic,128,3.876
96,cores,false,static,throughput,infinite,atomic,256,3.898
96,cores,false,static,throughput,infinite,atomic,512,3.906
96,cores,false,static,turnaround,0,tree,64,3.858
96,cores,false,static,turnaround,0,tree,128,3.846
96,cores,false,static,turnaround,0,tree,256,3.844
96,cores,false,static,turnaround,0,tree,512,3.832
96,cores,false,static,turnaround,0,critical,64,3.742
96,cores,false,static,turnaround,0,critical,128,3.586
96,cores,false,static,turnaround,0,critical,256,3.738
96,cores,false,static,turnaround,0,critical,512,3.728
96,cores,false,static,turnaround,0,atomic,64,3.73
96,cores,false,static,turnaround,0,atomic,128,3.68
96,cores,false,static,turnaround,0,atomic,256,3.748
96,cores,false,static,turnaround,0,atomic,512,3.706
96,cores,false,static,turnaround,200,tree,64,1.938
96,cores,false,static,turnaround,200,tree,128,1.832
96,cores,false,static,turnaround,200,tree,256,1.806
96,cores,false,static,turnaround,200,tree,512,1.888
96,cores,false,static,turnaround,200,critical,64,1.69
96,cores,false,static,turnaround,200,critical,128,1.88
96,cores,false,static,turnaround,200,critical,256,1.898
