OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,false,static,throughput,0,tree,64,0.14807
96,cores,false,static,throughput,0,tree,128,0.14911
96,cores,false,static,throughput,0,tree,256,0.14679
96,cores,false,static,throughput,0,tree,512,0.1453
96,cores,false,static,throughput,0,critical,64,0.14767
96,cores,false,static,throughput,0,critical,128,0.14592
96,cores,false,static,throughput,0,critical,256,0.14734
96,cores,false,static,throughput,0,critical,512,0.14715
96,cores,false,static,throughput,0,atomic,64,0.15191
96,cores,false,static,throughput,0,atomic,128,0.14309
96,cores,false,static,throughput,0,atomic,256,0.1502
96,cores,false,static,throughput,0,atomic,512,0.14711
96,cores,false,static,throughput,200,tree,64,0.14531
96,cores,false,static,throughput,200,tree,128,0.14991
96,cores,false,static,throughput,200,tree,256,0.1487
96,cores,false,static,throughput,200,tree,512,0.1453
96,cores,false,static,throughput,200,critical,64,0.14837
96,cores,false,static,throughput,200,critical,128,0.14511
96,cores,false,static,throughput,200,critical,256,0.14633
96,cores,false,static,throughput,200,critical,512,0.14668
96,cores,false,static,throughput,200,atomic,64,0.14508
96,cores,false,static,throughput,200,atomic,128,0.14985
96,cores,false,static,throughput,200,atomic,256,0.14845
96,cores,false,static,throughput,200,atomic,512,0.14822
96,cores,false,static,throughput,infinite,tree,64,0.15722
96,cores,false,static,throughput,infinite,tree,128,0.1543
96,cores,false,static,throughput,infinite,tree,256,0.15216
96,cores,false,static,throughput,infinite,tree,512,0.15507
96,cores,false,static,throughput,infinite,critical,64,0.15647
96,cores,false,static,throughput,infinite,critical,128,0.15298
96,cores,false,static,throughput,infinite,critical,256,0.15488
96,cores,false,static,throughput,infinite,critical,512,0.15075
96,cores,false,static,throughput,infinite,atomic,64,0.14903
96,cores,false,static,throughput,infinite,atomic,128,0.15145
96,cores,false,static,throughput,infinite,atomic,256,0.15403
96,cores,false,static,throughput,infinite,atomic,512,0.15248
96,cores,false,static,turnaround,0,tree,64,0.14299
96,cores,false,static,turnaround,0,tree,128,0.14612
96,cores,false,static,turnaround,0,tree,256,0.14562
96,cores,false,static,turnaround,0,tree,512,0.14991
96,cores,false,static,turnaround,0,critical,64,0.15159
96,cores,false,static,turnaround,0,critical,128,0.14696
96,cores,false,static,turnaround,0,critical,256,0.1439
96,cores,false,static,turnaround,0,critical,512,0.14514
96,cores,false,static,turnaround,0,atomic,64,0.14785
96,cores,false,static,turnaround,0,atomic,128,0.15033
96,cores,false,static,turnaround,0,atomic,256,0.15314
96,cores,false,static,turnaround,0,atomic,512,0.14463
96,cores,false,static,turnaround,200,tree,64,0.14406
96,cores,false,static,turnaround,200,tree,128,0.14565
96,cores,false,static,turnaround,200,tree,256,0.14693
96,cores,false,static,turnaround,200,tree,512,0.15022
96,cores,false,static,turnaround,200,critical,64,0.14931
96,cores,false,static,turnaround,200,critical,128,0.14768
96,cores,false,static,turnaround,200,critical,256,0.14559
96,cores,false,static,turnaround,200,critical,512,0.14767
96,cores,false,static,turnaround,200,atomic,64,0.14906
96,cores,false,static,turnaround,200,atomic,128,0.14976
96,cores,false,static,turnaround,200,atomic,256,0.14319
96,cores,false,static,turnaround,200,atomic,512,0.14833
96,cores,false,static,turnaround,infinite,tree,64,0.15045
96,cores,false,static,turnaround,infinite,tree,128,0.15328
96,cores,false,static,turnaround,infinite,tree,256,0.15328
96,cores,false,static,turnaround,infinite,tree,512,0.15264
96,cores,false,static,turnaround,infinite,critical,64,0.15295
96,cores,false,static,turnaround,infinite,critical,128,0.15481
96,cores,false,static,turnaround,infinite,critical,256,0.15337
96,cores,false,static,turnaround,infinite,critical,512,0.1505
96,cores,false,static,turnaround,infinite,atomic,64,0.15243
96,cores,false,static,turnaround,infinite,atomic,128,0.15154
96,cores,false,static,turnaround,infinite,atomic,256,0.15636
96,cores,false,static,turnaround,infinite,atomic,512,0.1545
96,cores,false,dynamic,throughput,0,tree,64,0.14984
96,cores,false,dynamic,throughput,0,tree,128,0.14588
96,cores,false,dynamic,throughput,0,tree,256,0.14624
96,cores,false,dynamic,throughput,0,tree,512,0.14824
96,cores,false,dynamic,throughput,0,critical,64,0.14639
96,cores,false,dynamic,throughput,0,critical,128,0.14656
96,cores,false,dynamic,throughput,0,critical,256,0.1456
96,cores,false,dynamic,throughput,0,critical,512,0.14332
96,cores,false,dynamic,throughput,0,atomic,64,0.14495
96,cores,false,dynamic,throughput,0,atomic,128,0.14582
96,cores,false,dynamic,throughput,0,atomic,256,0.14857
96,cores,false,dynamic,throughput,0,atomic,512,0.14888
96,cores,false,dynamic,throughput,200,tree,64,0.14546
96,cores,false,dynamic,throughput,200,tree,128,0.14494
96,cores,false,dynamic,throughput,200,tree,256,0.14747
96,cores,false,dynamic,throughput,200,tree,512,0.14585
96,cores,false,dynamic,throughput,200,critical,64,0.15499
96,cores,false,dynamic,throughput,200,critical,128,0.1476
96,cores,false,dynamic,throughput,200,critical,256,0.14366
96,cores,false,dynamic,throughput,200,critical,512,0.14886
96,cores,false,dynamic,throughput,200,atomic,64,0.15193
96,cores,false,dynamic,throughput,200,atomic,128,0.14954
96,cores,false,dynamic,throughput,200,atomic,256,0.14443
96,cores,false,dynamic,throughput,200,atomic,512,0.14721
96,cores,false,dynamic,throughput,infinite,tree,64,0.15165
96,cores,false,dynamic,throughput,infinite,tree,128,0.1538
96,cores,false,dynamic,throughput,infinite,tree,256,0.1502
96,cores,false,dynamic,throughput,infinite,tree,512,0.15105
96,cores,false,dynamic,throughput,infinite,critical,64,0.15277
96,cores,false,dynamic,throughput,infinite,critical,128,0.15366
96,cores,false,dynamic,throughput,infinite,critical,256,0.15181
96,cores,false,dynamic,throughput,infinite,critical,512,0.15223
96,cores,false,dynamic,throughput,infinite,atomic,64,0.15352
