OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,false,static,throughput,0,tree,64,1.01073
96,cores,false,static,throughput,0,tree,128,0.87699
96,cores,false,static,throughput,0,tree,256,1.06888
96,cores,false,static,throughput,0,tree,512,1.07558
96,cores,false,static,throughput,0,critical,64,1.01213
96,cores,false,static,throughput,0,critical,128,0.96529
96,cores,false,static,throughput,0,critical,256,1.03111
96,cores,false,static,throughput,0,critical,512,1.13384
96,cores,false,static,throughput,0,atomic,64,0.94112
96,cores,false,static,throughput,0,atomic,128,0.96793
96,cores,false,static,throughput,0,atomic,256,0.96646
96,cores,false,static,throughput,0,atomic,512,1.10864
96,cores,false,static,throughput,200,tree,64,0.95936
96,cores,false,static,throughput,200,tree,128,0.94479
96,cores,false,static,throughput,200,tree,256,1.05577
96,cores,false,static,throughput,200,tree,512,1.13517
96,cores,false,static,throughput,200,critical,64,0.88947
96,cores,false,static,throughput,200,critical,128,0.83215
96,cores,false,static,throughput,200,critical,256,1.07554
96,cores,false,static,throughput,200,critical,512,1.10323
96,cores,false,static,throughput,200,atomic,64,0.94182
96,cores,false,static,throughput,200,atomic,128,0.98689
96,cores,false,static,throughput,200,atomic,256,1.00147
96,cores,false,static,throughput,200,atomic,512,1.09038
96,cores,false,static,throughput,infinite,tree,64,0.73981
96,cores,false,static,throughput,infinite,tree,128,0.78161
96,cores,false,static,throughput,infinite,tree,256,0.81853
96,cores,false,static,throughput,infinite,tree,512,0.9745
96,cores,false,static,throughput,infinite,critical,64,0.73688
96,cores,false,static,throughput,infinite,critical,128,0.77993
96,cores,false,static,throughput,infinite,critical,256,0.84009
96,cores,false,static,throughput,infinite,critical,512,0.97194
96,cores,false,static,throughput,infinite,atomic,64,0.73698
96,cores,false,static,throughput,infinite,atomic,128,0.79666
96,cores,false,static,throughput,infinite,atomic,256,0.83421
96,cores,false,static,throughput,infinite,atomic,512,0.94648
96,cores,false,static,turnaround,0,tree,64,0.75664
96,cores,false,static,turnaround,0,tree,128,0.85113
96,cores,false,static,turnaround,0,tree,256,0.8576
96,cores,false,static,turnaround,0,tree,512,1.03272
96,cores,false,static,turnaround,0,critical,64,0.7813
96,cores,false,static,turnaround,0,critical,128,0.83291
96,cores,false,static,turnaround,0,critical,256,0.87968
96,cores,false,static,turnaround,0,critical,512,1.02956
96,cores,false,static,turnaround,0,atomic,64,0.77094
96,cores,false,static,turnaround,0,atomic,128,0.8062
96,cores,false,static,turnaround,0,atomic,256,0.87976
96,cores,false,static,turnaround,0,atomic,512,0.99759
96,cores,false,static,turnaround,200,tree,64,0.7928
96,cores,false,static,turnaround,200,tree,128,0.81973
96,cores,false,static,turnaround,200,tree,256,0.87372
96,cores,false,static,turnaround,200,tree,512,1.02496
96,cores,false,static,turnaround,200,critical,64,0.77716
96,cores,false,static,turnaround,200,critical,128,0.80121
96,cores,false,static,turnaround,200,critical,256,0.86307
96,cores,false,static,turnaround,200,critical,512,0.9895
96,cores,false,static,turnaround,200,atomic,64,0.7884
96,cores,false,static,turnaround,200,atomic,128,0.81526
96,cores,false,static,turnaround,200,atomic,256,0.86721
96,cores,false,static,turnaround,200,atomic,512,1.05961
96,cores,false,static,turnaround,infinite,tree,64,0.71505
96,cores,false,static,turnaround,infinite,tree,128,0.75748
96,cores,false,static,turnaround,infinite,tree,256,0.90547
96,cores,false,static,turnaround,infinite,tree,512,0.95553
96,cores,false,static,turnaround,infinite,critical,64,0.72904
96,cores,false,static,turnaround,infinite,critical,128,0.76209
96,cores,false,static,turnaround,infinite,critical,256,0.84535
96,cores,false,static,turnaround,infinite,critical,512,0.9818
96,cores,false,static,turnaround,infinite,atomic,64,0.75035
96,cores,false,static,turnaround,infinite,atomic,128,0.76217
96,cores,false,static,turnaround,infinite,atomic,256,0.85125
96,cores,false,static,turnaround,infinite,atomic,512,0.95017
96,cores,false,dynamic,throughput,0,tree,64,0.92744
96,cores,false,dynamic,throughput,0,tree,128,0.99467
96,cores,false,dynamic,throughput,0,tree,256,1.02112
96,cores,false,dynamic,throughput,0,tree,512,1.18405
96,cores,false,dynamic,throughput,0,critical,64,1.03666
96,cores,false,dynamic,throughput,0,critical,128,0.95017
96,cores,false,dynamic,throughput,0,critical,256,0.98739
96,cores,false,dynamic,throughput,0,critical,512,1.13843
96,cores,false,dynamic,throughput,0,atomic,64,0.93732
96,cores,false,dynamic,throughput,0,atomic,128,0.92076
96,cores,false,dynamic,throughput,0,atomic,256,1.02709
96,cores,false,dynamic,throughput,0,atomic,512,1.14764
96,cores,false,dynamic,throughput,200,tree,64,0.92993
96,cores,false,dynamic,throughput,200,tree,128,0.87368
96,cores,false,dynamic,throughput,200,tree,256,0.93606
96,cores,false,dynamic,throughput,200,tree,512,1.09178
96,cores,false,dynamic,throughput,200,critical,64,0.93362
96,cores,false,dynamic,throughput,200,critical,128,0.96179
96,cores,false,dynamic,throughput,200,critical,256,0.99478
96,cores,false,dynamic,throughput,200,critical,512,1.10684
96,cores,false,dynamic,throughput,200,atomic,64,0.90328
96,cores,false,dynamic,throughput,200,atomic,128,0.86757
96,cores,false,dynamic,throughput,200,atomic,256,0.97623
96,cores,false,dynamic,throughput,200,atomic,512,1.11719
96,cores,false,dynamic,throughput,infinite,tree,64,0.73187
96,cores,false,dynamic,throughput,infinite,tree,128,0.7762
96,cores,false,dynamic,throughput,infinite,tree,256,0.82718
96,cores,false,dynamic,throughput,infinite,tree,512,0.95477
96,cores,false,dynamic,throughput,infinite,critical,64,0.74728
96,cores,false,dynamic,throughput,infinite,critical,128,0.76962
96,cores,false,dynamic,throughput,infinite,critical,256,0.86494
96,cores,false,dynamic,throughput,infinite,critical,512,0.96291
