OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,false,static,throughput,0,tree,64,0.31272
96,cores,false,static,throughput,0,tree,128,0.33114
96,cores,false,static,throughput,0,tree,256,0.35642
96,cores,false,static,throughput,0,tree,512,0.46425
96,cores,false,static,throughput,0,critical,64,0.28507
96,cores,false,static,throughput,0,critical,128,0.39424
96,cores,false,static,throughput,0,critical,256,0.34763
96,cores,false,static,throughput,0,critical,512,0.3159
96,cores,false,static,throughput,0,atomic,64,0.32433
96,cores,false,static,throughput,0,atomic,128,0.32388
96,cores,false,static,throughput,0,atomic,256,0.40588
96,cores,false,static,throughput,0,atomic,512,0.31547
96,cores,false,static,throughput,200,tree,64,0.28038
96,cores,false,static,throughput,200,tree,128,0.33619
96,cores,false,static,throughput,200,tree,256,0.30647
96,cores,false,static,throughput,200,tree,512,0.30348
96,cores,false,static,throughput,200,critical,64,0.29797
96,cores,false,static,throughput,200,critical,128,0.37827
96,cores,false,static,throughput,200,critical,256,0.35608
96,cores,false,static,throughput,200,critical,512,0.36967
96,cores,false,static,throughput,200,atomic,64,0.3063
96,cores,false,static,throughput,200,atomic,128,0.31647
96,cores,false,static,throughput,200,atomic,256,0.32341
96,cores,false,static,throughput,200,atomic,512,0.29393
96,cores,false,static,throughput,infinite,tree,64,0.23673
96,cores,false,static,throughput,infinite,tree,128,0.23447
96,cores,false,static,throughput,infinite,tree,256,0.23719
96,cores,false,static,throughput,infinite,tree,512,0.23506
96,cores,false,static,throughput,infinite,critical,64,0.23304
96,cores,false,static,throughput,infinite,critical,128,0.22988
96,cores,false,static,throughput,infinite,critical,256,0.22917
96,cores,false,static,throughput,infinite,critical,512,0.23341
96,cores,false,static,throughput,infinite,atomic,64,0.23868
96,cores,false,static,throughput,infinite,atomic,128,0.2428
96,cores,false,static,throughput,infinite,atomic,256,0.23472
96,cores,false,static,throughput,infinite,atomic,512,0.24022
96,cores,false,static,turnaround,0,tree,64,0.28489
96,cores,false,static,turnaround,0,tree,128,0.25785
96,cores,false,static,turnaround,0,tree,256,0.31012
96,cores,false,static,turnaround,0,tree,512,0.31927
96,cores,false,static,turnaround,0,critical,64,0.24729
96,cores,false,static,turnaround,0,critical,128,0.32257
96,cores,false,static,turnaround,0,critical,256,0.25201
96,cores,false,static,turnaround,0,critical,512,0.27077
96,cores,false,static,turnaround,0,atomic,64,0.26375
96,cores,false,static,turnaround,0,atomic,128,0.26523
96,cores,false,static,turnaround,0,atomic,256,0.30319
96,cores,false,static,turnaround,0,atomic,512,0.24724
96,cores,false,static,turnaround,200,tree,64,0.29196
96,cores,false,static,turnaround,200,tree,128,0.29509
96,cores,false,static,turnaround,200,tree,256,0.22303
96,cores,false,static,turnaround,200,tree,512,0.26127
96,cores,false,static,turnaround,200,critical,64,0.23918
96,cores,false,static,turnaround,200,critical,128,0.28841
96,cores,false,static,turnaround,200,critical,256,0.224
96,cores,false,static,turnaround,200,critical,512,0.2718
96,cores,false,static,turnaround,200,atomic,64,0.31048
96,cores,false,static,turnaround,200,atomic,128,0.32918
96,cores,false,static,turnaround,200,atomic,256,0.26073
96,cores,false,static,turnaround,200,atomic,512,0.3135
96,cores,false,static,turnaround,infinite,tree,64,0.23214
96,cores,false,static,turnaround,infinite,tree,128,0.23329
96,cores,false,static,turnaround,infinite,tree,256,0.23754
96,cores,false,static,turnaround,infinite,tree,512,0.24166
96,cores,false,static,turnaround,infinite,critical,64,0.23626
96,cores,false,static,turnaround,infinite,critical,128,0.24022
96,cores,false,static,turnaround,infinite,critical,256,0.22888
96,cores,false,static,turnaround,infinite,critical,512,0.25828
96,cores,false,static,turnaround,infinite,atomic,64,0.23795
96,cores,false,static,turnaround,infinite,atomic,128,0.22721
96,cores,false,static,turnaround,infinite,atomic,256,0.23636
96,cores,false,static,turnaround,infinite,atomic,512,0.23483
96,cores,false,dynamic,throughput,0,tree,64,0.34013
96,cores,false,dynamic,throughput,0,tree,128,0.27251
96,cores,false,dynamic,throughput,0,tree,256,0.29674
96,cores,false,dynamic,throughput,0,tree,512,0.31205
96,cores,false,dynamic,throughput,0,critical,64,0.27751
96,cores,false,dynamic,throughput,0,critical,128,0.3289
96,cores,false,dynamic,throughput,0,critical,256,0.26746
96,cores,false,dynamic,throughput,0,critical,512,0.29605
96,cores,false,dynamic,throughput,0,atomic,64,0.29255
96,cores,false,dynamic,throughput,0,atomic,128,0.33353
96,cores,false,dynamic,throughput,0,atomic,256,0.35096
96,cores,false,dynamic,throughput,0,atomic,512,0.3087
96,cores,false,dynamic,throughput,200,tree,64,0.3561
96,cores,false,dynamic,throughput,200,tree,128,0.30997
96,cores,false,dynamic,throughput,200,tree,256,0.36681
96,cores,false,dynamic,throughput,200,tree,512,0.37442
96,cores,false,dynamic,throughput,200,critical,64,0.29535
96,cores,false,dynamic,throughput,200,critical,128,0.32271
96,cores,false,dynamic,throughput,200,critical,256,0.34652
96,cores,false,dynamic,throughput,200,critical,512,0.43705
96,cores,false,dynamic,throughput,200,atomic,64,0.37508
96,cores,false,dynamic,throughput,200,atomic,128,0.32647
96,cores,false,dynamic,throughput,200,atomic,256,0.2773
96,cores,false,dynamic,throughput,200,atomic,512,0.37943
96,cores,false,dynamic,throughput,infinite,tree,64,0.22656
96,cores,false,dynamic,throughput,infinite,tree,128,0.24287
96,cores,false,dynamic,throughput,infinite,tree,256,0.23755
96,cores,false,dynamic,throughput,infinite,tree,512,0.24738
96,cores,false,dynamic,throughput,infinite,critical,64,0.24074
96,cores,false,dynamic,throughput,infinite,critical,128,0.23974
96,cores,false,dynamic,throughput,infinite,critical,256,0.35059
96,cores,false,dynamic,throughput,infinite,critical,512,0.23367
96,cores,false,dynamic,throughput,infinite,atomic,64,0.2369
96,cores,false,dynamic,throughput,infinite,atomic,128,0.24159
96,cores,false,dynamic,throughput,infinite,atomic,256,0.24399
96,cores,false,dynamic,throughput,infinite,atomic,512,0.24246
96,cores,false,dynamic,turnaround,0,tree,64,0.34776
96,cores,false,dynamic,turnaround,0,tree,128,0.24396
96,cores,false,dynamic,turnaround,0,tree,256,0.26638
96,cores,false,dynamic,turnaround,0,tree,512,0.3023
96,cores,false,dynamic,turnaround,0,critical,64,0.26302
96,cores,false,dynamic,turnaround,0,critical,128,0.26793
96,cores,false,dynamic,turnaround,0,critical,256,0.28333
96,cores,false,dynamic,turnaround,0,critical,512,0.3084
96,cores,false,dynamic,turnaround,0,atomic,64,0.22965
96,cores,false,dynamic,turnaround,0,atomic,128,0.25784
96,cores,false,dynamic,turnaround,0,atomic,256,0.27619
96,cores,false,dynamic,turnaround,0,atomic,512,0.2316
96,cores,false,dynamic,turnaround,200,tree,64,0.26309
96,cores,false,dynamic,turnaround,200,tree,128,0.2328
96,cores,false,dynamic,turnaround,200,tree,256,0.24072
96,cores,false,dynamic,turnaround,200,tree,512,0.27493
96,cores,false,dynamic,turnaround,200,critical,64,0.25531
96,cores,false,dynamic,turnaround,200,critical,128,0.28307
96,cores,false,dynamic,turnaround,200,critical,256,0.28857
96,cores,false,dynamic,turnaround,200,critical,512,0.25211
96,cores,false,dynamic,turnaround,200,atomic,64,0.25583
96,cores,false,dynamic,turnaround,200,atomic,128,0.2503
96,cores,false,dynamic,turnaround,200,atomic,256,0.25297
96,cores,false,dynamic,turnaround,200,atomic,512,0.29606
96,cores,false,dynamic,turnaround,infinite,tree,64,0.23459
96,cores,false,dynamic,turnaround,infinite,tree,128,0.23326
96,cores,false,dynamic,turnaround,infinite,tree,256,0.23498
96,cores,false,dynamic,turnaround,infinite,tree,512,0.23196
96,cores,false,dynamic,turnaround,infinite,critical,64,0.2329
96,cores,false,dynamic,turnaround,infinite,critical,128,0.23726
96,cores,false,dynamic,turnaround,infinite,critical,256,0.23531
96,cores,false,dynamic,turnaround,infinite,critical,512,0.24095
96,cores,false,dynamic,turnaround,infinite,atomic,64,0.23036
96,cores,false,dynamic,turnaround,infinite,atomic,128,0.24669
96,cores,false,dynamic,turnaround,infinite,atomic,256,0.24217
96,cores,false,dynamic,turnaround,infinite,atomic,512,0.23258
96,cores,false,guided,throughput,0,tree,64,0.35228
96,cores,false,guided,throughput,0,tree,128,0.39085
96,cores,false,guided,throughput,0,tree,256,0.31516
96,cores,false,guided,throughput,0,tree,512,0.36375
96,cores,false,guided,throughput,0,critical,64,0.29556
96,cores,false,guided,throughput,0,critical,128,0.39298
96,cores,false,guided,throughput,0,critical,256,0.31061
96,cores,false,guided,throughput,0,critical,512,0.39279
96,cores,false,guided,throughput,0,atomic,64,0.30487
96,cores,false,guided,throughput,0,atomic,128,0.38049
96,cores,false,guided,throughput,0,atomic,256,0.28867
96,cores,false,guided,throughput,0,atomic,512,0.36257
96,cores,false,guided,throughput,200,tree,64,0.33801
96,cores,false,guided,throughput,200,tree,128,0.40571
96,cores,false,guided,throughput,200,tree,256,0.3119
96,cores,false,guided,throughput,200,tree,512,0.35756
96,cores,false,guided,throughput,200,critical,64,0.32277
96,cores,false,guided,throughput,200,critical,128,0.33988
96,cores,false,guided,throughput,200,critical,256,0.31514
96,cores,false,guided,throughput,200,critical,512,0.40917
96,cores,false,guided,throughput,200,atomic,64,0.33192
96,cores,false,guided,throughput,200,atomic,128,0.33778
96,cores,false,guided,throughput,200,atomic,256,0.33769
96,cores,false,guided,throughput,200,atomic,512,0.37555
96,cores,false,guided,throughput,infinite,tree,64,0.31244
96,cores,false,guided,throughput,infinite,tree,128,0.2383
96,cores,false,guided,throughput,infinite,tree,256,0.22844
96,cores,false,guided,throughput,infinite,tree,512,0.23305
96,cores,false,guided,throughput,infinite,critical,64,0.23422
96,cores,false,guided,throughput,infinite,critical,128,0.23411
96,cores,false,guided,throughput,infinite,critical,256,0.2472
96,cores,false,guided,throughput,infinite,critical,512,0.23199
96,cores,false,guided,throughput,infinite,atomic,64,0.24553
96,cores,false,guided,throughput,infinite,atomic,128,0.2328
96,cores,false,guided,throughput,infinite,atomic,256,0.23027
96,cores,false,guided,throughput,infinite,atomic,512,0.22995
96,cores,false,guided,turnaround,0,tree,64,0.29495
96,cores,false,guided,turnaround,0,tree,128,0.24435
96,cores,false,guided,turnaround,0,tree,256,0.25028
96,cores,false,guided,turnaround,0,tree,512,0.25519
96,cores,false,guided,turnaround,0,critical,64,0.26821
96,cores,false,guided,turnaround,0,critical,128,0.27907
96,cores,false,guided,turnaround,0,critical,256,0.26095
96,cores,false,guided,turnaround,0,critical,512,0.24204
